,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Portfolio Company,,Industry,,Interest Rate  (+),,Reference Rate and  Spread  (+),,Maturity,,Par Amount  (++),,,Cost,,,Fair Value,,,,
1,Investments at Fair Value  - 202.25% #,,,,,,,,,,,,,,,,,,,,
2,Corporate Debt  (1)  - 174.65%,,,,,,,,,,,,,,,,,,,,
3,1st Lien/Senior Secured Debt  - 117.24%,,,,,,,,,,,,,,,,,,,,
4,"Accuity Delivery Systems,  LLC  ^ (2) (3)",,Health Care Providers & Services,,9.61%,,L + 7.00%; 1.00% Floor,,06/13/2023,,$,10170.0,,,$,9904,,,$,9967,
5,"Apptio, Inc.  (2) (3)",,IT Services,,9.74%,,L + 7.25%; 1.00% Floor,,01/10/2025,,,26696.0,,,,26177,,,,26162,
6,"Apptio, Inc.  (2) (3) (4) (5)",,IT Services,,,,L + 7.25%; 1.00% Floor,,01/10/2025,,,2225.0,,,,(43,),,,(45,)
7,"Artesyn Embedded Technologies, Inc.  (6)",,"Electronic Equipment, Instruments & Components",,9.75%,,,,10/15/2020,,,20000.0,,,,20000,,,,18750,
8,"Associations, Inc.  (2) (3)",,Real Estate Management & Development,,9.80%,,L + 7.00% (incl. 3.00% PIK); 1.00% Floor,,07/30/2024,,,11879.0,,,,11745,,,,11760,
9,"Associations, Inc.  (2) (3) (4)",,Real Estate Management & Development,,9.75%,,L + 7.00% (incl. 3.00% PIK); 1.00% Floor,,07/30/2024,,,2946.0,,,,1399,,,,1403,
10,"Associations, Inc.  (2) (3) (4) (5)",,Real Estate Management & Development,,,,L + 4.00%; 1.00% Floor,,07/30/2024,,,587.0,,,,(7,),,,(6,)
11,"Avenue Stores, LLC  (3)",,Specialty Retail,,12.50%,,P + 7.00%; 2.00% Floor,,09/18/2020,,,29575.0,,,,29154,,,,29427,
12,"Brillio, LLC  (2)",,IT Services,,7.23%,,L + 4.75%; 1.00% Floor,,02/06/2025,,,4520.0,,,,4475,,,,4475,
13,"Brillio, LLC  (2) (4) (5)",,IT Services,,,,L + 4.75%; 1.00% Floor,,02/06/2025,,,1510.0,,,,(15,),,,(15,)
14,"Businessolver.com, Inc.  (2) (3)",,Health Care Technology,,10.18%,,L + 7.50%; 1.00% Floor,,05/15/2023,,,12549.0,,,,12334,,,,12298,
15,"Businessolver.com, Inc.  (2) (3) (4)",,Health Care Technology,,10.18%,,L + 7.50%; 1.00% Floor,,05/15/2023,,,1882.0,,,,699,,,,684,
16,"Businessolver.com, Inc.  (2) (3) (4)",,Health Care Technology,,10.41%,,L + 7.50%; 1.00% Floor,,05/15/2023,,,1569.0,,,,288,,,,282,
17,"Collaborative Imaging,  LLC  ^^^ (2) (3)",,Health Care Providers & Services,,9.25%,,L + 6.50%; 1.00% Floor,,03/28/2025,,,8900.0,,,,8781,,,,8722,
18,Continuum Managed Services LLC  (2) (3),,IT Services,,8.50%,,L + 6.00%; 1.00% Floor,,06/08/2023,,,21281.0,,,,20839,,,,20962,
