,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Investment *#,Industry,Interest  Rate (+),Reference Rate  and Spread (+),Floor  (+),Maturity,Par  (++),,Cost,,Fair  Value,,Footnotes,,,
1,"Checkmate Finance Merger Sub, LLC",Entertainment,,L + 6.50%,1.00%,12/31/27,$,3140.0,,$,(60,),$,(55,),(2) (3) (4)
2,Chronicle Bidco Inc. (dba Lexitas),Professional Services,7.00%,L + 6.00%,1.00%,11/14/25,,16911.0,,,16193,,,16868,,(2) (3)
3,Chronicle Bidco Inc. (dba Lexitas),Professional Services,7.00%,L + 6.00%,1.00%,11/14/25,,11229.0,,,11017,,,11201,,(2) (3)
4,Chronicle Bidco Inc. (dba Lexitas),Professional Services,7.00%,L + 6.00%,1.00%,11/14/25,,11052.0,,,9764,,,9905,,(2) (3) (4)
5,Chronicle Bidco Inc. (dba Lexitas),Professional Services,7.00%,L + 6.00%,1.00%,11/14/25,,7123.0,,,6820,,,7105,,(2) (3)
6,Chronicle Bidco Inc. (dba Lexitas),Professional Services,,L + 6.00%,1.00%,11/14/25,,2180.0,,,(39,),,(5,),(2) (3) (4)
7,CivicPlus LLC,Software,6.75%,L + 6.00%,0.75%,08/24/27,,6300.0,,,6184,,,6158,,(2) (3)
8,CivicPlus LLC,Software,,L + 6.00%,0.75%,08/24/27,,592.0,,,(11,),,(13,),(2) (3) (4)
9,CivicPlus LLC,Software,,L + 6.00%,0.75%,08/24/27,,2960.0,,,(27,),,(67,),(2) (3) (4)
10,"CloudBees, Inc.",Software,8.00%,L + 7.00% (incl. 2.50% PIK),1.00%,11/24/26,,28197.0,,,26484,,,27633,,(2) (3)
11,"CloudBees, Inc.",Software,,L + 7.00% (incl. 2.50% PIK),1.00%,11/24/26,,12900.0,,,(544,),,(258,),(2) (3) (4)
12,"Coding Solutions Acquisition, Inc.",Health Care Providers & Services,,S + 5.75%,1.00%,03/31/28,,2123.0,,,—,,,—,,(2) (4)
13,"Coding Solutions Acquisition, Inc.",Health Care Providers & Services,,S + 5.75%,1.00%,03/31/28,,14864.0,,,—,,,—,,(2) (4)
14,"Coding Solutions Acquisition, Inc.",Health Care Providers & Services,,S + 5.75%,1.00%,03/31/28,,4459.0,,,—,,,(45,),(2) (4)
15,"Convene 237 Park Avenue, LLC (dba Convene)",Real Estate Mgmt. & Development,,L + 9.50% (incl. 2.00% PIK),1.50%,08/30/24,,60743.0,,,53038,,,48291,,(2) (3) (5)
16,"Convene 237 Park Avenue, LLC (dba Convene)",Real Estate Mgmt. & Development,,L + 9.50% (incl. 2.00% PIK),1.50%,08/30/24,,17856.0,,,15534,,,14195,,(2) (3) (5)
17,"Convene 237 Park Avenue, LLC (dba Convene)",Real Estate Mgmt. & Development,,L + 15.00%,1.50%,08/30/24,,6222.0,,,6222,,,6393,,(2) (3)
18,CORA Health Holdings Corp,Health Care Providers & Services,6.75%,L + 5.75%,1.00%,06/15/27,,22606.0,,,22305,,,22324,,(2) (3)
19,CORA Health Holdings Corp,Health Care Providers & Services,6.75%,L + 5.75%,1.00%,06/15/27,,8897.0,,,145,,,93,,(2) (3) (4)
20,"Cordeagle US Finco, Inc. (dba Condeco)",Software,7.75%,L + 6.75%,1.00%,07/30/27,,25223.0,,,24753,,,24719,,(1) (2) (3)
21,"Cordeagle US Finco, Inc. (dba Condeco)",Software,,L + 6.75%,1.00%,07/30/27,,2461.0,,,(44,),,(49,),(1) (2) (3) (4)
