,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,0,1
0,Portfolio Company,Industry,Interest  Rate  (+),Reference Rate and  Spread  (+),Maturity,Par  Amount  (++),Cost,Fair Value,,,,,
1,Investments at Fair Value  – 180.93% #,,,,,,,,,,,,
2,Corporate Debt  (1)  – 162.87%,,,,,,,,,,,,
3,1st Lien/Senior Secured Debt  – 83.69%,,,,,,,,,,,,
4,"Accuity Delivery Systems,  LLC  ^ (2) (3)",Health Care Providers & Services,9.34%,L + 7.00%; 1.00% Floor,06/13/2023,$,10170,$,9879,$,9865.0,,
5,"Artesyn Embedded Technologies, Inc.  (4)","Electronic Equipment, Instruments & Components",9.75%,10/15/2020,20000,20000,19150,,,,,,
6,"Associations, Inc.  (2)",Real Estate Management & Development,11.25%,P + 6.00% (incl. 3.00% PIK); 2.00% Floor,07/30/2024,11785,11641,11637,,,,,
7,"Associations, Inc.  (2) (5) (6)",Real Estate Management & Development,P + 5.00%; 2.00% Floor,07/30/2024,587,(7,),(7,),,,,
8,"Associations, Inc.  (2) (5)",Real Estate Management & Development,11.25%,P + 6.00% (incl. 3.00% PIK); 2.00% Floor,07/30/2024,2937,1010,1009,,,,,
9,"Businessolver.com, Inc.  (2) (3)",Health Care Technology,9.81%,L + 7.50%; 1.00% Floor,05/15/2023,12549,12313,12298,,,,,
10,"Businessolver.com, Inc.  (2) (3) (5) (6)",Health Care Technology,L + 7.50%; 1.00% Floor,05/15/2023,1569,(29,),(31,),,,,
11,"Businessolver.com, Inc.  (2) (3) (5)",Health Care Technology,9.81%,L + 7.50%; 1.00% Floor,05/15/2023,1882,293,276,,,,,
12,"Collaborative Imaging,  LLC  ^^^ (2) (3)",Health Care Providers & Services,8.85%,L + 6.50%; 1.00% Floor,03/28/2025,7600,7492,7448,,,,,
