,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Investment *#,Industry,Interest  Rate (+),Reference Rate and  Spread (+),Floor  (+),Maturity,Par/Shares  (++),,Cost,,Fair  Value,,Footnotes,,,
1,1st Lien/Senior Secured Debt - 161.90%,,,,,,,,,,,,,,,
2,1272775 B.C. LTD. (dba Everest Clinical Research),Professional Services,6.50%,L + 5.50%,1.00%,11/06/26,$,9359,,$,9237,,$,9219,,(1) (2) (3)
3,1272775 B.C. LTD. (dba Everest Clinical Research),Professional Services,6.95%,CDN P + 4.50%,,11/06/26,,CAD 139,,,109,,,103,,(1) (2) (3)
4,1272775 B.C. LTD. (dba Everest Clinical Research),Professional Services,,L + 5.50%,1.00%,11/06/26,,1151,,,(15,),,(17,),(1) (2) (3) (4)
5,"3SI Security Systems, Inc.",Commercial Services & Supplies,6.75%,L + 5.75%,1.00%,06/16/23,,13982,,,13919,,,13912,,(3)
6,"3SI Security Systems, Inc.",Commercial Services & Supplies,6.75%,L + 5.75%,1.00%,06/16/23,,2129,,,2032,,,2118,,(3)
7,"A Place For Mom, Inc.",Diversified Consumer Services,4.75%,L + 3.75%,1.00%,08/10/24,,8684,,,8679,,,7989,,
8,"Abacus Data Holdings, Inc. (dba Clutch Intermediate Holdings)",Software,7.25%,L + 6.25%,1.00%,03/10/27,,16429,,,16049,,,16059,,(2) (3)
9,"Abacus Data Holdings, Inc. (dba Clutch Intermediate Holdings)",Software,7.25%,L + 6.25%,1.00%,03/10/27,,1220,,,155,,,156,,(2) (3) (4)
10,"Abacus Data Holdings, Inc. (dba Clutch Intermediate Holdings)",Software,,L + 6.25%,1.00%,03/10/27,,3046,,,(35,),,(69,),(2) (3) (4)
11,"Acquia, Inc.",Software,8.00%,L + 7.00%,1.00%,10/31/25,,42164,,,40476,,,41532,,(2) (3)
12,"Acquia, Inc.",Software,8.00%,L + 7.00%,1.00%,10/31/25,,3268,,,188,,,212,,(2) (3) (4)
13,"Ansira Partners, Inc.",Professional Services,7.50%,L + 6.50% PIK,1.00%,12/20/24,,5019,,,5001,,,4141,,
14,"Ansira Partners, Inc.",Professional Services,7.50%,L + 6.50% PIK,1.00%,12/20/24,,309,,,308,,,255,,
15,"Apptio, Inc.",IT Services,8.25%,L + 7.25%,1.00%,01/10/25,,79154,,,76356,,,79154,,(2) (3)
16,"Apptio, Inc.",IT Services,,L + 7.25%,1.00%,01/10/25,,5385,,,2092,,,2154,,(2) (3) (4)
17,"AQ Helios Buyer, Inc. (aka SurePoint)",Software,8.00%,L + 7.00%,1.00%,07/01/26,,32010,,,31396,,,31370,,(2)
18,"AQ Helios Buyer, Inc. (aka SurePoint)",Software,8.00%,L + 7.00%,1.00%,07/01/26,,4570,,,461,,,457,,(2) (4)
19,"AQ Helios Buyer, Inc. (aka SurePoint)",Software,,L + 7.00%,1.00%,07/01/26,,11560,,,—,,,—,,(2) (4)
20,"Aria Systems, Inc.",Diversified Financial Services,8.00%,L + 7.00%,1.00%,06/30/26,,16559,,,16320,,,16352,,(2) (3)
21,"Aria Systems, Inc.",Diversified Financial Services,,L + 7.00%,1.00%,06/30/26,,4160,,,—,,,(52,),(2) (3) (4)
22,Assembly Intermediate LLC,Diversified Consumer Services,,L + 7.00%,1.00%,10/19/27,,43991,,,—,,,—,,(2) (4)
23,Assembly Intermediate LLC,Diversified Consumer Services,,L + 7.00%,1.00%,10/19/27,,10998,,,—,,,—,,(2) (4)
24,Assembly Intermediate LLC,Diversified Consumer Services,,L + 7.00%,1.00%,10/19/27,,4399,,,—,,,—,,(2) (4)
25,ATX Networks Corp.,Communications Equipment,8.50%,L + 7.50%,1.00%,09/01/26,,4370,,,4370,,,4370,,^ (1) (3)
26,"Badger Sportswear, Inc.","Textiles, Apparel & Luxury Goods",5.75%,L + 4.50%,1.25%,09/11/23,,7119,,,7086,,,6905,,
27,"Brillio, LLC",IT Services,5.75%,L + 4.75%,1.00%,02/06/25,,10870,,,10476,,,10870,,(2) (3)
28,"Brillio, LLC",IT Services,5.75%,L + 4.75%,1.00%,02/06/25,,1823,,,1803,,,1823,,(2) (3)
29,"Broadway Technology, LLC",Diversified Financial Services,7.50%,L + 6.50%,1.00%,01/08/26,,25970,,,25514,,,25450,,(2) (3)
30,"Bullhorn, Inc.",Professional Services,6.75%,L + 5.75%,1.00%,09/30/26,,26630,,,25583,,,26363,,(2) (3)
31,"Bullhorn, Inc.",Professional Services,6.75%,L + 5.75%,1.00%,09/30/26,,1232,,,1215,,,1220,,(2) (3)
32,"Bullhorn, Inc.",Professional Services,6.75%,L + 5.75%,1.00%,09/30/26,,552,,,531,,,547,,(2) (3)
33,"Bullhorn, Inc.",Professional Services,6.75%,L + 5.75%,1.00%,09/30/26,,440,,,423,,,436,,(2) (3)
34,"Bullhorn, Inc.",Professional Services,,L + 5.75%,1.00%,09/30/26,,1344,,,(18,),,(13,),(2) (3) (4)
35,"Businessolver.com, Inc.",Health Care Technology,8.50%,L + 7.50%,1.00%,05/15/23,,42518,,,40977,,,42518,,(2) (3)
36,"Businessolver.com, Inc.",Health Care Technology,8.50%,L + 7.50%,1.00%,05/15/23,,11147,,,11026,,,11147,,(2) (3)
37,"BusinesSolver.com, Inc.",Health Care Technology,8.50%,L + 7.50%,1.00%,05/15/23,,6378,,,6146,,,6378,,(2) (3)
38,"Businessolver.com, Inc.",Health Care Technology,,L + 7.50%,1.00%,05/15/23,,5328,,,(70,),,—,,(2) (3) (4)
39,Capitol Imaging Acquisition Corp.,Health Care Providers & Services,7.50%,L + 6.50%,1.00%,10/01/26,,18062,,,17706,,,17881,,(2) (3)
40,Capitol Imaging Acquisition Corp.,Health Care Providers & Services,7.50%,L + 6.50%,1.00%,10/01/26,,808,,,777,,,800,,(2) (3)
41,Capitol Imaging Acquisition Corp.,Health Care Providers & Services,,L + 6.50%,1.00%,10/01/25,,180,,,(3,),,(2,),(2) (3) (4)
42,"CFS Management, LLC (dba Center for Sight Management)",Health Care Providers & Services,6.50%,L + 5.50%,1.00%,07/01/24,,19880,,,19313,,,19631,,(2) (3)
43,"CFS Management, LLC (dba Center for Sight Management)",Health Care Providers & Services,6.50%,L + 5.50%,1.00%,07/01/24,,3450,,,3312,,,3407,,(2) (3)
44,"CFS Management, LLC (dba Center for Sight Management)",Health Care Providers & Services,6.50%,L + 5.50%,1.00%,07/01/24,,2017,,,580,,,580,,(2) (3) (4)
45,Chronicle Bidco Inc. (dba Lexitas),Professional Services,7.00%,L + 6.00%,1.00%,11/14/25,,16997,,,16192,,,16997,,(2) (3)
46,Chronicle Bidco Inc. (dba Lexitas),Professional Services,7.00%,L + 6.00%,1.00%,11/14/25,,11286,,,11047,,,11286,,(2) (3)
47,Chronicle Bidco Inc. (dba Lexitas),Professional Services,7.00%,L + 6.00%,1.00%,11/14/25,,11100,,,7669,,,7836,,(2) (3) (4)
48,Chronicle Bidco Inc. (dba Lexitas),Professional Services,7.00%,L + 6.00%,1.00%,11/14/25,,7160,,,6819,,,7160,,(2) (3)
49,Chronicle Bidco Inc. (dba Lexitas),Professional Services,,L + 6.00%,1.00%,11/14/25,,2180,,,(44,),,—,,(2) (3) (4)
50,CivicPlus LLC,Software,7.00%,L + 6.25%,0.75%,08/24/27,,6300,,,6176,,,6174,,(2)
51,CivicPlus LLC,Software,,L + 6.25%,0.75%,08/24/27,,592,,,(12,),,(12,),(2) (4)
52,Investment *#,Industry,Interest  Rate (+),Reference Rate  and Spread (+),Floor  (+),Maturity,Par/Shares  (++),,Cost,,Fair  Value,,Footnotes,,,
53,CivicPlus LLC,Software,,L + 6.25%,0.75%,08/24/27,$,2960.0,,$,(29,),$,(30,),(2) (4)
54,"Convene 237 Park Avenue, LLC (dba Convene)",Real Estate Mgmt. & Development,11.00%,L + 9.50% (incl. 2.00% PIK),1.50%,08/30/24,,56846.0,,,51829,,,44340,,(2) (3)
55,"Convene 237 Park Avenue, LLC (dba Convene)",Real Estate Mgmt. & Development,11.00%,L + 9.50% (incl. 2.00% PIK),1.50%,08/30/24,,16710.0,,,15231,,,13034,,(2) (3)
56,CORA Health Holdings Corp,Health Care Providers & Services,6.75%,L + 5.75%,1.00%,06/15/27,,22720.0,,,22393,,,22436,,(2) (3)
57,CORA Health Holdings Corp,Health Care Providers & Services,,L + 5.75%,1.00%,06/15/27,,8897.0,,,(63,),,(111,),(2) (3) (4)
58,"Cordeagle US Finco, Inc. (aka Condeco)",Software,7.75%,L + 6.75%,1.00%,07/30/27,,15993.0,,,15681,,,15673,,(1) (2)
59,"Cordeagle US Finco, Inc. (aka Condeco)",Software,,L + 6.75%,1.00%,07/30/27,,2461.0,,,(48,),,(49,),(1) (2) (4)
60,CorePower Yoga LLC,Diversified Consumer Services,8.00%,L + 7.00% (incl. 5.00% PIK),1.00%,05/14/25,,24665.0,,,22257,,,20534,,(2) (3)
61,CorePower Yoga LLC,Diversified Consumer Services,,L + 7.00% (incl. 5.00% PIK),1.00%,05/14/25,,1687.0,,,(132,),,(283,),(2) (3) (4)
62,CST Buyer Company (dba Intoxalock),Diversified Consumer Services,7.00%,L + 6.00%,1.00%,10/03/25,,28301.0,,,27434,,,28159,,(2) (3)
63,CST Buyer Company (dba Intoxalock),Diversified Consumer Services,7.00%,L + 6.00%,1.00%,10/27/25,,14967.0,,,14682,,,14892,,(2) (3)
64,CST Buyer Company (dba Intoxalock),Diversified Consumer Services,,L + 6.00%,1.00%,10/03/25,,2170.0,,,(12,),,(11,),(2) (3) (4)
65,DECA Dental Holdings LLC,Health Care Providers & Services,6.50%,L + 5.75%,0.75%,08/28/28,,21670.0,,,21241,,,21236,,(2)
66,DECA Dental Holdings LLC,Health Care Providers & Services,,L + 5.75%,0.75%,08/26/27,,1711.0,,,(34,),,(34,),(2) (4)
67,DECA Dental Holdings LLC,Health Care Providers & Services,,L + 5.75%,0.75%,08/28/28,,7413.0,,,(73,),,(74,),(2) (4)
68,Diligent Corporation,Professional Services,7.25%,L + 6.25%,1.00%,08/04/25,€,38158.0,,,42893,,,44532,,(2) (3)
69,Diligent Corporation,Professional Services,7.25%,L + 6.25%,1.00%,08/04/25,,24664.0,,,23666,,,24849,,(2) (3)
70,Diligent Corporation,Professional Services,,L + 6.25%,1.00%,08/04/25,,3100.0,,,(56,),,23,,(2) (3) (4)
71,"Elemica Parent, Inc.",Chemicals,7.00%,L + 6.00%,1.00%,09/18/25,,7037.0,,,6582,,,6861,,(2) (3)
72,"Elemica Parent, Inc.",Chemicals,7.00%,L + 6.00%,1.00%,09/18/25,,1500.0,,,1461,,,1463,,(2) (3)
73,"Elemica Parent, Inc.",Chemicals,7.00%,L + 6.00%,1.00%,09/18/25,,1380.0,,,1312,,,1345,,(2) (3)
74,"Elemica Parent, Inc.",Chemicals,7.00%,L + 6.00%,1.00%,09/18/25,,562.0,,,547,,,548,,(2) (3)
75,"Elemica Parent, Inc.",Chemicals,7.00%,L + 6.00%,1.00%,09/18/25,,930.0,,,483,,,498,,(2) (3) (4)
76,"Elemica Parent, Inc.",Chemicals,,L + 6.00%,1.00%,09/18/25,,380.0,,,(5,),,(9,),(2) (3) (4)
77,"Eptam Plastics, Ltd.",Health Care Equipment & Supplies,6.50%,L + 5.50%,1.00%,12/06/25,,10502.0,,,10056,,,10371,,(2) (3)
