,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,Investment *#,Industry,Interest  Rate (+),Reference Rate  and Spread (+),Maturity,Par  (++),Cost,Fair  Value,Footnotes,,,,
1,"CFS Management, LLC (dba Center for Sight Management)",Health Care Providers & Services,9.73  %,S +  6.25  %,07/01/24,$,2008,$,1992,$,1878.0,(2) (3),
2,"Checkmate Finance Merger Sub, LLC",Entertainment,10.17  %,L +  6.50  %,12/31/27,31258,30696,30711,(2) (3),,,,
3,"Checkmate Finance Merger Sub, LLC",Entertainment,L +  6.50  %,12/31/27,3140,(  55,),(  55,),(2) (3) (4),,,
4,Chronicle Bidco Inc. (dba Lexitas),Professional Services,9.80  %,S +  6.25  %,05/18/29,46084,44365,45162,(2) (3),,,,
5,Chronicle Bidco Inc. (dba Lexitas),Professional Services,S +  6.25  %,05/18/29,4753,(  104,),(  95,),(2) (3) (4),,,
6,CivicPlus LLC,Software,9.87  %,L +  6.75  % (incl.  2.50  % PIK),08/24/27,6300,6178,6158,(2) (3),,,,
7,CivicPlus LLC,Software,9.87  %,L +  6.75  % (incl.  2.50  % PIK),08/24/27,6247,6128,6106,(2) (3),,,,
8,CivicPlus LLC,Software,9.87  %,L +  6.75  % (incl.  2.50  % PIK),08/24/27,2960,2900,2893,(2) (3),,,,
9,CivicPlus LLC,Software,L +  6.75  % (incl.  2.50  % PIK),08/24/27,1217,(  23,),(  27,),(2) (3) (4),,,
10,Clearcourse Partnership Acquireco Finance Limited,Software,9.44  %,SN +  7.25  %,07/25/28,GBP,12600,14810,13717,(1) (2),,,
11,Clearcourse Partnership Acquireco Finance Limited,Software,8.94  %,SN +  7.25  %,07/25/28,GBP,11400,3807,3752,(1) (2) (4),,,
12,"CloudBees, Inc.",Software,9.71  %,L +  7.00  % (incl.  2.50  % PIK),11/24/26,28558,27002,28058,(2) (3),,,,
13,"CloudBees, Inc.",Software,9.71  %,L +  7.00  % (incl.  2.50  % PIK),11/24/26,12941,11478,11977,(2) (3) (4),,,,
14,"Coding Solutions Acquisition, Inc.",Health Care Providers & Services,8.78  %,S +  5.75  %,05/11/28,14867,14582,14569,(2) (3),,,,
15,"Coding Solutions Acquisition, Inc.",Health Care Providers & Services,8.78  %,S +  5.75  %,05/11/28,2120,279,276,(2) (3) (4),,,,
16,"Coding Solutions Acquisition, Inc.",Health Care Providers & Services,S +  5.75  %,05/11/28,4460,(  42,),(  89,),(2) (3) (4),,,
17,CORA Health Holdings Corp,Health Care Providers & Services,8.79  %,L +  5.75  %,06/15/27,22492,22217,21368,(2) (3),,,,
