,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Investment  (1)(4),Industry,Interest  Rate  (2),,Reference Rate  and Spread  (2),Maturity,,Par  (3),,Cost,,Fair  Value,,Footnotes,,,,
1,1st Lien/Senior Secured Debt -  196.24  %,,,,,,,,,,,,,,,,,
2,1272775 B.C. LTD. (dba Everest Clinical Research),Professional Services,11.54  %,,S +  6.00  %,11/06/26,$,,9171.0,,$,9092,,$,9056,,(5) (6) (7),
3,1272775 B.C. LTD. (dba Everest Clinical Research),Professional Services,14.50  %,,P +  6.00  %,11/06/26,,,919.0,,,874,,,871,,(5) (6) (7) (8),
4,1272775 B.C. LTD. (dba Everest Clinical Research),Professional Services,12.20  %,,CDN P +  4.75  %,11/06/26,CAD,,454.0,,,339,,,330,,(5) (6) (7),
5,"3SI Security Systems, Inc.",Commercial Services & Supplies,12.05  %,,S +  6.50  %,12/16/26,,,13250.0,,,13122,,,12554,,(7),
6,"3SI Security Systems, Inc.",Commercial Services & Supplies,12.05  %,,S +  6.50  %,12/16/26,,,2018.0,,,1956,,,1912,,(7),
7,"A Place For Mom, Inc.",Diversified Consumer Services,9.93  %,,S +  4.50  %,02/10/26,,,7256.0,,,7242,,,6530,,,
8,"Abacus Data Holdings, Inc. (dba Clutch Intermediate Holdings)",Software,11.72  %,,S +  6.25  %,03/10/27,,,16099.0,,,15844,,,15777,,(6) (7),
9,"Abacus Data Holdings, Inc. (dba Clutch Intermediate Holdings)",Software,11.72  %,,S +  6.25  %,03/10/27,,,1684.0,,,1672,,,1651,,(6) (7),
10,"Abacus Data Holdings, Inc. (dba Clutch Intermediate Holdings)",Software,11.72  %,,S +  6.25  %,03/10/27,,,1220.0,,,1202,,,1196,,(6) (7),
11,"Acquia, Inc.",Software,12.34  %,,S +  7.00  %,10/31/25,,,42164.0,,,41214,,,41427,,(6) (7),
12,"Acquia, Inc.",Software,12.72  %,,S +  7.00  %,10/31/25,,,3268.0,,,1569,,,1551,,(6) (7) (8),
13,"Acuity Specialty Products, Inc. (dba Zep Inc.)",Chemicals,9.40  %,,S +  4.00  %,10/02/28,,,53049.0,,,53049,,,49999,,(6) (7),
14,"Admiral Buyer, Inc. (dba Fidelity Payment Services)",Diversified Financial Services,10.89  %,,S +  5.50  %,05/08/28,,,26195.0,,,25769,,,25933,,(6) (7),
15,"Admiral Buyer, Inc. (dba Fidelity Payment Services)",Diversified Financial Services,,,S +  5.50  %,05/08/28,,,2530.0,,,(  39,),,(  25,),(6) (7) (8),
16,"Admiral Buyer, Inc. (dba Fidelity Payment Services)",Diversified Financial Services,,,S +  5.50  %,05/08/28,,,7120.0,,,(  55,),,(  71,),(6) (7) (8),
17,"Ansira Partners, Inc.",Professional Services,,,L +  6.50  % PIK,12/20/24,,,6032.0,,,5252,,,256,,(7) (9),
18,"Ansira Partners, Inc.",Professional Services,,,,S +  10.00  % (Incl.  8.00  % PIK),12/20/24,,,34,,,34,,,34,,(7) (9)
19,"Ansira Partners, Inc.",Professional Services,,,L +  6.50  % PIK,12/20/24,,,367.0,,,323,,,16,,(7) (9),
20,"Ansira Partners, Inc.",Professional Services,18.50  %,,P +  10.00  % (Incl.  8.00  % PIK),12/20/24,,,165.0,,,14,,,7,,(6) (7) (8) (10),
21,"AQ Helios Buyer, Inc. (dba SurePoint)",Software,12.64  %,,S +  7.00  %,07/01/26,,,39210.0,,,38719,,,38034,,(6) (7),
22,"AQ Helios Buyer, Inc. (dba SurePoint)",Software,13.63  %,,S +  8.00  %,07/01/26,,,6600.0,,,6600,,,6550,,(6) (7),
23,"AQ Helios Buyer, Inc. (dba SurePoint)",Software,13.62  %,,S +  8.00  %,07/01/26,,,2339.0,,,2339,,,2321,,(6) (7),
24,"AQ Helios Buyer, Inc. (dba SurePoint)",Software,13.40  %,,S +  8.00  %,08/07/28,,,12500.0,,,596,,,503,,(6) (7) (8),
25,"AQ Helios Buyer, Inc. (dba SurePoint)",Software,,,S +  7.00  %,07/01/26,,,4570.0,,,(  51,),,(  137,),(6) (7) (8),
26,"Argos Health Holdings, Inc",Health Care Providers & Services,11.06  %,,S +  5.75  %,12/03/27,,,21615.0,,,21293,,,20858,,(6) (7),
27,"Aria Systems, Inc.",Diversified Financial Services,13.43  %,,S +  8.00  %,06/30/26,,,26931.0,,,26640,,,25853,,(6) (7),
28,"Arrow Buyer, Inc. (dba Archer Technologies)",Software,11.90  %,,S +  6.50  %,06/28/30,,,2942.0,,,2870,,,2883,,(6) (7),
29,"Arrow Buyer, Inc. (dba Archer Technologies)",Software,,,S +  6.50  %,06/28/30,,,679.0,,,(  8,),,(  14,),(6) (7) (8),
30,Assembly Intermediate LLC,Diversified Consumer Services,11.49  %,,S +  6.00  %,10/19/27,,,43991.0,,,43345,,,43551,,(6) (7),
31,Assembly Intermediate LLC,Diversified Consumer Services,11.49  %,,S +  6.00  %,10/19/27,,,10998.0,,,6034,,,6049,,(6) (7) (8),
32,Assembly Intermediate LLC,Diversified Consumer Services,,,S +  6.00  %,10/19/27,,,4399.0,,,(  61,),,(  44,),(6) (7) (8),
33,ATX Networks Corp.,Communications Equipment,13.15  %,,S +  7.50  %,09/01/26,,,3702.0,,,3702,,,3591,,(5) (7) (11),
34,"Badger Sportswear, Inc.","Textiles, Apparel & Luxury Goods",10.04  %,,S +  4.50  %,12/24/23,,,6965.0,,,6926,,,6791,,,
35,"Bayside Opco, LLC (dba Pro-PT)",Health Care Providers & Services,,,S +  7.25  % PIK,05/31/26,,,2752.0,,,2573,,,2683,,(7) (9),
36,"Bayside Opco, LLC (dba Pro-PT)",Health Care Providers & Services,,,S +  7.25  % PIK,05/31/26,,,973.0,,,775,,,810,,(7) (9),
37,"Bayside Opco, LLC (dba Pro-PT)",Health Care Providers & Services,12.54  %,,S +  6.00  % PIK,05/31/26,,,420.0,,,80,,,80,,(7) (8),
38,Bigchange Group Limited,Software,11.19  %,,SN +  6.00  %,12/23/26,GBP,,11990.0,,,15861,,,14336,,(5) (6) (7),
39,Bigchange Group Limited,Software,11.19  %,,SN +  6.00  %,12/23/26,GBP,,1848.0,,,2351,,,2210,,(5) (6) (7),
40,Bigchange Group Limited,Software,,,SN +  6.00  %,12/23/26,GBP,,2400.0,,,(  44,),,(  59,),(5) (6) (7) (8),
41,"Broadway Technology, LLC",Diversified Financial Services,11.89  %,,S +  6.50  %,01/08/26,,,25513.0,,,25231,,,25513,,(6) (7),
42,"Broadway Technology, LLC",Diversified Financial Services,,,S +  6.50  %,01/08/26,,,1090.0,,,(  13,),,—,,(6) (7) (8),
43,"BSI3 Menu Buyer, Inc (dba Kydia)",Diversified Financial Services,11.43  %,,S +  6.00  %,01/25/28,,,962.0,,,949,,,895,,(6) (7),
44,"BSI3 Menu Buyer, Inc (dba Kydia)",Diversified Financial Services,,,S +  6.00  %,01/25/28,,,38.0,,,(  1,),,(  3,),(6) (7) (8),
45,"Bullhorn, Inc.",Professional Services,11.24  %,,S +  5.75  %,09/30/26,,,26088.0,,,25417,,,25696,,(6) (7),
