,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,,,Portfolio Company,,Industry,,Interest,,Maturity,,Par Amount,,,Cost,,,Fair Value,,,,
1,Investments at Fair Value – 156.98 #,,,,,,,,,,,,,,,,,,,,
2,Corporate Debt(1)– 146.85,,,,,,,,,,,,,,,,,,,,
3,1st Lien/Senior Secured Debt – 61.00,,,,,,,,,,,,,,,,,,,,
4,,,"Artesyn Embedded Technologies, Inc.(2)",,"Electronic Equipment, Instruments & Components",,9.75,,10/15/2020,,,20000,,,,20000,,,,18700,
5,,,"Data Driven Delivery Systems, LLC(++)",,Health Care Technology,,L + 7.00(1.00Floor),,05/31/2019,,,70500,,,,68202,,,,70500,
6,,,Dispensing Dynamics International(2),,Building Products,,12.50,,01/01/2018,,,24000,,,,24685,,,,23304,
7,,,Heligear Acquisition Co.(2),,Aerospace & Defense,,10.25,,10/15/2019,,,17500,,,,17229,,,,18550,
8,,,Infinity Sales Group(+),,Media,,L + 10.50(1.00Floor),,11/21/2018,,,33727,,,,33284,,,,32630,
9,,,"Iracore International Holdings, Inc.(2)",,Energy Equipment & Services,,9.50,,06/01/2018,,,24250,,,,20877,,,,15763,
10,,,Kawa Solar Holdings Limited(3),,Construction & Engineering,,F + 8.20,,07/02/2017,,,15000,,,,15000,,,,15000,
11,,,Legacy Buyer Corp.(++),,Health Care Providers & Services,,L + 8.00(1.00Floor),,10/24/2019,,,30225,,,,29735,,,,29847,
12,,,Legacy Buyer Corp.(4) (5),,Health Care Providers & Services,,L + 8.00(1.00Floor),,10/24/2019,,,2500,,,,(40,,,,(31,
13,,,Madison-Kipp Corporation(+),,Machinery,,L + 9.00(1.00Floor),,05/26/2020,,,37000,,,,36330,,,,36352,
14,,,"NTS Communications, Inc.(++)",,Diversified Telecommunication Services,,L + 9.00(1.25Floor),,06/06/2019,,,44300,,,,43641,,,,42196,
15,,,"Perfect Commerce, LLC(++)",,Internet Software & Services,,L + 8.50(1.00Floor),,06/30/2020,,,39668,,,,38789,,,,38973,
16,,,"US Med Acquisition, Inc.(+)",,Health Care Equipment & Supplies,,L + 9.00(1.00Floor),,08/13/2021,,,30884,,,,30292,,,,30884,
17,,,"Vexos, Inc.(++)",,"Electronic Equipment, Instruments & Components",,L + 9.50(1.00Floor),,10/09/2019,,,48275,,,,47512,,,,47430,
18,,,Total 1st Lien/Senior Secured Debt,,,,,,,,,,,425536,,,,420098,,,
19,,,1st Lien/Last-Out Unitranche(6)– 44.40,,,,,,,,,,,,,,,,,,
20,,,"Associations, Inc.(++)",,Real Estate Management & Development,,L + 7.00(1.00Floor),,12/23/2019,,,75926,,,,74669,,,,74598,
21,,,"Associations, Inc.(++) (4)",,Real Estate Management & Development,,L + 7.00(1.00Floor),,12/23/2019,,,12955,,,,9194,,,,9217,
22,,,"Avenue Stores, LLC(+)",,Specialty Retail,,L + 8.00(1.00Floor),,09/19/2019,,,30000,,,,29409,,,,30300,
23,,,"Bolttech Mannings, Inc.(+)",,Commercial Services & Supplies,,L + 7.75(1.00Floor),,12/21/2018,,,33000,,,,32504,,,,31185,
24,,,"Bolttech Mannings, Inc.(+)",,Commercial Services & Supplies,,L + 7.75(1.00Floor),,12/21/2018,,,3346,,,,3297,,,,3162,
25,,,"Integrated Practice Solutions, Inc.(++)",,Software,,L + 9.10(1.00Floor),,08/03/2020,,,27156,,,,26464,,,,26417,
26,,,"Mervin Manufacturing, Inc.(++)",,Leisure Equipment & Products,,L + 7.50(1.00Floor),,10/10/2019,,,13584,,,,13365,,,,12837,
27,,,"Pro-Pet, LLC(+)",,Household Products,,L + 7.25(0.75Floor),,11/21/2019,,,28600,,,,28196,,,,27170,
28,,,The Service Companies Inc.(++),,Professional Services,,L + 10.25(1.00Floor),,03/26/2019,,,47460,,,,46773,,,,46629,
29,,,"United Road Services, Inc.(+)",,Air Freight & Logistics,,L + 7.50(1.00Floor),,12/14/2017,,,44658,,,,44237,,,,44212,
30,,,Total 1st Lien/Last-Out Unitranche,,,,,,,,,,,308108,,,,305727,,,
31,,,2nd Lien/Senior Secured Debt – 41.45,,,,,,,,,,,,,,,,,,
32,,,DiversiTech Corporation(++),,Building Products,,L + 8.00(1.00Floor),,11/18/2022,,,10000,,,,9859,,,,9850,
33,,,"Extraction Oil & Gas Holdings, LLC",,"Oil, Gas & Consumable Fuels",,11.00,,05/29/2019,,,15000,,,,14833,,,,15187,
34,,,"Extraction Oil & Gas Holdings, LLC",,"Oil, Gas & Consumable Fuels",,10.00,,05/29/2019,,,8412,,,,8314,,,,8286,
35,,,Global Tel*Link Corporation(++),,Diversified Telecommunication Services,,L + 7.75(1.25Floor),,11/23/2020,,,28000,,,,27588,,,,16800,
36,,,"Highwinds Capital, Inc.(+)",,Internet Software & Services,,L + 12.25(1.25Floor),,01/29/2019,,,59050,,,,58429,,,,59050,
37,,,"Hunter Defense Technologies, Inc.(++)",,Aerospace & Defense,,L + 10.00(1.00Floor),,02/05/2020,,,28000,,,,26866,,,,26320,
38,,,"Hutchinson Technology, Inc.",,Computers & Peripherals,,10.88,,01/15/2017,,,12200,,,,12004,,,,13298,
39,,,iFly Holdings LLC(++),,Leisure Equipment & Products,,L + 9.00(1.00Floor),,07/08/2019,,,25000,,,,24595,,,,25000,
40,,,Portfolio Company,,Industry,,Interest,,Maturity,,Par Amount,,,Cost,,,Fair Value,,,,
41,,,"IHS Intermediate, Inc.(++)",,Health Care Providers & Services,,L + 8.25(1.00Floor),,07/20/2022,,,10000,,,,9809,,,,9800,
42,,,MPI Products LLC(++),,Auto Components,,L + 9.00(1.00Floor),,01/30/2020,,,20000,,,,19761,,,,19800,
43,,,"Oasis Outsourcing Holdings, Inc.(+)",,Diversified Financial Services,,L + 8.75(1.00Floor),,12/26/2022,,,20000,,,,19726,,,,20000,
44,,,P2 Upstream Acquisition Co.(+++),,Software,,L + 8.00(1.00Floor),,04/30/2021,,,10000,,,,9922,,,,8200,
45,,,Reddy Ice Corporation(++),,Food Products,,L + 9.50(1.25Floor),,11/01/2019,,,13500,,,,13082,,,,8809,
46,,,"Securus Technologies Holdings, Inc.(++)",,Diversified Telecommunication Services,,L + 7.75(1.25Floor),,04/30/2021,,,20000,,,,19828,,,,10760,
47,,,"SW Holdings, LLC(+++)",,Media,,L + 8.75(1.00Floor),,12/30/2021,,,13500,,,,13245,,,,13230,
48,,,Washington Inventory Service(++),,Professional Services,,L + 9.00(1.25Floor),,06/20/2019,,,24800,,,,24970,,,,21080,
49,,,Total 2nd Lien/Senior Secured Debt,,,,,,,,,,,312831,,,,285470,,,
50,,,Total Corporate Debt,,,,,,,,,,,1046475,,,,1011295,,,
51,^,,"As defined in the Investment Company Act of 1940, the investment is deemed to be an “affiliated person” of the Company because the Company owns, either directly or indirectly, 5or more of the portfolio company’s outstanding voting securities. See Note 3 “Significant Agreements and Related Parties”.",,,,,,,,,,,,,,,,,,
