,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Investment *,Industry,InterestRate (+),Reference Rate andSpread (+),Floor (+),,Maturity,ParAmount/Shares(++),,Cost,,Fair Value,,,,,
1,1st Lien/Senior Secured Debt* #- 156.46,,,,,,,,,,,,,,,,
2,1272775 B.C. LTD. (dba Everest Clinical Research)(1) (2),Professional Services,6.50,L + 5.50,1.00,,11/06/26,,9430,,,9292,,,9289,,
3,1272775 B.C. LTD. (dba Everest Clinical Research)(1) (2) (3),Professional Services,,L + 5.50,1.00,,11/06/26,,1260,,,(18,,,(19,,
4,"3SI Security Systems, Inc.(4)",Commercial Services & Supplies,6.75,L + 5.75,1.00,,06/16/23,,14556,,,14465,,,14483,,
5,"3SI Security Systems, Inc.(4)",Commercial Services & Supplies,6.75,L + 5.75,1.00,,06/16/23,,2216,,,2075,,,2205,,
6,"A Place For Mom, Inc.",Diversified Consumer Services,4.75,L + 3.75,1.00,,08/10/24,,8752,,,8746,,,8052,,
7,"Acquia, Inc.(2) (4)",Software,8.00,L + 7.00,1.00,,10/31/25,,30561,,,28977,,,30026,,
8,"Acquia, Inc.(2) (3) (4)",Software,,L + 7.00,1.00,,10/31/25,,3268,,,(77,,,(57,,
9,"Ansira Partners, Inc.",Professional Services,7.50,L + 6.50PIK,1.00,,12/20/24,,4748,,,4726,,,3988,,
10,"Ansira Partners, Inc.",Professional Services,7.50,L + 6.50PIK,1.00,,12/20/24,,292,,,291,,,245,,
11,"Apptio, Inc.(2) (4)",IT Services,8.25,L + 7.25,1.00,,01/10/25,,79154,,,75824,,,77967,,
12,"Apptio, Inc.(2) (3) (4)",IT Services,,L + 7.25,1.00,,01/10/25,,5385,,,(75,,,(81,,
13,"Associations, Inc.(2) (4)",Real Estate Management & Development,8.00,L + 7.00(incl. 3.00PIK),1.00,,07/30/24,,33860,,,32095,,,33013,,
14,"Associations, Inc.(2) (3) (4)",Real Estate Management & Development,8.00,L + 7.00(incl. 3.00PIK),1.00,,07/30/24,,7396,,,7102,,,7104,,
15,"Associations, Inc.(2) (4)",Real Estate Management & Development,7.00,L + 6.00,1.00,,07/30/24,,1422,,,1348,,,1387,,
16,ATX Networks Corp.,Communications Equipment,8.75,L + 7.75(incl. 1.50PIK),1.00,,12/31/23,,7183,,,7162,,,6321,,
17,ATX Networks Corp.,Communications Equipment,8.75,L + 7.75(incl. 1.50PIK),1.00,,12/31/23,,457,,,452,,,402,,
18,"Badger Sportswear, Inc.","Textiles, Apparel & Luxury Goods",6.25,L + 5.00,1.00,,09/11/23,,7150,,,7106,,,6292,,
19,"Barbri, Inc.",Diversified Consumer Services,5.00,L + 4.00,1.00,,12/01/23,,6243,,,6227,,,5931,,
20,BJH Holdings III Corp. (dba Jack’s Family Restaurants)(2),"Hotels, Restaurants & Leisure",6.25,L + 5.25,1.00,,08/19/25,,14904,,,14065,,,14270,,
21,"Blacksmith Applications, Inc.(2)",Software,7.50,L + 6.50,1.00,,12/02/26,,25100,,,24542,,,24535,,
22,"Blacksmith Applications, Inc.(2) (3)",Software,,L + 6.50,1.00,,12/02/26,,2000,,,(44,,,(45,,
23,"Brillio, LLC(2) (4)",IT Services,5.75,L + 4.75,1.00,,02/06/25,,10953,,,10478,,,10871,,
24,"Brillio, LLC(2) (3) (4)",IT Services,5.75,L + 4.75,1.00,,02/06/25,,3710,,,1808,,,1827,,
25,"Bullhorn, Inc.(2) (4)",Professional Services,6.75,L + 5.75,1.00,,09/30/26,,26833,,,25653,,,26430,,
26,"Bullhorn, Inc.(2) (4)",Professional Services,6.75,L + 5.75,1.00,,09/30/26,,556,,,532,,,548,,
27,"Bullhorn, Inc.(2) (4)",Professional Services,6.75,L + 5.75,1.00,,09/30/26,,444,,,424,,,437,,
28,"Bullhorn, Inc.(2) (3) (4)",Professional Services,,L + 5.75,1.00,,09/30/26,,1232,,,(19,,,(18,,
29,"Bullhorn, Inc.(2) (3) (4)",Professional Services,,L + 5.75,1.00,,09/30/26,,1344,,,(21,,,(20,,
30,"Businessolver.com, Inc.(2) (4)",Health Care Technology,8.50,L + 7.50,1.00,,05/15/23,,42625,,,40448,,,42092,,
31,"Businessolver.com, Inc.(2) (4)",Health Care Technology,8.50,L + 7.50,1.00,,05/15/23,,11175,,,11003,,,11035,,
32,"Businessolver.com, Inc.(2) (4)",Health Care Technology,8.50,L + 7.50,1.00,,05/15/23,,6394,,,6066,,,6314,,
33,"Businessolver.com, Inc.(2) (3) (4)",Health Care Technology,,L + 7.50,1.00,,05/15/23,,5328,,,(101,,,(67,,
34,Capitol Imaging Acquisition Corp.(2),Health Care Providers & Services,7.50,L + 6.50,1.00,,10/01/26,,814,,,779,,,798,,
35,Capitol Imaging Acquisition Corp.(2) (3),Health Care Providers & Services,8.75,P + 5.50,,,,10/01/25,,180,,,19,,,19,
36,"CFS Management, LLC (dba Center for Sight Management)(2) (4)",Health Care Providers & Services,6.50,L + 5.50,1.00,,07/01/24,,11671,,,11090,,,11409,,
37,"CFS Management, LLC (dba Center for Sight Management)(2) (4)",Health Care Providers & Services,6.50,L + 5.50,1.00,,07/01/24,,3476,,,3303,,,3398,,
38,Chronicle Bidco Inc. (dba Lexitas)(2),Professional Services,7.00,L + 6.00,1.00,,11/14/25,,17127,,,16194,,,16699,,
39,Chronicle Bidco Inc. (dba Lexitas)(2),Professional Services,7.00,L + 6.00,1.00,,11/14/25,,11372,,,11095,,,11087,,
40,Chronicle Bidco Inc. (dba Lexitas)(2),Professional Services,7.00,L + 6.00,1.00,,11/14/25,,7214,,,6820,,,7034,,
41,Chronicle Bidco Inc. (dba Lexitas)(2) (3),Professional Services,7.00,L + 6.00,1.00,,11/14/25,,6318,,,89,,,(7,,
42,Chronicle Bidco Inc. (dba Lexitas)(2) (3),Professional Services,,L + 6.00,1.00,,11/14/25,,2180,,,(52,,,(55,,
43,"ConnectWise, LLC(2) (4)",IT Services,6.25,L + 5.25,1.00,,02/28/25,,33186,,,31844,,,32854,,
44,"ConnectWise, LLC(2) (3) (4)",IT Services,6.25,L + 5.25,1.00,,02/28/25,,2561,,,609,,,615,,
45,"Convene 237 Park Avenue, LLC (dba Convene)(2) (4)",Real Estate Management & Development,9.00,L + 7.50,1.50,,08/30/24,,52200,,,46177,,,41760,,
46,"Convene 237 Park Avenue, LLC (dba Convene)(2) (4)",Real Estate Management & Development,9.00,L + 7.50,1.50,,08/30/24,,15340,,,13563,,,12272,,
