,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Portfolio Company,,Industry,,Interest,,Maturity,,,Par Amount,,,Cost,,,Fair Value,,,,,
1,Investments at Fair Value - 166.82#,,,,,,,,,,,,,,,,,,,,
2,Corporate Debt(1)- 153.73,,,,,,,,,,,,,,,,,,,,
3,1st Lien/Senior Secured Debt - 65.28,,,,,,,,,,,,,,,,,,,,
4,"Artesyn Embedded Technologies, Inc.(2)",,"Electronic Equipment, Instruments & Components",,9.75,,,10/15/2020,,,,20000,,,,20000,,,,17600,
5,"Data Driven Delivery Systems, LLC(++)",,Health Care Technology,,L + 7.00  (1.00  Floor),,,05/31/2019,,,,70500,,,,68331,,,,70500,
6,Dispensing Dynamics International(2),,Building Products,,12.50,,,01/01/2018,,,,24000,,,,24526,,,,22800,
7,Heligear Acquisition Co.(2),,Aerospace & Defense,,10.25,,,10/15/2019,,,,17500,,,,17258,,,,18112,
8,Infinity Sales Group(+),,Media,,L + 10.50  (1.00  Floor),,,11/21/2018,,,,33727,,,,33347,,,,32377,
9,"Iracore International Holdings, Inc.(2)",,Energy Equipment & Services,,9.50,,,06/01/2018,,,,24250,,,,21419,,,,12368,
10,Kawa Solar Holdings Limited(3),,Construction & Engineering,,F + 8.20,,,07/02/2018,,,,12600,,,,12548,,,,12600,
11,Kawa Solar Holdings Limited(++) (3),,Construction & Engineering,,L + 8.20,,,07/02/2018,,,,2400,,,,2390,,,,2400,
12,Legacy Buyer Corp.(++),,Health Care Providers & Services,,L + 8.00(1.00Floor),,,10/24/2019,,,,27857,,,,27453,,,,27509,
13,Legacy Buyer Corp.(++) (4),,Health Care Providers & Services,,L + 8.00(1.00Floor),,,10/24/2019,,,,2500,,,,1664,,,,1669,
14,Madison-Kipp Corporation(+),,Machinery,,L + 9.00(1.00Floor),,,05/26/2020,,,,36903,,,,36295,,,,36626,
15,"NTS Communications, Inc.(5) (6)",,Diversified Telecommunication Services,,L + 9.00(1.25Floor),,,06/06/2019,,,,44300,,,,43641,,,,37655,
16,"Perfect Commerce, LLC(++)",,Internet Software & Services,,L + 8.50(1.00Floor),,,06/30/2020,,,,38543,,,,37765,,,,38350,
17,"The Merit Distribution Group, LLC(+)",,Distributors,,L + 11.25(0.50Floor),,,04/08/2021,,,,30000,,,,29275,,,,29250,
18,"US Med Acquisition, Inc.(+)",,Health Care Equipment & Supplies,,L + 9.00(1.00Floor),,,08/13/2021,,,,30729,,,,30180,,,,30729,
19,"Vexos, Inc.(++)",,"Electronic Equipment, Instruments & Components",,L + 9.50(1.00Floor),,,10/09/2019,,,,46547,,,,45886,,,,45849,
20,Total 1st Lien/Senior Secured Debt,,,,,,,,,,,,,,,451978,,,,436394,
21,1st Lien/Last-Out Unitranche(7)- 45.57,,,,,,,,,,,,,,,,,,,,
22,"Associations, Inc.(++)",,Real Estate Management & Development,,L + 7.00(1.00Floor),,,12/23/2019,,,,88434,,,,87076,,,,87549,
23,"Avenue Stores, LLC(+)",,Specialty Retail,,L + 8.00(1.00Floor),,,09/19/2019,,,,29438,,,,28923,,,,29438,
24,"Bolttech Mannings, Inc.(+)",,Commercial Services & Supplies,,L + 7.75(1.00Floor),,,12/21/2018,,,,36346,,,,35882,,,,31257,
25,"Integrated Practice Solutions, Inc.(++)",,Software,,L + 9.10(1.00Floor),,,08/03/2020,,,,26469,,,,25851,,,,26469,
26,"Mervin Manufacturing, Inc.(++)",,Leisure Equipment & Products,,L + 7.50(1.00Floor),,,10/10/2019,,,,11165,,,,11004,,,,10160,
27,"Pro-Pet, LLC(+)",,Household Products,,L + 7.25(0.75Floor),,,11/21/2019,,,,31600,,,,31036,,,,29704,
28,The Service Companies Inc.(++),,Professional Services,,L + 10.25(1.00Floor),,,03/26/2019,,,,47020,,,,46428,,,,46315,
29,"United Road Services, Inc.(+)",,Air Freight & Logistics,,L + 7.50(1.00Floor),,,12/14/2017,,,,44658,,,,44335,,,,43765,
30,Total 1st Lien/Last-Out Unitranche,,,,,,,,,,,,,,,310535,,,,304657,
31,2nd Lien/Senior Secured Debt - 42.88,,,,,,,,,,,,,,,,,,,,
32,"DiscoverOrg, LLC(+++)",,Software,,L + 9.00(1.00Floor),,,02/10/2022,,,,39500,,,,38749,,,,38710,
33,DiversiTech Corporation(+),,Building Products,,L + 8.00(1.00Floor),,,11/18/2022,,,,10000,,,,9867,,,,9875,
34,"Extraction Oil & Gas Holdings, LLC",,"Oil, Gas & Consumable Fuels",,11.00,,,05/29/2019,,,,15000,,,,14853,,,,15075,
35,"Extraction Oil & Gas Holdings, LLC",,"Oil, Gas & Consumable Fuels",,10.00,,,05/29/2019,,,,8412,,,,8326,,,,8455,
36,Global Tel*Link Corporation(++),,Diversified TelecommunicationServices,,L + 7.75(1.25Floor),,,11/23/2020,,,,28000,,,,27621,,,,22867,
37,"Highwinds Capital, Inc.(+)",,Internet Software & Services,,L + 12.25(1.25Floor),,,01/29/2019,,,,59050,,,,58507,,,,59050,
38,"Hunter Defense Technologies, Inc.(5) (8)",,Aerospace & Defense,,P + 9.00,,,02/05/2020,,,,28000,,,,26841,,,,4726,
