,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Portfolio Company,,Industry,,Interest,,Maturity,,,Par Amount,,,Cost,,,Fair Value,,,,,
1,Investments at Fair Value – 152.16#,,,,,,,,,,,,,,,,,,,,
2,Corporate Debt(1)– 135.59,,,,,,,,,,,,,,,,,,,,
3,1st Lien/Senior Secured Debt – 49.78,,,,,,,,,,,,,,,,,,,,
4,"Artesyn Embedded Technologies, Inc.(2)",,"Electronic Equipment, Instruments & Components",,9.75,,,10/15/2020,,,,20000,,,,20000,,,,19350,
5,Continuum Managed Services LLC(+++) (3),,IT Services,,L + 8.75(1.00Floor),,,06/08/2023,,,,28760,,,,27976,,,,27969,
6,Continuum Managed Services LLC(3) (4) (5),,IT Services,,L + 8.75(1.00Floor),,,06/08/2023,,,,2392,,,,(65,,,,(66,
7,Continuum Managed Services LLC(3) (4) (5),,IT Services,,L + 8.75(1.00Floor),,,06/08/2022,,,,2220,,,,(60,,,,(61,
8,"Elemica, Inc.(+)",,Software,,L + 8.00(1.00Floor),,,07/07/2021,,,,42075,,,,41183,,,,41234,
9,"Elemica, Inc.(4) (5)",,Software,,L + 8.00(1.00Floor),,,07/07/2021,,,,6000,,,,(127,,,,(120,
10,Heligear Acquisition Co.(2),,Aerospace & Defense,,10.25,,,10/15/2019,,,,17500,,,,17332,,,,17850,
11,Imperial Bag & Paper Co. LLC(+) (3),,Distributors,,L + 7.50(1.00Floor),,,06/10/2024,,,,11100,,,,10880,,,,10878,
12,Infinity Sales Group(+++),,Media,,L + 10.50(1.00Floor),,,11/21/2018,,,,30309,,,,30092,,,,28490,
13,"Iracore International Holdings, Inc.^ (+)",,Energy Equipment & Services,,L + 9.00(1.00Floor),,,04/12/2021,,,,3389,,,,3389,,,,3389,
14,Kawa Solar Holdings Limited^ (6),,Construction & Engineering,,F + 8.20and 3.50PIK,,,07/02/2018,,,,10537,,,,10504,,,,10537,
15,Kawa Solar Holdings Limited^ (+++) (6) (7),,Construction & Engineering,,L + 8.20,,,07/02/2018,,,,6843,,,,6734,,,,2064,
16,Legacy Buyer Corp.(+++),,Health Care Providers & Services,,L + 8.00(1.00Floor),,,10/24/2019,,,,24882,,,,24613,,,,24385,
17,Legacy Buyer Corp.(4) (5),,Health Care Providers & Services,,L + 8.00(1.00Floor),,,10/24/2019,,,,2500,,,,(27,,,,(50,
18,Madison-Kipp Corporation(+),,Machinery,,L + 9.00(1.00Floor),,,05/26/2020,,,,33644,,,,33207,,,,33476,
19,Netvoyage Corporation(+) (3),,Software,,L + 9.50(1.00Floor),,,03/24/2022,,,,7849,,,,7698,,,,7692,
20,Netvoyage Corporation(3) (4) (5),,Software,,L + 9.50(1.00Floor),,,03/24/2022,,,,654,,,,(12,,,,(13,
21,"Perfect Commerce, LLC(+++)",,Internet Software & Services,,L + 8.50(1.00Floor),,,06/30/2020,,,,36293,,,,35715,,,,36655,
22,"The Merit Distribution Group, LLC(+)",,Distributors,,L + 11.25(0.50Floor),,,04/08/2021,,,,24625,,,,24121,,,,24625,
23,"US Med Acquisition, Inc.(+++)",,Health Care Equipment & Supplies,,L + 9.00(1.00Floor),,,08/13/2021,,,,30419,,,,29961,,,,29810,
24,"Vexos, Inc.(+++)",,"Electronic Equipment, Instruments & Components",,L + 9.50(1.00Floor),,,10/09/2019,,,,38297,,,,37885,,,,36765,
