,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,Portfolio Company,,Industry,,Interest Rate(+),,Reference Rate andSpread(+),,Maturity,,Par Amount(++),,,Cost,,,Fair Value,,,,,,
1,Investments at Fair Value– 221.18#,,,,,,,,,,,,,,,,,,,,,,
2,Corporate Debt(1)– 206.51,,,,,,,,,,,,,,,,,,,,,,
3,1st Lien/Senior Secured Debt– 150.03,,,,,,,,,,,,,,,,,,,,,,
4,"3SI Security Systems, Inc.(2)",,Commercial Services & Supplies,,8.15,,L + 5.75 ; 1.00  Floor,,06/16/2023,,,14849,,,,14707,,,,14700,,,
5,"A Place For Mom, Inc.",,Diversified Consumer Services,,6.15,,L + 3.75 ; 1.00Floor,,08/10/2024,,,8887,,,,8880,,,,8665,,,
6,"Accuity Delivery Systems,LLC^ (2) (3)",,Health Care Providers & Services,,9.45,,L + 7.00 ; 1.00Floor,,06/13/2023,,,10170,,,,9917,,,,9967,,,
7,"Animal Supply Holdings,LLC^^ (2) (4)",,Distributors,,12.59,,L + 10.00  (incl. 2.50 PIK); 1.00Floor,,02/22/2022,,,3829,,,,3777,,,,3743,,,
8,"Ansira Partners, Inc.",,Media,,8.15,,L + 5.75 ; 1.00Floor,,12/20/2022,,,4601,,,,4572,,,,4578,,,
9,"Ansira Partners, Inc.(5)",,Media,,8.16,,L + 5.75 ; 1.00Floor,,12/20/2022,,,282,,,,185,,,,185,,,
10,"Apptio, Inc.(2) (3)",,IT Services,,9.67,,L + 7.25 ; 1.00Floor,,01/10/2025,,,32702,,,,32082,,,,32048,,,
11,"Apptio, Inc.(2) (3) (5) (6)",,IT Services,,,,L + 7.25 ; 1.00Floor,,01/10/2025,,,2225,,,,(41,,,,(45,,,
12,"Artesyn Embedded Technologies, Inc.(7)",,"Electronic Equipment, Instruments & Components",,9.75,,,,10/15/2020,,,20000,,,,20000,,,,20300,,,
13,"Associations, Inc.(2) (3)",,Real Estate Management & Development,,9.60,,L + 7.00(incl. 3.00 PIK); 1.00Floor,,07/30/2024,,,11968,,,,11839,,,,11848,,,
14,"Associations, Inc.(2) (3) (5)",,Real Estate Management & Development,,9.59,,L + 7.00(incl. 3.00 PIK); 1.00Floor,,07/30/2024,,,2956,,,,1683,,,,1685,,,
15,"Associations, Inc.(2) (3) (5) (6)",,Real Estate Management & Development,,,,L + 4.00 ; 1.00Floor,,07/30/2024,,,587,,,,(6,,,,(6,,,
16,ATX Networks Corp.,,Communications Equipment,,9.35,,L + 7.00(incl. 1.00 PIK); 1.00Floor,,06/11/2021,,,7387,,,,7357,,,,6907,,,
17,ATX Networks Corp.,,Communications Equipment,,9.33,,L + 7.00(incl. 1.00 PIK); 1.00Floor,,06/11/2021,,,473,,,,467,,,,443,,,
18,"Badger Sportswear, Inc.",,"Textiles, Apparel & Luxury Goods",,6.90,,L + 4.50 ; 1.00Floor,,09/11/2023,,,7150,,,,7104,,,,6936,,,
19,"Barbri, Inc.",,Media,,6.69,,L + 4.25 ; 1.00Floor,,12/01/2023,,,6243,,,,6219,,,,6134,,,
20,"Brillio, LLC(2) (3)",,IT Services,,7.15,,L + 4.75 ; 1.00Floor,,02/06/2025,,,4520,,,,4477,,,,4475,,,
21,"Brillio, LLC(2) (3) (5)",,IT Services,,,,L + 4.75 ; 1.00Floor,,02/06/2025,,,1510,,,,0,,,,(15,,,
22,"Businessolver.com, Inc.(2) (3)",,Health Care Technology,,10.02,,L + 7.50 ; 1.00Floor,,05/15/2023,,,12549,,,,12345,,,,12298,,,
23,"Businessolver.com, Inc.(2) (3) (5)",,Health Care Technology,,10.02,,L + 7.50 ; 1.00Floor,,05/15/2023,,,1882,,,,1011,,,,998,,,
24,"Businessolver.com, Inc.(2) (3) (5)",,Health Care Technology,,9.90,,L + 7.50 ; 1.00Floor,,05/15/2023,,,1569,,,,164,,,,157,,,
25,"Collaborative Imaging,LLC^^^ (2) (3)",,Health Care Providers & Services,,9.09,,L + 6.50 ; 1.00Floor,,03/28/2025,,,8900,,,,8785,,,,8722,,,
26,Continuum Managed Services LLC(2) (3),,IT Services,,8.41,,L + 6.00 ; 1.00Floor,,06/08/2023,,,21227,,,,20808,,,,21227,,,
27,Continuum Managed Services LLC(2) (3),,IT Services,,8.41,,L + 6.00 ; 1.00Floor,,06/08/2023,,,6109,,,,6000,,,,6109,,,
28,Continuum Managed Services LLC(2) (3),,IT Services,,8.41,,L + 6.00 ; 1.00Floor,,06/08/2023,,,1791,,,,1758,,,,1791,,,
29,Continuum Managed Services LLC(2) (3) (5) (6),,IT Services,,,,L + 6.00 ; 1.00Floor,,06/08/2022,,,2220,,,,(36,,,,0,,,
30,"CorePower Yoga, LLC(3)",,Diversified Consumer Services,,7.08,,L + 4.75,,05/14/2025,,,7905,,,,7789,,,,7787,,,
31,"CorePower Yoga, LLC(3) (5) (6)",,Diversified Consumer Services,,,,L + 4.75,,05/14/2025,,,678,,,,(10,,,,(10,,,
32,"CorePower Yoga, LLC(3) (5) (6)",,Diversified Consumer Services,,,,L + 4.75,,05/14/2025,,,2259,,,,(33,,,,(34,,,
33,CST Buyer Company(2),,Diversified Consumer Services,,7.40,,L + 5.00 ; 1.00Floor,,03/01/2023,,,9188,,,,9020,,,,9142,,,
34,CST Buyer Company(2) (5) (6),,Diversified Consumer Services,,,,L + 5.00 ; 1.00Floor,,03/01/2023,,,900,,,,(15,,,,(5,,,
35,DBRS Limited,,Capital Markets,,7.77,,L + 5.25 ; 1.00Floor,,03/04/2022,,,4963,,,,4941,,,,4957,,,
36,"DDS USA Holding, Inc.(2) (3)",,Health Care Equipment & Supplies,,7.56,,L + 5.25 ; 1.00Floor,,06/30/2022,,,3841,,,,3824,,,,3812,,,
37,"DDS USA Holding, Inc.(2) (3)",,Health Care Equipment & Supplies,,7.57,,L + 5.25 ; 1.00Floor,,06/30/2022,,,3824,,,,3808,,,,3795,,,
38,"DDS USA Holding, Inc.(2) (3) (5) (6)",,Health Care Equipment & Supplies,,,,L + 5.25 ; 1.00Floor,,06/30/2022,,,1079,,,,(4,,,,(8,,,
39,Diligent Corporation(2) (3),,Professional Services,,8.31,,L + 5.50 ; 1.00Floor,,04/14/2022,,,16097,,,,18436,,,,18121,,,
40,Diligent Corporation(2) (3),,Professional Services,,8.35,,L + 5.50 ; 1.00Floor,,04/14/2022,,,1483,,,,1467,,,,1468,,,
41,Diligent Corporation(2) (3) (5),,Professional Services,,8.14,,L + 5.50 ; 1.00Floor,,04/14/2022,,,1300,,,,1119,,,,1131,,,
42,Diligent Corporation(2) (3),,Professional Services,,8.19,,L + 5.50 ; 1.00Floor,,04/14/2022,,,509,,,,503,,,,504,,,
43,Diligent Corporation(2) (3),,Professional Services,,8.35,,L + 5.50 ; 1.00Floor,,04/14/2022,,,246,,,,244,,,,244,,,
44,Diligent Corporation(2) (3) (5) (6),,Professional Services,,,,L + 5.50 ; 1.00Floor,,04/14/2022,,,8104,,,,(85,,,,(81,,,
45,"DiscoverOrg, LLC(3)",,Software,,6.90,,L + 4.50,,02/02/2026,,,16160,,,,16004,,,,16079,,,
46,"DocuTAP, Inc.(3)",,Health Care Technology,,8.15,,L + 5.75 ; 1.00Floor,,05/12/2025,,,24154,,,,23561,,,,23912,,,
47,Portfolio Company,,Industry,,Interest Rate(+),,Reference Rate andSpread(+),,Maturity,,,Par Amount(++),,,Cost,,,Fair Value,,,,,
48,"Drilling Info Holdings, Inc.(5)",,Oil & Gas,,,,L + 4.25,,,07/30/2025,,,,34,,,,0,,,,0,
49,"Elemica, Inc.(2)",,Software,,9.40,,L + 7.00 ; 1.00  Floor,,,07/07/2021,,,,41225,,,,40743,,,,41019,
50,"Elemica, Inc.(2) (5)",,Software,,9.41,,L + 7.00 ; 1.00Floor,,,07/07/2021,,,,6000,,,,4735,,,,4770,
51,"Empirix, Inc.(2) (3)",,Diversified Telecommunication Services,,8.58,,L + 6.25 ; 1.00Floor,,,09/25/2024,,,,22192,,,,21843,,,,21304,
52,"Empirix, Inc.(2) (3) (5) (6)",,Diversified Telecommunication Services,,,,L + 6.25 ; 1.00Floor,,,09/25/2023,,,,1300,,,,(19,,,,(52,
