,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited)  December 31, 2014  (in thousands)",,,,,,,,,,,,,,,,,,
1,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-128.7% (18),,Interest Rate,,Maturity Date,,Industry,,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
2,CORPORATE DEBT-116.3%,,,,,,,,,,,,,,,,,,
3,SECURED DEBT-90.0%,,,,,,,,,,,,,,,,,,
4,1st Lien Secured Debt-40.4%,,,,,,,,,,,,,,,,,,
5,Alion Science & Technology Corporation,,"11.00% (L+1000, 1.00% Floor)",,8/16/19,,Aerospace and Defense,,,32083,,,,31074,,,,31442,
6,Archroma (17),,"9.50% (L+825, 1.25% Floor)",,10/1/18,,Chemicals,,45230,,,44796,,,44891,,,,
7,"Aventine Renewable Energy Holdings, Inc.",,15.00% PIK or 10.50% Cash,,9/22/17,,Chemicals,,15742,,,18244,,,15663,,,,
8,"Aveta, Inc.",,"9.75% (L+825, 1.50% Floor)",,12/12/17,,Healthcare,,54959,,,53886,,,53311,,,,
9,"Caza Petroleum, Inc.",,"12.00% (L+1000, 2.00% Floor)",,5/23/17,,Oil and Gas,,45000,,,43892,,,43762,,,,
10,"Compuware Holdings, LLC (16)",,"6.25% (L+525, 1.00% Floor)",,12/15/21,,Business Services,,2903,,,2758,,,2756,,,,
11,"Compuware Holdings, LLC (16)",,"6.25% (L+525, 1.00% Floor)",,12/15/19,,Business Services,,1398,,,1370,,,1369,,,,
12,"Deep Gulf Energy II, LLC",,"11.50% (11.50% or L+1000, 1.50% Floor)",,3/31/17,,Oil and Gas,,25000,,,25000,,,24437,,,,
13,"Delta Educational Systems, Inc.",,16.00% (8.00% Cash / 8.00% PIK),,12/11/16,,Education,,5774,,,5774,,,5774,,,,
14,Dodge Data & Analytics LLC,,"9.75% (L+875, 1.00% Floor)",,10/31/19,,Printing and Publishing,,60500,,,59322,,,58836,,,,
15,"Extraction Oil & Gas Holdings, LLC",,11.00% and 10.00%,,5/29/19,,Oil and Gas,,52633,,,51899,,,51843,,,,
16,"GenCorp, Inc. (17)",,"9.50% (L+850, 1.00% Floor)",,4/18/22,,Aerospace and Defense,,44500,,,44500,,,44500,,,,
17,"Great Bear Petroleum Operating, LLC",,12.000%,,10/1/17,,Oil and Gas,,5064,,,5064,,,5064,,,,
18,"Hunt Companies, Inc. (11)",,9.625%,,3/1/21,,Buildings and Real Estate,,41008,,,40542,,,41828,,,,
19,"M&G Chemicals, S.A. (17)",,"9.139% (L+900, 0.139% Floor)",,3/28/16,,Chemicals,,5000,,,5000,,,5000,,,,
20,"Magnetation, LLC (11)",,11.000%,,5/15/18,,Mining,,38454,,,39976,,,26629,,,,
21,"Maxus Capital Carbon SPE I, LLC (Skyonic Corp.)",,13.000%,,9/18/19,,Chemicals,,76123,,,76123,,,76123,,,,
22,"Molycorp, Inc. (17)",,10.000%,,6/1/20,,"Diversified Natural Resources, Precious Metals and Minerals",,50424,,,50017,,,28363,,,,
23,"My Alarm Center, LLC (16)",,"8.50% (L+750, 1.00% Floor)",,1/9/18,,Business Services,,42614,,,42614,,,42614,,,,
24,"My Alarm Center, LLC (16)",,"8.50% (L+750, 1.00% Floor)",,1/9/18,,Business Services,,11000,,,11000,,,11000,,,,
25,"Osage Exploration & Development, Inc. (11)(17)",,"13.00% (L+1100, 2.00% Floor)",,4/27/16,,Oil and Gas,,25000,,,24688,,,24063,,,,
26,"Panda Temple Power, LLC",,"11.50% (L+1000, 1.50% Floor)",,7/17/18,,Energy,,25500,,,25155,,,25755,,,,
27,"Pelican Energy, LLC (17)",,10.00% (7.00% Cash /3.00% PIK),,12/31/18,,Oil and Gas,,26541,,,25607,,,26541,,,,
28,"SCM Insurance Services, Inc. (17)",,9.250%,,8/22/19,,Business Services,,CAD,30000,,,27125,,,25642,,,
29,"Spotted Hawk Development, LLC",,13.00% (12.00% Cash / 1.00% PIK),,9/12/16,,Oil and Gas,,80698,,,79558,,,78681,,,,
30,"Sunrun Solar Owner IX, LLC",,9.079%,,12/31/24,,Energy,,3476,,,3332,,,3330,,,,
31,UniTek Global Services Inc.,,"9.50% (L+850, 1.00% Floor) Funded, 0.50% Unfunded",,1/21/15,,Telecommunications,,8256,,,8256,,,8256,,,,
32,Total 1st Lien Secured Debt excluding Revolvers and Letters of Credit,,,846572,,,,807473,,,,,,,,,,,
33,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  December 31, 2014  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
34,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-128.7% (18),,Interest Rate,,Maturity Date,,Industry,,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
35,Funded and Unfunded Revolver Obligations--3.9%,,,,,,,,,,,,,,,,,,
36,"Avaya, Inc., (Revolver) (16)",,5.00% (L+175 Funded) /  2.910% (L+275 Funded),,10/26/16,,Telecommunications,,,18392,,,,18392,,,,16828,
37,"Avaya, Inc., (Unfunded Revolver) (8)(16)",,0.500% Unfunded,,10/26/16,,Telecommunications,,18392,,,"(3,680",,,"(1,563",,,,
38,"BMC Software, Inc., (Unfunded Revolver) (8)",,"L+400 Funded, 0.50% Unfunded",,9/10/18,,Business Services,,20760,,,"(1,994",,,"(1,868",,,,
39,"CIT Group, Inc., (Unfunded Revolver) (8)(17)",,0.625% Unfunded,,1/27/17,,Financial Services,,25000,,,(336,,,"(1,000",,,,
40,"Confie Seguros Holding II Co., (Revolver) (16)",,"6.75% (P+350, 3.25% Floor) Funded",,12/10/18,,Insurance,,1050,,,1050,,,955,,,,
41,"Confie Seguros Holding II Co., (Unfunded Revolver) (8)(16)",,0.500% Unfunded,,12/10/18,,Insurance,,2784,,,(363,,,(251,,,,
42,"Laureate Education Inc., (Revolver) (16)(17)",,"5.00% (L+375, 1.25% Floor) Funded",,6/16/16,,Education,,28764,,,28764,,,26175,,,,
43,"Laureate Education, Inc., (Unfunded Revolver) (8)(16)(17)",,0.625% Unfunded,,6/16/16,,Education,,23,,,"(2,494",,,(2,,,,
44,"Salix Pharmaceuticals, Ltd., (Unfunded Revolver) (8)(16)(17)",,"L+300 Funded, 0.50% Unfunded",,1/2/19,,Healthcare,,24867,,,"(1,618",,,(497,,,,
45,"Tibco Software Inc., (Unfunded Revolver) (8)",,"L+400 / L+300 Funded, 0.50% Unfunded",,12/5/19,,Business Services,,6000,,,(59,,,(30,,,,
46,"Transfirst Holdings, Inc., (Unfunded Revolver) (8)(16)",,"L+450 Funded, 0.50% Unfunded",,11/12/19,,Financial Services,,2940,,,(15,,,(29,,,,
47,"UniTek Global Services, Inc., (Unfunded Revolver)",,"L+850 Funded, 0.50% Unfunded",,1/21/15,,Telecommunications,,5000,,,-,,,-,,,,
48,"UniTek Global Services, Inc., (Revolver)",,"10.25% (L+925, 1.00% Floor) Funded",,4/15/16,,Telecommunications,,38731,,,38731,,,38731,,,,
49,"Walter Energy, Inc., (Unfunded Revolver) (8)(16)(17)",,"L+550 Funded, 0.625% Unfunded",,10/1/17,,Mining,,275,,,(169,,,(48,,,,
50,Total Funded and Unfunded Revolver Obligations,,,76209,,,,77401,,,,,,,,,,,
51,Letters of Credit- (0.0)%,,,,,,,,,,,,,,,,,,
52,"Confie Seguros Holding II Co., Letter of Credit (8)(16)",,4.500%,,10/27/14,,Insurance,,,600,,,,-,,,,(54,
53,"Confie Seguros Holding II Co., Letter of Credit (8)(16)",,4.500%,,1/13/15,,Insurance,,66,,,-,,,(6,,,,
54,"Laureate Education Inc., Letter of Credit (8)(17)",,3.750%,,6/16/16,,Education,,93,,,-,,,(8,,,,
55,"Salix Pharmaceuticals, Ltd., Letter of Credit (16)(17)",,3.000%,,2/10/15,,Healthcare,,8,,,-,,,-,,,,
56,"Salix Pharmaceuticals, Ltd., Letter of Credit (8)(16)(17)",,3.000%,,2/10/15,,Healthcare,,125,,,-,,,(3,,,,
57,"Transfirst Holdings, Inc., Letter of Credit (8)(16)",,L+450,,11/12/19,,Financial Services,,60,,,-,,,(1,,,,
58,"UniTek Global Services Inc., Letter of Credit",,9.000%,,1/21/15,,Telecommunications,,17946,,,-,,,-,,,,
59,"UniTek Global Services Inc., Letter of Credit",,9.000%,,1/21/15,,Telecommunications,,1850,,,-,,,-,,,,
60,"Walter Energy, Inc., Letter of Credit (8)(9)(16)(17)",,5.500%,,9/18/14- 7/4/15,,Mining,,86,,,-,,,(15,,,,
61,"Walter Energy, Inc., Letter of Credit (8)(9)(16)(17)",,5.500%,,11/28/15- 8/31/15,,Mining,,CAD,192,,,-,,,(29,,,
62,Total Letters of Credit,,,-,,,,(116,,,,,,,,,,,
63,Total 1st Lien Secured Debt,,,922781,,,,884758,,,,,,,,,,,
64,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  December 31, 2014  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
65,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-128.7% (18),,Interest Rate,,Maturity Date,,Industry,,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
66,2nd Lien Secured Debt-45.7%,,,,,,,,,,,,,,,,,,
67,Access Information,,"9.75% (L+875, 1.00% Floor)",,10/17/22,,Business Services,,,25600,,,,24070,,,,24192,
68,"Active Network, Inc.",,"9.50% (L+850, 1.00% Floor)",,11/15/21,,Business Services,,19672,,,19584,,,19181,,,,
69,"American Energy - Utica, LLC (10)",,"11.00% (L+950, 1.50% Floor)",,9/30/18,,Oil and Gas,,6828,,,6770,,,6247,,,,
70,"Appriss Holdings, Inc.",,"9.25% (L+825, 1.00% Floor)",,5/21/21,,Business Services,,25000,,,24630,,,25000,,,,
71,"Aptean, Inc.",,"8.50% (L+750, 1.00% Floor)",,2/26/21,,Business Services,,10322,,,10181,,,9883,,,,
72,"Armor Holdings, Inc. (American Stock Transfer and Trust Company)",,"10.25% (L+900, 1.25% Floor)",,12/26/20,,Financial Services,,8000,,,7863,,,7880,,,,
73,Asurion Corporation,,"8.50% (L+750, 1.00% Floor)",,3/3/21,,Insurance,,62400,,,61529,,,62166,,,,
74,Confie Seguros Holding II Co.,,"10.25% (L+900, 1.25% Floor)",,5/8/19,,Insurance,,33844,,,33610,,,33760,,,,
