,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"APOLLO INVESTMENT CORPORATION  STATEMENTS OF ASSETS AND LIABILITIES  (In thousands, except share and per share data)",,,,,,,,,,,,,,,,,,,,
1,,"December 31, 2016",,"March 31, 2016",,,,,,,,,,,,,,,,,
2,,(Unaudited),,,,,,,,,,,,,,,,,,,
3,Assets,,,,,,,,,,,,,,,,,,,,
4,Investments at fair value:,,,,,,,,,,,,,,,,,,,,
5,"Non-controlled/non-affiliated investments (cost - $1,622,942 and $2,052,896, respectively)",,1450491,,,,1790294,,,,,,,,,,,,,,
6,"Non-controlled/affiliated investments (cost - $506,324 and $216,202, respectively)",330153,,,272558,,,,,,,,,,,,,,,,
7,"Controlled investments (cost - $747,753 and $829,029, respectively)",745689,,,853977,,,,,,,,,,,,,,,,
8,"Total investments at fair value (cost - $2,877,019 and $3,098,127, respectively)",2526333,,,2916829,,,,,,,,,,,,,,,,
9,"Derivative assets (cost - $4,395 and $0, respectively)",1910,,,-,,,,,,,,,,,,,,,,
10,Cash,50307,,,16521,,,,,,,,,,,,,,,,
11,"Foreign currencies (cost - $1,568 and $2,354, respectively)",1534,,,2384,,,,,,,,,,,,,,,,
12,Restricted cash,7080,,,-,,,,,,,,,,,,,,,,
13,Receivable for investments sold,1023,,,79625,,,,,,,,,,,,,,,,
14,Interest receivable,23840,,,29749,,,,,,,,,,,,,,,,
15,Dividends receivable,4261,,,9509,,,,,,,,,,,,,,,,
16,Deferred financing costs,18679,,,14497,,,,,,,,,,,,,,,,
17,Prepaid expenses and other assets,502,,,9523,,,,,,,,,,,,,,,,
18,Total Assets,,2635469,,,,3078637,,,,,,,,,,,,,,
19,Liabilities,,,,,,,,,,,,,,,,,,,,
20,Debt,,1033958,,,,1312960,,,,,,,,,,,,,,
21,"Derivative liabilities (proceeds - $3,555 and $0, respectively)",5117,,,-,,,,,,,,,,,,,,,,
22,Payable for investments purchased,16858,,,25091,,,,,,,,,,,,,,,,
23,Distributions payable,32954,,,45231,,,,,,,,,,,,,,,,
24,Management and performance-based incentive fees payable,20896,,,31124,,,,,,,,,,,,,,,,
25,Interest payable,10870,,,7444,,,,,,,,,,,,,,,,
26,Accrued administrative services expense,1136,,,2015,,,,,,,,,,,,,,,,
27,Other liabilities and accrued expenses,6981,,,9191,,,,,,,,,,,,,,,,
28,Total Liabilities,,1128770,,,,1433056,,,,,,,,,,,,,,
29,Commitments and contingencies (Note 10),,,,,,,,,,,,,,,,,,,,
30,Net Assets,,1506699,,,,1645581,,,,,,,,,,,,,,
31,Net Assets,,,,,,,,,,,,,,,,,,,,
32,"Common stock, $0.001 par value (400,000,000 shares authorized; 219,694,654 and 226,156,496 shares issued and outstanding, respectively)",,220,,,,226,,,,,,,,,,,,,,
33,Paid-in capital in excess of par,2989011,,,3026922,,,,,,,,,,,,,,,,
34,Accumulated underdistributed net investment income,71901,,,71231,,,,,,,,,,,,,,,,
35,Accumulated net realized loss,"(1,243,448",,,"(1,288,141",,,,,,,,,,,,,,,,
36,Net unrealized loss,"(310,985",,,"(164,657",,,,,,,,,,,,,,,,
37,Net Assets,,1506699,,,,1645581,,,,,,,,,,,,,,
38,Net Asset Value Per Share,,6.86,,,,7.28,,,,,,,,,,,,,,
39,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,,,
40,Non-Controlled/Non-Affiliated Investments,,,,,,,,,,,,,,,,,,,,
41,Corporate Debt,,,,,,,,,,,,,,,,,,,,
42,Secured Debt,,,,,,,,,,,,,,,,,,,,
43,First Lien Secured Debt,,,,,,,,,,,,,,,,,,,,
44,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,,,,,,,,,,,,,,,
45,"American Media, Inc. (16)",,"Advertising, Printing & Publishing",,"8.50% (1M L+750, 1.00% Floor)",,8/24/20,,,10400,,,,10115,,,,10088,,,
46,Aptevo Therapeutics Inc. (9)(16)(23),,Healthcare & Pharmaceuticals,,8.13% (3M L+760),,2/1/21,,8571,,,8576,,,8483,,,,,,
47,"Aptevo Therapeutics Inc., Unfunded Delayed Draw (8)(9)(16)(21)(23)",,Healthcare & Pharmaceuticals,,0.00% Unfunded,,2/1/21,,6429,,,(29,,,(66,,,,,,
48,ChyronHego Corporation (18),,High Tech Industries,,"7.43% (3M L+643, 1.00% Floor)",,3/9/20,,36553,,,36000,,,35822,,,,,,
49,Dodge Data & Analytics LLC,,Business Services,,"9.75% (3M L+875, 1.00% Floor)",,10/31/19,,51990,,,51344,,,50561,,,,,,
50,ECN Holding Company (Emergency Communications Network) (16)(18),,High Tech Industries,,"9.50% (3M L+850, 1.00% Floor)",,6/12/21,,11109,,,10980,,,10940,,,,,,
51,ECN Holding Company (Emergency Communications Network) (16)(18),,High Tech Industries,,"9.50% (6M L+850, 1.00% Floor)",,6/12/21,,11109,,,10980,,,10940,,,,,,
52,Garden Fresh Restaurant Corp. (16),,"Hotel, Gaming, Leisure, Restaurants",,"10.50% (1M L+900, 1.50% Floor)",,7/3/18,,2500,,,2500,,,2500,,,,,,
53,LabVantage Solutions Inc.,,High Tech Industries,,"9.00% (3M L+800, 1.00% Floor)",,12/29/20,,14625,,,14244,,,14333,,,,,,
54,LabVantage Solutions Limited (16)(17),,High Tech Industries,,"9.00% (3M E+800, 1.00% Floor)",,12/29/20,,€,13398,,,14012,,,13849,,,,,
55,"Magnetation, LLC (14)(26)",,Metals & Mining,,12.00% PIK,,N/A,,14296,,,12427,,,-,,,,,,
56,"Maxus Capital Carbon SPE I, LLC",,"Chemicals, Plastics & Rubber",,13.00%,,12/31/18,,59305,,,59305,,,51391,,,,,,
57,"My Alarm Center, LLC, Term Loan A (16)",,Business Services,,"9.00% (1M L+800, 1.00% Floor)",,1/9/19,,28035,,,28036,,,28035,,,,,,
58,"My Alarm Center, LLC, Term Loan B (16)(23)",,Business Services,,"9.00% (1M L+800, 1.00% Floor)",,1/9/19,,7972,,,7972,,,7972,,,,,,
59,"My Alarm Center, LLC, Term Loan B(16)(23)",,Business Services,,11.00% (P+700),,1/9/19,,348,,,348,,,348,,,,,,
