,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,"APOLLO INVESTMENT CORPORATION  STATEMENTS OF ASSETS AND LIABILITIES  (In thousands, except share and per share data)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"December 31, 2019",,"March 31, 2019",,,,,,,,,,,,,,,,,,,,,,,
2,,(Unaudited),,,,,,,,,,,,,,,,,,,,,,,,,
3,Assets,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Investments at fair value:,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Non-controlled/non-affiliated investments (cos  t - $2,285,650 an  d $1,654,322, respectively)",,2256200,,,,1627406,,,,,,,,,,,,,,,,,,,,
6,"Non-controlled/affiliated investments (cost - $133,246 and $67,072, respectively)",93732,,,49681,,,,,,,,,,,,,,,,,,,,,,
7,"Controlled investments (cost  - $656,560  and $736,717, respectively)",617265,,,731045,,,,,,,,,,,,,,,,,,,,,,
8,Cash and cash equivalents,36310,,,36280,,,,,,,,,,,,,,,,,,,,,,
9,"Foreign currencies (cost - $5,839 and $4,963, respectively)",5916,,,4909,,,,,,,,,,,,,,,,,,,,,,
10,Receivable for investments sold,5686,,,336,,,,,,,,,,,,,,,,,,,,,,
11,Interest receivable,18936,,,24280,,,,,,,,,,,,,,,,,,,,,,
12,Dividends receivable,4702,,,3748,,,,,,,,,,,,,,,,,,,,,,
13,Deferred financing costs,16797,,,19776,,,,,,,,,,,,,,,,,,,,,,
14,Prepaid expenses and other assets,4480,,,336,,,,,,,,,,,,,,,,,,,,,,
15,Total Assets,,3060024,,,,2497797,,,,,,,,,,,,,,,,,,,,
16,Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Debt,,1785637,,,,1128686,,,,,,,,,,,,,,,,,,,,
18,Payable for investments purchased,800,,,677,,,,,,,,,,,,,,,,,,,,,,
19,Distributions payable,29946,,,31040,,,,,,,,,,,,,,,,,,,,,,
20,Management and performance-based incentive fees payable,10414,,,8880,,,,,,,,,,,,,,,,,,,,,,
21,Interest payable,8138,,,5818,,,,,,,,,,,,,,,,,,,,,,
22,Accrued administrative services expense,2576,,,2983,,,,,,,,,,,,,,,,,,,,,,
23,Other liabilities and accrued expenses,6631,,,7086,,,,,,,,,,,,,,,,,,,,,,
24,Total Liabilities,,1844142,,,,1185170,,,,,,,,,,,,,,,,,,,,
25,Commitments and contingencies (Note 10),,,,,,,,,,,,,,,,,,,,,,,,,,
26,Net Assets,,1215882,,,,1312627,,,,,,,,,,,,,,,,,,,,
27,Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Common stock, $0.001 par value (130,000,000 and 400,000,000 shares authorized; 66,545,741 and 68,876,986 shares issued and outstanding, respectively)",,66,,,,69,,,,,,,,,,,,,,,,,,,,
29,Capital in excess of par value,2118652,,,2155836,,,,,,,,,,,,,,,,,,,,,,
30,Accumulated under-distributed (over-distributed) earnings,"(902,836",,,"(843,278",,,,,,,,,,,,,,,,,,,,,,
31,Net Assets,,1215882,,,,1312627,,,,,,,,,,,,,,,,,,,,
32,Net Asset Value Per Share,,18.27,,,,19.06,,,,,,,,,,,,,,,,,,,,
33,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (26),,,Fair Value (1)(27),,,,,,,,,,,,,
34,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,,,,,,,
35,Learfield Communications,,,,,,,,,,,,,,,,,,,,,,,,,,
36,A-L Parent LLC,,Second Lien Secured Debt,,"9.05% (1M L+725, 1.00% Floor)",,12/02/24,,,5536,,,,5502,,,,,4913,,,,,,,,
37,"Simplifi Holdings, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Simplifi Holdings, Inc.",,First Lien Secured Debt,,"7.55% (1M L+575, 1.00% Floor)",,08/02/25,,36491,,,35866,,,,35761,,,(9),,,,,,,,
39,,,First Lien Secured Debt,,"7.44% (1M L+575, 1.00% Floor)",,08/04/25,,2436,,,2390,,,,2353,,,(9),,,,,,,,
40,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,08/02/25,,2400,,,(51,,,,(48,,,(8)(9)(21)(23),,,,,,,,
41,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.50% Unfunded,,08/02/25,,6091,,,(60,,,,(87,,,(8)(9)(21)(23),,,,,,,,
42,,,,,,,,,,,,38145,,,,37979,,,,,,,,,,,
43,"Total Advertising, Printing & Publishing",,,,43647,,,,,42892,,,,,,,,,,,,,,,,,
44,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Erickson Inc,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Erickson Inc,,First Lien Secured Debt - Revolver,,"9.60% (3M L+750, 1.00% Floor)",,04/28/22,,,30801,,,,30801,,,,,30262,,,(9)(23),,,,,
47,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,04/28/22,,7526,,,(261,,,,(132,,,(8)(9)(21)(23),,,,,,,,
48,,,First Lien Secured Debt - Letters of Credit,,7.50%,,01/31/20 - 10/01/20,,6673,,,-,,,,(115,,,(8)(9)(23),,,,,,,,
49,,,,,,,,,,,,30540,,,,30015,,,,,,,,,,,
50,ILC Dover LP,,,,,,,,,,,,,,,,,,,,,,,,,,
51,ILC Dover LP,,Second Lien Secured Debt,,"10.30% (1M L+850, 1.00% Floor)",,06/28/24,,7800,,,7678,,,,7761,,,,,,,,,,,
52,PAE Holding Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PAE Holding Corporation,,Second Lien Secured Debt,,"11.35% (2M L+950, 1.00% Floor)",,10/20/23,,28097,,,27629,,,,27745,,,(10),,,,,,,,
54,Total Aerospace & Defense,,,,65847,,,,,65521,,,,,,,,,,,,,,,,,
55,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Accelerate Parent Corp. (American Tire),,,,,,,,,,,,,,,,,,,,,,,,,,
57,Accelerate Parent Corp.,,Common Equity/Interests - Common Stock,,N/A,,N/A,,"1,664,046 Shares",,,,1714,,,,,-,,,(13)(19),,,,,,
58,Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Arlington Industries Group Limited,,First Lien Secured Debt,,"5.75% (1M E+525, 0.50% Floor)",,03/29/24,,€,3297,,,3693,,,,3604,,,(9)(17),,,,,,,
60,,,First Lien Secured Debt,,"5.96% (1M GBPL+525, 0.50% Floor)",,03/29/24,,£,7841,,,9986,,,,10116,,,(9)(17),,,,,,,
61,,,First Lien Secured Debt - Unfunded Revolver,,1.25% Unfunded,,03/29/24,,£,2700,,,(61,,,,(96,,,(8)(9)(17)(21)(23),,,,,,,
62,,,First Lien Secured Debt - Unfunded Delayed Draw,,1.00% Unfunded,,03/29/24,,£,1300,,,(29,,,,(45,,,(8)(9)(17)(21)(23),,,,,,,
63,,,,,,,,,,,,13589,,,,13579,,,,,,,,,,,
64,Crowne Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Vari-Form Group, LLC",,First Lien Secured Debt,,L+11.00% (7.00% Cash plus 4.00% PIK),,02/02/23,,,5860,,,938,,,,762,,,(9)(13)(14),,,,,,,
66,Vari-Form Inc.,,First Lien Secured Debt,,L+11.00% (7.00% Cash plus 4.00% PIK),,02/02/23,,2446,,,391,,,,318,,,(9)(13)(14),,,,,,,,
67,,,,,,,,,,,,1329,,,,1080,,,,,,,,,,,
68,"K&N Parent, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,
69,"K&N Parent, Inc.",,Second Lien Secured Debt,,"10.55% (1M L+875, 1.00% Floor)",,10/21/24,,23765,,,23474,,,,22683,,,,,,,,,,,
70,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (26),,,Fair Value (1)(27),,,,,,,,,,,,,
71,"Truck-Lite Co., LLC",,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Truck-Lite Co., LLC",,First Lien Secured Debt,,"8.14% (3M L+625, 1.00% Floor)",,12/14/26,,77647,,,75720,,,,75720,,,(9),,,,,,,,
73,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,12/13/24,,7993,,,(198,,,,(200,,,(8)(9)(21)(23),,,,,,,,
74,,,First Lien Secured Debt - Unfunded Delayed Draw,,1.00% Unfunded,,12/14/26,,11419,,,(283,,,,(285,,,(8)(9)(21)(23),,,,,,,,
75,"TL Lighting Holdings, LLC",,Common Equity/Interests - Equity,,N/A,,N/A,,350 Shares,,,350,,,,350,,,(9)(13),,,,,,,,
76,,,,,,,,,,,,75589,,,,75585,,,,,,,,,,,
77,Total Automotive,,,,115695,,,,,112927,,,,,,,,,,,,,,,,,
78,Aviation and Consumer Transport,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Merx Aviation Finance, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Merx Aviation Finance, LLC (5)",,First Lien Secured Debt - Revolver,,12.00%,,10/31/23,,,305300,,,,305300,,,,,305300,,,(23),,,,,
81,,,First Lien Secured Debt - Letter of Credit,,2.25%,,07/13/20,,177,,,-,,,,-,,,(23),,,,,,,,
82,,,Common Equity - Membership Interests,,N/A,,N/A,,N/A,,,15000,,,,57760,,,,,,,,,,,
83,,,,,,,,,,,,320300,,,,363060,,,,,,,,,,,
84,Primeflight,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"PrimeFlight Aviation Services, Inc.",,First Lien Secured Debt,,"7.24% (1M L+550, 1.00% Floor)",,05/09/24,,12450,,,12266,,,,12266,,,(9),,,,,,,,
86,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.50% Unfunded,,05/09/24,,5133,,,(98,,,,(103,,,(8)(9)(21)(23),,,,,,,,
87,,,,,,,,,,,,12168,,,,12163,,,,,,,,,,,
88,Total Aviation and Consumer Transport,,,,332468,,,,,375223,,,,,,,,,,,,,,,,,
89,"Beverage, Food & Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,
90,Bolthouse Farms,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Wm. Bolthouse Farms, Inc.",,Common Equity/Interests - Common Stock,,N/A,,N/A,,"1,000,000 Shares",,,,1000,,,,,1000,,,(13),,,,,,
92,Eagle Foods,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Eagle Foods Family Group, LLC",,First Lien Secured Debt,,"8.43% (6M L+650, 1.00% Floor)",,06/14/24,,,24562,,,24357,,,,23826,,,(9),,,,,,,
94,,,First Lien Secured Debt,,"8.44% (3M L+650, 1.00% Floor)",,06/14/24,,63,,,62,,,,61,,,(9),,,,,,,,
95,,,First Lien Secured Debt - Revolver,,"8.70% (6M L+650, 1.00% Floor)",,06/14/23,,333,,,333,,,,323,,,(9)(23),,,,,,,,
96,,,First Lien Secured Debt - Revolver,,"8.71% (6M L+650, 1.00% Floor)",,06/14/23,,83,,,83,,,,81,,,(9)(23),,,,,,,,
97,,,First Lien Secured Debt - Revolver,,"8.72% (6M L+650, 1.00% Floor)",,06/14/23,,250,,,250,,,,243,,,(9)(23),,,,,,,,
98,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,06/14/23,,3083,,,(29,,,,(93,,,(8)(9)(21)(23),,,,,,,,
99,,,,,,,,,,,,25056,,,,24441,,,,,,,,,,,
100,"Florida Food Products, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,
101,"Florida Food Products, Inc.",,First Lien Secured Debt,,"8.55% (1M L+675, 1.00% Floor)",,09/08/25,,22997,,,22529,,,,22767,,,(9),,,,,,,,
