,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,,,"December 31, 2022",,,"March 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Investments at fair value:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Non-controlled/non-affiliated investments (cost 0 $  2,019,573  and $  2,001,907  , respectively)",,,,1960199,,,,,1977647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Non-controlled/affiliated investments (cost 0 $  121,307  and $  130,866  , respectively)",,,,49141,,,,,63709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Controlled investments (cost 0 $  466,294  and $  613,056  , respectively)",,,,388780,,,,,481817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Cash and cash equivalents,,,,84713,,,,,30033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Foreign currencies (cost 0 $  2,404  and $  601  , respectively)",,,,2378,,,,,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Receivable for investments sold,,,,3100,,,,,7989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Interest receivable,,,,17169,,,,,15554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Dividends receivable,,,,4836,,,,,5083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Deferred financing costs,,,,13403,,,,,17005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Prepaid expenses and other assets,,,,1797,,,,,719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Total Assets,,,,2525516,,,,,2600121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Debt,,,,1483394,,,,,1550608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Distributions payable,,,,24217,,,,,22913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Management and performance-based incentive fees payable,,,,9060,,,,,9912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Interest payable,,,,13546,,,,,3335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Accrued administrative services expense,,,,748,,,,,897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Other liabilities and accrued expenses,,,,6445,,,,,7624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Total Liabilities,,,,1537410,,,,,1595289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Commitments and contingencies (Note 9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Net Assets,,,,988106,,,,,1004832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Common stock, $  0.001  par value (  130,000,000  shares authorized;  65,451,359  and  63,647,240  shares issued and outstanding, respectively)",,,,65,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Capital in excess of par value,,,,2107120,,,,,2078760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Accumulated under-distributed (over-distributed) earnings,,,,"(  1,119,079",,,,,"(  1,073,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Net Assets,,,,988106,,,,,1004832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Net Asset Value Per Share,,,,15.10,,,,,15.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,FingerPaint Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,KL Charlie Acquisition Company,,First Lien Secured Debt,,,"L+  625  ,  1.00   Floor",,12/30/26,,,,23520,,,,,23188,,,,,23166,,,(9)(28),,,,,,,,,,,,,,,,,,,,
34,,,First Lien Secured Debt - Revolver,,,P+  525,,12/30/26,,,,1962,,,,,407,,,,,402,,,(9)(21)(23)(25),,,,,,,,,,,,,,,,,,,,
35,"KL Charlie Co-Invest, L.P.",,Common Equity - Common Stock,,,N/A,,N/A,,,"218,978  Shares",,,,,219,,,,,346,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,23814,,,,,23914,,,,,,,,,,,,,,,,,,,,,,,
37,Hero Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"HRO (Hero Digital) Holdings, LLC",,First Lien Secured Debt,,,"L+  600  ,  1.00   Floor",,11/18/28,,,,27038,,,,,18990,,,,,18330,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
39,,,First Lien Secured Debt - Revolver,,,"L+  600  ,  1.00   Floor",,11/18/26,,,,2553,,,,,904,,,,,843,,,(9)(20)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,
40,HRO Holdings I LP,,Common Equity - Common Stock,,,N/A,,N/A,,,213  Shares,,,,,213,,,,,126,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,20107,,,,,19299,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,"Total Advertising, Printing & Publishing",,,,,43921,,,,,43213,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Erickson Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Erickson Inc,,First Lien Secured Debt - Revolver,,,"SOFR+  800  ,  1.00   Floor",,05/20/24,,,,25500,,,,,13659,,,,,13427,,,(9)(20)(21)(23)  (31),,,,,,,,,,,,,,,,,,,,
46,,,,,,,Total Aerospace & Defense,,,,,13659,,,,,13427,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Club Car Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Club Car Wash Operating, LLC",,First Lien Secured Debt,,,"SOFR+  650  ,  1.00   Floor",,06/16/27,,,,29738,,,,,27432,,,,,27271,,,(9)(21)(23)(32),,,,,,,,,,,,,,,,,,,,
50,,,First Lien Secured Debt - Revolver,,,"SOFR+  650  ,  1.00   Floor",,06/16/27,,,,2438,,,,,(  32,,,,,(  47,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,27400,,,,,27224,,,,,,,,,,,,,,,,,,,,,,,
52,Crowne Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Vari-Form Group, LLC",,First Lien Secured Debt,,,11.00   (  7.00   Cash plus  4.00   PIK),,02/02/23,,,,5860,,,,,893,,,,,264,,,(9)(14)(28),,,,,,,,,,,,,,,,,,,,
54,Vari-Form Inc.,,First Lien Secured Debt,,,11.00   (  7.00   Cash plus  4.00   PIK),,02/02/23,,,,2110,,,,,391,,,,,95,,,(9)(14)(28),,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,1284,,,,,359,,,,,,,,,,,,,,,,,,,,,,,
56,"K&N Parent, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"K&N Parent, Inc.",,Second Lien Secured Debt,,,8.75,,10/21/24,,,,23765,,,,,23621,,,,,1402,,,(14)(28),,,,,,,,,,,,,,,,,,,,
58,"Truck-Lite Co., LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"TL Lighting Holdings, LLC",,Common Equity - Equity,,,N/A,,N/A,,,350  Shares,,,,,350,,,,,410,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
60,"Truck-Lite Co., LLC",,First Lien Secured Debt,,,"SOFR+  625  ,  1.00   Floor",,12/14/26,,,,31735,,,,,31280,,,,,31077,,,(9)(33),,,,,,,,,,,,,,,,,,,,
61,,,First Lien Secured Debt - Revolver,,,"SOFR+  625  ,  1.00   Floor",,12/13/24,,,,3052,,,,,0,,,,,(  33,,,(8)(9)(20)(21)  (23),,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,31630,,,,,31454,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,Total Automotive,,,,,83935,,,,,60439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Aviation and Consumer Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Merx Aviation Finance, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Merx Aviation Finance, LLC (5)",,First Lien Secured Debt - Revolver,,,10.00,,10/31/23,,,,204677,,,,,150000,,,,,150000,,,(20)(23),,,,,,,,,,,,,,,,,,,,
67,,,Common Equity - Membership Interests,,,N/A,,N/A,,,,,,,,146500,,,,,111446,,,(24),,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,296500,,,,,261446,,,,,,,,,,,,,,,,,,,,,,,
69,PrimeFlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
