,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED  INVESTMENTS 0140.3,,Industry,,Par  Amount*,,,Cost,,,Fair  Value (1),,,,,,,,,,,,
1,CORPORATE DEBT0133.8,,,,,,,,,,,,,,,,,,,,,,
2,SECURED DEBT071.0,,,,,,,,,,,,,,,,,,,,,,
3,1st Lien Secured Debt028.8,,,,,,,,,,,,,,,,,,,,,,
4,"Amaya Gaming Group, Inc., L+775 11/05/15",,Consumer Products,,,14625,,,,14448,,,,14625,,,,,,,,,
5,"Avaya, Inc., 9.00, 04/01/19   ̈",,Telecommunications,,,20500,,,,21116,,,,19543,,,,,,,,,
6,"Aveta, Inc., L+825, 12/12/17",,Healthcare,,,67854,,,,66002,,,,68448,,,,,,,,,
7,"Caza Petroleum Inc., L+1000, 5/23/17",,Energy,,,20000,,,,19345,,,,19069,,,,,,,,,
8,"Dark Castle Holdings, LLC, L+225, 3/25/13",,Media,,,33715,,,,10489,,,,12604,,,,,,,,,
9,"Delta Educational Systems, Inc., 16.00 (8.00 Cash/8.00 PIK), 12/11/2016",,Education,,,5118,,,,5118,,,,5118,,,,,,,,,
10,"Endeavour International Corp., 12.00, 03/01/18† ‡",,Oil & Gas,,,17665,,,,17046,,,,16958,,,,,,,,,
11,"Endeavour International Corp., L + 13.00, 6/30/14† ‡",,Oil & Gas,,,30000,,,,30650,,,,30450,,,,,,,,,
12,"Evergreen Tank Solutions, Inc., L+800, 9/28/18 †",,Manufacturing,,,31200,,,,30632,,,,31044,,,,,,,,,
13,"Evergreen Tank Solutions, Inc., L+800, 9/28/18 †",,Manufacturing,,,5548,,,,5548,,,,5521,,,,,,,,,
14,"Garden Fresh Restaurant Corp., P+675 (P+425 Cash/0.5 PIK/2.0 default rate), 08/09/13 †",,Retail,,,2508,,,,2508,,,,2508,,,,,,,,,
15,"Garden Fresh Restaurant Corp., P+775 (P+525 Cash/0.5 PIK/2.0 default rate), 08/09/13 †",,Retail,,,2508,,,,2434,,,,2508,,,,,,,,,
16,"Magnetation, LLC, 11 05/15/18   ̈",,Mining,,,32750,,,,32967,,,,32259,,,,,,,,,
17,"Maxus Capital Carbon SPE I, LLC (Skyonic Corp.), 13.00, 9/18/19",,Chemicals,,,60000,,,,60000,,,,60000,,,,,,,,,
18,"Miller Energy Resources, Inc., 18.00 (15.00 Cash/3.00 PIK Option), 6/29/17",,Energy,,,55307,,,,55307,,,,55307,,,,,,,,,
19,"Nara Cable Funding Limited, 8.875, 12/01/18   ̈  ‡",,Broadcasting &  Entertainment,,,6284,,,,5451,,,,6457,,,,,,,,,
20,"New Publishing Holdings (F&W Media), L+650, 06/30/18",,Printing &  Publishing,,,16000,,,,14720,,,,15600,,,,,,,,,
21,"Osage Exploration & Development, Inc., L+1500, 4/27/2015 ‡",,Energy,,,13000,,,,12775,,,,13000,,,,,,,,,
22,"Panda Sherman Power, LLC, L+750, 9/14/18",,Power,,,15000,,,,14798,,,,15337,,,,,,,,,
23,"Panda Temple Power, LLC, L+1000, 7/18/18",,Power,,,25500,,,,25047,,,,25946,,,,,,,,,
24,"Pelican Energy, LLC, 10.00 (7 Cash / 3 PIK), 12/31/18 ‡",,Energy,,,11627,,,,11271,,,,11859,,,,,,,,,
25,"Spotted Hawk Development LLC, 14.00 (13.00 Cash/ 1.00 PIK), 6/30/16 ‡",,Energy,,,24063,,,,23310,,,,23101,,,,,,,,,
26,"Sunrun Solar Owner IX, LLC, 9.079, 12/31/24",,Energy,,,3353,,,,3203,,,,3202,,,,,,,,,
27,"Texas Competitive Electric Holdings, 11.50, 10/01/20   ̈",,Utilities,,,50000,,,,49699,,,,37542,,,,,,,,,
28,Total 1st Lien Secured Debt,,,,,,,,,533884,,,,528006,,,,,,,,,
29,2nd Lien Secured Debt042.2,,,,,,,,,,,,,,,,,,,,,,
30,"AI Chem & Cy US AcquiCo, Inc. (Monarch), L +700, 03/20/20 ‡",,Chemicals,,,5000,,,,4976,,,,5025,,,,,,,,,
31,"Allied Security Holdings, LLC, L+825, 2/2/18",,Business Services,,,31000,,,,30773,,,,31388,,,,,,,,,
32,"Amor Holdings, Inc. (American Stock Transfer and Trust Company), L+900, 12/22/20",,Financial Services,,,8000,,,,7840,,,,7980,,,,,,,,,
33,"Ardent Medical Services, Inc., L+950 01/02/19",,Healthcare,,,20000,,,,19530,,,,20325,,,,,,,,,
34,"Arysta Lifescience Corporation, L+700 11/22/20 ‡",,Chemicals,,,17133,,,,16963,,,,16994,,,,,,,,,
35,"Avaya, Inc., 10.5 Cash 03/01/21   ̈",,Telecommunications,,,16577,,,,15850,,,,12571,,,,,,,,,
