,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2015  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
1,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0123.2(10),,Interest Rate,,Maturity Date,,Industry (9),,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
2,"Pelican Energy, LLC (17)",,10.000 (7.000 Cash / 3.000 PIK),,12/31/18,,Energy – Oil & Gas,,,27884,,,,26993,,,,26211,
3,"Saba Software, Inc. (18)",,"9.750 (L+875, 1.00 Floor)",,3/30/21,,High Tech Industries,,10000,,,10000,,,9850,,,,
4,"SCM Insurance Services, Inc. (17)",,9.250,,8/22/19,,Business Services,,C$,33000,,,29592,,,26301,,,
5,"Spotted Hawk Development, LLC",,19.000 (13.000 Cash / 6.000 PIK),,9/12/16,,Energy – Oil & Gas,,,81851,,,81851,,,80132,,,
6,Telestream Holdings Corporation (18),,"7.430 (L+643, 1.00 Floor)",,1/15/20,,High Tech Industries,,32297,,,32297,,,31570,,,,
7,UniTek Global Services Inc. (16),,"8.500 (L+750, 1.00 Floor)",,1/13/19,,Telecommunications,,32367,,,32367,,,30748,,,,
8,UniTek Global Services Inc. (16),,"9.500 (L+750, 1.000 PIK, 1.00 Floor)",,1/13/19,,Telecommunications,,19452,,,19452,,,19452,,,,
9,"Venoco, Inc.",,12.000,,2/15/19,,Energy – Oil & Gas,,40517,,,40517,,,41530,,,,
10,Total 1st Lien Secured Debt excluding Revolvers and Letters of Credit,,,873199,,,,824165,,,,,,,,,,,
11,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2015  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
12,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0123.2(10),,Interest Rate,,Maturity Date,,Industry (9),,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
13,Funded and Unfunded Revolver Obligations01.2,,,,,,,,,,,,,,,,,,
14,"Avaya, Inc., (Revolver)",,"2.933 (L+275, 0.19 Floor) Funded",,10/26/16,,Telecommunications,,,3303,,,,3060,,,,3171,
15,"BMC Software, Inc., (Unfunded Revolver) (8)",,0.500 Unfunded,,9/10/18,,High Tech Industries,,20760,,,"(1,719",,,"(1,868",,,,
16,"CIT Group, Inc., (Unfunded Revolver) (8)(17)",,0.625 Unfunded,,1/27/17,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,25000,,,(34,,,(880,,,,
17,"Confie Seguros Holding II Co., (Revolver) (16)",,"4.672 (L+450, 0.17 Floor) / 6.750 (P+350, 3.25 Floor) Funded",,12/10/18,,Insurance,,1250,,,1250,,,1113,,,,
18,"Confie Seguros Holding II Co., (Unfunded Revolver) (8)(16)",,0.500 Unfunded,,12/10/18,,Insurance,,2172,,,(317,,,(239,,,,
19,"Laureate Education, Inc., (Revolver) (16)(17)",,"5.000 (L+375, 1.25 Floor & L+275, 3.25 Floor) Funded",,6/16/16,,Education,,21833,,,21833,,,20851,,,,
20,"Laureate Education, Inc., (Unfunded Revolver) (8)(16)(17)",,0.625 Unfunded,,6/16/16,,Education,,6945,,,"(1,646",,,(313,,,,
21,"My Alarm Center, LLC, (Revolver) (16)",,"L+800, 1.000 Floor",,1/9/18,,Business Services,,708,,,708,,,708,,,,
22,"My Alarm Center, LLC, (Unfunded Revolver) (16)",,0.350 Unfunded,,1/9/18,,Business Services,,5542,,,0,,,0,,,,
23,"Tibco Software Inc., (Unfunded Revolver) (8)",,0.500 Unfunded,,12/5/19,,High Tech Industries,,6000,,,(53,,,(450,,,,
24,"Transfirst Holdings, Inc., (Unfunded Revolver) (8)(16)",,0.500 Unfunded,,11/12/19,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,2943,,,(13,,,(88,,,,
25,"UniTek Global Services Inc., (Unfunded Revolver) (16)",,0.500 Unfunded,,1/13/19,,Telecommunications,,5000,,,0,,,0,,,,
