,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,"APOLLO INVESTMENT CORPORATION  STATEMENTS OF ASSETS AND LIABILITIES  (In thousands, except share and per share data)",,,,,,,,,,,,,,,,,,,,,
1,,"June 30, 2017",,"March 31, 2017",,,,,,,,,,,,,,,,,,
2,,(Unaudited),,,,,,,,,,,,,,,,,,,,
3,Assets,,,,,,,,,,,,,,,,,,,,,
4,Investments at fair value:,,,,,,,,,,,,,,,,,,,,,
5,"Non-controlled/non-affiliated investments (cost - $1,493,015 and $1,510,980, respectively)",,1475682,,,,1402409,,,,,,,,,,,,,,,
6,"Non-controlled/affiliated investments (cost - $242,840 and $417,471, respectively)",220149,,,239050,,,,,,,,,,,,,,,,,
7,"Controlled investments (cost - $729,539 and $676,972, respectively)",720748,,,675249,,,,,,,,,,,,,,,,,
8,"Total investments at fair value (cost - $2,465,394 and $2,605,423, respectively)",2416579,,,2316708,,,,,,,,,,,,,,,,,
9,Cash and cash equivalents,29853,,,9783,,,,,,,,,,,,,,,,,
10,"Foreign currencies (cost - $2,801 and $1,494, respectively)",2837,,,1497,,,,,,,,,,,,,,,,,
11,Receivable for investments sold,4812,,,40226,,,,,,,,,,,,,,,,,
12,Interest receivable,18709,,,17072,,,,,,,,,,,,,,,,,
13,Dividends receivable,3163,,,6489,,,,,,,,,,,,,,,,,
14,Deferred financing costs,16633,,,17632,,,,,,,,,,,,,,,,,
15,Prepaid expenses and other assets,857,,,713,,,,,,,,,,,,,,,,,
16,Total Assets,,2493443,,,,2410120,,,,,,,,,,,,,,,
17,Liabilities,,,,,,,,,,,,,,,,,,,,,
18,Debt,,920674,,,,848449,,,,,,,,,,,,,,,
19,Payable for investments purchased,26109,,,13970,,,,,,,,,,,,,,,,,
20,Distributions payable,32954,,,32954,,,,,,,,,,,,,,,,,
21,Management and performance-based incentive fees payable,17345,,,16306,,,,,,,,,,,,,,,,,
22,Interest payable,11612,,,7319,,,,,,,,,,,,,,,,,
23,Accrued administrative services expense,1166,,,2250,,,,,,,,,,,,,,,,,
24,Other liabilities and accrued expenses,5959,,,7075,,,,,,,,,,,,,,,,,
25,Total Liabilities,,1015819,,,,928323,,,,,,,,,,,,,,,
26,Commitments and contingencies (Note 8),,,,,,,,,,,,,,,,,,,,,
27,Net Assets,,1477624,,,,1481797,,,,,,,,,,,,,,,
28,Net Assets,,,,,,,,,,,,,,,,,,,,,
29,"Common stock, $0.001 par value (400,000,000 shares authorized; 219,694,654 and 219,694,654 shares issued and outstanding, respectively)",,220,,,,220,,,,,,,,,,,,,,,
30,Paid-in capital in excess of par,2924775,,,2924775,,,,,,,,,,,,,,,,,
31,Accumulated underdistributed net investment income,88500,,,88134,,,,,,,,,,,,,,,,,
32,Accumulated net realized loss,"(1,511,380",,,"(1,277,625",,,,,,,,,,,,,,,,,
33,Net unrealized loss,"(24,491",,,"(253,707",,,,,,,,,,,,,,,,,
34,Net Assets,,1477624,,,,1481797,,,,,,,,,,,,,,,
35,Net Asset Value Per Share,,6.73,,,,6.74,,,,,,,,,,,,,,,
36,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,,,,
37,Non-Controlled/Non-Affiliated Investments,,,,,,,,,,,,,,,,,,,,,
38,Corporate Debt,,,,,,,,,,,,,,,,,,,,,
39,Secured Debt,,,,,,,,,,,,,,,,,,,,,
40,First Lien Secured Debt,,,,,,,,,,,,,,,,,,,,,
41,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,,,,,,,,,,,,,,,,
42,Altasciences / 9360-1367 Quebec Inc. (9)(16)(17),,Healthcare & Pharmaceuticals,,"7.55% (1M L+625, 1.00% Floor)",,6/9/23,,,2921,,,,2856,,,,2855,,,,
43,Altasciences / 9360-1367 Quebec Inc. (9)(16)(17),,Healthcare & Pharmaceuticals,,"7.55% (3M L+625, 1.00% Floor)",,6/9/23,,C$,2436,,,1774,,,1834,,,,,,
44,"Altasciences US Acquistion, Inc. (9)(16)",,Healthcare & Pharmaceuticals,,"7.55% (1M L+625, 1.00% Floor)",,6/9/23,,5275,,,5157,,,5156,,,,,,,
45,"Altasciences US Acquistion, Inc., Unfunded Delayed Draw (8)(9)(16)(21)(23)(28)",,Healthcare & Pharmaceuticals,,0.50% Unfunded,,6/9/23,,2851,,,(35,,,(64,,,,,,,
46,"American Media, Inc. (16)",,"Advertising, Printing & Publishing",,"8.80% (3M L+750, 1.00% Floor)",,8/24/20,,390,,,380,,,390,,,,,,,
47,"American Media, Inc. (16)",,"Advertising, Printing & Publishing",,"8.80% (3M L+750, 1.00% Floor)",,8/24/20,,9482,,,9240,,,9482,,,,,,,
48,"American Media, Inc. (16)",,"Advertising, Printing & Publishing",,"8.80% (3M L+750, 1.00% Floor)",,8/24/20,,5195,,,5064,,,5195,,,,,,,
49,Aptevo Therapeutics Inc. (9)(16)(23),,Healthcare & Pharmaceuticals,,8.65% (1M L+760),,2/1/21,,8571,,,8634,,,8493,,,,,,,
50,"Aptevo Therapeutics Inc., Unfunded Delayed Draw (8)(9)(16)(21)(23)",,Healthcare & Pharmaceuticals,,0.00% Unfunded,,2/1/21,,6429,,,(27,,,(59,,,,,,,
51,ChyronHego Corporation (18),,High Tech Industries,,"7.43% (3M L+643, 1.00% Floor)",,3/9/20,,35975,,,35539,,,35256,,,,,,,
52,Dodge Data & Analytics LLC,,Business Services,,"10.06% (3M L+875, 1.00% Floor)",,10/31/19,,50478,,,50004,,,49090,,,,,,,
53,GFRC Holdings LLC,,"Hotel, Gaming, Leisure, Restaurants",,"10.50% (1M L+900 Cash (L+900 PIK Toggle), 1.50% Floor)",,2/1/22,,2500,,,2500,,,2375,,,,,,,
54,"Invuity, Inc. (9)(16)",,Healthcare & Pharmaceuticals,,"8.00% (1M L+650, 1.50% Floor)",,3/1/22,,6667,,,6578,,,6539,,,,,,,
55,"Invuity, Inc., Unfunded Delayed Draw (8)(9)(16)(21)(23)",,Healthcare & Pharmaceuticals,,0.00% Unfunded,,3/1/22,,3333,,,(16,,,(17,,,,,,,
56,KLO / 9357-5991 Quebec Inc,,Consumer Goods – Durable,,"9.00% (1M L+775, 0.75% Floor)",,4/7/22,,9500,,,9387,,,9386,,,,,,,
57,KLO Acquisition LLC,,Consumer Goods – Durable,,"9.00% (1M L+775, 0.75% Floor)",,4/7/22,,5500,,,5435,,,5434,,,,,,,
