,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"APOLLO INVESTMENT CORPORATION  STATEMENTS OF ASSETS AND LIABILITIES  (In thousands, except share and per share data)",,,,,,,,,,,,,,,,,,,,
1,,"June 30, 2019",,"March 31, 2019",,,,,,,,,,,,,,,,,
2,,(Unaudited),,,,,,,,,,,,,,,,,,,
3,Assets,,,,,,,,,,,,,,,,,,,,
4,Investments at fair value:,,,,,,,,,,,,,,,,,,,,
5,"Non-controlled/non-affiliated investments (cost 0 $1,927,308 and $1,654,322, respectively)",,1896346,,,,1627406,,,,,,,,,,,,,,
6,"Non-controlled/affiliated investments (cost 0 $66,238 and $67,072, respectively)",49756,,,49681,,,,,,,,,,,,,,,,
7,"Controlled investments (cost 0 $689,577 and $736,717, respectively)",674210,,,731045,,,,,,,,,,,,,,,,
8,Cash and cash equivalents,29210,,,36280,,,,,,,,,,,,,,,,
9,"Foreign currencies (cost 0 $1,353 and $4,963, respectively)",1360,,,4909,,,,,,,,,,,,,,,,
10,Receivable for investments sold,684,,,336,,,,,,,,,,,,,,,,
11,Interest receivable,25693,,,24280,,,,,,,,,,,,,,,,
12,Dividends receivable,4067,,,3748,,,,,,,,,,,,,,,,
13,Deferred financing costs,18836,,,19776,,,,,,,,,,,,,,,,
14,Prepaid expenses and other assets,268,,,336,,,,,,,,,,,,,,,,
15,Total Assets,,2700430,,,,2497797,,,,,,,,,,,,,,
16,Liabilities,,,,,,,,,,,,,,,,,,,,
17,Debt,,1349598,,,,1128686,,,,,,,,,,,,,,
18,Payable for investments purchased,0,,,677,,,,,,,,,,,,,,,,
19,Distributions payable,30624,,,31040,,,,,,,,,,,,,,,,
20,Management and performance-based incentive fees payable,9539,,,8880,,,,,,,,,,,,,,,,
21,Interest payable,10404,,,5818,,,,,,,,,,,,,,,,
22,Accrued administrative services expense,2295,,,2983,,,,,,,,,,,,,,,,
23,Other liabilities and accrued expenses,7260,,,7086,,,,,,,,,,,,,,,,
24,Total Liabilities,,1409720,,,,1185170,,,,,,,,,,,,,,
25,Commitments and contingencies (Note 10),,,,,,,,,,,,,,,,,,,,
26,Net Assets,,1290710,,,,1312627,,,,,,,,,,,,,,
27,Net Assets,,,,,,,,,,,,,,,,,,,,
28,"Common stock, $0.001 par value (400,000,000 shares authorized; 67,927,353 and 68,876,986 shares issued and outstanding, respectively)",,68,,,,69,,,,,,,,,,,,,,
29,Capital in excess of par value,2140715,,,2155836,,,,,,,,,,,,,,,,
30,Accumulated under-distributed (over-distributed) earnings,"(850,073",,,"(843,278",,,,,,,,,,,,,,,,
