,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,,,"June 30, 2023",,,"December 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,(Unaudited),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Investments at fair value:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Non-controlled/non-affiliated investments (cost - $  2,065,378  and $  2,019,573  , respectively)",,,,2007346,,,,,1960199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Non-controlled/affiliated investments (cost - $  151,187  and $  121,307  , respectively)",,,,79338,,,,,49141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Controlled investments (cost - $  400,911  and $  466,294  , respectively)",,,,322603,,,,,388780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cash and cash equivalents,,,,49369,,,,,84713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Foreign currencies (cost - $  842  and $  2,404  , respectively)",,,,828,,,,,2378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Receivable for investments sold,,,,2857,,,,,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Interest receivable,,,,15175,,,,,17169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Dividends receivable,,,,3138,,,,,4836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Deferred financing costs,,,,21856,,,,,13403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Prepaid expenses and other assets,,,,738,,,,,1797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Total Assets,,,,2503248,,,,,2525516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Debt,,,,1482515,,,,,1483394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Payable for investments purchased,,,,333,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Distributions payable,,,,-,,,,,24217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Management and performance-based incentive fees payable,,,,10454,,,,,9060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Interest payable,,,,10497,,,,,13546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Accrued administrative services expense,,,,1801,,,,,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Other liabilities and accrued expenses,,,,5971,,,,,6445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Total Liabilities,,,,1511571,,,,,1537410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Commitments and contingencies (Note 8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Net Assets,,,,991677,,,,,988106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Common stock, $  0.001  par value (  130,000,000  shares authorized;  65,253,275  and  65,451,359  shares issued and outstanding, respectively)",,,,65,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Capital in excess of par value,,,,2104823,,,,,2107120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Accumulated under-distributed (over-distributed) earnings,,,,"(  1,113,211",,,,,"(  1,119,079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Net Assets,,,,991677,,,,,988106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Net Asset Value Per Share,,,,15.20,,,,,15.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares  (12),,,Cost  (37),,,Fair Value  (1)(38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,FingerPaint Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,KL Charlie Acquisition Company,,First Lien Secured Debt,,,"SOFR+  635  ,  1.00  % Floor",,12/30/26,,,,23400,,,,,23105,,,,,22874,,,(9)(31),,,,,,,,,,,,,,,,,,,,
36,,,First Lien Secured Debt,,,"SOFR+  685  ,  1.00  % Floor",,12/30/26,,,,404,,,,,397,,,,,397,,,(9)(31),,,,,,,,,,,,,,,,,,,,
37,,,First Lien Secured Debt,,,"SOFR+  685  ,  1.00  % Floor",,12/30/26,,,,315,,,,,309,,,,,308,,,(9)(31),,,,,,,,,,,,,,,,,,,,
38,,,First Lien Secured Debt - Revolver,,,P+  525,,12/30/26,,,,1962,,,,,1509,,,,,1486,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
39,"KL Charlie Co-Invest, L.P.",,Common Equity - Common Stock,,,N/A,,N/A,,,"218,978  Shares",,,,,219,,,,,431,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,25539,,,,,25496,,,,,,,,,,,,,,,,,,,,,,,
41,Hero Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"HRO (Hero Digital) Holdings, LLC",,First Lien Secured Debt,,,"SOFR+  610  ,  1.00  % Floor",,11/18/28,,,,19281,,,,,18979,,,,,18508,,,(9)(31),,,,,,,,,,,,,,,,,,,,
43,,,First Lien Secured Debt,,,"SOFR+  600  ,  1.00  % Floor",,11/18/28,,,,7660,,,,,(  42,,,,,(  307,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
44,,,First Lien Secured Debt - Revolver,,,"SOFR+  610  ,  1.00  % Floor",,11/18/26,,,,2553,,,,,2483,,,,,2415,,,(9)(20)(21)(23)  (31),,,,,,,,,,,,,,,,,,,,
45,HRO Holdings I LP,,Common Equity - Common Stock,,,N/A,,N/A,,,213  Shares,,,,,213,,,,,110,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,21633,,,,,20726,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,"Total Advertising, Printing & Publishing",,,,,47172,,,,,46222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Club Car Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Club Car Wash Operating, LLC",,First Lien Secured Debt,,,"SOFR+  715  ,  1.00  % Floor",,06/16/27,,,,28358,,,,,26700,,,,,26590,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
51,,,First Lien Secured Debt - Revolver,,,"SOFR+  715  ,  1.00  % Floor",,06/16/27,,,,1625,,,,,1605,,,,,1597,,,(9)(23)(31),,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,28305,,,,,28187,,,,,,,,,,,,,,,,,,,,,,,
53,Crowne Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Vari-Form Group, LLC",,First Lien Secured Debt,,,11.00  % (  7.00  % Cash plus  4.00  % PIK),,02/02/23,,,,5860,,,,,893,,,,,264,,,(9)(11)(14),,,,,,,,,,,,,,,,,,,,
55,Vari-Form Inc.,,First Lien Secured Debt,,,11.00  % (  7.00  % Cash plus  4.00  % PIK),,02/02/23,,,,2110,,,,,391,,,,,95,,,(9)(11)(14),,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,1284,,,,,359,,,,,,,,,,,,,,,,,,,,,,,
57,"K&N Parent, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"K&N Holdco, LLC",,Common Equity - Common Stock,,,N/A,,N/A,,,"77,622  Shares",,,,,23621,,,,,1423,,,(13),,,,,,,,,,,,,,,,,,,,,
59,"Truck-Lite Co., LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"TL Lighting Holdings, LLC",,Common Equity - Equity,,,N/A,,N/A,,,350  Shares,,,,,350,,,,,402,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
61,"Truck-Lite Co., LLC",,First Lien Secured Debt,,,"SOFR+  635  ,  1.00  % Floor",,12/14/26,,,,31572,,,,,31165,,,,,30987,,,(9)(32),,,,,,,,,,,,,,,,,,,,
62,,,First Lien Secured Debt - Revolver,,,"SOFR+  625  ,  1.00  % Floor",,12/13/24,,,,3052,,,,,-,,,,,(  27,,,(8)(9)(20)(21)  (23),,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,31515,,,,,31362,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,Total Automotive,,,,,84725,,,,,61331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares  (12),,,Cost  (37),,,Fair Value  (1)(38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Aviation and Consumer Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Merx Aviation Finance, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Merx Aviation Finance, LLC (5)",,First Lien Secured Debt - Revolver,,,10.00  %,,10/31/23,,,,204677,,,,,81075,,,,,81075,,,(20)(23),,,,,,,,,,,,,,,,,,,,
69,,,Common Equity - Membership Interests,,,N/A,,N/A,,,,,,,,146500,,,,,111815,,,(24),,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,227575,,,,,192890,,,,,,,,,,,,,,,,,,,,,,,
71,Primeflight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"PrimeFlight Acquisition, LLC",,First Lien Secured Debt,,,"SOFR+  685  ,  1.00  % Floor",,05/01/29,,,,5000,,,,,4852,,,,,4850,,,(9)(32),,,,,,,,,,,,,,,,,,,,
73,,,,,,,Total Aviation and Consumer Transport,,,,,232427,,,,,197740,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"Beverage, Food & Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Berner Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Berner Food & Beverage, LLC",,First Lien Secured Debt,,,"SOFR+  565  ,  1.00  % Floor",,07/30/27,,,,30574,,,,,30079,,,,,29198,,,(9)(31),,,,,,,,,,,,,,,,,,,,
77,,,First Lien Secured Debt - Revolver,,,P+  450,,07/30/26,,,,1320,,,,,1300,,,,,1260,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
78,,,First Lien Secured Debt - Revolver,,,"SOFR+  565  ,  1.00  % Floor",,07/30/26,,,,1562,,,,,554,,,,,506,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,31933,,,,,30964,,,,,,,,,,,,,,,,,,,,,,,
80,Bolthouse Farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"Wm. Bolthouse Farms, Inc.",,Common Equity - Equity Interests,,,N/A,,N/A,,,"1,086,122  Shares",,,,,1147,,,,,1032,,,(13),,,,,,,,,,,,,,,,,,,,,
82,Hive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"FCP-Hive Holdings, LLC",,Preferred Equity - Preferred Equity,,,N/A,,N/A,,,589  Shares,,,,,448,,,,,202,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
84,,,Common Equity - Common Stock,,,N/A,,N/A,,,589  Shares,,,,,3,,,,,-,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
85,"Hive Intermediate, LLC",,First Lien Secured Debt,,,"SOFR+  410  Cash plus  2.00  % PIK,  1.00  % Floor",,09/22/27,,,,15947,,,,,15725,,,,,15229,,,(9)(30),,,,,,,,,,,,,,,,,,,,
86,,,First Lien Secured Debt - Revolver,,,"SOFR+  410  Cash plus  2.00  % PIK,  1.00  % Floor",,09/22/27,,,,2326,,,,,594,,,,,521,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,16770,,,,,15952,,,,,,,,,,,,,,,,,,,,,,,
88,"Orgain, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Butterfly Fighter Co-Invest, L.P.",,Common Equity - Membership Interests,,,N/A,,N/A,,,"490,000  Shares",,,,,90,,,,,931,,,,,,,,,,,,,,,,,,,,,,,,
90,Rise Baking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Ultimate Baked Goods Midco LLC,,First Lien Secured Debt,,,"SOFR+  635  ,  1.00  % Floor",,08/13/27,,,,26355,,,,,25884,,,,,25536,,,(9)(30),,,,,,,,,,,,,,,,,,,,
92,,,First Lien Secured Debt - Revolver,,,"SOFR+  625  ,  1.00  % Floor",,08/13/27,,,,3243,,,,,(  57,,,,,(  101,,,(8)(9)(20)(21)  (23),,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,25827,,,,,25435,,,,,,,,,,,,,,,,,,,,,,,
94,Turkey Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,IC Holdings LLC,,Common Equity - Series A Units,,,N/A,,N/A,,,169  Shares,,,,,169,,,,,166,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
96,THLP CO. LLC,,First Lien Secured Debt,,,"SOFR+  600  Cash plus  2.00  % PIK,  1.00  % Floor",,05/31/25,,,,25687,,,,,25502,,,,,25430,,,(9)(31),,,,,,,,,,,,,,,,,,,,
97,,,First Lien Secured Debt - Revolver,,,"SOFR+  600  Cash plus  2.00  % PIK,  1.00  % Floor",,05/31/24,,,,4494,,,,,3439,,,,,3409,,,(9)(20)(21)(23)  (31)(32),,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,29110,,,,,29005,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,"Total Beverage, Food & Tobacco",,,,,104877,,,,,103319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares  (12),,,Cost  (37),,,Fair Value  (1)(38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Accelerate Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"Eagle Purchaser, Inc.",,First Lien Secured Debt,,,"SOFR+  675  ,  1.00  % Floor",,03/22/30,,,,4334,,,,,3299,,,,,3369,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
104,,,First Lien Secured Debt - Revolver,,,"SOFR+  675  ,  1.00  % Floor",,03/22/29,,,,658,,,,,113,,,,,120,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,3412,,,,,3489,,,,,,,,,,,,,,,,,,,,,,,
106,Access Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"Access CIG, LLC",,Second Lien Secured Debt,,,"L+  775  ,  0.00  % Floor",,02/27/26,,,,15900,,,,,15854,,,,,15659,,,(33),,,,,,,,,,,,,,,,,,,,
108,AlpineX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"Alpinex Opco, LLC",,First Lien Secured Debt,,,"SOFR+  626  ,  1.00  % Floor",,12/27/27,,,,16940,,,,,16623,,,,,16601,,,(9)(31),,,,,,,,,,,,,,,,,,,,
110,,,First Lien Secured Debt,,,"SOFR+  600  ,  1.00  % Floor",,12/27/27,,,,4441,,,,,4371,,,,,4375,,,(9)(31),,,,,,,,,,,,,,,,,,,,
111,,,First Lien Secured Debt - Revolver,,,"SOFR+  600  ,  1.00  % Floor",,12/27/27,,,,1489,,,,,565,,,,,573,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,21559,,,,,21549,,,,,,,,,,,,,,,,,,,,,,,
113,Ambrosia Buyer Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Ambrosia Buyer Corp.,,Second Lien Secured Debt,,,8.00  %,,08/28/25,,,,21429,,,,,17307,,,,,4811,,,(14),,,,,,,,,,,,,,,,,,,,
115,AML Rightsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"Gabriel Partners, LLC",,First Lien Secured Debt,,,"SOFR+  585  ,  1.00  % Floor",,09/21/26,,,,30888,,,,,30484,,,,,30264,,,(9)(30),,,,,,,,,,,,,,,,,,,,
117,,,First Lien Secured Debt - Revolver,,,P+  475,,09/21/26,,,,665,,,,,123,,,,,116,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
