,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,"March 31, 2014",,"March 31, 2013",,,,,,,,,,,
1,Assets,,,,,,,,,,,,,,
2,"Non-controlled/non-affiliated investments, at fair value (cost 0 $2,714,971 and $2,525,550 respectively)",,2751896,,,,2398412,,,,,,,,
3,"Non-controlled/affiliated investments, at fair value (cost 0 $153,721 and $148,547, respectively)",144628,,,141569,,,,,,,,,,
4,"Controlled investments, at fair value (cost 0 $590,060 and $345,204, respectively)",582147,,,310418,,,,,,,,,,
5,"Total investments (cost 0 $3,458,752 and $3,019,301, respectively)",3478671,,,2850399,,,,,,,,,,
6,Cash,13413,,,3902,,,,,,,,,,
7,"Foreign currency (cost 0 $1,305 and $2,293, respectively)",1323,,,2295,,,,,,,,,,
8,Receivable for investments sold,72918,,,5713,,,,,,,,,,
9,Interest receivable,40106,,,51990,,,,,,,,,,
10,Dividends receivable,3627,,,2703,,,,,,,,,,
11,Deferred financing costs,31601,,,26990,,,,,,,,,,
12,Prepaid expenses and other assets,292,,,320,,,,,,,,,,
13,Total assets,,3641951,,,,2944312,,,,,,,,
14,Liabilities,,,,,,,,,,,,,,
15,Debt (see note 8 & 11),,1372261,,,,1156067,,,,,,,,
16,Payable for investments purchased,119577,,,26021,,,,,,,,,,
17,Dividends payable,47348,,,40578,,,,,,,,,,
18,Management and performance-based incentive fees payable (see note 3),31108,,,26509,,,,,,,,,,
19,Interest payable,14318,,,12012,,,,,,,,,,
20,Accrued administrative expenses,1915,,,2219,,,,,,,,,,
21,Other liabilities and accrued expenses,3813,,,3517,,,,,,,,,,
22,Total liabilities,,1590340,,,,1266923,,,,,,,,
23,Commitments and contingencies (see note 15),,,,,,,,,,,,,,
24,Net Assets,,,,,,,,,,,,,,
25,"Common stock, par value $.001 per share, 400,000,000 and 400,000,000 common shares authorized, respectively, 236,741,351 and 202,891,351 issued and outstanding, respectively",,237,,,,203,,,,,,,,
26,Paid-in capital in excess of par (see note 13(a)),3221829,,,2933636,,,,,,,,,,
27,Over-distributed net investment income (see note 13(a)),"(53,995",,,"(44,183",,,,,,,,,,
28,Accumulated net realized loss (see note 13(a)),"(1,133,405",,,"(1,053,080",,,,,,,,,,
29,Net unrealized gain (loss),16945,,,"(159,187",,,,,,,,,,
30,Total net assets,,2051611,,,,1677389,,,,,,,,
31,Total liabilities and net assets,,3641951,,,,2944312,,,,,,,,
32,Net asset value per share,,8.67,,,,8.27,,,,,,,,
33,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2014  (in thousands)",,,,,,,,,,,,,,
34,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0134.1,,Industry,,Par Amount*,,Cost,,Fair  Value (1),,,,,,
35,Unfunded Revolver Obligations0(0.4),,,,,,,,,,,,,,
36,"Avaya, Inc., L+275 Funded, 0.50 Unfunded, 10/26/16 (8)",,Telecommunications,,,36785,,,,"(5,203",,,,"(3,035",
37,"BMC Software Inc., L+400 Funded, 0.50 Unfunded, 9/10/18 (8)",,Business Services,,30760,,,"(3,243",,,"(2,307",,,,
38,"Confie Seguros Holding II Co., L+450 P+350 Funded, 0.50 Unfunded, 12/10/18 (8)",,Insurance,,3627,,,(450,,,(326,,,,
39,"Laureate Education, Inc., L+375, Funded, 0.625 Unfunded, 6/16/16 (8) ‡",,Education,,28880,,,"(2,888",,,"(2,599",,,,
40,"Reichhold Holdings International B.V., L+600 Funded, 1.50 Unfunded, 12/19/16 ‡",,Chemicals,,12500,,,0,,,0,,,,
41,"Salix Pharmaceuticals, Ltd., L+300 Funded, 0.50 Unfunded, 1/2/19 ‡ (8)",,Healthcare,,25000,,,"(1,923",,,(125,,,,
42,"UniTek Global Services Inc., L+925 Funded, 2.00 Unfunded, 4/15/16",,Telecommunications,,18052,,,0,,,0,,,,
43,Total Unfunded Revolver Obligations,,,,,,,"(13,707",,,,"(8,392",,,
44,Letters of Credit0 (0.0),,,,,,,,,,,,,,
45,"Confie Seguros Holding II Co., 4.50, 10/27/14 (8)",,Insurance,,,600,,,,0,,,,(54,
46,"Confie Seguros Holding II Co., 4.50, 1/13/15 (8)",,Insurance,,33,,,0,,,(3,,,,
47,"UniTek Global Services Inc., 9.25, 3/26/15",,Telecommunications,,3000,,,0,,,0,,,,
48,"UniTek Global Services Inc., 9.25, 3/18/15",,Telecommunications,,1000,,,0,,,0,,,,
49,"UniTek Global Services Inc., 9.25, 3/18/15",,Telecommunications,,2700,,,0,,,0,,,,
50,"UniTek Global Services Inc., 9.25, 12/15/14",,Telecommunications,,5446,,,0,,,0,,,,
51,Total Letters of Credit,,,,,,,0,,,,(57,,,
52,2nd Lien Secured Debt047.9,,,,,,,,,,,,,,
53,"Active Network, Inc., L+850, 11/15/21",,Business Services,,,25000,,,,24879,,,,25344,
54,"Applied Systems, Inc., L+650, 1/24/22",,Business Services,,9110,,,9043,,,9281,,,,
55,"Aptean, Inc., L+750, 2/26/21",,Business Services,,11322,,,11153,,,11478,,,,
56,"Armor Holdings, Inc. (American Stock Transfer and Trust Company), L+900, 12/26/20",,Financial Services,,8000,,,7851,,,8000,,,,
57,"Asurion Corporation, L+750, 3/3/21",,Insurance,,90400,,,89050,,,93413,,,,
58,"Bennu Oil & Gas, LLC, L+900, 11/1/18",,Oil and Gas,,8999,,,8927,,,9123,,,,
59,"BJ's Wholesale Club, Inc, L+750, 3/26/20",,Retail,,20000,,,19904,,,20537,,,,
60,"Brock Holdings III, Inc., L+825, 3/16/18",,Environmental Services,,19500,,,19245,,,19805,,,,
61,"Confie Seguros Holding II Co., L+900, 5/8/19",,Insurance,,27344,,,27096,,,27566,,,,
62,"Consolidated Precision Products Corp., L+775, 4/30/21",,Aerospace and Defense,,8940,,,8897,,,9096,,,,
63,"Del Monte Foods Co, L+725, 8/18/21",,"Beverage, Food, and Tobacco",,12140,,,12019,,,12110,,,,
64,"Deltek, Inc., L+875, 10/10/19",,Business Services,,27273,,,27023,,,27887,,,,
65,"Elements Behavioral Health, Inc., L+825, 2/11/20",,Healthcare,,9500,,,9407,,,9500,,,,
66,"Flexera Software LLC, L+700, 4/2/21",,Business Services,,7000,,,6965,,,7053,,,,
67,"Garden Fresh Restaurant Corp., L+575 PIK, 1/1/19 †",,Restaurants,,7661,,,5618,,,5210,,,,
68,"Garden Fresh Restaurant Corp., L+1300 PIK, 1/1/19 †",,Restaurants,,34513,,,32326,,,30716,,,,
69,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2014  (in thousands)",,,,,,,,,,,,,,
70,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0134.1,,Industry,,Par Amount*,,Cost,,Fair  Value (1),,,,,,
71,2nd Lien Secured Debt047.9 (continued),,,,,,,,,,,,,,
