,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS  March 31, 2015  (in thousands)",,,,,,,,,,,,,,,,,,
1,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-121.6% (10),,Interest Rate,,Maturity Date,,Industry,,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
2,CORPORATE DEBT-109.5%,,,,,,,,,,,,,,,,,,
3,SECURED DEBT-85.0%,,,,,,,,,,,,,,,,,,
4,1st Lien Secured Debt-41.7%,,,,,,,,,,,,,,,,,,
5,Alion Science & Technology Corporation,,"11.000% (L+1000, 1.00% Floor)",,8/16/19,,Aerospace and Defense,,,32003,,,,31038,,,,31843,
6,Archroma (17),,"9.500% (L+825, 1.25% Floor)",,10/1/18,,Chemicals,,40128,,,39795,,,40354,,,,
7,"Aventine Renewable Energy Holdings, Inc.",,15.00% PIK or 10.50% Cash,,9/22/17,,Chemicals,,15742,,,18031,,,14601,,,,
8,"Aveta, Inc.",,"9.750% (L+825, 1.50% Floor)",,12/12/17,,Healthcare,,53296,,,52331,,,43169,,,,
9,"Caza Petroleum, Inc.",,"12.000% (L+1000, 2.00% Floor)",,5/23/17,,Oil and Gas,,45000,,,43992,,,42660,,,,
10,ChyronHego Corp.,,"9.000% (L+800, 1.00% Floor)",,3/9/20,,Business Services,,25000,,,24505,,,24500,,,,
11,"CITGO Holding, Inc. (11)",,10.750%,,2/15/20,,Energy,,25000,,,23792,,,25781,,,,
12,"CITGO Holding, Inc.",,"9.50% (L+850, 1.00% Floor)",,5/12/18,,Energy,,19435,,,18306,,,19344,,,,
13,"Deep Gulf Energy II, LLC",,"14.000% (14.00% or L+1250, 1.50% Floor)",,3/31/17,,Oil and Gas,,35000,,,35000,,,33530,,,,
14,"Delta Educational Systems, Inc.",,16.00% (8.00% Cash / 8.00% PIK),,12/11/16,,Education,,5892,,,5892,,,5892,,,,
15,Dodge Data & Analytics LLC,,"9.750% (L+875, 1.00% Floor)",,10/31/19,,Printing and Publishing,,60349,,,59223,,,58689,,,,
16,"Extraction Oil & Gas Holdings, LLC",,10.00% & 11.00%,,5/29/19,,Oil and Gas,,52633,,,51932,,,51843,,,,
17,"Great Bear Petroleum Operating, LLC",,12.000%,,10/1/17,,Oil and Gas,,5064,,,5064,,,5064,,,,
18,"Hunt Companies, Inc. (11)",,9.625%,,3/1/21,,Buildings and Real Estate,,21008,,,20776,,,21586,,,,
19,"Magnetation, LLC (11)",,11.000%,,5/15/18,,Mining,,38454,,,39878,,,19804,,,,
20,"Maxus Capital Carbon SPE I, LLC (Skyonic Corp.)",,13.000%,,9/18/19,,Chemicals,,73104,,,73104,,,73104,,,,
21,"Molycorp, Inc. (17)",,10.000%,,6/1/20,,"Diversified Natural Resources, Precious Metals and Minerals",,42977,,,42699,,,22276,,,,
22,"My Alarm Center, LLC (16)",,"8.500% (L+750, 1.00% Floor)",,1/9/18,,Business Services,,42614,,,42614,,,42613,,,,
23,"My Alarm Center, LLC (16)",,"8.500% (L+750, 1.00% Floor)",,1/9/18,,Business Services,,12731,,,12731,,,12731,,,,
24,"Osage Exploration & Development, Inc. (11)(17)",,"13.000% (L+1100, 2.00% Floor)",,4/27/16,,Oil and Gas,,25000,,,24741,,,23600,,,,
25,"Pelican Energy, LLC (17)",,10.00% (7.00% Cash / 3.00% PIK),,12/31/18,,Oil and Gas,,26957,,,26057,,,25340,,,,
26,"Saba Software, Inc.",,"12.417% (L+1142, 1.00% Floor)",,3/26/21,,Business Services,,10000,,,10000,,,9850,,,,
27,"SCM Insurance Services, Inc. (17)",,9.250%,,8/22/19,,Business Services,,"CAD 30,000",,,27135,,,23569,,,,
28,"Spotted Hawk Development, LLC",,13.00% (12.00% Cash / 1.00% PIK),,9/12/16,,Oil and Gas,,,80900,,,79911,,,78878,,,
29,"Sunrun Solar Owner IX, LLC",,9.079%,,12/31/24,,Energy,,3424,,,3284,,,3527,,,,
30,Telestream Holdings Corporation,,"10.254% (L+925, 1.00% Floor)",,1/15/20,,Business Services,,32500,,,32500,,,31769,,,,
31,UniTek Global Services Inc. (16),,"9.500% (L+750, 1.00% PIK, 1.00% Floor)",,1/13/19,,Telecommunications,,21442,,,21442,,,21442,,,,
32,Total 1st Lien Secured Debt excluding Revolvers and Letters of Credit,,,865773,,,,807359,,,,,,,,,,,
33,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2015  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
34,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-121.6% (10),,Interest Rate,,Maturity Date,,Industry,,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
35,Funded and Unfunded Revolver Obligations--1.7%,,,,,,,,,,,,,,,,,,
36,"Avaya, Inc., (Revolver) (16)",,"2.92% (L+275, 0.17% Floor) / 5.00% (P+175, 3.25% Floor) Funded",,10/26/16,,Telecommunications,,,16553,,,,16553,,,,15436,
37,"Avaya, Inc., (Unfunded Revolver) (8)(16)",,0.50% Unfunded,,10/26/16,,Telecommunications,,10431,,,"(3,181",,,(704,,,,
