,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (28),,,Fair Value (1)(29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Learfield Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A-L Parent LLC,,,Second Lien Secured Debt,,,"8.25% (1M L+725, 1.00% Floor)",,12/02/24,,,5536,,,,5503,,,,,4882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Simplifi Holdings, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Simplifi Holdings, Inc.",,,First Lien Secured Debt,,,"7.20% (3M L+575, 1.00% Floor)",,08/02/25,,38829,,,38188,,,,37164,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,First Lien Secured Debt - Revolver,,,"7.20% (1M L+575, 1.00% Floor)",,08/02/25,,1200,,,1200,,,,1148,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,First Lien Secured Debt - Unfunded Revolver,,,0.50% Unfunded,,08/02/25,,1200,,,(49),,,,(51),,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,First Lien Secured Debt - Unfunded Delayed Draw,,,0.50% Unfunded,,08/02/25,,6091,,,(57),,,,(187),,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,39282,,,,38074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Total Advertising, Printing & Publishing",,,,,,,,,,,,44785,,,,,42956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Erickson Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Erickson Inc,,,First Lien Secured Debt - Revolver,,,"9.41% (3M L+750, 1.50% Floor)",,04/28/22,,,31812,,,,31812,,,,,31096,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,First Lien Secured Debt - Unfunded Revolver,,,0.50% Unfunded,,04/28/22,,7425,,,(233),,,,(167),,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,First Lien Secured Debt - Letters of Credit,,,7.50%,,04/30/20 - 07/15/22,,,1263,,,-,,,,(27),,,(8)(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,31579,,,,30902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PAE Holding Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PAE Holding Corporation,,,Second Lien Secured Debt,,,"10.50% (1M L+950, 1.00% Floor)",,10/20/23,,13637,,,13462,,,,12353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Total Aerospace & Defense,,,,,,,,,,,,45041,,,,,43255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Accelerate Parent Corp. (American Tire),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
