,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS -136.1%,,Industry,,,Par  Amount*,,,,Cost,,,,Fair  Value (1),
1,CORPORATE DEBT-128.9%,,,,,,,,,,,,,,
2,SECURED DEBT-76.1%,,,,,,,,,,,,,,
3,1st Lien Secured Debt-36.2%,,,,,,,,,,,,,,
4,"Amaya Gaming Group, Inc., L+775, 11/5/15",,"Hotels, Motels, Inns  and Gaming",,,14438,,,,14280,,,,14437,
5,"Archroma, L+825, 9/30/18 ‡",,Chemicals,,,35600,,,,34888,,,,35244,
6,"Avanti Communications Group PLC, 10.00%, 10/1/19   ̈  ‡",,Telecommunications,,,25000,,,,25000,,,,25398,
7,"Avaya, Inc., 9.00%, 4/1/19   ̈",,Telecommunications,,,20500,,,,21103,,,,19923,
8,"Aveta, Inc., L+825, 12/12/17",,Healthcare,,,64039,,,,62362,,,,64399,
9,"Caza Petroleum Inc., L+1000, 5/23/17",,Oil & Gas,,,25000,,,,24192,,,,23900,
10,"Delta Educational Systems, Inc., 16.00% (8.00% Cash/8.00% PIK), 12/11/16",,Education,,,5220,,,,5220,,,,5220,
11,"Endeavour International Corp., 12.00%, 3/1/18† ‡",,Oil & Gas,,,14621,,,,14125,,,,15279,
12,"Endeavour International Corp., 13.00%, 6/30/14† ‡",,Oil & Gas,,,30000,,,,30485,,,,30375,
13,"Evergreen Tank Solutions, Inc., L+800, 9/28/18",,"Containers,  Packaging, and  Glass",,,30800,,,,30260,,,,30761,
14,"Evergreen Tank Solutions, Inc., L+800, 9/28/18",,"Containers,  Packaging, and  Glass",,,5479,,,,5479,,,,5472,
15,"Garden Fresh Restaurant Corp., P+675 (P+625 Cash/0.50% PIK), 10/2/13 †",,Restaurants,,,2511,,,,2511,,,,1783,
16,"Garden Fresh Restaurant Corp., P+775 (P+725 Cash/0.50% PIK), 10/2/13 †",,Restaurants,,,2511,,,,2511,,,,1783,
17,"Magnetation, LLC, 11.00%, 5/15/18   ̈",,Mining,,,37750,,,,37911,,,,36712,
18,"Maxus Capital Carbon SPE I, LLC (Skyonic Corp.), 13.00%, 9/18/19",,Chemicals,,,60000,,,,60000,,,,60000,
19,"Miller Energy Resources, Inc., 18.00% (15.00% Cash/3.00% PIK Option), 6/29/17 † ‡",,Oil & Gas,,,55307,,,,55307,,,,57519,
20,"Miller Energy Resources, Inc., 9.00%, 6/29/17† ‡",,Oil & Gas,,,20000,,,,20000,,,,20000,
21,"Molycorp, Inc., 10.00%, 6/1/20 ‡",,"Diversified Natural  Resources,  Precious Metals  and Minerals",,,34268,,,,33847,,,,34161,
22,"New Publishing Holdings (F&W Media), L+650, 6/30/18",,Printing &  Publishing,,,15960,,,,14724,,,,15641,
23,"Osage Exploration & Development, Inc., L+1500, 4/27/15 ‡",,Oil & Gas,,,15000,,,,14765,,,,15056,
24,"Panda Sherman Power, LLC, L+750, 9/14/18",,Energy,,,15000,,,,14806,,,,15262,
25,"Panda Temple Power, LLC, L+1000, 7/18/18",,Energy,,,25500,,,,25064,,,,26241,
26,"Pelican Energy, LLC, 10.00% (7.00% Cash / 3.00% PIK), 12/31/18 ‡",,Oil & Gas,,,13021,,,,12607,,,,13281,
27,"Spotted Hawk Development LLC, 14.00% (13.00% Cash/ 1.00% PIK), 6/30/16 ‡",,Oil & Gas,,,24185,,,,23482,,,,23290,
28,"Sunrun Solar Owner IX, LLC, 9.079%, 12/31/24",,Energy,,,3307,,,,3161,,,,3156,
29,"UniTek Global Services Inc., (Revolver) L+925, 4/15/16",,Telecommunications,,,65500,,,,65500,,,,65500,
30,"Walter Energy Inc., 9.50%, 10/15/19   ̈  ‡",,Mining,,,15000,,,,14914,,,,15550,
31,Total 1st Lien Secured Debt,,,,,,,,,668504,,,,675343,
32,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED  INVESTMENTS -136.1%,,Industry,,Par  Amount*,,,Cost,,,Fair  Value (1),,,,
33,2nd Lien Secured Debt-40.3%,,,,,,,,,,,,,,
34,"Allied Security Holdings, LLC, L+825, 2/2/18",,Business Services,,,31000,,,,30784,,,,31368,
35,"Armor Holdings, Inc. (American Stock Transfer and Trust Company), L+900, 12/22/20",,Financial Services,,,8000,,,,7843,,,,7950,
36,"Ardent Medical Services, Inc., L+950, 1/2/19",,Healthcare,,,15000,,,,14655,,,,15281,
