,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited)  September 30, 2014  (in thousands)",,,,,,,,,,,,,,,,,,
1,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-138.0% (18),,Interest Rate,,Maturity Date,,Industry,,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
2,CORPORATE DEBT-125.3%,,,,,,,,,,,,,,,,,,
3,SECURED DEBT-95.2%,,,,,,,,,,,,,,,,,,
4,1st Lien Secured Debt-45.1%,,,,,,,,,,,,,,,,,,
5,Alion Science & Technology Corporation,,"11.00% (L+1000, 1.00% Floor)",,8/16/19,,Aerospace and Defense,,,32164,,,,31110,,,,31842,
6,Archroma (17),,"9.50% (L+825, 1.25% Floor)",,10/1/18,,Chemicals,,45345,,,44884,,,45940,,,,
7,"Avaya, Inc., (Revolver) (16)",,"2.90% L+275 Funded, 0.50% Unfunded",,10/26/16,,Telecommunications,,16553,,,16553,,,15208,,,,
8,"Aventine Renewable Energy Holdings, Inc.",,15.00% PIK (15.00% PIK or 10.50% Cash),,9/22/17,,Chemicals,,15161,,,17872,,,15306,,,,
9,"Aveta, Inc.",,"9.75% (L+825, 1.50% Floor)",,12/12/17,,Healthcare,,56623,,,55437,,,56588,,,,
10,"Caza Petroleum, Inc.",,"12.00% (L+1000, 2.00% Floor)",,5/23/17,,Oil and Gas,,45000,,,43795,,,44145,,,,
11,"Confie Seguros Holding II Co., (Revolver) (16)",,"6.75% (P+350, 3.25% Floor) Funded, 0.50% Unfunded",,12/10/18,,Insurance,,1110,,,1110,,,1110,,,,
12,"Deep Gulf Energy II, LLC",,"11.50% ((11.50% or L+1000), 1.50% Floor)",,3/31/17,,Oil and Gas,,25000,,,25000,,,24500,,,,
13,"Delta Educational Systems, Inc.",,16.00% (8.00% Cash/8.00% PIK),,12/11/16,,Education,,5657,,,5657,,,5657,,,,
14,"Energy & Exploration Partners, Inc.",,"7.75% (L+675, 1.00% Floor)",,1/22/19,,Oil and Gas,,6484,,,6389,,,6386,,,,
15,"Evergreen Tank Solutions, Inc.",,"9.50% (L+800, 1.50% Floor)",,9/28/18,,"Containers, Packaging, and Glass",,40657,,,40208,,,40556,,,,
16,"Extraction Oil & Gas Holdings, LLC",,11.000%,,5/29/19,,Oil and Gas,,42226,,,41618,,,41592,,,,
17,"GenCorp, Inc.(17)",,"9.50% (L+850, 1.00% Floor)",,4/18/22,,Aerospace and Defense,,44500,,,44500,,,44500,,,,
