,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,"APOLLO INVESTMENT CORPORATION  STATEMENTS OF ASSETS AND LIABILITIES  (In thousands, except share and per share data)",,,,,,,,,,,,,,,,,,,,,,,,,
1,,"September 30, 2018",,"March 31, 2018",,,,,,,,,,,,,,,,,,,,,,
2,,(Unaudited),,,,,,,,,,,,,,,,,,,,,,,,
3,Assets,,,,,,,,,,,,,,,,,,,,,,,,,
4,Investments at fair value:,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Non-controlled/non-affiliated investments (cost 0 $1,511,531 and $1,471,492, respectively)",,1479233,,,,1450033,,,,,,,,,,,,,,,,,,,
6,"Non-controlled/affiliated investments (cost 0 $67,911 and $73,943, respectively)",58963,,,68954,,,,,,,,,,,,,,,,,,,,,
7,"Controlled investments (cost 0 $770,675 and $723,161, respectively)",786545,,,729060,,,,,,,,,,,,,,,,,,,,,
8,Cash and cash equivalents,17124,,,14035,,,,,,,,,,,,,,,,,,,,,
9,"Foreign currencies (cost 0 $2,139 and $1,292, respectively)",2134,,,1298,,,,,,,,,,,,,,,,,,,,,
10,Cash collateral on options contracts,1865,,,5016,,,,,,,,,,,,,,,,,,,,,
11,Receivable for investments sold,3158,,,2190,,,,,,,,,,,,,,,,,,,,,
12,Interest receivable,21939,,,22272,,,,,,,,,,,,,,,,,,,,,
13,Dividends receivable,2550,,,2550,,,,,,,,,,,,,,,,,,,,,
14,Deferred financing costs,12094,,,14137,,,,,,,,,,,,,,,,,,,,,
15,Variation margin receivable on options contracts,0,,,1846,,,,,,,,,,,,,,,,,,,,,
16,Prepaid expenses and other assets,1187,,,419,,,,,,,,,,,,,,,,,,,,,
17,Total Assets,,2386792,,,,2311810,,,,,,,,,,,,,,,,,,,
18,Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,
19,Debt,,946236,,,,789846,,,,,,,,,,,,,,,,,,,
20,Payable for investments purchased,3877,,,41827,,,,,,,,,,,,,,,,,,,,,
21,Distributions payable,31942,,,32447,,,,,,,,,,,,,,,,,,,,,
22,Management and performance-based incentive fees payable,16853,,,16585,,,,,,,,,,,,,,,,,,,,,
23,Interest payable,5695,,,5310,,,,,,,,,,,,,,,,,,,,,
24,Accrued administrative services expense,2232,,,2507,,,,,,,,,,,,,,,,,,,,,
25,Variation margin payable on options contracts,534,,,0,,,,,,,,,,,,,,,,,,,,,
26,Other liabilities and accrued expenses,8271,,,5202,,,,,,,,,,,,,,,,,,,,,
27,Total Liabilities,,1015640,,,,893724,,,,,,,,,,,,,,,,,,,
28,Commitments and contingencies (Note 10),,,,,,,,,,,,,,,,,,,,,,,,,
29,Net Assets,,1371152,,,,1418086,,,,,,,,,,,,,,,,,,,
30,Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,
