,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,Industry / Company,,Investment Type,,Interest Rate,,Maturity Date,,Par/Shares (12),,Cost (36),,,Fair Value (1)(37),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FingerPaint Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,KL Charlie Acquisition Company,,First Lien Secured Debt,,"L+525, 1.00 Floor",,12/30/26,,,18560,,,,18220,,,,,18374,,,(9)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,First Lien Secured Debt,,"L+525, 1.00 Floor",,12/30/26,,4371,,3441,,,,3451,,,(9)(21)  (23)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,First Lien Secured Debt - Revolver,,"L+525, 1.00 Floor",,12/30/26,,2190,,(19),,,,(22),,,(8)(9)(21)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"KL Charlie Co-Invest, L.P.",,Common Equity - Common Stock,,N/A,,N/A,,"218,978 Shares",,219,,,,335,,,(9)(13)(25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,21861,,,,22138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Simplifi Holdings, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Simplifi Holdings, Inc.",,First Lien Secured Debt,,"P+425, 1.00 Floor",,08/02/25,,38245,,37770,,,,38245,,,(9)(34),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,First Lien Secured Debt - Revolver,,"L+525, 1.00 Floor",,08/02/25,,2400,,(36),,,,0,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,37734,,,,38245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,"Total Advertising, Printing & Publishing",,,59595,,,,,60383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Erickson Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Erickson Inc,,First Lien Secured Debt - Revolver,,"L+750, 1.50 Floor",,04/28/22,,,32250,,,,26505,,,,,26142,,,(9)(20)(21)  (23)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,First Lien Secured Debt - Revolver,,13.50,,04/28/22,,3750,,3750,,,,3701,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,Total Aerospace & Defense,,,30255,,,,,29843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Club Car Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Club Car Wash Operating, LLC",,First Lien Secured Debt,,"L+650, 1.00 Floor",,06/16/27,,,13778,,,,13545,,,,,13531,,,(9)(29),,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,First Lien Secured Debt,,"L+650, 1.00 Floor",,06/16/27,,16250,,3953,,,,3934,,,(9)(21)(23)  (29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,First Lien Secured Debt - Revolver,,"L+650, 1.00 Floor",,06/16/27,,2438,,(41),,,,(44),,,(8)(9)(21)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,17457,,,,17421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
