,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,,,"September 30, 2022",,,"March 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,(Unaudited),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Investments at fair value:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Non-controlled/non-affiliated investments (cost 0 $  2,032,159  and $  2,001,907  , respectively)",,,,1986374,,,,,1977647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Non-controlled/affiliated investments (cost 0 $  131,024  and $  130,866  , respectively)",,,,58829,,,,,63709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Controlled investments (cost 0 $  555,643  and $  613,056  , respectively)",,,,418342,,,,,481817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cash and cash equivalents,,,,60281,,,,,30033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Foreign currencies (cost 0 $  1,633  and $  601  , respectively)",,,,1455,,,,,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Receivable for investments sold,,,,7745,,,,,7989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Interest receivable,,,,13198,,,,,15554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Dividends receivable,,,,4649,,,,,5083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Deferred financing costs,,,,14604,,,,,17005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Prepaid expenses and other assets,,,,553,,,,,719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Total Assets,,,,2566030,,,,,2600121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Debt,,,,1504400,,,,,1550608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Payable for investments purchased,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Distributions payable,,,,20944,,,,,22913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Management and performance-based incentive fees payable,,,,12803,,,,,9912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Interest payable,,,,7803,,,,,3335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Accrued administrative services expense,,,,1583,,,,,897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Other liabilities and accrued expenses,,,,7461,,,,,7624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Total Liabilities,,,,1554994,,,,,1595289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Commitments and contingencies (Note 8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Net Assets,,,,1011036,,,,,1004832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Common stock, $  0.001  par value (  130,000,000  shares authorized;  65,451,359  and  63,647,240  shares issued and outstanding, respectively)",,,,62,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Capital in excess of par value,,,,2107124,,,,,2078760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Accumulated under-distributed (over-distributed) earnings,,,,"(  1,096,150",,,,,"(  1,073,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Net Assets,,,,1011036,,,,,1004832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Net Asset Value Per Share,,,,15.45,,,,,15.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
