,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS 0137.3,Par Amount*,Fair  Value (1),
0,CORPORATE DEBT0127.9,,,
1,SECURED DEBT074.3,,,
2,1st Lien Secured Debt035.6,,,
3,"Archroma, L+825, 10/1/18 ‡",35511.0,35422,
4,"Avanti Communications Group PLC, 10.00, 10/1/19  t  ‡",11000,11468,
5,"Avaya, Inc., 9.00, 4/1/19  t",6973,7304,
6,"Aveta, Inc., L+825, 12/12/17",61623,62123,
7,"Caza Petroleum Inc., L+1000, 5/23/17",35000,33548,
8,"Charming Charlie LLC, L+800, 12/18/19",11615,11441,
9,"Delta Educational Systems, Inc., 16.00 (8.00 Cash/8.00 PIK), 12/11/16",5327,5327,
10,"Endeavour Energy UK Limited, 9.75, 12/31/15 ‡",12500,12500,
11,"Endeavour International Corp., 12.00, 3/1/18 †‡",14621,15115,
12,"Endeavour International Corp., 13.00, 6/30/14 †‡",30000,30825,
13,"Evergreen Tank Solutions, Inc., L+800, 9/28/18 †",36920,36874,
14,"Evergreen Tank Solutions, Inc., L+800, 9/28/18 †",5408,5401,
15,"Magnetation, LLC, 11.00, 5/15/18  t",25750,28582,
16,"Maxus Capital Carbon SPE I, LLC (Skyonic Corp.), 13.00, 9/18/19",60000,60000,
17,"Miller Energy Resources, Inc., 18.00 (15.00 Cash/3.00 PIK Option), 6/29/17 †",55307,58625,
18,"Miller Energy Resources, Inc., 9.00, 6/29/17 †",20000,20800,
19,"Molycorp, Inc., 10.00, 6/1/20 ‡",40268,40067,
20,"New Publishing Holdings, LLC (F&W Media), L+650, 6/30/19",15920,15363,
21,"Osage Exploration & Development, Inc., L+1500, 4/27/15 ‡",20000,20000,
22,"Panda Sherman Power, LLC, L+750, 9/14/18",15000,15450,
23,"Panda Temple Power, LLC, L+1000, 7/17/18",25500,26265,
24,"Pelican Energy, LLC, 10.00 (7.00 Cash / 3.00 PIK), 12/31/18 ‡",16455,16784,
25,"Reichhold Holdings International B.V., L+975, 12/19/16 ‡",22500,22500,
26,"Spotted Hawk Development LLC, 14.00 (13.00 Cash/ 1.00 PIK), 6/30/16 ‡",24247,23556,
27,"Sunrun Solar Owner IX, LLC, 9.079, 12/31/24",3671,3500,
28,"Travel Leaders Group, LLC, L+600, 12/5/18",19600,19355,
29,"UniTek Global Services Inc., (Revolver) L+925, 4/15/16",48054,48054,
30,Total 1st Lien Secured Debt,669762,,
31,2nd Lien Secured Debt039.1,,,
32,"Active Network, Inc., L+850, 11/15/21",25000.0,25281,
33,"Allied Security Holdings, LLC, L+825, 2/2/18",31000,31349,
34,"Ardent Medical Services, Inc., L+950, 1/2/19",12000,12165,
