,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0128.7 (18),Maturity Date,Industry,Par Amount(12),Fair  Value (1),
0,Funded and Unfunded Revolver Obligations--3.9,,,,,
1,"Avaya, Inc., (Revolver) (16)",10/26/16,Telecommunications,18392.0,16828,
2,"Avaya, Inc., (Unfunded Revolver) (8)(16)",10/26/16,Telecommunications,18392,"(1,563",
3,"BMC Software, Inc., (Unfunded Revolver) (8)",9/10/18,Business Services,20760,"(1,868",
4,"CIT Group, Inc., (Unfunded Revolver) (8)(17)",1/27/17,Financial Services,25000,"(1,000",
5,"Confie Seguros Holding II Co., (Revolver) (16)",12/10/18,Insurance,1050,955,
6,"Confie Seguros Holding II Co., (Unfunded Revolver) (8)(16)",12/10/18,Insurance,2784,(251,
7,"Laureate Education Inc., (Revolver) (16)(17)",6/16/16,Education,28764,26175,
8,"Laureate Education, Inc., (Unfunded Revolver) (8)(16)(17)",6/16/16,Education,23,(2,
9,"Salix Pharmaceuticals, Ltd., (Unfunded Revolver) (8)(16)(17)",1/2/19,Healthcare,24867,(497,
10,"Tibco Software Inc., (Unfunded Revolver) (8)",12/5/19,Business Services,6000,(30,
11,"Transfirst Holdings, Inc., (Unfunded Revolver) (8)(16)",11/12/19,Financial Services,2940,(29,
12,"UniTek Global Services, Inc., (Unfunded Revolver)",1/21/15,Telecommunications,5000,0,
13,"UniTek Global Services, Inc., (Revolver)",4/15/16,Telecommunications,38731,38731,
14,"Walter Energy, Inc., (Unfunded Revolver) (8)(16)(17)",10/1/17,Mining,275,(48,
15,Total Funded and Unfunded Revolver Obligations,76209.0,77401,,,
16,Letters of Credit0 (0.0),,,,,
17,"Confie Seguros Holding II Co., Letter of Credit (8)(16)",10/27/14,Insurance,600.0,(54,
18,"Confie Seguros Holding II Co., Letter of Credit (8)(16)",1/13/15,Insurance,66,(6,
19,"Laureate Education Inc., Letter of Credit (8)(17)",6/16/16,Education,93,(8,
20,"Salix Pharmaceuticals, Ltd., Letter of Credit (16)(17)",2/10/15,Healthcare,8,0,
21,"Salix Pharmaceuticals, Ltd., Letter of Credit (8)(16)(17)",2/10/15,Healthcare,125,(3,
22,"Transfirst Holdings, Inc., Letter of Credit (8)(16)",11/12/19,Financial Services,60,(1,
23,"UniTek Global Services Inc., Letter of Credit",1/21/15,Telecommunications,17946,0,
24,"UniTek Global Services Inc., Letter of Credit",1/21/15,Telecommunications,1850,0,
25,"Walter Energy, Inc., Letter of Credit (8)(9)(16)(17)",9/18/14- 7/4/15,Mining,86,(15,
26,"Walter Energy, Inc., Letter of Credit (8)(9)(16)(17)",11/28/15- 8/31/15,Mining,CAD,0,(29
27,Total Letters of Credit,0.0,(116,,,
28,Total 1st Lien Secured Debt,922781.0,884758,,,
29,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  December 31, 2014  (in thousands, except shares)",,,,,
30,2nd Lien Secured Debt045.7,,,,,
31,Access Information,10/17/22,Business Services,25600.0,24192,
32,"Active Network, Inc.",11/15/21,Business Services,19672,19181,
33,"American Energy - Utica, LLC (10)",9/30/18,Oil and Gas,6828,6247,
34,"Appriss Holdings, Inc.",5/21/21,Business Services,25000,25000,
35,"Aptean, Inc.",2/26/21,Business Services,10322,9883,
36,"Armor Holdings, Inc. (American Stock Transfer and Trust Company)",12/26/20,Financial Services,8000,7880,
