,Investment,Interest  Rate (20),Par (12),Fair  Value (1),
0,Non-Controlled/Non-Affiliated Investments0120.6 (10),,,,
1,Corporate Debt0105.5,,,,
2,Secured Debt088.9,,,,
3,First Lien Secured Debt036.1,,,,
4,First Lien Secured Debt (excluding Revolvers and Letters of Credit)036.0,,,,
5,"Aventine Renewable Energy Holdings, Inc.",10.500 Cash (15.000 PIK Toggle),16339.0,15685,
6,"Aveta, Inc.","9.750 (3M L+825, 1.50 Floor)",51315,30575,
7,"Belk, Inc.","5.750 (6M L+475, 1.00 Floor)",10780,9513,
8,ChyronHego Corporation (18),"6.625 (3M L+563, 1.00 Floor)",32431,31783,
9,"Deep Gulf Energy II, LLC","14.500 (6M L+1300, 1.50 Floor)",50000,45625,
10,"Delta Educational Systems, Inc.",16.000 PIK,6509,6496,
11,Dodge Data & Analytics LLC,"9.750 (3M L+875, 1.00 Floor)",53503,52031,
12,ECN Holding Company (18),"8.000 (3M L+700, 1.00 Floor)",22388,21850,
13,"Hunt Companies, Inc. (11)",9.625,34008,30862,
14,"Magnetation, LLC (11)(13)(14)(16)",11.000,32632,1812,
15,"Magnetation, LLC (13)(14)(16)",12.000 PIK,13070,6607,
16,"Maxus Capital Carbon SPE I, LLC",13.000,63438,62800,
17,"My Alarm Center, LLC (16)","9.000 (12M L+800, 1.00 Floor)",42614,42614,
18,"My Alarm Center, LLC (16)(23)","9.000 (12M L+800 Funded, 0.350 Unfunded, 1.00 Floor)",11441,11441,
19,"My Alarm Center, LLC (16)(23)","9.000 (3M L+800 Funded, 0.350 Unfunded, 1.00 Floor)",3880,3880,
20,"Osage Exploration & Development, Inc. (11)(13)(14)(17)","13.000 (12M L+1100, 2.00 Floor), 13.000 PIK Toggle",25840,4489,
21,"Pelican Energy, LLC (17)","10.000 (7.000 Cash, 3.000 PIK)",28313,22878,
22,"Saba Software, Inc. (18)","9.750 (12M L+875, 1.00 Floor)",9950,9801,
23,"SCM Insurance Services, Inc. (17)",9.250,C$,32960,25863.0
24,"Spotted Hawk Development, LLC","19.000 (13.000 Cash, 6.000 PIK)",84380,68001,
25,Telestream Holdings Corporation (18),"7.430 (3M L+643, 1.00 Floor)",31891.0,31444,
26,UniTek Global Services Inc. (16),"9.500 (3M L+750, 1.000 PIK, 1.00 Floor)",17882,17882,
