,0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,
1,A-L Parent LLC,,Second Lien Secured Debt,,"8.82 (1M L+725, 1.00 Floor)",,12/02/24,,10048.0,,,,9960,,,,10148,,,
2,"American Media, Inc.",,First Lien Secured Debt,,"10.37 (3M L+900, 1.00 Floor)",,08/24/20,14267,,,13962,,,14623,,,,,,
3,,,First Lien Secured Debt - Letter of Credit,,L+750,,08/24/20,154,,,0,,,0,,,(23),,,
4,,,First Lien Secured Debt - Revolver,,"10.48 (3M L+900, 1.00 Floor)",,08/24/20,1185,,,1185,,,1215,,,(23),,,
5,,,First Lien Secured Debt - Revolver,,12.50 (P+800),,08/24/20,356,,,356,,,364,,,(23),,,
6,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,08/24/20,83,,,(35,,,0,,,(21)(23),,,
7,,,,,,,,,,15468,,,16202,,,,,,,
8,"Simplifi Holdings, Inc.",,First Lien Secured Debt,,"8.07 (1M L+650, 1.00 Floor)",,09/28/22,12170,,,11823,,,11804,,,(9),,,
9,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,09/28/22,2400,,,(68,,,(72,,,(8)(9)(21)(23),,,
10,,,,,,,,,,11755,,,11732,,,,,,,
11,"Total Advertising, Printing & Publishing",,,,37183,,,38082,,,,,,,,,,,,
12,Aerospace & Defense,,,,,,,,,,,,,,,,,,,
13,Erickson Inc,,First Lien Secured Debt - Letter of Credit,,7.50,,09/30/18,,104.0,,,,0,,,,(2,,,(8)(9)(23)
14,,,First Lien Secured Debt - Letter of Credit,,7.50,,12/10/18,37,,,0,,,(1,,,(8)(9)(23),,,
15,,,First Lien Secured Debt - Letter of Credit,,7.50,,04/01/18,277,,,0,,,(4,,,(8)(9)(23),,,
16,,,First Lien Secured Debt - Letter of Credit,,7.50,,06/25/18,3,,,0,,,0,,,(8)(9)(23),,,
17,,,First Lien Secured Debt - Letter of Credit,,7.50,,10/18/18,708,,,0,,,(11,,,(8)(9)(23),,,
18,,,First Lien Secured Debt - Letter of Credit,,7.50,,11/28/18,670,,,0,,,(10,,,(8)(9)(23),,,
19,,,First Lien Secured Debt - Letter of Credit,,7.50,,06/20/18,43,,,0,,,0,,,(8)(9)(23),,,
20,,,First Lien Secured Debt - Letter of Credit,,7.50,,02/02/18,200,,,0,,,(3,,,(8)(9)(23),,,
21,,,First Lien Secured Debt - Letter of Credit,,7.50,,03/31/20,1288,,,0,,,(19,,,(8)(9)(23),,,
22,,,First Lien Secured Debt - Revolver,,"9.19 (3M L+750, 1.00 Floor)",,04/28/22,21021,,,21021,,,20706,,,(9)(23),,,
23,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,04/28/22,20649,,,(393,,,(310,,,(8)(9)(21)(23),,,
24,,,,,,,,,,20628,,,20346,,,,,,,
25,ILC Dover LP,,Second Lien Secured Debt,,"10.19 (3M L+850, 1.00 Floor)",,06/28/24,20000,,,19549,,,19550,,,,,,
26,PAE Holding Corporation,,Second Lien Secured Debt,,"11.12 (2M L+950, 1.00 Floor)",,10/20/23,28097,,,27393,,,28272,,,(10),,,
27,Total Aerospace & Defense,,,,67570,,,68168,,,,,,,,,,,,
28,Automotive,,,,,,,,,,,,,,,,,,,
29,"K&N Parent, Inc.",,Second Lien Secured Debt,,"10.32 (1M L+875, 1.00 Floor)",,10/21/24,,27000.0,,,,26534,,,,26595,,,(10)
30,Total Automotive,,,,26534,,,26595,,,,,,,,,,,,
31,Aviation and Consumer Transport,,,,,,,,,,,,,,,,,,,
32,Merx Aviation,,,,,,,,,,,,,,,,,,,
33,Merx Aviation Finance Assets Ireland Limited (5),,First Lien Secured Debt - Letter of Credit,,2.25,,10/01/18,,3600.0,,,,0,,,,0,,,(23)
34,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,
35,"Merx Aviation Finance, LLC (5)",,First Lien Secured Debt - Letter of Credit,,2.25,,10/01/18,177,,,0,,,0,,,(23),,,
36,,,First Lien Secured Debt - Revolver,,12.00,,10/31/18,366300,,,366300,,,366300,,,(23),,,
37,,,Common Equity/Interests - Membership Interests,,,,,,,,15000,,,40987,,,,,,
38,Total Aviation and Consumer Transport,,,,381300,,,407287,,,,,,,,,,,,
39,Business Services,,,,,,,,,,,,,,,,,,,
40,"Access CIG, LLC",,Second Lien Secured Debt,,"10.25 (1M L+875, 1.00 Floor)",,10/17/22,,50970.0,,,,49434,,,,50066,,,
41,Aero Operating LLC,,First Lien Secured Debt,,"8.82 (1M L+725, 1.00 Floor)",,12/29/22,36520,,,35608,,,35607,,,(9),,,
42,,,First Lien Secured Debt - Revolver,,"8.82 (1M L+725, 1.00 Floor)",,12/29/22,2800,,,2800,,,2730,,,(9)(23),,,
43,,,First Lien Secured Debt - Unfunded Revolver,,1.00 Unfunded,,12/29/22,2450,,,(129,,,(61,,,(8)(9)(21)(23),,,
44,,,,,,,,,,38279,,,38276,,,,,,,
45,"Almonde, Inc",,Second Lien Secured Debt,,"8.73 (3M L+725, 1.00 Floor)",,06/13/25,2316,,,2294,,,2322,,,(10)(17),,,
46,Ambrosia Buyer Corp.,,Second Lien Secured Debt,,"9.38 (3M L+ 800, 1.00 Floor)",,08/28/25,21429,,,20917,,,20916,,,,,,
47,"Aptean, Inc.",,Second Lien Secured Debt,,"11.20 (3M L+950, 1.00 Floor)",,12/20/23,9548,,,9424,,,9631,,,(10),,,
48,"CT Technologies Intermediate Holdings, Inc",,Second Lien Secured Debt,,"10.57 (1M L+900, 1.00 Floor)",,12/01/22,31253,,,30428,,,30315,,,(9),,,
49,Electro Rent Corporation,,Second Lien Secured Debt,,"10.62 (2M L+900, 1.00 Floor)",,01/31/25,18334,,,17846,,,17967,,,(9),,,
50,,,Second Lien Secured Debt,,"10.62 (1M L+900, 1.00 Floor)",,01/31/25,18264,,,17740,,,17899,,,(9),,,
51,,,,,,,,,,35586,,,35866,,,,,,,
52,"Ministry Brands, LLC",,Second Lien Secured Debt,,"10.63 (3M L+925, 1.00 Floor)",,06/02/23,10000,,,9874,,,9869,,,,,,
53,"Newscycle Solutions, Inc.",,First Lien Secured Debt,,"8.57 (1M L+700, 1.00 Floor)",,12/28/22,13743,,,13400,,,13399,,,(9)(25),,,
54,,,First Lien Secured Debt - Unfunded Delayed Draw,,2.00 Unfunded,,12/28/22,1257,,,0,,,(31,,,(8)(9)(21)(23)(25),,,
55,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,12/28/22,500,,,(12,,,(13,,,(8)(9)(21)(23)(25),,,
56,,,,,,,,,,13388,,,13355,,,,,,,
57,"PSI Services, LLC",,First Lien Secured Debt,,"6.56 (1M L+500, 1.00 Floor)",,01/20/23,4132,,,4044,,,4062,,,(9),,,
58,,,First Lien Secured Debt - Revolver,,"6.57 (1M L+500, 1.00 Floor)",,01/20/22,79,,,79,,,78,,,(9)(23),,,
59,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,01/20/22,159,,,(8,,,(3,,,(8)(9)(21)(23),,,
60,,,First Lien Secured Debt - Revolver,,"6.50 (1M L+500, 1.00 Floor)",,01/20/22,159,,,159,,,156,,,(9)(23),,,
