,Industry / Company,Interest Rate (20),Par / Shares (12),Cost (28),Fair  Value (1) (29),
0,"Advertising, Printing & Publishing",,,,,
1,A-L Parent LLC,"9.78 (1M L+725, 1.00 Floor)",5536.0,5495,5536,
2,"American Media, Inc.","10.53 (3M L+800, 1.00 Floor)",11633,11471,12214,
3,"Simplifi Holdings, Inc.","8.02 (1M L+550, 1.00 Floor)",25427,24983,25173,
4,"Total Advertising, Printing & Publishing",41873,,,,
5,Aerospace & Defense,,,,,
6,Erickson Inc,"10.30 (3M L+750, 1.00 Floor)",21257.0,21257,20779,
7,ILC Dover LP,"11.38 (6M L+850, 1.00 Floor)",20000,19618,19550,
8,PAE Holding Corporation,"12.12 (2M L+950, 1.00 Floor)",28097,27510,27675,
9,Total Aerospace & Defense,68011,,,,
10,Automotive,,,,,
11,Accelerate Parent Corp.,"1,664,046 Shares",0.0,(13),,
12,Crowne Automotive,,,,,
13,"Vari-Form Group, LLC","13.80 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",6627.0,6266,3777,
14,Vari-Form Inc.,"13.80 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",10443,9836,5953,
15,"K&N Parent, Inc.","11.27 (1M L+875, 1.00 Floor)",23765,23414,22873,
16,Total Automotive,41230,,,,
17,Aviation and Consumer Transport,,,,,
18,Merx Aviation,,,,,
19,Merx Aviation Finance Assets Ireland Limited (5),2.25,3600.0,0,0,
20,"Merx Aviation Finance, LLC (5)",12.00,402200,402200,402200,
21,Total Aviation and Consumer Transport,417200,,,,
22,"Beverage, Food & Tobacco",,,,,
23,"Eagle Foods Family Group, LLC","9.30 (3M L+650, 1.00 Floor)",24875.0,24621,24626,
24,Florida Food Products,,,,,
25,"Florida Food Products, Inc.","9.27 (1M L+675, 1.00 Floor)",23229,22675,22997,
26,"Florida Food Products, LLC","9.27 (1M L+675, 1.00 Floor)",1062,1062,1051,
27,TNT Crust LLC,"8.77 (1M L+625, 1.00 Floor)",9106,8929,8924,
28,"Total Beverage, Food & Tobacco",57421,,,,
29,Business Services,,,,,
30,"Access CIG, LLC",10.46 (3M L+775),15900.0,15768,15761,
31,Aero Operating LLC,"9.77 (1M L+725, 1.00 Floor)",37249,36483,36876,
32,Ambrosia Buyer Corp.,"10.50 (2M L+800, 1.00 Floor)",21428,20982,20966,
33,"Aptean, Inc.","12.31 (3M L+950, 1.00 Floor)",11148,11059,11162,
34,"CT Technologies Intermediate Holdings, Inc","11.52 (1M L+900, 1.00 Floor)",31253,30594,29378,
35,Education Personnel,"7.28 (6M L+475, 0.50 Floor)",£,4118.0,5213,(9)(17)
36,Electro Rent Corporation,"11.53 (3M L+900, 1.00 Floor)",36598,35706,35866,
37,McLarens Global Ltd.,,,,,
38,Margaux Acquisition Inc.,"8.18 (3M L+600, 1.00 Floor)",17614,17264,17262,
39,Margaux UK Finance Limited,"8.80 (3M L+600, 1.00 Floor)",£,5955.0,7375,(9)(17)
40,"Ministry Brands, LLC","11.77 (1M L+925, 1.00 Floor)",10000,9897,10050,
