,Industry / Company,Interest Rate (20),Par/Shares (12),Cost (26),Fair Value (1)(27),,
0,"Advertising, Printing & Publishing",,,,,,
1,FingerPaint Marketing,,,,,,
2,KL Charlie Acquisition Company,"7.25 (3M L+625, 1.00 Floor)",13212,12948,12947,(9),
3,"KL Charlie Co-Invest, L.P.","218,978 Shares",219,(9)(13)  (25),,,
4,"Simplifi Holdings, Inc.",,,,,,
5,"Simplifi Holdings, Inc.","7.25 (6M L+625, 1.00 Floor)",38537,37986,37612,(9),
6,Aerospace & Defense,,,,,,
7,Erickson Inc,,,,,,
8,Erickson Inc,"9.00 (3M L+750, 1.50 Floor)",28330,28330,27905,(9)(23),
9,Automotive,,,,,,
10,Accelerate Parent Corp. (American Tire),,,,,,
11,Accelerate Parent Corp.,"1,664,046 Shares",0,(13)(19),,,
12,Arlington,,,,,,
13,Arlington Industries Group Limited,"5.75 (1M E+525, 0.50 Floor)",€,1214,1371,1478,(9)(17)
14,Crowne Automotive,,,,,,
15,"Vari-Form Group, LLC",L+11.00 (7.00 Cash plus 4.00 PIK),5860,901,293,(9)(13)  (14),
16,Vari-Form Inc.,L+11.00 (7.00 Cash plus 4.00 PIK),2110,391,105,(9)(13)  (14),
17,"K&N Parent, Inc.",,,,,,
18,"K&N Parent, Inc.","9.75 (3M L+875, 1.00 Floor)",23765,23534,21982,,
19,"Truck-Lite Co., LLC",,,,,,
20,"Truck-Lite Co., LLC","7.25 (3M L+625, 1.00 Floor)",28657,28075,28000,(9),
21,"TL Lighting Holdings, LLC",350 Shares,302,(9)(13),,,
22,Aviation and Consumer Transport,,,,,,
23,"Merx Aviation Finance, LLC",,,,,,
24,"Merx Aviation Finance, LLC (5)",10.00,200000,200000,200000,(23),
25,Primeflight,,,,,,
26,"PrimeFlight Aviation Services, Inc.","6.50 (1M L+550, 1.00 Floor)",14683,14524,14301,(9),
27,"Beverage, Food & Tobacco",,,,,,
28,Bolthouse Farms,,,,,,
29,"Wm. Bolthouse Farms, Inc.","1,000,000 Shares",1230,(13),,,
30,Eagle Foods,,,,,,
31,"Eagle Foods Family Group, LLC","7.50 (3M L+650, 1.00 Floor)",23958,23803,23599,(9),
32,"Florida Food Products, Inc.",,,,,,
33,"Florida Food Products, Inc.","7.50 (3M L+650, 1.00 Floor)",22764,22382,22536,(9),
34,"Florida Food Products, LLC","7.50 (3M L+650, 1.00 Floor)",479,479,475,(9)(23),
35,"Orgain, Inc.",,,,,,
36,"Butterfly Fighter Co-Invest, L.P.","1,000,000 Shares",1555,(13),,,
37,TNT Crust LLC,,,,,,
38,TNT Crust LLC,"7.75 (3M L+675, 1.00 Floor)",20428,20153,20123,(9),
39,Turkey Hill,,,,,,
40,IC Holdings LLC,169 Shares,385,(9)(13),,,
41,THLP CO. LLC,"7.00 (1M L+600, 1.00 Floor)",19562,19273,19366,(9),
42,Business Services,,,,,,
43,Access Information,,,,,,
44,"Access CIG, LLC",7.98 (3M L+775),15900,15802,15704,,
45,Ambrosia Buyer Corp.,,,,,,
46,Ambrosia Buyer Corp.,"9.00 (1M L+800, 1.00 Floor)",21429,21018,10097,(13)(14),
47,AML Rightsource,,,,,,
48,"Gabriel Partners, LLC","7.25 (6M L+625, 1.00 Floor)",8117,7925,7885,(9),
49,Claritas,,,,,,
50,"Claritas, LLC","7.00 (3M L+600, 1.00 Floor)",3771,3747,3723,(9),
51,Continuum,,,,,,
52,"Continuum Global Solutions, LLC","6.50 (1M L+550, 1.00 Floor)",1728,1728,1690,(9)(23),
53,Education Personnel,,,,,,
54,Arthur Bidco Limited,"5.25 (3M GBPL+475, 0.50 Floor)",£,4035,5156,5249,(9)(17)
55,Electro Rent Corporation,,,,,,
56,Electro Rent Corporation,"10.00 (3M L+900, 1.00 Floor)",34235,33639,33551,(9),
57,Elo Touch,,,,,,
58,TGG TS Acquisition Company,0.50 Unfunded,1750,0,(56),(8)(21)  (23),
59,Ensemble Health,,,,,,
60,"EHL Merger Sub, LLC",0.25 Unfunded,4155,(273),(141),(8)(21)  (23),
61,Jacent,,,,,,
62,Jacent Strategic Merchandising,"6.75 (3M L+575, 1.00 Floor)",22409,22186,21640,(9),
63,"JSM Equity Investors, L.P.",114 Shares,11,(9)(13)  (25),,,
64,Jones & Frank,,,,,,
65,"JF Acquisition, LLC","6.50 (12M L+550, 1.00 Floor)",13139,12949,12815,(9),
66,MAKS,,,,,,
67,Trident Bidco Limited,"6.50 (6M L+550, 1.00 Floor)",34563,33722,33726,(9)(17),
68,McLarens,,,,,,
69,Margaux Acquisition Inc.,"6.75 (3M L+575, 1.00 Floor)",23110,22803,22814,(9),
70,Margaux UK Finance Limited,"6.75 (3M GBPL+575, 1.00 Floor)",£,7201,8979,9749,(9)(17)
71,"Newscycle Solutions, Inc.",,,,,,
72,"Newscycle Solutions, Inc.","8.00 (3M L+700, 1.00 Floor)",9842,9743,9645,(9),
73,"PSI Services, LLC",,,,,,
74,"Lifelong Learner Holdings, LLC","6.75 (3M L+575, 1.00 Floor)",32618,32062,31348,(9),
75,"RA Outdoors, LLC (Active Outdoors)",,,,,,
76,"RA Outdoors, LLC","5.75 (6M L+475, 1.00 Floor)",6542,6473,6444,(9),
77,Soliant,,,,,,
78,"Soliant Holdings, LLC","6.50 (1M L+550, 1.00 Floor)",17928,17621,17614,(9),
79,"Soliant Health, Inc.",300 Shares,320,(9)(13),,,
80,"Transplace Holdings, Inc.",,,,,,
81,"Transplace Holdings, Inc.","9.75 (3M L+875, 1.00 Floor)",8599,8469,8470,,
82,US Legal Support,,,,,,
83,"US Legal Support Investment Holdings, LLC","631,972 Shares",480,(9)(13),,,
84,"USLS Acquisition, Inc.","6.75 (3M L+575, 1.00 Floor)",24312,23988,22721,(9),
85,"Chemicals, Plastics & Rubber",,,,,,
86,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),,,,,,
87,Carbonfree Chemicals Holdings LLC (4),"2,288 Shares",25145,(13)(16)  (25),,,
88,Carbonfree Chemicals SA LLC (4),"3,152 Shares",0,(3)(13)  (16)(25),,,
89,Niacet Corporation,,,,,,
90,"Hare Bidco, Inc.","9.75 (1M E+875, 1.00 Floor)",€,11351,12157,13820,
91,"Westfall Technik, Inc.",,,,,,
92,"Westfall Technik, Inc.","7.25 (1M L+625, 1.00 Floor)",15820,15616,15241,(9),
93,Construction & Building,,,,,,
94,Englert,,,,,,
95,"Gutter Buyer, Inc.","7.25 (1M L+625, 1.00 Floor)",28387,28005,27705,(9),
96,"Gutter Holdings, LP",500 Shares,1107,(9)(13),,,
97,Consumer Goods – Durable,,,,,,
98,A&V,,,,,,
99,"A&V Holdings Midco, LLC","6.38 (6M L+538, 1.00 Floor)",10997,10641,10271,,
100,"Hayward Industries, Inc.",,,,,,
101,"Hayward Industries, Inc.",8.40 (1M L+825),21919,21725,21770,,
102,KDC,,,,,,
103,KDC US Holdings,0.25 Unfunded,5912,0,(107),(8)(21)  (23),
104,"KLO Holdings, LLC",,,,,,
105,1244311 B.C. Ltd. (4),"6.00 (1M L+500 PIK, 1.00 Floor)",1000,1000,935,(17),
106,9357-5991 Quebec Inc. (4),11.55 (3M L+775 Cash plus 2.00 PIK),3836,0,0,(13)(14),
107,Liqui-Box,,,,,,
108,"Liqui-Box Holdings, Inc.","5.50 (3M L+450, 1.00 Floor)",1661,1661,1656,(23),
109,NSi Industries,,,,,,
110,"Wildcat BuyerCo, Inc.","6.25 (3M L+525, 1.00 Floor)",7192,6938,7070,,
111,Wildcat Parent LP,"1,070 Shares",129,(13)(25),,,
112,"Sorenson Holdings, LLC",,,,,,
113,"Sorenson Holdings, LLC",587 Shares,493,(10)(13),,,
114,Consumer Goods – Non-durable,,,,,,
115,3D Protein,,,,,,
116,"Protein For Pets Opco, LLC","6.00 (3M L+500, 1.00 Floor)",11487,11313,11372,(9),
117,Beauty Industry Group (BIG),,,,,,
118,"BIG Buyer, LLC","7.50 (6M L+650, 1.00 Floor)",22198,21820,21878,(9),
119,Dan Dee,,,,,,
120,"Project Comfort Buyer, Inc.",9.25 (P+600),173,170,165,(9),
121,DMC,,,,,,
122,Lion Cashmere Midco Limited,"6.25 (6M L+525, 1.00 Floor)",13053,12892,12533,(9)(17),
123,LashCo,,,,,,
124,"Lash OpCo, LLC",9.25 (P+600),10248,10001,9967,(9),
125,Olaplex,,,,,,
126,"Olaplex, Inc.","7.50 (1M L+650, 1.00 Floor)",12379,12171,12379,(9),
127,"Sequential Brands Group, Inc.",,,,,,
128,"Sequential Brands Group, Inc.","9.75 (1M L+875, 1.00 Floor)",12880,12813,12300,(17),
129,Consumer Services,,,,,,
130,Clarus Commerce,,,,,,
131,"Marlin DTC-LS Midco 2, LLC","6.50 (6M L+550, 1.00 Floor)",9175,9055,9032,,
132,First Heritage,,,,,,
133,"First Heritage Credit, LLC",4.90 (1M L+475),16500,16431,16319,(9),
134,Go Car Wash,,,,,,
135,Go Car Wash Management Corp.,"6.75 (1M L+575, 1.00 Floor)",1667,1638,1629,(9),
136,Lending Point,,,,,,
137,LendingPoint LLC,"11.50 (3M L+1050, 1.00 Floor)",11375,11261,11261,(9),
138,Nutrisystem,,,,,,
139,"Nutrisystem, Inc.","7.50 (3M L+650, 1.00 Floor)",8800,8625,8624,,
140,Only About Children,,,,,,
141,Nemo (BC) Bidco Pty Ltd,"7.75 (1M BBSW+675, 1.00 Floor)",A$,6768,4934,4987,(17)
142,Paper Source,,,,,,
143,"Paper Source, Inc.","8.00 (3M L+700, 1.00 Floor)",11325,11171,8947,(9),
144,"Pinstripe Holdings, LLC",,,,,,
145,"Pinstripe Holdings, LLC",6.27 (3M L+600),6878,6784,6796,,
146,The Club Company,,,,,,
147,Eldrickco Limited,"6.75 (6M GBPL+625 PIK, 0.50 Floor)",£,10975,13781,14154,(9)(17)
148,"Tidewater Consumer Receivables, LLC",,,,,,
149,"Tidewater Consumer Receivables, LLC",5.90 (1M L+575),2522,2508,2566,(9)(17),
150,US Auto,,,,,,
151,"U.S. Auto Finance, Inc.","6.25 (3M L+525, 1.00 Floor)",11949,11976,11885,(9),
152,"Containers, Packaging & Glass",,,,,,
153,"TricorBraun Holdings, Inc.",,,,,,
154,"TricorBraun Holdings, Inc.",0.38 Unfunded,5625,(92),(12),(8)(21)  (23),
155,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,
156,Celink,,,,,,
157,Compu-Link Corporation,0.50 Unfunded,2273,(35),(28),(8)(9)  (21)(23),
158,"Peer Advisors, LLC","6.50 (1M L+550, 1.00 Floor)",19943,19633,19702,(9),
159,"Exeter Property Group, LLC",,,,,,
160,"Exeter Property Group, LLC",4.65 (1M L+450),4563,4517,4512,(9),
161,"Flock Financial, LLC",,,,,,
162,"Flock SPV I, LLC","7.50 (1M L+650, 1.00 Floor)",14533,14500,14298,(9)(17),
163,Golden Bear,,,,,,
164,"Golden Bear 2016-R, LLC (4)",09/20/42,10071,(3)(17),,,
165,"Purchasing Power, LLC",,,,,,
166,"Purchasing Power Funding I, LLC",6.65 (1M L+650),9113,9112,9020,(9)(23),
167,"Ten-X, LLC",,,,,,
168,"Ten-X, LLC",3.40 (1M L+325),4680,4533,4454,(23),
169,Education,,,,,,
170,NFA Group,,,,,,
171,SSCP Spring Bidco Limited,"6.75 (6M GPBL+625, 0.50 Floor)",£,30000,36118,40558,(9)(17)
172,Energy – Electricity,,,,,,
173,"Renew Financial LLC (f/k/a Renewable Funding, LLC)",,,,,,
174,"AIC SPV Holdings II, LLC (4)","534,375 Shares",375,(17)(15)  (25),,,
175,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)","1,505,868 Shares",330,(13)(25),,,
176,Renew JV LLC (4),"741,526 Shares",861,(13)(17)  (25),,,
177,Solarplicity Group Limited (f/k/a AMP Solar UK),,,,,,
178,Solarplicity UK Holdings Limited,4.00,£,5562,7637,2444,(13)(14)  (17)
179,Energy – Oil & Gas,,,,,,
180,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)",,,,,,
181,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",10.00 PIK,40121,36926,8179,(13)(14),
182,Pelican,,,,,,
183,"Pelican Energy, LLC (4)","1,444 Shares",2170,(13)(16)  (17)(25),,,
184,Spotted Hawk,,,,,,
185,"SHD Oil & Gas, LLC (5)",4.00,45917,44059,6895,(13)(14)  (16),
186,Environmental Industries,,,,,,
187,Denali,,,,,,
188,"Dispatch Acquisition Holdings, LLC","6.50 (3M L+550, 1.00 Floor)",19004,18660,18624,(9),
189,Ortega National Parks,,,,,,
190,"Ortega National Parks, LLC","6.25 (6M L+525, 1.00 Floor)",11632,11449,11099,(9),
191,Healthcare & Pharmaceuticals,,,,,,
192,Akoya,,,,,,
193,"Akoya Biosciences, Inc.","7.85 (1M L+635, 1.50 Floor)",9750,9720,9701,(9),
194,"Altasciences, Inc.",,,,,,
195,9360-1367 Quebec Inc.,"6.75 (1M L+575, 1.00 Floor)",2817,2793,2769,(9)(17),
196,"Altasciences US Acquistion, Inc.","6.75 (1M L+575, 1.00 Floor)",5950,5889,5846,(9),
197,American Veterinary Group,,,,,,
198,AVG Intermediate Holdings LLC,"9.75 (1M L+825, 1.50 Floor)",13225,13040,13206,(9),
199,AmeriVet,,,,,,
200,"Amerivet Partners Management, Inc.","6.25 (3M L+525, 1.00 Floor)",511,504,509,(9),
201,Amerivet Partners Parent LP,13 Shares,217,(9)(13)  (25),,,
202,Analogic,,,,,,
203,Analogic Corporation,"6.25 (1M L+525, 1.00 Floor)",18078,17815,17807,(9),
204,"BioClinica Holding I, LP",,,,,,
205,"BioClinica Holding I, LP","9.25 (1M L+825, 1.00 Floor)",24612,24345,24066,,
206,BK Medical,,,,,,
207,"BK Medical Holding Company, Inc.","6.25 (1M L+525, 1.00 Floor)",7250,7193,7179,(9),
208,CARE Fertility,,,,,,
209,Royton Bidco Limited,"6.75 (6M GBPL+625, 0.50 Floor)",£,15510,19769,20827,(9)(17)
210,Cerus,,,,,,
211,Cerus Corporation,"7.25 (1M L+545, 1.80 Floor)",12000,11961,12360,(9)(17),
212,Dohmen Life Science Services,,,,,,
213,"LSCS Holdings, Inc",8.51 (6M L+825),19818,19516,19220,,
214,Emmes Corporation,,,,,,
215,"Emmes Blocker, Inc.",306 Shares,456,(9)(13),,,
216,"The Emmes Company, LLC","6.00 (6M L+500, 1.00 Floor)",12031,11905,11730,(9),
217,"Genesis Healthcare, Inc.",,,,,,
218,"Genesis Healthcare, Inc.","6.50 (3M L+600, 0.50 Floor)",25000,24836,24523,(9),
