,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS 0137.3,Industry,Par Amount,Cost,Fair_Value
3,"Archroma, L+825, 10/1/18 ‡",Chemicals,35511,34819,35422
4,"Avanti Communications Group PLC, 10.00, 10/1/19  t  ‡",Telecommunications,11000,11000,11468
5,"Avaya, Inc., 9.00, 4/1/19  t",Telecommunications,6973,7134,7304
6,"Aveta, Inc., L+825, 12/12/17",Healthcare,61623,60087,62123
7,"Caza Petroleum Inc., L+1000, 5/23/17",Oil & Gas,35000,33892,33548
8,"Charming Charlie LLC, L+800, 12/18/19",Retail,11615,11441,11441
9,"Delta Educational Systems, Inc., 16.00 (8.00 Cash/8.00 PIK), 12/11/16",Education,5327,5327,5327
10,"Endeavour Energy UK Limited, 9.75, 12/31/15 ‡",Oil & Gas,12500,12500,12500
11,"Endeavour International Corp., 12.00, 3/1/18 †‡",Oil & Gas,14621,14147,15115
12,"Endeavour International Corp., 13.00, 6/30/14 †‡",Oil & Gas,30000,30320,30825
13,"Evergreen Tank Solutions, Inc., L+800, 9/28/18 †","Containers,  Packaging, and  Glass",36920,36375,36874
14,"Evergreen Tank Solutions, Inc., L+800, 9/28/18 †","Containers,  Packaging, and  Glass",5408,5408,5401
15,"Magnetation, LLC, 11.00, 5/15/18  t",Mining,25750,25903,28582
16,"Maxus Capital Carbon SPE I, LLC (Skyonic Corp.), 13.00, 9/18/19",Chemicals,60000,60000,60000
17,"Miller Energy Resources, Inc., 18.00 (15.00 Cash/3.00 PIK Option), 6/29/17 †",Oil & Gas,55307,55307,58625
18,"Miller Energy Resources, Inc., 9.00, 6/29/17 †",Oil & Gas,20000,20000,20800
19,"Molycorp, Inc., 10.00, 6/1/20 ‡","Diversified Natural  Resources,  Precious Metals  and Minerals",40268,39809,40067
20,"New Publishing Holdings, LLC (F&W Media), L+650, 6/30/19",Printing &  Publishing,15920,14720,15363
21,"Osage Exploration & Development, Inc., L+1500, 4/27/15 ‡",Oil & Gas,20000,19701,20000
22,"Panda Sherman Power, LLC, L+750, 9/14/18",Energy,15000,14813,15450
23,"Panda Temple Power, LLC, L+1000, 7/17/18",Energy,25500,25081,26265
24,"Pelican Energy, LLC, 10.00 (7.00 Cash / 3.00 PIK), 12/31/18 ‡",Oil & Gas,16455,15881,16784
25,"Reichhold Holdings International B.V., L+975, 12/19/16 ‡",Financial Services,22500,22500,22500
26,"Spotted Hawk Development LLC, 14.00 (13.00 Cash/ 1.00 PIK), 6/30/16 ‡",Oil & Gas,24247,23597,23556
27,"Sunrun Solar Owner IX, LLC, 9.079, 12/31/24",Energy,3671,3510,3500
28,"Travel Leaders Group, LLC, L+600, 12/5/18",Business Services,19600,18436,19355
29,"UniTek Global Services Inc., (Revolver) L+925, 4/15/16",Telecommunications,48054,48054,48054
32,"Active Network, Inc., L+850, 11/15/21",Business Services,25000,24876,25281
33,"Allied Security Holdings, LLC, L+825, 2/2/18",Business Services,31000,30793,31349
34,"Ardent Medical Services, Inc., L+950, 1/2/19",Healthcare,12000,11727,12165
35,"Armor Holdings, Inc. (American Stock Transfer and Trust Company), L+900, 12/26/20",Financial Services,8000,7847,8020
36,"Bennu Oil & Gas, LLC, L+900, 11/1/18",Oil & Gas,12098,11992,12219
37,"BJ's Wholesale Club, Inc, L+750, 3/26/20",Retail,20000,19901,20463
38,"Brock Holdings III, Inc., L+825, 3/16/18",Environmental  Services,19500,19233,19866
39,"Confie Seguros Holding II Co., L+900, 5/8/19",Insurance,27344,27086,27617
40,"Consolidated Precision Products Corp., L+775, 4/30/21",Aerospace & Defense,8940,8896,9108
41,"Del Monte Foods Co, L+725, 7/26/21","Beverage, Food & Tobacco",15140,14989,15348
42,"Deltek, Inc., L+875, 10/10/19",Business Services,27273,27015,27682
43,"Digital Insight Corporation, L+775, 8/1/20",Business Services,7820,7743,7986
44,"Garden Fresh Restaurant Corp., 7.25 PIK, 1/1/19 †",Restaurants,7525,5410,5117
45,"Garden Fresh Restaurant Corp., 14.50 PIK, 1/1/19 †",Restaurants,33305,31044,29641
46,"GCA Services Group, Inc., L+800, 11/1/20",Diversified Service,22838,22942,23194
47,"Grocery Outlet Inc., L+925, 6/17/19",Grocery,8674,8521,8847
48,"HD Vest Inc., L+800, 6/18/19 ‡",Financial Services,9396,9287,9302
49,"Healogics, Inc., L+800, 2/5/20",Healthcare,10000,10113,10225
50,"Insight Pharmaceuticals, LLC, L+1175, 8/25/17",Consumer Products,15448,15232,15217
51,"Kronos, Inc., L+850, 4/30/20",Business Services,76920,75985,79997
52,"Learfield Communications, Inc., L+775, 10/8/21",Media,15000,14852,15375
53,"Ranpak Corp., L+725, 4/23/20",Packaging,22000,21795,22660
54,"River Cree Enterprises LP, 11.00, 1/20/21  t  ‡","Hotels, Motels, Inns & Gaming",35000,32996,34176
55,"Sedgwick Holdings, Inc., L+700, 12/12/18",Business Services,15225,15154,15510
56,"SESAC Holdco II LLC, L+875, 7/12/19",Broadcasting &  Entertainment,10750,10882,11019
57,"Sprint Industrial Holdings, LLC, L+1000, 11/14/19","Containers,  Packaging, and  Glass",14163,13921,14305
58,"SquareTwo Financial Corp. (Collect America, Ltd.), 11.625, 4/1/17 ‡",Financial Services,51079,49713,53218
59,"Transfirst Holdings Inc., L+975, 6/27/18",Financial Services,64750,63258,65681
60,"TriNet HR Corporation, L+775, 2/20/21",Business Services,7130,6992,7170
61,"U.S. Renal Care, Inc., L+900, 1/3/20 †",Healthcare,11927,11982,12151
62,"U.S. Renal Care, Inc., L+750, 7/3/20 †",Healthcare,10100,9904,10264
63,"Valerus Compression Services, LP, 11.50, 3/26/18",Manufacturing,40000,40000,41200
64,"Vertafore, Inc., L+825, 10/29/17",Business Services,50436,50152,51445
67,"Advantage Sales & Marketing, Inc., (Revolver) L+400, 12/17/15 (8)",Grocery,5500,0,(413
68,"Avaya, Inc., (Revolver) L+275, 10/26/16 (8)",Telecommunications,36785,"(5,702","(3,035"
69,"BMC Software Inc., (Revolver), L+400, 9/10/18 (8)",Business Services,30760,"(3,677","(2,153"
70,"Confie Seguros Holding II Co., (Revolver), L+525, 11/9/17 (8)",Insurance,4500,(450,(495
71,"Reichhold Holdings International B.V., (Revolver) L+600, 12/19/16 ‡",Financial Services,12500,0,0
72,"Salix Pharmaceuticals, Ltd., (Revolver) L+300, 1/2/19 ‡(8)",Healthcare,25000,"(2,000","(2,000"
73,"UniTek Global Services Inc., (Revolver) L+925, 4/15/16",Telecommunications,26946,0,0
77,"Allied Nevada Gold Corp., 8.75, 6/1/19  t  ‡","Diversified Natural  Resources, Precious  Metals and Minerals",16981,15350,10229
78,"Altegrity, Inc., 0.00, 8/2/16 †",Diversified Service,3545,2584,1276
79,"Altegrity, Inc., 12.00, 11/1/15 †  t",Diversified Service,44000,44000,40095
80,"American Tire Distributors, Inc., 11.50, 6/1/18",Distribution,25000,25000,25670
81,"BCA Osprey II Limited (British Car Auctions), 12.50 PIK,  8/17/17 †‡",Transportation,20948,33142,34764
82,"BCA Osprey II Limited (British Car Auctions), 12.50 PIK,  8/17/17 †‡",Transportation,12721,17473,17564
83,"Ceridian Corp., 12.25 Cash or 13.00 PIK, 11/15/15 †",Diversified Service,14420,14420,14555
84,"Ceridian Corp., 11.25, 11/15/15 †",Diversified Service,35800,35800,36136
85,"Ceridian Corp., 11.00, 3/15/21 †  t",Diversified Service,34000,34000,39100
86,"CRC Health Corp., 10.75, 2/1/16",Healthcare,13000,13088,13073
87,"Delta Educational Systems, Inc., 16.00 (10.00 Cash/ 6.00 PIK), 5/12/17",Education,21361,21010,20218
88,"Denver Parent Corp.(Venoco), 12.25, 8/15/18  t",Oil & Gas,25000,24363,24563
89,"Energy & Exploration Partners, Inc., 15.00, 4/8/18 †",Oil & Gas,25000,22304,23823
90,"Energy & Exploration Partners, Inc., 15.00, 12/12/18 †",Oil & Gas,4464,4256,4254
91,"Exova Limited, 10.50, 10/15/18 †‡  t",Business Services,18000,27202,32347
92,"Exova Limited, 10.50, 10/15/18 †‡",Business Services,4655,6194,8365
93,"First Data Corp., 11.25, 1/15/21 †  t",Financial Services,67000,66977,74161
94,"First Data Corp., 10.625, 6/15/21 †  t",Financial Services,10000,10000,10941
95,"First Data Corp., 11.25, 3/31/16 †",Financial Services,17941,17105,18019
96,"First Data Corp., 12.625, 1/15/21 †",Financial Services,5000,5642,5888
97,"inVentiv Health, Inc., 11.00, 8/15/18  t",Healthcare,146000,146000,129757
98,"Lonestar Intermediate Super Holdings, LLC (Asurion), L+950,  9/2/19",Insurance,55125,55630,57054
99,"Niacet Corporation, 13.00, 8/28/18",Chemicals,12500,12500,12500
100,"PetroBakken Energy Ltd. (Lightstream Resources Ltd), 8.625, 2/1/20 ‡  t",Oil & Gas,59082,59800,60042
101,"Prospect Holding Co LLC, 10.25, 10/1/18 ‡  t",Financial Services,7500,7129,7087
103,"Symbion Inc., 11.00, 8/23/15",Healthcare,8508,8523,8550
104,"Tervita Corporation, 10.875, 2/15/18  t  ‡",Environmental Services,26000,25150,26390
105,"U.S. Security Associates Holdings, Inc., 11.00, 7/28/18",Business Services,135000,135000,138510
106,"Univar Inc., 10.50, 6/30/18",Distribution,20000,20000,20000
107,"Varietal Distribution, 10.75, 6/30/17 †  t",Distribution,11574,15098,16267
108,"Varietal Distribution, 10.75, 6/30/17 †  t",Distribution,22204,21890,22648
109,"Venoco, Inc., 8.875, 2/15/19",Oil & Gas,38050,38473,37859
110,"Wind Acquisition Holdings, 12.25 PIK, 7/15/17 ‡  t",Telecommunications,37500,38413,39813
114,"Craft CLO Ltd., L+925, 4/17/20 ‡",Diversified  Investment Vehicle,20000,20000,20171
115,"Dark Castle Holdings, LLC",Media,32415,9306,10058
116,"JP Morgan Chase & Co, Credit-Linked Note, L+1225, 12/20/21 ‡",Diversified  Investment Vehicle,43250,43250,43250
117,"Renaissance Umiat, LLC, ACES, Tax Receivable ****‡",Oil & Gas,0,7977,8816
118,"Westbrook CLO Ltd., Series 2006-1A, Class E, L+370, 12/20/20 ‡",Diversified  Investment Vehicle,11000,7583,10395
121,"CA Holding, Inc. (Collect America, Ltd.) Series A **‡",Financial Services,7961,788,1592
122,"Crowley Holdings, Series A, 12.00 (10.00 Cash / 2.00 PIK)",Cargo Transport,22500,22500,22500
123,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 13.50 PIK, ***",Education,12360,27686,13192
124,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 12.50 PIK ***",Education,332500,6863,0
125,"Varietal Distribution Holdings, LLC, Class A, 8.00 PIK",Distribution,3097,5185,2976
129,Accelerate Parent Corp. (American Tire Distributors) **,Distribution,3125000,3125,4340
130,"AHC Mezzanine, LLC (Advanstar) **",Media,0,1063,590
131,Altegrity Holding Corp. **,Diversified Service,353399,13797,338
132,"CA Holding, Inc. (Collect America, Ltd.) Series A **‡",Financial Services,25000,2500,1731
133,"CA Holding, Inc. (Collect America, Ltd.) Series AA **‡",Financial Services,4294,429,859
134,"Caza Petroleum, Inc., Net Profits Interest **",Oil & Gas,0,940,886
135,"Caza Petroleum, Inc., Overriding Royalty Interest **",Oil & Gas,0,265,266
136,"Clothesline Holdings, Inc. (Angelica Corporation) **",Healthcare,6000,6000,3348
137,"Explorer Coinvest, LLC (Booz Allen) **‡",Business Services,373,2856,6645
138,"Garden Fresh Restaurant Holding, LLC **",Restaurants,50000,5000,0
139,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.) **",Education,17500,175,0
140,"GS Prysmian Co-Invest L.P. (Prysmian Cables & Systems) (2,3) **‡",Manufacturing,0,0,28
141,"JV Note Holdco, LLC (DSI Renal Inc.) **",Healthcare,9303,85,0
142,"Pelican Energy, LLC, Net Profits Interest **‡",Oil & Gas,0,551,286
143,"RC Coinvestment, LLC (Ranpak Corp.) **",Packaging,50000,5000,7060
144,"Sorenson Communications Holdings, LLC, Class A **",Consumer Products,454828,46,230
145,"Univar, Inc. **",Distribution,900000,9000,8480
146,"Varietal Distribution Holdings, LLC, Class A **",Distribution,28028,28,0
149,"CA Holding, Inc. (Collect America, Ltd.), Common **‡",Financial Services,7961,8,0
150,"Energy & Exploration Partners, Inc., Common **",Oil & Gas,48077,2232,2021
151,"Energy & Exploration Partners, Inc., Common **",Oil & Gas,5684,76,80
152,"Fidji Luxco (BC) S.C.A., Common (FCI) (2) **‡",Electronics,24862,250,6956
153,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Common **",Education,9820,98,0
154,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Class A-1 Preferred **",Education,45947,460,0
155,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Class B-1 Preferred **",Education,104314,1043,0
156,"Osage Exploration & Development, Inc., Common **‡",Oil & Gas,1496843,0,1171
157,"Spotted Hawk Development LLC, Common **‡",Oil & Gas,54545,852,3139
