,Industry/Company,Interest_Rate,Maturity_Date,Industry,Par_Shares,Cost,Fair_Value
0,CORPORATE DEBT-116.3%,,,,,,
1,SECURED DEBT-90.0%,,,,,,
2,1st Lien Secured Debt-40.4%,,,,,,
3,Alion Science & Technology Corporation,"11.00% (L+1000, 1.00% Floor)",8/16/19,Aerospace and Defense,32083,31074,31442
4,Archroma (17),"9.50% (L+825, 1.25% Floor)",10/1/18,Chemicals,45230,44796,44891
5,"Aventine Renewable Energy Holdings, Inc.",15.00% PIK or 10.50% Cash,9/22/17,Chemicals,15742,18244,15663
6,"Aveta, Inc.","9.75% (L+825, 1.50% Floor)",12/12/17,Healthcare,54959,53886,53311
7,"Caza Petroleum, Inc.","12.00% (L+1000, 2.00% Floor)",5/23/17,Oil and Gas,45000,43892,43762
8,"Compuware Holdings, LLC (16)","6.25% (L+525, 1.00% Floor)",12/15/21,Business Services,2903,2758,2756
9,"Compuware Holdings, LLC (16)","6.25% (L+525, 1.00% Floor)",12/15/19,Business Services,1398,1370,1369
10,"Deep Gulf Energy II, LLC","11.50% (11.50% or L+1000, 1.50% Floor)",3/31/17,Oil and Gas,25000,25000,24437
11,"Delta Educational Systems, Inc.",16.00% (8.00% Cash / 8.00% PIK),12/11/16,Education,5774,5774,5774
12,Dodge Data & Analytics LLC,"9.75% (L+875, 1.00% Floor)",10/31/19,Printing and Publishing,60500,59322,58836
13,"Extraction Oil & Gas Holdings, LLC",11.00% and 10.00%,5/29/19,Oil and Gas,52633,51899,51843
14,"GenCorp, Inc. (17)","9.50% (L+850, 1.00% Floor)",4/18/22,Aerospace and Defense,44500,44500,44500
15,"Great Bear Petroleum Operating, LLC",12.000%,10/1/17,Oil and Gas,5064,5064,5064
16,"Hunt Companies, Inc. (11)",9.625%,3/1/21,Buildings and Real Estate,41008,40542,41828
17,"M&G Chemicals, S.A. (17)","9.139% (L+900, 0.139% Floor)",3/28/16,Chemicals,5000,5000,5000
18,"Magnetation, LLC (11)",11.000%,5/15/18,Mining,38454,39976,26629
19,"Maxus Capital Carbon SPE I, LLC (Skyonic Corp.)",13.000%,9/18/19,Chemicals,76123,76123,76123
20,"Molycorp, Inc. (17)",10.000%,6/1/20,"Diversified Natural Resources, Precious Metals and Minerals",50424,50017,28363
21,"My Alarm Center, LLC (16)","8.50% (L+750, 1.00% Floor)",1/9/18,Business Services,42614,42614,42614
22,"My Alarm Center, LLC (16)","8.50% (L+750, 1.00% Floor)",1/9/18,Business Services,11000,11000,11000
23,"Osage Exploration & Development, Inc. (11)(17)","13.00% (L+1100, 2.00% Floor)",4/27/16,Oil and Gas,25000,24688,24063
24,"Panda Temple Power, LLC","11.50% (L+1000, 1.50% Floor)",7/17/18,Energy,25500,25155,25755
25,"Pelican Energy, LLC (17)",10.00% (7.00% Cash /3.00% PIK),12/31/18,Oil and Gas,26541,25607,26541
26,"SCM Insurance Services, Inc. (17)",9.250%,8/22/19,Business Services,30000,27125,25642
27,"Spotted Hawk Development, LLC",13.00% (12.00% Cash / 1.00% PIK),9/12/16,Oil and Gas,80698,79558,78681
28,"Sunrun Solar Owner IX, LLC",9.079%,12/31/24,Energy,3476,3332,3330
29,UniTek Global Services Inc.,"9.50% (L+850, 1.00% Floor) Funded, 0.50% Unfunded",1/21/15,Telecommunications,8256,8256,8256
30,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  December 31, 2014  (in thousands, except shares)",,,,,,
31,Funded and Unfunded Revolver Obligations--3.9%,,,,,,
32,"Avaya, Inc., (Revolver) (16)",5.00% (L+175 Funded) /  2.910% (L+275 Funded),10/26/16,Telecommunications,18392,18392,16828
33,"Avaya, Inc., (Unfunded Revolver) (8)(16)",0.500% Unfunded,10/26/16,Telecommunications,18392,"(3,680)","(1,563)"
34,"BMC Software, Inc., (Unfunded Revolver) (8)","L+400 Funded, 0.50% Unfunded",9/10/18,Business Services,20760,"(1,994)","(1,868)"
35,"CIT Group, Inc., (Unfunded Revolver) (8)(17)",0.625% Unfunded,1/27/17,Financial Services,25000,(336),"(1,000)"
36,"Confie Seguros Holding II Co., (Revolver) (16)","6.75% (P+350, 3.25% Floor) Funded",12/10/18,Insurance,1050,1050,955
37,"Confie Seguros Holding II Co., (Unfunded Revolver) (8)(16)",0.500% Unfunded,12/10/18,Insurance,2784,(363),(251)
38,"Laureate Education Inc., (Revolver) (16)(17)","5.00% (L+375, 1.25% Floor) Funded",6/16/16,Education,28764,28764,26175
39,"Laureate Education, Inc., (Unfunded Revolver) (8)(16)(17)",0.625% Unfunded,6/16/16,Education,23,"(2,494)",(2)
40,"Salix Pharmaceuticals, Ltd., (Unfunded Revolver) (8)(16)(17)","L+300 Funded, 0.50% Unfunded",1/2/19,Healthcare,24867,"(1,618)",(497)
41,"Tibco Software Inc., (Unfunded Revolver) (8)","L+400 / L+300 Funded, 0.50% Unfunded",12/5/19,Business Services,6000,(59),(30)
42,"Transfirst Holdings, Inc., (Unfunded Revolver) (8)(16)","L+450 Funded, 0.50% Unfunded",11/12/19,Financial Services,2940,(15),(29)
43,"UniTek Global Services, Inc., (Unfunded Revolver)","L+850 Funded, 0.50% Unfunded",1/21/15,Telecommunications,5000,-,-
44,"UniTek Global Services, Inc., (Revolver)","10.25% (L+925, 1.00% Floor) Funded",4/15/16,Telecommunications,38731,38731,38731
45,"Walter Energy, Inc., (Unfunded Revolver) (8)(16)(17)","L+550 Funded, 0.625% Unfunded",10/1/17,Mining,275,(169),(48)
46,Letters of Credit- (0.0)%,,,,,,
47,"Confie Seguros Holding II Co., Letter of Credit (8)(16)",4.500%,10/27/14,Insurance,600,-,(54)
48,"Confie Seguros Holding II Co., Letter of Credit (8)(16)",4.500%,1/13/15,Insurance,66,-,(6)
49,"Laureate Education Inc., Letter of Credit (8)(17)",3.750%,6/16/16,Education,93,-,(8)
50,"Salix Pharmaceuticals, Ltd., Letter of Credit (16)(17)",3.000%,2/10/15,Healthcare,8,-,-
51,"Salix Pharmaceuticals, Ltd., Letter of Credit (8)(16)(17)",3.000%,2/10/15,Healthcare,125,-,(3)
52,"Transfirst Holdings, Inc., Letter of Credit (8)(16)",L+450,11/12/19,Financial Services,60,-,(1)
53,"UniTek Global Services Inc., Letter of Credit",9.000%,1/21/15,Telecommunications,17946,-,-
54,"UniTek Global Services Inc., Letter of Credit",9.000%,1/21/15,Telecommunications,1850,-,-
55,"Walter Energy, Inc., Letter of Credit (8)(9)(16)(17)",5.500%,9/18/14- 7/4/15,Mining,86,-,(15)
56,"Walter Energy, Inc., Letter of Credit (8)(9)(16)(17)",5.500%,11/28/15- 8/31/15,Mining,192,-,(29)
57,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  December 31, 2014  (in thousands, except shares)",,,,,,
58,2nd Lien Secured Debt-45.7%,,,,,,
59,Access Information,"9.75% (L+875, 1.00% Floor)",10/17/22,Business Services,25600,24070,24192
60,"Active Network, Inc.","9.50% (L+850, 1.00% Floor)",11/15/21,Business Services,19672,19584,19181
61,"American Energy - Utica, LLC (10)","11.00% (L+950, 1.50% Floor)",9/30/18,Oil and Gas,6828,6770,6247
62,"Appriss Holdings, Inc.","9.25% (L+825, 1.00% Floor)",5/21/21,Business Services,25000,24630,25000
63,"Aptean, Inc.","8.50% (L+750, 1.00% Floor)",2/26/21,Business Services,10322,10181,9883
64,"Armor Holdings, Inc. (American Stock Transfer and Trust Company)","10.25% (L+900, 1.25% Floor)",12/26/20,Financial Services,8000,7863,7880
65,Asurion Corporation,"8.50% (L+750, 1.00% Floor)",3/3/21,Insurance,62400,61529,62166
66,Confie Seguros Holding II Co.,"10.25% (L+900, 1.25% Floor)",5/8/19,Insurance,33844,33610,33760
67,Consolidated Precision Products Corp.,"8.75% (L+775, 1.00% Floor)",4/30/21,Aerospace and Defense,1940,1931,1853
68,"Deltek, Inc.","10.00% (L+875, 1.25% Floor)",10/10/19,Business Services,17273,17118,17403
69,"Elements Behavioral Health, Inc.","9.25% (L+825, 1.00% Floor)",2/11/20,Healthcare,9500,9416,9441
70,Garden Fresh Restaurant Corp. (16),"14.50% (L+1300 PIK, 1.50% Floor)",1/1/19,Restaurants,38448,36504,34219
71,Garden Fresh Restaurant Corp. (16),"7.25% (L+575 PIK, 1.50% Floor)",1/1/19,Restaurants,8090,6279,5501
72,"GCA Services Group, Inc.","9.25% (L+800, 1.25% Floor)",11/1/20,Diversified Service,22838,22930,22609
73,"Grocery Outlet, Inc.","9.25% (L+825, 1.00% Floor)",10/21/22,Grocery,30000,29555,29663
74,"GTCR Valor Companies, Inc.","9.50% (L+850, 1.00% Floor)",11/30/21,Business Services,35000,34657,33950
75,"Institutional Shareholder Services, Inc.","8.50% (L+750, 1.00% Floor)",4/30/22,Financial Services,6640,6577,6540
76,"Kronos, Inc.","9.75% (L+850, 1.25% Floor)",4/30/20,Business Services,51123,50727,52082
77,"Miller Energy Resources, Inc. (17)","12.75% (L+975, 3.00% Floor)",2/3/18,Oil and Gas,87500,86076,85750
78,MSC Software Corp. (17),"8.50% (L+750, 1.00% Floor)",5/28/21,Business Services,18448,18275,18079
79,"Novolex Holdings, Inc.","9.75% (L+875, 1.00% Floor)",6/5/22,Packing,40000,39005,39200
80,Pabst Brewing Company,"10.50 (P+725, 3.25% Floor) / 9.25 (L+825, 1.00% Floor)",11/14/22,Consumer Products,32000,31601,31600
81,"Premier Trailer Leasing, Inc.","10.00% (L+900, 1.00% Floor)",9/24/20,Financial Services,52000,50996,50960
82,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  December 31, 2014  (in thousands, except shares)",,,,,,
83,2nd Lien Secured Debt-45.7% (continued),,,,,,
84,"RegionalCare Hospital Partners, Inc.","10.50% (L+950, 1.00% Floor)",10/23/19,Healthcare,4000,3796,3990
85,River Cree Enterprises LP (11)(17),11.000%,1/20/21,"Hotels, Motels, Inns and Gaming",33000,31111,30307
86,"SiTV, Inc. (11)",10.375%,7/1/19,Cable Television,2219,2219,2065
87,"Sprint Industrial Holdings, LLC","11.25% (L+1000, 1.25% Floor)",11/14/19,"Containers, Packaging, and Glass",14163,13951,13880
88,"SquareTwo Financial Corp. (Collect America, Ltd.) (17)",11.625%,4/1/17,Financial Services,65152,64219,64012
89,Stadium Management Corp.,"9.25% (L+825, 1.00% Floor)",2/27/21,Business Services,19900,19900,19999
90,"TASC, Inc.",12.000%,5/21/21,Aerospace and Defense,21815,21011,22306
91,TMK Hawk Parent Corp.,"8.50% (L+750, 1.00% Floor)",10/1/22,Distribution,34000,33667,33830
92,"Transfirst Holdings, Inc.","9.00% (L+800, 1.00% Floor)",11/11/22,Financial Services,21740,21525,21532
93,"U.S. Renal Care, Inc.","10.25% (L+900, 1.25% Floor)",1/3/20,Healthcare,11927,11975,11957
94,"Velocity Technology Solutions, Inc.","9.00% (L+775, 1.25% Floor)",9/28/20,Business Services,16500,16199,16170
95,"Vertafore, Inc.","9.75% (L+825, 1.50% Floor)",10/27/17,Business Services,36436,36263,36618
96,"Walter Energy, Inc. (11)(17)",11.000%,4/1/20,Mining,22554,21227,7499
97,UNSECURED DEBT-26.3%,,,,,,
98,American Energy - Woodford LLC/AEW Finance Corp. (11),9.000%,9/15/22,Oil and Gas,5000,4800,3275
99,"American Tire Distributors, Inc. (11)(16)",11.500%,6/1/18,Distribution,25000,25000,25500
100,"American Tire Distributors, Inc. (11)(16)",11.500%,6/1/18,Distribution,40000,39420,40800
101,Artsonig Pty Ltd. (11)(17),11.50% (12.00% PIK Toggle),4/1/19,Transportation,21227,20962,18839
102,BCA Osprey II Limited (British Car Auctions) (16)(17),12.500% PIK,8/17/17,Transportation,23566,37671,37848
103,BCA Osprey II Limited (British Car Auctions) (16)(17),12.500% PIK,8/17/17,Transportation,14333,19764,17864
104,Canacol Energy Ltd. (17),"9.50% (L+850, 1.00% Floor)",12/31/19,Oil and Gas,50000,48539,48500
105,Ceridian Corp. (11),11.000%,3/15/21,Diversified Service,31760,31760,34896
106,"Delta Educational Systems, Inc.",16.00% PIK or 10.00% Cash / 6.00% PIK,5/12/17,Education,23235,22969,22224
107,Denver Parent Corp. (Venoco),12.25% (13.00% PIK Toggle),8/15/18,Oil and Gas,8988,8821,3707
108,"My Alarm Center, LLC",16.25% (12.00% Cash / 4.25% PIK),7/9/18,Business Services,4145,4145,4145
109,Niacet Corporation,13.000%,8/28/18,Chemicals,12500,12500,12625
110,PetroBakken Energy Ltd. (11)(17),8.625%,2/1/20,Oil and Gas,39300,40455,27903
111,"Radio One, Inc. (11)(17)",9.250%,2/15/20,Broadcasting & Entertainment,14804,14804,12954
112,"Sorenson Holdings, LLC (11)",13.00% PIK,10/31/21,Consumer Products,68,46,68
113,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  December 31, 2014  (in thousands, except shares)",,,,,,
114,UNSECURED DEBT-26.3% (continued),,,,,,
115,Tibco Software Inc. (11),11.375%,12/1/21,Business Services,26924,26149,26217
116,"U.S. Security Associates Holdings, Inc.",11.000%,7/28/18,Business Services,135000,135000,137700
117,"Univar, Inc.",10.500%,6/30/18,Distribution,20000,20000,19780
118,"Venoco, Inc.",8.875%,2/15/19,Oil and Gas,54996,55026,30523
119,STRUCTURED PRODUCTS AND OTHER-8.6%,,,,,,
120,"Asset Repackaging Trust Six B.V., Credit-Linked Note (11)(17)",N/A,5/15/27,Utilities,58411,24925,32785
121,"Craft 2013-1, Credit-Linked Note (11)(16)(17)",9.483% (L+925),4/17/22,Diversified Investment Vehicle,25000,25092,24503
122,"Craft 2013-1, Credit-Linked Note (16)(17)",9.483% (L+925),4/17/22,Diversified Investment Vehicle,7625,7753,7476
123,"Craft 2014-1A, Credit-Linked Note (11)(17)",9.884% (L+965),5/15/21,Diversified Investment Vehicle,42500,42497,41995
124,"Dark Castle Holdings, LLC",N/A,N/A,Media,24395,1190,2748
125,"JP Morgan Chase & Co., Credit-Linked Note (17)",12.483% (L+1225),12/20/21,Diversified Investment Vehicle,43250,42318,43560
126,"NXT Capital CLO 2014-1, LLC (11)(17)",5.731% (L+550),4/23/26,Diversified Investment Vehicle,5000,4665,4250
127,"Renaissance Umiat, LLC, ACES Tax Receivable (15)(17)",N/A,N/A,Oil and Gas,-,13014,14003
128,PREFERRED EQUITY-2.0%,Shares,,,,,
129,"CA Holding, Inc. (Collect America, Ltd.), Series A Preferred Stock (13)(17)",N/A,N/A,Financial Services,7961,788,1113
130,"Crowley Holdings, Series A Preferred Stock (11)",12.00% (10.00% Cash / 2.00% PIK),N/A,Cargo Transport,22500,22964,23518
131,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (Convertible) (13)(14)",12.50% PIK,N/A,Education,332500,6863,-
132,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (13)(14)",13.50% PIK,5/12/18,Education,12360,27685,9954
133,"Varietal Distribution Holdings, LLC, Class A Preferred Unit",8.00% PIK,N/A,Distribution,3097,5613,5613
134,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  December 31, 2014  (in thousands, except shares)",,,,,,
135,EQUITY-1.8%,,,,,,
136,Common Equity/Interests-1.5%,Shares,,,,,
137,"ATD Corporation (Accelerate Parent Corp.), Common Stock (11)(13)",N/A,N/A,Distribution,3225514,3276,5130
138,"CA Holding, Inc. (Collect America, Ltd.), Series A Common Stock (13)(17)",N/A,N/A,Financial Services,25000,2500,-
139,"CA Holding, Inc. (Collect America, Ltd.), Series AA Common Stock (13)(17)",N/A,N/A,Financial Services,4294,429,-
140,"Caza Petroleum, Inc., Net Profits Interest (13)",N/A,N/A,Oil and Gas,-,1202,1036
141,"Caza Petroleum, Inc., Overriding Royalty Interest",N/A,N/A,Oil and Gas,-,339,349
142,"Clothesline Holdings, Inc. (Angelica Corporation), Common Stock (13)",N/A,N/A,Healthcare,6000,6000,669
