,Investment,Industry,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value
0,Non-Controlled/Non-Affiliated Investments,,,,,,
1,Corporate Debt,,,,,,
2,Secured Debt,,,,,,
3,First Lien Secured Debt,,,,,,
4,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,
5,"American Media, Inc. (16)","Advertising, Printing & Publishing","8.50 (1M L+750, 1.00 Floor)",8/24/20,10400,10115,10088
6,Aptevo Therapeutics Inc. (9)(16)(23),Healthcare & Pharmaceuticals,8.13 (3M L+760),2/1/21,8571,8576,8483
7,"Aptevo Therapeutics Inc., Unfunded Delayed Draw (8)(9)(16)(21)(23)",Healthcare & Pharmaceuticals,0.00 Unfunded,2/1/21,6429,(29,(66
8,ChyronHego Corporation (18),High Tech Industries,"7.43 (3M L+643, 1.00 Floor)",3/9/20,36553,36000,35822
9,Dodge Data & Analytics LLC,Business Services,"9.75 (3M L+875, 1.00 Floor)",10/31/19,51990,51344,50561
10,ECN Holding Company (Emergency Communications Network) (16)(18),High Tech Industries,"9.50 (3M L+850, 1.00 Floor)",6/12/21,11109,10980,10940
11,ECN Holding Company (Emergency Communications Network) (16)(18),High Tech Industries,"9.50 (6M L+850, 1.00 Floor)",6/12/21,11109,10980,10940
12,Garden Fresh Restaurant Corp. (16),"Hotel, Gaming, Leisure, Restaurants","10.50 (1M L+900, 1.50 Floor)",7/3/18,2500,2500,2500
13,LabVantage Solutions Inc.,High Tech Industries,"9.00 (3M L+800, 1.00 Floor)",12/29/20,14625,14244,14333
14,LabVantage Solutions Limited (16)(17),High Tech Industries,"9.00 (3M E+800, 1.00 Floor)",12/29/20,13398,14012,13849
15,"Magnetation, LLC (14)(26)",Metals & Mining,12.00 PIK,N/A,14296,12427,0
16,"Maxus Capital Carbon SPE I, LLC","Chemicals, Plastics & Rubber",13.00,12/31/18,59305,59305,51391
17,"My Alarm Center, LLC, Term Loan A (16)",Business Services,"9.00 (1M L+800, 1.00 Floor)",1/9/19,28035,28036,28035
18,"My Alarm Center, LLC, Term Loan B (16)(23)",Business Services,"9.00 (1M L+800, 1.00 Floor)",1/9/19,7972,7972,7972
19,"My Alarm Center, LLC, Term Loan B(16)(23)",Business Services,11.00 (P+700),1/9/19,348,348,348
20,"My Alarm Center, LLC, Unfunded Term Loan B (16)(21)(23)",Business Services,0.35 Unfunded,1/9/19,441,0,0
21,"My Alarm Center, LLC, Term Loan C (16)(23)",Business Services,"9.00 (1M L+800, 1.00 Floor)",1/9/19,3115,3115,3115
22,"My Alarm Center, LLC, Term Loan C (16)(23)",Business Services,11.00 (P+700),1/9/19,439,439,439
23,"My Alarm Center, LLC, Unfunded Term Loan C (16)(21)(23)",Business Services,0.35 Unfunded,1/9/19,558,0,0
24,"Nextech Systems, LLC (18)",High Tech Industries,"8.25 (3M L+725, 1.00 Floor)",6/22/21,21857,21367,21419
25,"Oxford Immunotec, Inc. (9)(16)(17)",Healthcare & Pharmaceuticals,8.22 (1M L+760),10/1/21,9750,9726,9724
