,Industry/Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
0,"Advertising, Printing & Publishing",,,,,,,,
1,A-L Parent LLC,Second Lien Secured Debt,"9.78 (1M L+725, 1.00 Floor)",12/02/24,5536,5495,5536,,
2,"American Media, Inc.",First Lien Secured Debt,"10.53 (3M L+800, 1.00 Floor)",08/24/20,11633,11471,12214,,
3,"American Media, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/24/20,1778,(22,0,(21)(23),
4,"Simplifi Holdings, Inc.",First Lien Secured Debt,"8.02 (1M L+550, 1.00 Floor)",09/28/22,25427,24983,25173,(9),
5,"Simplifi Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/28/22,2400,(54,(24,(8)(9)(21)(23),
6,Aerospace & Defense,,,,,,,,
7,Erickson Inc,First Lien Secured Debt - Revolver,"10.30 (3M L+750, 1.00 Floor)",04/28/22,21257,21257,20779,(9)(23),
8,Erickson Inc,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/28/22,17899,(374,(403,(8)(9)(21)(23),
9,Erickson Inc,First Lien Secured Debt - Letters of Credit,7.50,4/21/19 - 4/30/20,5843,0,(131,(8)(9)(23),
10,ILC Dover LP,Second Lien Secured Debt,"11.38 (6M L+850, 1.00 Floor)",06/28/24,20000,19618,19550,,
11,PAE Holding Corporation,Second Lien Secured Debt,"12.12 (2M L+950, 1.00 Floor)",10/20/23,28097,27510,27675,(10),
12,Automotive,,,,,,,,
13,Accelerate Parent Corp.,Common Equity/Interests - Common Stock,N/A,N/A,"1,664,046 Shares",1714,0,(13),
14,Crowne Automotive,,,,,,,,
15,"Vari-Form Group, LLC",First Lien Secured Debt,"13.80 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",02/02/23,6627,6266,3777,(9)(13)(14),
16,Vari-Form Inc.,First Lien Secured Debt,"13.80 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",02/02/23,10443,9836,5953,(9)(13)(14),
17,"K&N Parent, Inc.",Second Lien Secured Debt,"11.27 (1M L+875, 1.00 Floor)",10/21/24,23765,23414,22873,(10),
18,Aviation and Consumer Transport,,,,,,,,
19,Merx Aviation,,,,,,,,
20,Merx Aviation Finance Assets Ireland Limited (5),First Lien Secured Debt - Letters of Credit,2.25,2/18/19 - 2/22/19,3600,0,0,(23),
21,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Revolver,12.00,10/31/23,402200,402200,402200,(23),
22,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Letter of Credit,2.25,07/13/19,177,0,0,(23),
23,"Merx Aviation Finance, LLC (5)",Common Equity/Interests - Membership Interests,N/A,N/A,N/A,15000,53351,,
24,"Beverage, Food & Tobacco",,,,,,,,
25,"Eagle Foods Family Group, LLC",First Lien Secured Debt,"9.30 (3M L+650, 1.00 Floor)",06/14/24,24875,24621,24626,(9),
26,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Unfunded Revolver,0.00 Unfunded,06/14/23,3750,(38,(38,(8)(9)(21)(23),
27,Florida Food Products,,,,,,,,
28,"Florida Food Products, Inc.",First Lien Secured Debt,"9.27 (1M L+675, 1.00 Floor)",09/08/25,23229,22675,22997,(9),
29,"Florida Food Products, LLC",First Lien Secured Debt - Revolver,"9.27 (1M L+675, 1.00 Floor)",09/06/23,1062,1062,1051,(9)(23),
30,"Florida Food Products, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/06/23,651,(40,(7,(8)(9)(21)(23),
31,TNT Crust LLC,First Lien Secured Debt,"8.77 (1M L+625, 1.00 Floor)",11/06/23,9106,8929,8924,(9),
32,TNT Crust LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/06/23,1626,(32,(33,(8)(9)(21)(23),
33,TNT Crust LLC,Common Equity/Interests - Series A Units,N/A,N/A,244 Shares,244,244,(9)(13),
34,Business Services,,,,,,,,
35,"Access CIG, LLC",Second Lien Secured Debt,10.46 (3M L+775),02/27/26,15900,15768,15761,(10),
36,Aero Operating LLC,First Lien Secured Debt,"9.77 (1M L+725, 1.00 Floor)",12/29/22,37249,36483,36876,(9),
37,Aero Operating LLC,First Lien Secured Debt - Revolver,11.75 (P+625),12/29/22,2406,2406,2382,(9)(23),
38,Aero Operating LLC,First Lien Secured Debt - Unfunded Revolver,1.00 Unfunded,12/29/22,2303,(96,(23,(8)(9)(21)(23),
39,Aero Operating LLC,First Lien Secured Debt - Letter of Credit,7.25,06/21/19,103,0,(1,(8)(9)(23),
40,Ambrosia Buyer Corp.,Second Lien Secured Debt,"10.50 (2M L+800, 1.00 Floor)",08/28/25,21428,20982,20966,,
41,"Aptean, Inc.",Second Lien Secured Debt,"12.31 (3M L+950, 1.00 Floor)",12/20/23,11148,11059,11162,(10),
42,"CT Technologies Intermediate Holdings, Inc",Second Lien Secured Debt,"11.52 (1M L+900, 1.00 Floor)",12/01/22,31253,30594,29378,(9),
43,Education Personnel,First Lien Secured Debt,"7.28 (6M L+475, 0.50 Floor)",08/31/24,4118,5213,5193,(9)(17),
44,Education Personnel,First Lien Secured Debt - Revolver,"7.28 (6M L+475, 0.50 Floor)",08/31/24,1471,1861,1855,(9)(17)(23),
45,Education Personnel,First Lien Secured Debt - Unfunded Delayed Draw,1.66 Unfunded,08/31/24,4412,0,0,(9)(17)(21)(23),
46,Electro Rent Corporation,Second Lien Secured Debt,"11.53 (3M L+900, 1.00 Floor)",01/31/25,36598,35706,35866,(9),
47,McLarens Global Ltd.,,,,,,,,
48,Margaux Acquisition Inc.,First Lien Secured Debt,"8.18 (3M L+600, 1.00 Floor)",12/19/24,17614,17264,17262,(9),
49,Margaux Acquisition Inc.,First Lien Secured Debt - Revolver,10.50 (P+500),12/19/24,343,343,336,(9)(23),
50,Margaux Acquisition Inc.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/19/24,1258,(32,(25,(8)(9)(21)(23),
