,new_Industry,Industry / Company,Investment Type,Interest Rate (20),Maturity Date,Par/Shares (12),Cost (26),Fair Value (1)(27),,
0,"Advertising, Printing & Publishing","Advertising, Printing & Publishing",,,,,,,,
1,FingerPaint Marketing,FingerPaint Marketing,,,,,,,,
2,,KL Charlie Acquisition Company,First Lien Secured Debt,"7.25 (3M L+625, 1.00 Floor)",12/30/26,13212,12948,12947,(9),
3,,KL Charlie Acquisition Company,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/30/26,2190,(43),(44),(8)(9)  (21)(23),
4,,KL Charlie Acquisition Company,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,12/30/26,4379,(43),(88),(8)(9)  (21)(23),
5,,"KL Charlie Co-Invest, L.P.",Common Equity - Common Stock,N/A,N/A,"218,978 Shares",219,219,(9)(13)  (25),
6,,"KL Charlie Co-Invest, L.P.",13081,13034,,,,,,
7,"Simplifi Holdings, Inc.","Simplifi Holdings, Inc.",,,,,,,,
8,,"Simplifi Holdings, Inc.",First Lien Secured Debt,"7.25 (6M L+625, 1.00 Floor)",08/02/25,38537,37986,37612,(9),
9,,"Simplifi Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/02/25,2400,(42),(58),(8)(9)  (21)(23),
10,,"Simplifi Holdings, Inc.",37944,37554,,,,,,
12,Aerospace & Defense,Aerospace & Defense,,,,,,,,
13,Erickson Inc,Erickson Inc,,,,,,,,
14,,Erickson Inc,First Lien Secured Debt - Revolver,"9.00 (3M L+750, 1.50 Floor)",04/28/22,28330,28330,27905,(9)(23),
15,,Erickson Inc,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/28/22,6198,(124),(93),(8)(9)  (21)(23),
16,,Erickson Inc,First Lien Secured Debt - Letter of Credit,7.50,01/10/21 - 11/23/22,1472,0,(21),(8)(9)  (23),
18,Automotive,Automotive,,,,,,,,
19,Accelerate Parent Corp. (American Tire),Accelerate Parent Corp. (American Tire),,,,,,,,
20,,Accelerate Parent Corp.,Common Equity - Common Stock,N/A,N/A,"1,664,046 Shares",1714,0,(13)(19),
21,Arlington,Arlington,,,,,,,,
22,,Arlington Industries Group Limited,First Lien Secured Debt,"5.75 (1M E+525, 0.50 Floor)",03/29/24,€,1214,1371,1478,(9)(17)
23,,Arlington Industries Group Limited,First Lien Secured Debt,"5.75 (1M GBPL+525, 0.50 Floor)",03/29/24,£,3627,4620,4916,(9)(17)
24,,Arlington Industries Group Limited,5991,6394,,,,,,
25,Crowne Automotive,Crowne Automotive,,,,,,,,
26,,"Vari-Form Group, LLC",First Lien Secured Debt,L+11.00 (7.00 Cash plus 4.00 PIK),02/02/23,5860,901,293,(9)(13)  (14),
27,,Vari-Form Inc.,First Lien Secured Debt,L+11.00 (7.00 Cash plus 4.00 PIK),02/02/23,2110,391,105,(9)(13)  (14),
28,,Vari-Form Inc.,1292,398,,,,,,
29,"K&N Parent, Inc.","K&N Parent, Inc.",,,,,,,,
30,,"K&N Parent, Inc.",Second Lien Secured Debt,"9.75 (3M L+875, 1.00 Floor)",10/21/24,23765,23534,21982,,
31,"Truck-Lite Co., LLC","Truck-Lite Co., LLC",,,,,,,,
32,,"Truck-Lite Co., LLC",First Lien Secured Debt,"7.25 (3M L+625, 1.00 Floor)",12/14/26,28657,28075,28000,(9),
33,,"Truck-Lite Co., LLC",First Lien Secured Debt - Revolver,"7.25 (1M L+625, 1.00 Floor)",12/13/24,1962,1962,1931,(9)(23),
