,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0136.8,Maturity Date,Industry,Par Amount*,Fair  Value (1),
0,1st Lien Secured Debt037.3 (continued),,,,,
1,"Spotted Hawk Development, LLC ‡",6/30/16,Oil and Gas,32386.0,32386,
2,"Sunrun Solar Owner IX, LLC",12/31/24,Energy,3574,3422,
3,"UniTek Global Services, Inc., (Revolver)†",4/15/16,Telecommunications,37652,37652,
4,"Walter Energy, Inc.  t  ‡",10/15/19,Mining,21257,21636,
5,Total 1st Lien Secured Debt,764561,772052,,,
6,Unfunded Revolver Obligations0(0.3),,,,,
7,"Avaya, Inc., (Unfunded Revolver) (8)",10/26/16,Telecommunications,18392.0,"(1,425",
8,"BMC Software, Inc., (Unfunded Revolver) (8)",9/10/18,Business Services,30760,"(2,768",
9,"Confie Seguros Holding II Co., (Unfunded Revolver) (8) †",12/10/18,Insurance,3641,(328,
10,"Laureate Education, Inc., (Unfunded Revolver) (8)‡",6/16/16,Education,28880,"(2,455",
11,"Reichhold Holdings International B.V., (Unfunded Revolver) ‡†",12/19/16,Chemicals,12500,0,
12,"Salix Pharmaceuticals, Ltd., (Unfunded Revolver) (8)‡†",1/2/19,Healthcare,24867,(249,
13,"UniTek Global Services, Inc., (Unfunded Revolver) †",4/15/16,Telecommunications,15702,0,
14,"Walter Energy, Inc., (Unfunded Revolver) (8)‡",10/1/17,Mining,1923,(101,
15,Total Unfunded Revolver Obligations,"(13,314","(7,326",,,
16,Letters of Credit0 (0.0),,,,,
17,"Confie Seguros Holding II Co., Letter of Credit (8)†",10/27/14,Insurance,600.0,(54,
18,"Confie Seguros Holding II Co., Letter of Credit (8)†",1/13/15,Insurance,50,(5,
19,"Salix Pharmaceuticals, Ltd., Letter of Credit ‡†",2/10/15,Healthcare,8,0,
20,"Salix Pharmaceuticals, Ltd., Letter of Credit (8)‡†",2/10/15,Healthcare,125,(1,
21,"UniTek Global Services, Inc., Letter of Credit †",12/15/14,Telecommunications,5446,0,
22,"UniTek Global Services, Inc., Letter of Credit †",3/18/15,Telecommunications,1000,0,
23,"UniTek Global Services, Inc., Letter of Credit †",3/18/15,Telecommunications,2700,0,
24,"UniTek Global Services, Inc., Letter of Credit †",3/26/15,Telecommunications,12500,0,
25,"Walter Energy, Inc., Letter of Credit (8)(9)‡†",9/18/14- 7/4/15,Mining,86,(5,
26,"Walter Energy, Inc., Letter of Credit (8)(9)‡†",11/28/15- 8/31/15,Mining,CAD,0,(9
27,Total Letters of Credit,51,(74,,,
28,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2014  (in thousands, except shares)",,,,,
29,2nd Lien Secured Debt050.4,,,,,
30,"Active Network, Inc.",11/15/21,Business Services,22910.0,22995,
31,"American Energy - Utica, LLC (10)",9/30/18,Oil and Gas,10869,11521,
32,"Aptean, Inc.",2/26/21,Business Services,11322,11506,
33,"Armor Holdings, Inc. (American Stock Transfer and Trust Company)",12/26/20,Financial Services,8000,7960,
34,Asurion Corporation,3/3/21,Insurance,90400,94072,
35,"BancTec Group, LLC ‡",4/3/20,Business Services,40000,39200,
36,"BJ's Wholesale Club, Inc.",3/26/20,Retail,15000,15450,
37,Confie Seguros Holding II Co.,5/8/19,Insurance,27344,27652,
38,Consolidated Precision Products Corp.,4/30/21,Aerospace and Defense,8940,9046,
39,Del Monte Foods Co.,8/18/21,"Beverage, Food, and Tobacco",2146,2113,
40,"Deltek, Inc.",10/10/19,Business Services,27273,27921,
41,"DSI Renal, Inc.",10/22/21,Healthcare,3300,3325,
42,"Elements Behavioral Health, Inc.",2/11/20,Healthcare,9500,9488,
43,Emerald 3 Limited ‡,5/9/22,Business Services,3179,3179,
44,"Flexera Software, LLC",4/2/21,Business Services,4250,4266,
45,Garden Fresh Restaurant Corp. †,1/1/19,Restaurants,35764,31830,
46,Garden Fresh Restaurant Corp. †,1/1/19,Restaurants,7800,5304,
47,"GCA Services Group, Inc.",11/1/20,Diversified Service,22838,23066,
48,"Genex Holdings, Inc.",5/30/22,Healthcare,5320,5370,
49,"Grocery Outlet, Inc.",6/17/19,Grocery,8674,8847,
50,"GTCR Valor Companies, Inc.",11/21/21,Business Services,35000,34825,
51,"HD Vest, Inc. ‡",6/18/19,Financial Services,9396,9384,
52,"Healogics, Inc.",2/5/20,Healthcare,10000,10242,
53,"Insight Pharmaceuticals, LLC",8/25/17,Consumer Products,15448,15410,
54,"Institutional Shareholder Services, Inc.",4/30/22,Financial Services,9640,9640,
55,"Kronos, Inc.",4/30/20,Business Services,92516,96448,
56,"Learfield Communications, Inc.",10/8/21,Media,15000,15300,
57,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2014  (in thousands, except shares)",,,,,
58,2nd Lien Secured Debt050.4 (continued),,,,,
59,"Miller Energy Resources, Inc. ‡",2/3/18,Oil and Gas,87500.0,85750,
60,MSC Software Corp. ‡,5/28/21,Business Services,20448,20652,
61,Ranpak Corp.,4/23/20,Packaging,22000,22468,
62,"RegionalCare Hospital Partners, Inc.",10/23/19,Healthcare,10000,9953,
63,River Cree Enterprises LP  t  ‡,1/20/21,"Hotels, Motels, Inns and Gaming",CAD,31110,33673
64,"SiTV, Inc.  t",7/1/19,Cable Television,2219.0,2277,
