,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0123.2(10),Maturity Date,Industry (9),Par Amount(12),Fair  Value (1),
0,"Pelican Energy, LLC (17)",12/31/18,Energy – Oil & Gas,27884.0,26211,
1,"Saba Software, Inc. (18)",3/30/21,High Tech Industries,10000,9850,
2,"SCM Insurance Services, Inc. (17)",8/22/19,Business Services,C$,29592,26301.0
3,"Spotted Hawk Development, LLC",9/12/16,Energy – Oil & Gas,81851.0,80132.0,
4,Telestream Holdings Corporation (18),1/15/20,High Tech Industries,32297,31570,
5,UniTek Global Services Inc. (16),1/13/19,Telecommunications,32367,30748,
6,UniTek Global Services Inc. (16),1/13/19,Telecommunications,19452,19452,
7,"Venoco, Inc.",2/15/19,Energy – Oil & Gas,40517,41530,
8,Total 1st Lien Secured Debt excluding Revolvers and Letters of Credit,873199.0,824165,,,
9,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2015  (in thousands, except shares)",,,,,
10,Funded and Unfunded Revolver Obligations01.2,,,,,
11,"Avaya, Inc., (Revolver)",10/26/16,Telecommunications,3303.0,3171,
12,"BMC Software, Inc., (Unfunded Revolver) (8)",9/10/18,High Tech Industries,20760,"(1,868",
13,"CIT Group, Inc., (Unfunded Revolver) (8)(17)",1/27/17,"Diversified Investment Vehicles, Banking, Finance, Real Estate",25000,(880,
14,"Confie Seguros Holding II Co., (Revolver) (16)",12/10/18,Insurance,1250,1113,
15,"Confie Seguros Holding II Co., (Unfunded Revolver) (8)(16)",12/10/18,Insurance,2172,(239,
16,"Laureate Education, Inc., (Revolver) (16)(17)",6/16/16,Education,21833,20851,
17,"Laureate Education, Inc., (Unfunded Revolver) (8)(16)(17)",6/16/16,Education,6945,(313,
18,"My Alarm Center, LLC, (Revolver) (16)",1/9/18,Business Services,708,708,
19,"My Alarm Center, LLC, (Unfunded Revolver) (16)",1/9/18,Business Services,5542,0,
20,"Tibco Software Inc., (Unfunded Revolver) (8)",12/5/19,High Tech Industries,6000,(450,
21,"Transfirst Holdings, Inc., (Unfunded Revolver) (8)(16)",11/12/19,"Diversified Investment Vehicles, Banking, Finance, Real Estate",2943,(88,
22,"UniTek Global Services Inc., (Unfunded Revolver) (16)",1/13/19,Telecommunications,5000,0,
23,Total Funded and Unfunded Revolver Obligations,23069.0,22005,,,
24,Letters of Credit0 (0.0),,,,,
25,"Confie Seguros Holding II Co., Letter of Credit (8)(16)",10/27/15,Insurance,1078.0,(119,
26,"Laureate Education, Inc., Letter of Credit (8)(16)(17)",6/16/16,Education,101,(4,
27,"Transfirst Holdings, Inc., Letter of Credit (8)(16)",11/12/19,"Diversified Investment Vehicles, Banking, Finance, Real Estate",57,(2,
28,"UniTek Global Services Inc., Letter of Credit (16)",1/13/19,Telecommunications,15711,0,
29,"UniTek Global Services Inc., Letter of Credit (16)",1/13/19,Telecommunications,1850,0,
30,Total Letters of Credit,0.0,(125,,,
31,Total 1st Lien Secured Debt,896268.0,846045,,,
32,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2015  (in thousands, except shares)",,,,,
33,2nd Lien Secured Debt048.1,,,,,
34,"Access CIG, LLC",10/17/22,Business Services,35755.0,34861,
35,"Active Network, Inc.",11/15/21,Business Services,19672,18861,
36,American Energy - Woodford LLC/AEW Finance Corp (11),12/30/20,Energy – Oil & Gas,3500,2485,
37,"Appriss Holdings, Inc.",5/21/21,Business Services,25000,25000,
38,"Armor Holdings, Inc. (American Stock Transfer and Trust Company)",12/26/20,"Diversified Investment Vehicles, Banking, Finance, Real Estate",8000,8040,
39,Asurion Corporation,3/3/21,Insurance,43973,44811,
40,Confie Seguros Holding II Co.,5/8/19,Insurance,33844,33823,
41,"Delta Educational Systems, Inc.",6/10/18,Education,1000,1488,
42,"Deltek, Inc.",6/23/23,Business Services,33736,33989,
43,"Elements Behavioral Health, Inc.",2/11/20,Healthcare & Pharmaceuticals,9500,9438,
44,"Extraction Oil & Gas Holdings, LLC",5/29/19,Energy – Oil & Gas,52633,52264,
45,Garden Fresh Restaurant Corp. (16),1/1/19,"Hotel, Gaming, Leisure, Restaurants",8420,6063,
46,Garden Fresh Restaurant Corp. (16),1/1/19,"Hotel, Gaming, Leisure, Restaurants",41466,36905,
47,"GCA Services Group, Inc.",11/1/20,Business Services,19333,19381,
48,"Grocery Outlet, Inc.",10/21/22,Food & Grocery,28000,27930,
49,"GTCR Valor Companies, Inc.",11/30/21,Business Services,35000,34037,
50,"Infiltrator Systems Integrated, LLC",5/19/23,"Manufacturing, Capital Equipment",13889,13854,
51,"Institutional Shareholder Services, Inc.",4/30/22,Business Services,6640,6507,
52,"Kronos, Inc.",4/30/20,Business Services,13525,13982,
53,"Miller Energy Resources, Inc. (17)",2/3/18,Energy – Oil & Gas,88568,75150,
54,MSC Software Corp. (17),5/31/21,High Tech Industries,13448,13213,
55,"Novolex Holdings, Inc.",6/5/22,"Containers, Packaging & Glass",42045,42676,
56,Pabst Brewing Company,11/14/22,Consumer Goods – Durable,27000,26933,
57,"Premier Trailer Leasing, Inc.",9/24/20,"Transportation – Cargo, Distribution",52000,53040,
58,River Cree Enterprises LP (11)(17),1/20/21,"Hotel, Gaming, Leisure, Restaurants",C$,21683,19091.0
59,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2015  (in thousands, except shares)",,,,,
60,2nd Lien Secured Debt048.1 (continued),,,,,
61,"SiTV, Inc. (11)",7/1/19,Broadcasting & Subscription,2219.0,1844,
62,SMG,2/27/21,"Hotel, Gaming, Leisure, Restaurants",19900,20000,
63,"Sprint Industrial Holdings, LLC",11/14/19,"Containers, Packaging & Glass",16163,12849,
64,"SquareTwo Financial Corp. (Collect America, Ltd.) (17)",4/1/17,"Diversified Investment Vehicles, Banking, Finance, Real Estate",65152,48131,
65,"STG-Fairway Acquisitions, Inc.",6/26/23,Business Services,15000,14625,
66,"TASC, Inc.",5/21/21,Aerospace & Defense,21815,22742,
67,"TMK Hawk Parent, Corp.",10/1/22,"Transportation – Cargo, Distribution",34000,34340,
68,"Transfirst Holdings, Inc.",11/11/22,"Diversified Investment Vehicles, Banking, Finance, Real Estate",21840,21936,
69,"Velocity Technology Solutions, Inc.",9/28/20,Business Services,16500,16005,
70,"Venoco, Inc.",2/15/19,Energy – Oil & Gas,34810,29588,
71,"Vertafore, Inc.",10/27/17,Business Services,36436,36937,
72,Total 2nd Lien Secured Debt,956075.0,912819,,,
73,TOTAL SECURED DEBT,1852343.0,1758864,,,
74,UNSECURED DEBT017.0,,,,,
75,"Aerojet Rocketdyne Holdings, Inc. (formerly GenCorp, Inc.) (17)",4/18/22,Aerospace & Defense,19000.0,19000,
76,"American Tire Distributors, Inc. (11)",3/1/22,"Transportation – Cargo, Distribution",24281,26056,
77,Artsonig Pty Ltd (11)(17),4/1/19,"Transportation – Cargo, Distribution",22500,9167,
78,Canacol Energy Ltd. (17),12/31/19,Energy – Oil & Gas,75000,72263,
79,"Delta Educational Systems, Inc.",5/12/17,Education,25115,19590,
80,Denver Parent Corp. (Venoco) (13)(14)(16),8/15/18,Energy – Oil & Gas,9572,933,
81,"My Alarm Center, LLC",7/9/18,Business Services,4319,4319,
82,"Radio One, Inc. (11)",2/15/20,Broadcasting & Subscription,15804,14559,
83,"Sorenson Holdings, LLC (11)",10/31/21,Consumer Goods – Durable,68,70,
84,Tibco Software Inc. (11),12/1/21,High Tech Industries,11389,11318,
85,"U.S. Security Associates Holdings, Inc.",7/28/18,Business Services,135000,137700,
86,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2015  (in thousands, except shares)",,,,,
87,UNSECURED DEBT017.0 (continued),,,,,
88,UniTek Global Services Inc.,7/13/19,Telecommunications,6814.0,6814,
89,"Venoco, Inc. (16)",2/15/19,Energy – Oil & Gas,3708,1233,
90,TOTAL UNSECURED DEBT,349656.0,323022,,,
91,TOTAL CORPORATE DEBT,2201999.0,2081886,,,
92,STRUCTURED PRODUCTS AND OTHER010.4,,,,,
93,Asset Repackaging Trust Six B.V. (11)(17)(19),5/18/27,Utilities – Electric,58411.0,32680,
94,"Craft 2013-1, Credit-Linked Note (11)(16)(17)",4/17/22,"Diversified Investment Vehicles, Banking, Finance, Real Estate",25000,24435,
95,"Craft 2013-1, Credit-Linked Note (16)(17)",4/17/22,"Diversified Investment Vehicles, Banking, Finance, Real Estate",7625,7456,
96,"Craft 2014-1A, Credit-Linked Note (11)(17)",5/15/21,"Diversified Investment Vehicles, Banking, Finance, Real Estate",42500,41971,
97,"Craft 2015-2, Credit-Linked Note (11)(17)",7/16/24,"Diversified Investment Vehicles, Banking, Finance, Real Estate",26000,25864,
98,"Dark Castle Holdings, LLC",Media – Diversified & Production,24395,1189,,
99,"JP Morgan Chase & Co., Credit-Linked Note (17)",12/20/21,"Diversified Investment Vehicles, Banking, Finance, Real Estate",43250,42861,
100,"NXT Capital CLO 2014-1, LLC, Class E Notes (11)(17)",4/23/26,"Diversified Investment Vehicles, Banking, Finance, Real Estate",5000,4388,
101,"Renaissance Umiat, LLC, ACES Tax Receivable (15)(17)",Energy – Oil & Gas,0,14842,,
102,TOTAL STRUCTURED PRODUCTS AND OTHER,188903.0,196942,,,
103,PREFERRED EQUITY01.5,,,,,
104,"CA Holding, Inc. (Collect America, Ltd.), Series A Preferred Stock (13)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",32961,788,,
105,"Crowley Holdings, Series A Preferred Stock (11)","Transportation – Cargo, Distribution",22500,23194,,
106,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (Convertible) (13)(14)",Education,332500,6863,,
107,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (13)(14)",5/12/18,Education,12360,163,
108,"Varietal Distribution Holdings, LLC, Class A Preferred Unit","Transportation – Cargo, Distribution",3097,4746,,
109,TOTAL PREFERRED EQUITY,63277.0,28727,,,
110,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2015  (in thousands, except shares)",,,,,
111,EQUITY01.5,,,,,
112,Common Equity/Interests01.2,Shares,,,,
113,"ATD Corporation (Accelerate Parent Corp), Common Stock","Transportation – Cargo, Distribution",1664046,1714,,
114,"CA Holding, Inc. (Collect America, Ltd.), Series A Common Stock (13)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",25000,2500,,
115,"CA Holding, Inc. (Collect America, Ltd.), Series AA Common Stock (13)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",4294,429,,
116,"Caza Petroleum Inc., Net Profits Interest (13)",Energy – Oil & Gas,0,1202,,
117,"Caza Petroleum Inc., Overriding Royalty Interest",Energy – Oil & Gas,0,339,,
118,"Clothesline Holdings, Inc. (Angelica Corporation), Common Stock (13)",Healthcare & Pharmaceuticals,6000,6000,,
119,"Explorer Coinvest, LLC (Booz Allen), Common Stock (17)",Business Services,192,1468,,
120,"Garden Fresh Restaurant Holdings, LLC., Common Stock (13)","Hotel, Gaming, Leisure, Restaurants",50000,5000,,
121,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock (13)",Education,17500,175,,
122,"JV Note Holdco, LLC (DSI Renal, Inc.), Common Equity / Interest (13)",Healthcare & Pharmaceuticals,9303,85,,
123,"Pelican Energy, LLC, Net Profits Interest (13)(17)",Energy – Oil & Gas,0,1100,,
124,"Skyline Data, News and Analytics LLC, Class A Common Unit (13)",Business Services,4500,4500,,
125,"Sorenson Holdings, LLC, Membership Interests (13)",Consumer Goods – Durable,587,0,,
126,"Univar, Inc., Common Stock (13)",Wholesale,290015,5755,,
127,"Varietal Distribution Holdings, LLC, Class A Common Unit (13)","Transportation – Cargo, Distribution",28028,28,,
128,Total Common Equity/Interests,30295.0,23307,,,
129,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2015  (in thousands, except warrants)",,,,,
130,Warrants00.3,,,,,
131,"CA Holding, Inc. (Collect America, Ltd.), Common Stock Warrants (13)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",12255,8,,
132,"Energy & Exploration Partners, Inc., Common Stock Warrants (13)",Energy – Oil & Gas,60778,2374,,
133,"Fidji Luxco (BC) S.C.A., Common Stock Warrants (2)(13)(17)",High Tech Industries,18113,182,,
134,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class A-1 Preferred Stock Warrants (13)",Education,45947,459,,
135,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class B-1 Preferred Stock Warrants (13)",Education,104314,1043,,
136,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock Warrants (13)",Education,9820,98,,
137,"Osage Exploration & Development, Inc., Common Stock Warrants (13)(17)",Energy – Oil & Gas,1496843,0,,
138,"Spotted Hawk Development, LLC, Common Stock Warrants (13)",Energy – Oil & Gas,54545,852,,
139,Total Warrants,5016.0,5573,,,
140,TOTAL EQUITY,35311.0,28880,,,
141,Total Investments in Non-Controlled/ Non-Affiliated Investments,2489490.0,2336435,,,
