,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Non-Controlled/Non-Affiliated Investments,,,,,,,,,,,,,,,,,
1,Corporate Debt,,,,,,,,,,,,,,,,,
2,Secured Debt,,,,,,,,,,,,,,,,,
3,First Lien Secured Debt,,,,,,,,,,,,,,,,,
4,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,,,,,,,,,,,,
5,"Aventine Renewable Energy Holdings, Inc.",,"Chemicals, Plastics & Rubber",,15.00 PIK Toggle (10.50 Cash),,9/24/17,,,17399.0,,,,19688.0,,,,15828.0
6,"Belk, Inc.",,Retail,,"5.75 (6M L+475, 1.00 Floor)",,12/12/22,,1292,,,1159,,,1037,,,
7,ChyronHego Corporation (18),,High Tech Industries,,"6.63 (3M L+563, 1.00 Floor)",,3/9/20,,32019,,,31510,,,31378,,,
8,"Delta Educational Systems, Inc. (14)(16)",,Education,,"16.00 (3M L+1400 PIK, 2.00 Floor)",,12/11/16,,7049,,,7049,,,180,,,
9,Dodge Data & Analytics LLC,,Business Services,,"9.75 (3M L+875, 1.00 Floor)",,10/31/19,,52747,,,51992,,,51296,,,
10,ECN Holding Company (Emergency Communications Network) (16)(18),,High Tech Industries,,"8.00 (3M L+700, 1.00 Floor)",,6/12/21,,11109,,,10974,,,10754,,,
11,ECN Holding Company (Emergency Communications Network) (16)(18),,High Tech Industries,,"8.00 (6M L+700, 1.00 Floor)",,6/12/21,,11166,,,11017,,,10808,,,
12,Garden Fresh Restaurant Corp. (16),,"Hotel, Gaming, Leisure, Restaurants",,"10.50 (1M L+900, 1.50 Floor)",,7/3/18,,2500,,,2500,,,2500,,,
13,LabVantage Solutions Inc.,,High Tech Industries,,"9.00 (3M L+800, 1.00 Floor)",,12/29/20,,14813,,,14378,,,14331,,,
14,LabVantage Solutions Limited (16)(17),,High Tech Industries,,"9.00 (3M E+800, 1.00 Floor)",,12/29/20,,€,13570.0,,,14151,,,14585,,
15,"Magnetation, LLC (14)",,Metals & Mining,,12.00 PIK,,7/7/16,,13875,,,12428,,,32,,,
16,"Maxus Capital Carbon SPE I, LLC",,"Chemicals, Plastics & Rubber",,13.00,,12/31/18,,59305,,,59305,,,57355,,,
17,"My Alarm Center, LLC, Term Loan A (16)",,Business Services,,"9.00 (1M L+800, 1.00 Floor)",,1/9/19,,28035,,,28035,,,27755,,,
18,"My Alarm Center, LLC, Term Loan B (16)(23)",,Business Services,,"9.00 (1M L+800, 1.00 Floor)",,1/9/19,,7860,,,7860,,,7781,,,
19,"My Alarm Center, LLC, Term Loan B (16)(23)",,Business Services,,11.00 (P+700),,1/9/19,,75,,,75,,,74,,,
20,"My Alarm Center, LLC, Unfunded Term Loan B (8)(16)(21)(23)",,Business Services,,0.35 Unfunded,,1/9/19,,826,,,0,,,(8,,,
21,"My Alarm Center, LLC, Term Loan C (16)(23)",,Business Services,,"9.00 (1M L+800, 1.00 Floor)",,1/9/19,,2973,,,2973,,,2944,,,
