,Industry / Company,Interest Rate (20),Par/Shares (12),Fair Value (1)(30),
0,"Advertising, Printing & Publishing",,,,
1,Learfield Communications,,,,
2,A-L Parent LLC,"8.25 (1M L+725, 1.00 Floor)",5536,4307,
3,"Simplifi Holdings, Inc.",,,,
4,"Simplifi Holdings, Inc.","6.75 (3M L+575, 1.00 Floor)",38732,37291,
5,"Total Advertising, Printing & Publishing",44779,,,
6,Aerospace & Defense,,,,
7,Erickson Inc,,,,
8,Erickson Inc,"9.00 (3M L+750, 1.50 Floor)",32479,31748,
9,Total Aerospace & Defense,32302,,,
10,Automotive,,,,
11,Accelerate Parent Corp. (American Tire),,,,
12,Accelerate Parent Corp.,"1,664,046 Shares",0,,
13,Arlington,,,,
14,Arlington Industries Group Limited,"5.75 (1M E+525, 0.50 Floor)",€,2975,(9)(17)
15,Crowne Automotive,,,,
16,"Vari-Form Group, LLC",L+11.00 (7.00 Cash plus 4.00 PIK),5859,762,
17,Vari-Form Inc.,L+11.00 (7.00 Cash plus 4.00 PIK),2110,274,
18,"K&N Parent, Inc.",,,,
19,"K&N Parent, Inc.","9.82 (6M L+875, 1.00 Floor)",23765,21388,
20,"Truck-Lite Co., LLC",,,,
21,"Truck-Lite Co., LLC","7.32 (6M L+625, 1.00 Floor)",25085,24558,
22,"TL Lighting Holdings, LLC",350 Shares,321,,
23,Total Automotive,59914,,,
24,Aviation and Consumer Transport,,,,
25,"Merx Aviation Finance, LLC",,,,
26,"Merx Aviation Finance, LLC (5)",10.00,200000,200000,
27,Primeflight,,,,
28,"PrimeFlight Aviation Services, Inc.","6.50 (1M L+550, 1.00 Floor)",14731,14177,
29,Total Aviation and Consumer Transport,334756,,,
30,"Beverage, Food & Tobacco",,,,
31,Bolthouse Farms,,,,
32,"Wm. Bolthouse Farms, Inc.","1,000,000 Shares",940,,
33,Eagle Foods,,,,
34,"Eagle Foods Family Group, LLC","7.75 (3M L+675, 1.00 Floor)",24501,23765,
35,"Florida Food Products, Inc.",,,,
36,"Florida Food Products, Inc.","7.75 (3M L+675, 1.00 Floor)",22880,22651,
37,"Florida Food Products, LLC","7.75 (3M L+675, 1.00 Floor)",1712,1695,
38,"Orgain, Inc.",,,,
39,"Butterfly Fighter Co-Invest, L.P.","1,000,000 Shares",1026,,
40,TNT Crust LLC,,,,
41,TNT Crust LLC,"7.75 (1M L+675, 1.00 Floor)",26408,25747,
42,Turkey Hill,,,,
