,Industry/Company,Industry,Par_Shares,Cost,Fair_Value
0,CORPORATE DEBT-133.8%,,,,
1,SECURED DEBT-71.0%,,,,
2,1st Lien Secured Debt-28.8%,,,,
3,"Amaya Gaming Group, Inc., L+775 11/05/15",Consumer Products,14625,14448,14625
4,"Avaya, Inc., 9.00%, 04/01/19   ̈",Telecommunications,20500,21116,19543
5,"Aveta, Inc., L+825, 12/12/17",Healthcare,67854,66002,68448
6,"Caza Petroleum Inc., L+1000, 5/23/17",Energy,20000,19345,19069
7,"Dark Castle Holdings, LLC, L+225, 3/25/13",Media,33715,10489,12604
8,"Delta Educational Systems, Inc., 16.00% (8.00% Cash/8.00% PIK), 12/11/2016",Education,5118,5118,5118
9,"Endeavour International Corp., 12.00%, 03/01/18† ‡",Oil & Gas,17665,17046,16958
10,"Endeavour International Corp., L + 13.00%, 6/30/14† ‡",Oil & Gas,30000,30650,30450
11,"Evergreen Tank Solutions, Inc., L+800, 9/28/18 †",Manufacturing,31200,30632,31044
12,"Evergreen Tank Solutions, Inc., L+800, 9/28/18 †",Manufacturing,5548,5548,5521
13,"Garden Fresh Restaurant Corp., P+675 (P+425 Cash/0.5% PIK/2.0% default rate), 08/09/13 †",Retail,2508,2508,2508
14,"Garden Fresh Restaurant Corp., P+775 (P+525 Cash/0.5% PIK/2.0% default rate), 08/09/13 †",Retail,2508,2434,2508
15,"Magnetation, LLC, 11% 05/15/18   ̈",Mining,32750,32967,32259
16,"Maxus Capital Carbon SPE I, LLC (Skyonic Corp.), 13.00%, 9/18/19",Chemicals,60000,60000,60000
17,"Miller Energy Resources, Inc., 18.00% (15.00% Cash/3.00% PIK Option), 6/29/17",Energy,55307,55307,55307
18,"Nara Cable Funding Limited, 8.875%, 12/01/18   ̈  ‡",Broadcasting &  Entertainment,6284,5451,6457
19,"New Publishing Holdings (F&W Media), L+650, 06/30/18",Printing &  Publishing,16000,14720,15600
20,"Osage Exploration & Development, Inc., L+1500, 4/27/2015 ‡",Energy,13000,12775,13000
21,"Panda Sherman Power, LLC, L+750, 9/14/18",Power,15000,14798,15337
22,"Panda Temple Power, LLC, L+1000, 7/18/18",Power,25500,25047,25946
23,"Pelican Energy, LLC, 10.00% (7% Cash / 3% PIK), 12/31/18 ‡",Energy,11627,11271,11859
24,"Spotted Hawk Development LLC, 14.00% (13.00% Cash/ 1.00% PIK), 6/30/16 ‡",Energy,24063,23310,23101
25,"Sunrun Solar Owner IX, LLC, 9.079%, 12/31/24",Energy,3353,3203,3202
26,"Texas Competitive Electric Holdings, 11.50%, 10/01/20   ̈",Utilities,50000,49699,37542
27,2nd Lien Secured Debt-42.2%,,,,
28,"AI Chem & Cy US AcquiCo, Inc. (Monarch), L +700, 03/20/20 ‡",Chemicals,5000,4976,5025
29,"Allied Security Holdings, LLC, L+825, 2/2/18",Business Services,31000,30773,31388
30,"Amor Holdings, Inc. (American Stock Transfer and Trust Company), L+900, 12/22/20",Financial Services,8000,7840,7980
31,"Ardent Medical Services, Inc., L+950 01/02/19",Healthcare,20000,19530,20325
32,"Arysta Lifescience Corporation, L+700 11/22/20 ‡",Chemicals,17133,16963,16994
33,"Avaya, Inc., 10.5% Cash 03/01/21   ̈",Telecommunications,16577,15850,12571
35,2nd Lien Secured Debt-(continued),,,,
36,"Brock Holdings III, Inc., L+825, 3/16/18",Environmental &  Facilities Services,25000,24625,25406
37,"Clean Earth, Inc., 13.00%, 8/1/14",Environmental &  Facilities Services,25000,25000,25000
38,"Confie Seguros II, L+900 05/08/19",Consumer Products,14844,14566,14881
39,"Deltek, Inc., 8.75%, 6/30/20",Business Services,27273,27000,27375
40,"EZE Software Group, LLC., L +750, 03/14/21",Business Services,6132,6072,6209
41,"Garden Fresh Restaurant Corp., L+1175 PIK, 12/11/13",Retail,47310,48107,33117
42,"GCA Services Group, Inc., L+800, 10/31/20",Environmental &  Facilities Services,28547,28602,29100
43,"GETCO Financing Escrow LLC, (Knight Capital Group), 8.25% 06/15/18   ̈",Financial Services,39033,38296,37081
44,"Grocery Outlet Inc., L+925 06/17/19",Grocery,8674,8510,8869
45,"HD Vest Inc., L+225, 6/17/18 ‡",Financial Services,9396,9279,9302
46,"Healogics, Inc., L+800, 02/05/20",Healthcare,10000,10120,10250
47,"Insight Pharmaceuticals, LLC, L+1175, 8/25/17",Consumer Products,15448,15210,15796
48,"ION Trading Technologies S.A.R.L., L+700 05/22/21 ‡",Financial Services,7707,7648,7705
49,"IPC Systems, Inc., L+525, 05/31/15",Telecommunications,44250,42908,35621
50,"Kronos, Inc., L+850, 04/26/20",Electronics,61358,60533,63506
51,"PH Holdings LLC, 9.75%, 12/31/17",Homebuilding,20000,19645,21275
52,"Ranpak Corp., L+725, 04/23/20",Packaging,22000,21784,22330
53,"Sedgwick Holdings, Inc., L+700, 12/12/18",Business Services,15225,15149,15377
54,"SESAC Holdco II LLC, L+875, 08/08/19",Broadcasting &  Entertainment,10750,10891,11073
55,"Smart & Final Stores LLC, L+925 11/08/20",Grocery,12392,12038,12562
56,"Sprint Industrial Holdings, LLC, L+1000 11/14/19",Packaging,13500,13234,13584
57,"SquareTwo Financial Corp. (Collect America), 11.625%, 04/01/17 ‡",Financial Services,51079,49523,52867
58,"Transfirst Holdings Inc., L+9.75%, 06/20/18",Financial Services,64750,63134,66126
59,"U.S. Renal Care, Inc., L+900, 01/03/20",Healthcare,9910,9920,10108
60,"Valerus Compression Services, LP, 11.50%, 3/26/18",Manufacturing,40000,40000,41200
61,"Venoco, Inc., 8.875%, 02/15/19",Energy,13050,13298,12796
62,"Vertafore, Inc., L+825, 10/29/17",Business Services,49260,48917,50307
63,UNSECURED DEBT-62.8%,,,,
64,"Allied Nevada Gold Corp., 8.75%, 06/02/19   ̈  ‡","Diversified Natural  Resources, Precious  Metals and Minerals","CAD 39,000",35744,32301
65,"Altegrity Inc., 0.00%, 8/2/16   ̈  †",Diversified Service,3545,2431,1666
66,"Altegrity Inc., 11.75%, 5/1/16   ̈  †",Diversified Service,14639,12086,11565
67,"Altegrity Inc., 12.00%, 11/1/15   ̈  †",Diversified Service,79000,79000,72285
68,"American Tire Distributors, Inc., 11.50%, 6/1/18   ̈",Distribution,25000,25000,25620
69,UNSECURED DEBT-(continued),,,,
70,"Angelica Corporation, 15.00% (12.00% Cash / 3.00% PIK), 10/15/16",Healthcare,46284,46284,47210
71,"BCA Osprey II Limited (British Car Auctions), 12.50% PIK, 8/17/17 ‡ †",Transportation,28810,45579,42932
72,"BCA Osprey II Limited (British Car Auctions), 12.50% PIK, 8/17/17 ‡ †",Transportation,17496,24113,22344
73,"Casella Waste Systems Inc., 7.75%, 2/15/19",Environmental &  Facilities Services,1500,1429,1433
74,"Ceridian Corp., 12.25% Cash or 13.00% PIK, 11/15/15 †",Diversified Service,14420,14411,14684
75,"Ceridian Corp., 11.25%, 11/15/15 †",Diversified Service,35800,35808,36471
76,"Ceridian Corp., 11.00%, 03/15/21 †   ̈",Diversified Service,67500,67500,75178
77,"Delta Educational Systems, Inc., 16.00% (10.00% Cash/ 6% PIK), 05/12/17",Education,20729,20340,19485
78,"Denver Parent (Venoco), 18.00% (variable increases for PIK elections), 10/03/15   ̈",Energy,21668,21668,24485
79,"Energy & Exploration Partners, Inc., 15.00%, 04/08/18",Oil & Gas,25000,22103,22099
80,"Exova Limited, 10.50%, 10/15/18   ̈  ‡ †",Business Services,18000,27086,29280
81,"Exova Limited, 10.50%, 10/15/18 ‡ †",Business Services,4655,6115,7572
82,"First Data Corp., 11.25%, 01/15/21 †   ̈",Financial Services,67000,66976,67056
83,"First Data Corp., 10.625%, 06/15/21 †   ̈",Financial Services,10000,10000,9900
84,"First Data Corp., 11.75% 8/15/21†   ̈",Financial Services,45000,45031,40950
85,"First Data Corp., 11.25%, 03/31/16 †",Financial Services,41862,38746,41051
86,"inVentiv Health, Inc., 11.00%, 8/15/18   ̈",Healthcare,150000,150000,126000
87,"Lonestar Intermediate Super Holdings (Asurion), LLC, L+950, 9/2/19",Insurance,41922,41779,44018
88,"Molycorp, Inc., 10.00%, 06/01/20 ‡","Diversified Natural  Resources,  Precious Metals  and Minerals",16458,16137,16026
89,"National Financial Partners, 9.00%, 7/15/21 ‡   ̈",Financial Services,10000,10000,9900
90,"Niacet Corporation, 13.00%, 08/28/18",Chemicals,12500,12500,12500
91,"Penn Virigina Corp., 8.50%, 05/01/20   ̈",Oil & Gas,43038,43308,42204
92,"PetroBakken Energy Ltd. (Lightstream Resources Ltd), 8.625%, 02/01/20 ‡   ̈",Oil & Gas,61581,62668,58656
93,"U.S. Security Associates Holdings, Inc., 11.00%, 7/28/18",Business Services,135000,135000,137970
94,"Univar Inc., 10.50% 06/30/18",Distribution,20000,20000,19480
95,"Varietal Distribution, 10.75%, 6/30/17 †   ̈",Distribution,11574,15109,15450
96,"Varietal Distribution, 10.75%, 6/30/17 †   ̈",Distribution,22204,21854,22804
97,"Whistler Energy II, LLC, 14.00%, 01/3/13",Oil & Gas,128,128,128
98,STRUCTURED PRODUCTS-2.2%,,,,
99,"SLM Student Loan Trust 2006-2, Certificates ‡",Diversified  Investment Vehicle,33,36736,31300
100,"Westbrook CLO Ltd., Series 2006-1A, Class E L+370, 12/20/20   ̈  ‡",Diversified  Investment Vehicle,11000,7436,9845
102,PREFERRED EQUITY-0.7%,,,,
103,"CA Holding, Inc. (Collect America, Ltd.) Series A ** ‡",Financial Services,7961,788,1592
104,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 13.50% PIK, 5/12/14 ***",Education,12360,27686,8535
105,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 12.50% PIK ***",Education,332500,6863,-
106,"Varietal Distribution Holdings, LLC, Class A 8.00% PIK",Distribution,3097,4982,2667
107,EQUITY-3.6%,,,,
108,Common Equity/Interests-3.0%,,,,
109,Accelerate Parent Corp. (American Tire Distributors) **,Distribution,3125000,3125,3560
110,AHC Mezzanine LLC (Advanstar) **,Media,-,1063,643
111,Altegrity Holding Corp. **,Diversified Service,353399,13797,1214
112,"CA Holding, Inc. (Collect America, Ltd.) Series A ** ‡",Financial Services,25000,2500,2498
113,"CA Holding, Inc. (Collect America, Ltd.) Series AA ** ‡",Financial Services,4294,429,859
114,"Caza Petroleum, Inc., Net Profits Interest **",Energy,-,525,771
115,"Caza Petroleum, Inc., Overriding Royalty Interest **",Energy,-,148,160
116,"Clothesline Holdings, Inc. (Angelica Corporation) **",Healthcare,6000,6000,3608
117,Explorer Coinvest LLC (Booz Allen) ** ‡,Consulting  Services,430,3322,6950
118,"Garden Fresh Restaurant Holding, LLC **",Retail,50000,5000,-
119,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.) **",Education,17500,175,-
120,"GS Prysmian Co-Invest L.P. (Prysmian Cables & Systems) (2,3) ** ‡",Manufacturing,-,-,141
121,JV Note Holdco LLC (DSI Renal Inc.) **,Healthcare,9303,85,-
122,"Pelican Energy, LLC, Net Profits Interest ** ‡",Energy,-,306,257
123,"Penton Business Media Holdings, LLC **",Printing &  Publishing,124,4950,17050
124,"RC Coinvestment, LLC (Ranpak Corp.) **",Packaging,50000,5000,5923
125,"Sorenson Communications Holdings, LLC Class A **",Consumer Products,454828,45,1700
126,Univar Inc. **,Distribution,900000,9000,9600
127,"Varietal Distribution Holdings, LLC Class A **",Distribution,28028,28,-
129,Warrants-0.6%,,,,
130,"CA Holding, Inc. (Collect America, Ltd.), Common ** ‡",Financial Services,7961,8,-
131,"Energy & Exploration Partners, Inc., Common **",Oil & Gas,48077,2232,2232
132,"Fidji Luxco (BC) S.C.A., Common (FCI) (2) ** ‡",Electronics,24862,250,5859
133,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Common **",Education,9820,98,-
134,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Class A-1 Preferred **",Education,45947,459,-
135,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Class B-1 Preferred **",Education,104314,1043,-
136,"Osage Exploration & Development, Inc., Common ** ‡",Energy,1496843,-,1242
137,"Spotted Hawk Development LLC, Common ** ‡",Energy,54545,852,1767
