,Investment,Interest  Rate (20),Maturity  Date,Par (12),Cost,Fair  Value (1),
0,Non-Controlled/Non-Affiliated Investments,,,,,,
1,Corporate Debt,,,,,,
2,Secured Debt,,,,,,
3,First Lien Secured Debt,,,,,,
4,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,
5,"Aventine Renewable Energy Holdings, Inc.",10.50 Cash (15.00 PIK Toggle),9/22/17,16764.0,19053.0,15334.0,
6,"Aveta, Inc. (16)","9.75 (3M L+825, 1.50 Floor)",12/12/17,21367,21114,13461,
7,"Aveta, Inc. (16)","9.75 (3M L+825, 1.50 Floor)",12/12/17,15533,15315,9786,
8,"Belk, Inc.","5.75 (6M L+475, 1.00 Floor)",12/12/22,1866,1610,1660,
9,ChyronHego Corporation (18),"6.63 (3M L+563, 1.00 Floor)",3/9/20,32225,31684,31580,
10,"Deep Gulf Energy II, LLC","14.50 (3M L+1300, 1.50 Floor)",9/30/18,25000,25000,22500,
11,"Delta Educational Systems, Inc. (16)","16.00 (3M L+1400 PIK, 2.00 Floor)",12/11/16,6784,6784,6784,
12,Dodge Data & Analytics LLC,"9.75 (3M L+875, 1.00 Floor)",10/31/19,53125,52316,51664,
13,ECN Holding Company (Emergency Communications Network) (16)(18),"8.00 (3M L+700, 1.00 Floor)",6/12/21,11166,11017,10786,
14,ECN Holding Company (Emergency Communications Network) (16)(18),"8.00 (6M L+700, 1.00 Floor)",6/12/21,11166,11017,10786,
15,LabVantage Solutions Inc.,"9.00 (3M L+800, 1.00 Floor)",12/29/20,14906,14445,14422,
16,LabVantage Solutions Limited (16)(17),"9.00 (3M E+800, 1.00 Floor)",12/29/20,€,13656.0,14221,15055
17,"Magnetation, LLC (14)",12.00 PIK,7/7/16,13466,12427,1687,
18,"Maxus Capital Carbon SPE I, LLC",13.00,12/31/18,59305,59305,58569,
19,"My Alarm Center, LLC, Term Loan A (16)","9.00 (1M L+800, 1.00 Floor)",1/9/19,28035,28035,27545,
20,"My Alarm Center, LLC, Term Loan B (16)(23)","9.00 (1M L+800, 1.00 Floor)",1/9/19,7774,7774,7638,
21,"My Alarm Center, LLC, Unfunded Term Loan B (8)(16)(21)(23)",0.35 Unfunded,1/9/19,987,0,(17,
22,"My Alarm Center, LLC, Term Loan C (16)(23)","9.00 (3M L+800, 1.00 Floor)",1/9/19,2865,2865,2814,
23,"My Alarm Center, LLC, Unfunded Term Loan C (8)(16)(21)(23)",0.35 Unfunded,1/9/19,1247,0,(22,
24,"Osage Exploration & Development, Inc. (11)(14)(16)(17)",11.44 Cash (1M L+1100 PIK Toggle),4/27/16,26698,24706,5374,
25,"Osage Exploration & Development, Inc. (16)(17)(23)",8.00,4/25/16,400.0,400.0,400.0,
26,"Saba Software, Inc. (18)","9.75 (1M L+875, 1.00 Floor)",3/30/21,9925,9925,9776,
27,"SCM Insurance Services, Inc. (17)",9.25,8/22/19,C$,39480.0,33035,26538
28,"Spotted Hawk Development, LLC (14)",19.00 (13.00 Cash plus 6.00 PIK),9/12/16,85660,84380,64071,
