,0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,
1,A-L Parent LLC,,Second Lien Secured Debt,,"9.13 (1M L+725, 1.00 Floor)",,12/02/24,,7536.0,,,,7473,,,,7611,,,
2,"American Media, Inc.",,First Lien Secured Debt,,"10.75 (3M L+900, 1.00 Floor)",,08/24/20,13867,,,13596,,,14213,,,,,,
3,,,First Lien Secured Debt - Revolver,,"11.25 (3M L+900, 1.00 Floor)",,08/24/20,948,,,948,,,963,,,(23),,,
4,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,08/24/20,746,,,(32,,,0,,,(21)(23),,,
5,,,First Lien Secured Debt - Letter of Credit,,9.00,,08/24/20,84,,,0,,,0,,,(23),,,
6,,,,,,,,,,14512,,,15176,,,,,,,
7,"Simplifi Holdings, Inc.",,First Lien Secured Debt,,"8.39 (1M L+650, 1.00 Floor)",,09/28/22,12139,,,11812,,,11775,,,(9),,,
8,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,09/28/22,2400,,,(65,,,(72,,,(8)(9)(21)(23),,,
9,,,,,,,,,,11747,,,11703,,,,,,,
10,"Total Advertising, Printing & Publishing",,,,33732,,,34490,,,,,,,,,,,,
11,Aerospace & Defense,,,,,,,,,,,,,,,,,,,
12,Erickson Inc,,First Lien Secured Debt - Revolver,,"9.81 (3M L+750, 1.00 Floor)",,04/28/22,,21140.0,,,,21140,,,,20823,,,(9)(23)
13,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,04/28/22,16201,,,(458,,,(243,,,(8)(9)(21)(23),,,
14,,,First Lien Secured Debt - Letter of Credit,,7.50,,04/01/18,277,,,0,,,(4,,,(8)(9)(23),,,
15,,,First Lien Secured Debt - Letter of Credit,,7.50,,06/20/18,43,,,0,,,0,,,(8)(9)(23),,,
16,,,First Lien Secured Debt - Letter of Credit,,7.50,,06/25/18,4,,,0,,,0,,,(8)(9)(23),,,
