,Industry / Company,Interest Rate (20),Par / Shares (12),Cost (29),Fair  Value (1) (30),
0,"Advertising, Printing & Publishing",,,,,
1,A-L Parent LLC,"9.75 (1M L+725, 1.00 Floor)",5536.0,5496,5522,
2,"Simplifi Holdings, Inc.","8.00 (1M L+550, 1.00 Floor)",25363,24948,25110,
3,"Total Advertising, Printing & Publishing",30394,,,,
4,Aerospace & Defense,,,,,
5,Erickson Inc,"10.09 (3M L+750, 1.00 Floor)",27169.0,27169,26558,
6,ILC Dover LP,"11.38 (6M L+850, 1.00 Floor)",20000,19635,19550,
7,PAE Holding Corporation,"12.00 (1M L+950, 1.00 Floor)",28097,27540,27816,
8,Total Aerospace & Defense,73998,,,,
9,Automotive,,,,,
10,Accelerate Parent Corp.,"1,076 Shares",0.0,(13)(28),,
11,Crowne Automotive,,,,,
12,"Vari-Form Group, LLC","13.60 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",6196.0,5766,960,
13,Vari-Form Inc.,"13.60 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",2110,2604,327,
14,"K&N Parent, Inc.","11.25 (1M L+875, 1.00 Floor)",23764,23428,22991,
15,Total Automotive,33512,,,,
16,Aviation and Consumer Transport,,,,,
17,"Merx Aviation Finance, LLC (5)",12.00,371200.0,371200,371200,
18,Total Aviation and Consumer Transport,386200,,,,
19,"Beverage, Food & Tobacco",,,,,
20,"Eagle Foods Family Group, LLC","9.24 (3M L+650, 1.00 Floor)",24813.0,24571,24440,
21,Florida Food Products,,,,,
22,"Florida Food Products, Inc.","9.25 (1M L+675, 1.00 Floor)",23171,22639,22940,
23,"Florida Food Products, LLC","9.25 (1M L+675, 1.00 Floor)",1336,1336,1322,
24,TNT Crust LLC,"8.75 (1M L+625, 1.00 Floor)",9083,8916,8992,
25,"Total Beverage, Food & Tobacco",57603,,,,
26,Business Services,,,,,
27,"Access CIG, LLC",10.25 (1M L+775),15900.0,15771,15741,
28,Aero Operating LLC,"9.75 (1M L+725, 1.00 Floor)",37040,36325,36669,
29,Ambrosia Buyer Corp.,"10.50 (1M L+ 800, 1.00 Floor)",21429,20999,20975,
30,"Aptean, Inc.","12.11 (3M L+950, 1.00 Floor)",11148,11064,11148,
31,"Claritas, LLC","8.50 (1M L+600, 1.00 Floor)",3944,3905,3905,
32,"Continuum Global Solutions, LLC","8.00 (1M L+550, 1.00 Floor)",6219,6219,6095,
33,"CT Technologies Intermediate Holdings, Inc","6.75 (1M L+425, 1.00 Floor)",4460,3853,3897,
34,Education Personnel,"5.60 (3M GBP L+475, 0.50 Floor)",£,4118.0,5219,(9)(17)
