,Industry / Company,Interest Rate (20),Par/Shares (12),Cost (28),Fair Value (1)(29),,
0,"Advertising, Printing & Publishing",,,,,,
1,FingerPaint Marketing,,,,,,
2,KL Charlie Acquisition Company,"7.25 (3M L+625, 1.00 Floor)",18653,18292,18467,(9),
3,"KL Charlie Co-Invest, L.P.","218,978 Shares",239,(9)(13)  (25),,,
4,"Simplifi Holdings, Inc.",,,,,,
5,"Simplifi Holdings, Inc.","7.25 (6M L+625, 1.00 Floor)",38440,37919,37867,(9),
6,Aerospace & Defense,,,,,,
7,Erickson Inc,,,,,,
8,Erickson Inc,"9.00 (3M L+750, 1.50 Floor)",30469,30469,30012,(9)(23),
9,Automotive,,,,,,
10,Crowne Automotive,,,,,,
11,"Vari-Form Group, LLC",11.00 (7.00 Cash plus 4.00 PIK),5860,901,293,(9)(14),
12,Vari-Form Inc.,11.00 (7.00 Cash plus 4.00 PIK),2110,391,105,(9)(14),
13,"K&N Parent, Inc.",,,,,,
14,"K&N Parent, Inc.","9.75 (3M L+875, 1.00 Floor)",23765,23549,21982,,
15,"Truck-Lite Co., LLC",,,,,,
16,"TL Lighting Holdings, LLC",350 Shares,345,(9)(13),,,
17,"Truck-Lite Co., LLC","7.25 (3M L+625, 1.00 Floor)",28585,28029,28088,(9),
18,Aviation and Consumer Transport,,,,,,
19,"Merx Aviation Finance, LLC",,,,,,
20,"Merx Aviation Finance, LLC (5)",10.00,190500,190500,190500,(23),
21,Primeflight,,,,,,
22,"PrimeFlight Aviation Services, Inc.","6.50 (1M L+550, 1.00 Floor)",17478,17229,17088,(9),
23,"Beverage, Food & Tobacco",,,,,,
24,Bolthouse Farms,,,,,,
25,"Wm. Bolthouse Farms, Inc.","1,000,000 Shares",1070,(13),,,
26,Eagle Foods,,,,,,
27,"Eagle Foods Family Group, LLC","7.50 (3M L+650, 1.00 Floor)",23458,23317,23224,(9),
28,"Florida Food Products, Inc.",,,,,,
29,"Florida Food Products, Inc.","7.50 (3M L+650, 1.00 Floor)",22705,22345,22592,(9),
30,"Florida Food Products, LLC","7.50 (3M L+650, 1.00 Floor)",479,479,477,(9)(23),
31,"Orgain, Inc.",,,,,,
32,"Butterfly Fighter Co-Invest, L.P.","1,000,000 Shares",1275,(13),,,
33,TNT Crust LLC,,,,,,
34,TNT Crust LLC,"7.75 (3M L+675, 1.00 Floor)",20473,20223,20166,(9),
35,Turkey Hill,,,,,,
36,IC Holdings LLC,169 Shares,351,(9)(13),,,
37,THLP CO. LLC,"7.00 (12M L+600, 1.00 Floor)",2787,2763,2759,(9),
38,Business Services,,,,,,
39,Access Information,,,,,,
40,"Access CIG, LLC",7.87 (1M L+775),15900,15807,15709,,
41,Ambrosia Buyer Corp.,,,,,,
42,Ambrosia Buyer Corp.,9.00,21429,20536,12795,(14),
43,AML Rightsource,,,,,,
44,"Gabriel Partners, LLC","7.25 (6M L+625, 1.00 Floor)",10176,9945,9971,(9),
45,Claritas,,,,,,
46,"Claritas, LLC","7.00 (3M L+600, 1.00 Floor)",3746,3724,3708,(9),
47,Continuum,,,,,,
48,"Continuum Global Solutions, LLC","6.50 (1M L+550, 1.00 Floor)",5317,5317,5224,(9)(23),
49,Education Personnel,,,,,,
50,Arthur Bidco Limited,"6.00 (1M GBPL+550, 0.50 Floor)",£,4035,5162,5309,(9)(17)
51,Electro Rent Corporation,,,,,,
52,Electro Rent Corporation,"10.00 (3M L+900, 1.00 Floor)",34235,33672,33722,(9),
53,Elo Touch,,,,,,
54,TGG TS Acquisition Company,0.50 Unfunded,1750,0,(33),(8)(21)  (23),
55,Ensemble Health,,,,,,
56,"EHL Merger Sub, LLC",0.25 Unfunded,4155,(254),(140),(8)(21)  (23),
57,Jacent,,,,,,
58,Jacent Strategic Merchandising,"6.75 (3M L+575, 1.00 Floor)",22352,22146,21896,(9),
59,"JSM Equity Investors, L.P.",114 Shares,11,(9)(13)  (25),,,
60,Jones & Frank,,,,,,
61,"JF Acquisition, LLC","6.50 (12M L+550, 1.00 Floor)",13139,12963,12965,(9),
62,MAKS,,,,,,
63,Trident Bidco Limited,"6.50 (6M L+550, 1.00 Floor)",34562,33765,34013,(9)(17),
64,McLarens,,,,,,
65,Margaux Acquisition Inc.,"6.75 (3M L+575, 1.00 Floor)",23054,22766,22876,(9),
66,Margaux UK Finance Limited,"6.75 (3M GBPL+575, 1.00 Floor)",£,7183,8965,9835,(9)(17)
67,Naviga,,,,,,
68,"Naviga Inc. (fka Newscycle Solutions, Inc.)","8.00 (3M L+700, 1.00 Floor)",11024,10910,10914,(9),
69,"PSI Services, LLC",,,,,,
70,"Lifelong Learner Holdings, LLC","6.75 (3M L+575, 1.00 Floor)",32536,32005,31420,(9),
71,"RA Outdoors, LLC (Active Outdoors)",,,,,,
72,"RA Outdoors, LLC","5.75 (6M L+475, 1.00 Floor)",6525,6461,6460,(9),
73,Soliant,,,,,,
74,"Soliant Health, Inc.",300 Shares,374,(9)(13),,,
75,"Soliant Holdings, LLC","6.50 (1M L+550, 1.00 Floor)",16274,16007,16274,(9),
76,"Transplace Holdings, Inc.",,,,,,
77,"Transplace Holdings, Inc.","9.75 (3M L+875, 1.00 Floor)",8599,8476,8513,,
78,US Legal Support,,,,,,
79,"US Legal Support Investment Holdings, LLC","631,972 Shares",474,(9)(13),,,
80,"USLS Acquisition, Inc.","6.75 (3M L+575, 1.00 Floor)",24250,23948,22785,(9),
81,"Chemicals, Plastics & Rubber",,,,,,
82,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),,,,,,
83,Carbonfree Chemicals Holdings LLC (4),"2,288 Shares",25424,(13)(16)  (25),,,
84,Carbonfree Chemicals SA LLC (4),"3,152 Shares",0,(3)(13)  (16)(25),,,
85,Niacet Corporation,,,,,,
86,"Hare Bidco, Inc.","9.75 (1M E+875, 1.00 Floor)",€,11351,12165,13307,
87,"Westfall Technik, Inc.",,,,,,
88,"Westfall Technik, Inc.","7.25 (1M L+625, 1.00 Floor)",15777,15588,15355,(9),
89,Construction & Building,,,,,,
90,Englert,,,,,,
91,"Gutter Buyer, Inc.","7.25 (1M L+625, 1.00 Floor)",28629,28267,28022,(9),
92,"Gutter Holdings, LP",500 Shares,1128,(9)(13),,,
93,Consumer Goods – Durable,,,,,,
94,A&V,,,,,,
95,"A&V Holdings Midco, LLC","6.38 (3M L+538, 1.00 Floor)",10854,10514,10550,,
96,KDC,,,,,,
97,KDC US Holdings,3.11 (1M L+300),2696,2696,2635,(23),
98,"KLO Holdings, LLC",,,,,,
99,1244311 B.C. Ltd. (4),"6.00 (1M L+500, 1.00 Floor)",2993,2993,2857,(17),
100,9357-5991 Quebec Inc. (4),11.25 (3M L+775 Cash plus 2.00 PIK),3945,0,0,(14),
101,Liqui-Box,,,,,,
102,"Liqui-Box Holdings, Inc.","5.50 (3M L+450, 1.00 Floor)",1661,1661,1660,(23),
103,NSi Industries,,,,,,
104,"Wildcat BuyerCo, Inc.","6.25 (3M L+525, 1.00 Floor)",7174,6878,7074,,
105,Wildcat Parent LP,"1,070 Shares",141,(13),,,
106,"Sorenson Holdings, LLC",,,,,,
107,"Sorenson Holdings, LLC",587 Shares,484,(10)(13),,,
108,Consumer Goods – Non-durable,,,,,,
109,3D Protein,,,,,,
110,"Protein For Pets Opco, LLC","5.50 (3M L+450, 1.00 Floor)",11487,11322,11429,(9),
111,Beauty Industry Group (BIG),,,,,,
112,"BIG Buyer, LLC","7.50 (6M L+650, 1.00 Floor)",19428,19121,19247,(9),
113,Dan Dee,,,,,,
114,"Project Comfort Buyer, Inc.","8.00 (3M L+700, 1.00 Floor)",22435,22003,21457,(9),
115,LashCo,,,,,,
116,"Lash OpCo, LLC",9.25 (P+600),10223,9988,9943,(9),
117,Olaplex,,,,,,
118,"Olaplex, Inc.","7.50 (1M L+650, 1.00 Floor)",12300,12104,12210,(9),
119,"Sequential Brands Group, Inc.",,,,,,
120,"Sequential Brands Group, Inc.","9.75 (1M L+875, 1.00 Floor)",12837,12777,10536,(17),
121,Consumer Services,,,,,,
122,Clarus Commerce,,,,,,
123,"Marlin DTC-LS Midco 2, LLC","7.50 (6M L+650, 1.00 Floor)",19127,18817,18744,,
124,First Heritage,,,,,,
125,"First Heritage Credit, LLC",4.87 (1M L+475),18000,17945,17883,(9),
126,Go Car Wash,,,,,,
127,Go Car Wash Management Corp.,"6.75 (1M L+575, 1.00 Floor)",1838,1808,1796,(9),
128,Lending Point,,,,,,
129,LendingPoint LLC,"11.50 (3M L+1050, 1.00 Floor)",11375,11267,11253,(9),
130,Nutrisystem,,,,,,
131,"Nutrisystem, Inc.","7.50 (1M L+650, 1.00 Floor)",8800,8634,8663,,
132,Only About Children,,,,,,
133,Nemo (BC) Bidco Pty Ltd,"7.75 (1M BBSW+675, 1.00 Floor)",A$,6768,4938,4949,(17)
134,Paper Source,,,,,,
135,"Paper Source, Inc.","8.00 (3M L+700, 1.00 Floor)",11322,11179,8831,(9),
136,"Pinstripe Holdings, LLC",,,,,,
137,"Pinstripe Holdings, LLC","7.00 (1M L+600, 1.00 Floor)",6860,6773,6798,,
138,The Club Company,,,,,,
139,Eldrickco Limited,"6.75 (6M GBPL+625 PIK, 0.50 Floor)",£,10976,13797,14336,(9)(17)
140,US Auto,,,,,,
141,"U.S. Auto Finance, Inc.","6.25 (3M L+525, 1.00 Floor)",11842,11875,11810,(9),
142,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,
143,Celink,,,,,,
144,Compu-Link Corporation,0.50 Unfunded,2273,(33),(27),(8)(9)  (21)(23),
145,"Peer Advisors, LLC","6.50 (1M L+550, 1.00 Floor)",19034,18759,18809,(9),
146,"Exeter Property Group, LLC",,,,,,
147,"Exeter Property Group, LLC",4.62 (1M L+450),4550,4508,4550,(9),
148,"Flock Financial, LLC",,,,,,
149,"Flock SPV I, LLC","7.50 (1M L+650, 1.00 Floor)",14533,14505,14388,(9)(17),
150,Golden Bear,,,,,,
151,"Golden Bear 2016-R, LLC (4)",09/20/42,11289,(3)(17),,,
152,"Purchasing Power, LLC",,,,,,
153,"Purchasing Power Funding I, LLC","7.50 (1M L+650, 1.00 Floor)",8383,8384,8334,(9)(23),
154,"Ten-X, LLC",,,,,,
155,"Ten-X, LLC",3.36 (1M L+325),4680,4554,4485,(23),
156,Education,,,,,,
157,NFA Group,,,,,,
158,SSCP Spring Bidco Limited,"6.75 (6M GPBL+625, 0.50 Floor)",£,30000,36161,41159,(9)(17)
159,Energy – Electricity,,,,,,
160,"Renew Financial LLC (f/k/a Renewable Funding, LLC)",,,,,,
161,"AIC SPV Holdings II, LLC (4)",143 Shares,498,(15)(17)  (25),,,
162,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)","1,505,868 Shares",42,(13)(25),,,
163,Renew JV LLC (4),"671,194 Shares",776,(13)(17)  (25),,,
164,Solarplicity Group Limited (f/k/a AMP Solar UK),,,,,,
165,Solarplicity UK Holdings Limited,4.00,£,5562,7637,2534,(14)(17)
166,Energy – Oil & Gas,,,,,,
167,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)",,,,,,
168,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",10.00 PIK,41121,36926,8111,(11)(14),
169,Pelican,,,,,,
170,"Pelican Energy, LLC (4)","1,444 Shares",2170,(13)(16)  (17)(25),,,
171,Spotted Hawk,,,,,,
172,"SHD Oil & Gas, LLC (5)",14.00 (8.00 Cash plus 6.00  PIK),47511,44059,9899,(14),
173,Environmental Industries,,,,,,
174,Ortega National Parks,,,,,,
175,"Ortega National Parks, LLC","6.25 (6M L+525, 1.00 Floor)",11603,11429,11132,(9),
176,Healthcare & Pharmaceuticals,,,,,,
177,Akoya,,,,,,
178,"Akoya Biosciences, Inc.","7.85 (1M L+635, 1.50 Floor)",9750,9746,9735,(9),
179,AmeriVet,,,,,,
180,"Amerivet Partners Management, Inc.","6.25 (3M L+525, 1.00 Floor)",1517,1500,1514,(9),
181,Amerivet Partners Parent LP,13 Shares,192,(9)(13),,,
182,Analogic,,,,,,
183,Analogic Corporation,"6.25 (1M L+525, 1.00 Floor)",18033,17789,17762,(9),
184,"BioClinica Holding I, LP",,,,,,
185,"BioClinica Holding I, LP","9.25 (1M L+825, 1.00 Floor)",24612,24359,24501,,
186,BK Medical,,,,,,
187,"BK Medical Holding Company, Inc.","6.25 (1M L+525, 1.00 Floor)",7231,7179,7187,(9),
188,CARE Fertility,,,,,,
189,Royton Bidco Limited,"6.75 (6M GBPL+625, 0.50 Floor)",£,15510,19796,21093,(9)(17)
190,Cerus,,,,,,
191,Cerus Corporation,"7.25 (1M L+545, 1.80 Floor)",16500,16452,16830,(9)(17),
192,Dohmen Life Science Services,,,,,,
193,"LSCS Holdings, Inc",8.51 (6M L+825),19818,19530,19285,,
194,Emmes Corporation,,,,,,
195,"Emmes Blocker, Inc.",306 Shares,475,(9)(13),,,
196,"The Emmes Company, LLC","6.00 (6M L+500, 1.00 Floor)",12000,11882,11760,(9),
197,"Genesis Healthcare, Inc.",,,,,,
198,"Genesis Healthcare, Inc.",0.50 Unfunded,85870,(305),"(1,511)",(8)(9)  (21)(23),
199,Gossamer,,,,,,
200,"GB001, Inc.","9.00 (1M L+700, 2.00 Floor)",6000,5995,6120,(9)(17),
201,Health & Safety Institute,,,,,,
202,"HSI Halo Acquisition, Inc.","6.75 (3M L+575, 1.00 Floor)",8981,8886,8852,(9),
203,IMA Group,,,,,,
204,"IMA Group Management Company, LLC","6.50 (6M L+550, 1.00 Floor)",458,454,439,,
205,Kindeva,,,,,,
206,Kindeva Drug Delivery L.P.,"7.00 (3M L+600, 1.00 Floor)",1820,1781,1804,(9),
207,KureSmart,,,,,,
208,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",133 Shares,162,(9)(13),,,
209,"Kure Pain Holdings, Inc.","6.50 (1M L+550, 1.00 Floor)",21880,21656,21493,(9),
210,"Lanai Holdings III, Inc. (Patterson Medical)",,,,,,
211,"Lanai Holdings III, Inc.","11.50 (1M L+1050 PIK, 1.00 Floor)",19564,19385,19079,,
212,Mannkind Corporation,,,,,,
213,Mannkind Corporation,"8.75 (1M L+675, 2.00 Floor)",17333,17218,17888,(9),
214,"Maxor National Pharmacy Services, LLC",,,,,,
215,"Maxor National Pharmacy Services, LLC","6.50 (3M L+550, 1.00 Floor)",23638,23379,23590,(9),
216,Medical Guardian,,,,,,
217,"Medical Guardian, LLC","8.75 (1M L+825, 0.50 Floor)",28571,28142,28374,(9),
218,Midwest Vision,,,,,,
