,Industry / Company,Interest Rate,Par/Shares (12),Cost (33),Fair Value (1)(34),,
0,"Advertising, Printing & Publishing",,,,,,
1,FingerPaint Marketing,,,,,,
2,KL Charlie Acquisition Company,"L+625, 1.00 Floor",30818,22373,22510,(9)(21)(23)  (28),
3,"KL Charlie Co-Invest, L.P.","218,978 Shares",353,(9)(13),,,
4,Hero Digital,,,,,,
5,"HRO (Hero Digital) Holdings, LLC","L+600, 1.00 Floor",27186,19084,19253,(9)(21)(23)  (29),
6,HRO Holdings I LP,213 Shares,212,(9)(13)(24),,,
7,Aerospace & Defense,,,,,,
8,Erickson Inc,,,,,,
9,Erickson Inc,"L+750, 1.50 Floor",32250,23628,23315,(9)(20)(21)  (23)(28),
10,Automotive,,,,,,
11,Club Car Wash,,,,,,
12,"Club Car Wash Operating, LLC","L+650, 1.00 Floor",29931,22934,23018,(9)(21)(23)  (29),
13,Crowne Automotive,,,,,,
14,"Vari-Form Group, LLC",11.00 (7.00 Cash plus 4.00 PIK),5860,893,410,(9)(14),
15,Vari-Form Inc.,11.00 (7.00 Cash plus 4.00 PIK),2110,391,148,(9)(14),
16,"K&N Parent, Inc.",,,,,,
17,"K&N Parent, Inc.","L+875, 1.00 Floor",23765,23605,19724,(28),
18,"Truck-Lite Co., LLC",,,,,,
19,"TL Lighting Holdings, LLC",350 Shares,420,(9)(13),,,
20,"Truck-Lite Co., LLC","L+625, 1.00 Floor",31287,29655,29533,(9)(21)(23)  (28),
21,Aviation and Consumer Transport,,,,,,
22,"Merx Aviation Finance, LLC",,,,,,
23,"Merx Aviation Finance, LLC (5)",10.00,275177,275000,275000,(20)(23),
24,Primeflight,,,,,,
25,"PrimeFlight Aviation Services, Inc.","L+625, 1.00 Floor",17353,17179,17271,(9)(26),
26,"Beverage, Food & Tobacco",,,,,,
27,Berner Foods,,,,,,
28,"Berner Food & Beverage, LLC","L+650, 1.00 Floor",30963,30334,30653,(9)(29),
29,Bolthouse Farms,,,,,,
30,"Wm. Bolthouse Farms, Inc.","1,000,000 Shares",1080,(13),,,
31,Hive,,,,,,
32,"FCP-Hive Holdings, LLC",589 Shares,484,(9)(13)(24),,,
33,"Hive Intermediate, LLC","L+600, 1.00 Floor",17123,16822,16952,(9)(26),
34,"Orgain, Inc.",,,,,,
35,"Butterfly Fighter Co-Invest, L.P.","1,000,000 Shares",1648,,,,
36,Rise Baking,,,,,,
37,Ultimate Baked Goods Midco LLC,"L+625, 1.00 Floor",26690,26086,25935,(9)(28),
38,TNT Crust LLC,,,,,,
39,TNT Crust LLC,"L+675 Cash plus 1.00 PIK, 1.00 Floor",21706,21512,21272,(9)(28),
40,Turkey Hill,,,,,,
41,IC Holdings LLC,169 Shares,160,(9)(13),,,
42,THLP CO. LLC,"L+600, 1.00 Floor",25110,24824,24608,(9)(28),
43,Business Services,,,,,,
44,Access Information,,,,,,
45,"Access CIG, LLC","L+775, 0.00 Floor",15900,15829,15787,(26),
46,AlpineX,,,,,,
47,"Alpinex Opco, LLC","L+600, 1.00 Floor",16383,11644,11605,(9)(21)(23)  (28),
48,Ambrosia Buyer Corp.,,,,,,
49,Ambrosia Buyer Corp.,8.00,21429,18582,5657,(14),
50,AML Rightsource,,,,,,
51,"Gabriel Partners, LLC","L+600, 1.00 Floor",31451,30898,31203,(9)(29),
52,Continuum,,,,,,
53,"Continuum Global Solutions, LLC",775 Shares,78,(9)(13),,,
54,Electro Rent Corporation,,,,,,
55,Electro Rent Corporation,"L+900, 1.00 Floor",34235,33806,34064,(9)(28),
56,Elo Touch,,,,,,
57,TGG TS Acquisition Company,"L+650, 0.00 Floor",1750,750,721,(21)(23)(26),
58,Ensemble Health,,,,,,
59,"EHL Merger Sub, LLC","L+325, 0.00 Floor",4155,(179),(111),(8)(21)(23),
60,IRP,,,,,,
61,Precision Refrigeration & Air Conditioning LLC,"SOFR+600, 1.00 Floor",8182,8020,8018,(9)(27),
62,"SMC IR Holdings, LLC",114 Shares,114,(9)(13)(24),,,
63,Jacent,,,,,,
64,Jacent Strategic Merchandising,"L+675, 1.00 Floor",22116,21977,21508,(9)(28),
65,"JSM Equity Investors, L.P.",114 Shares,11,(9)(13),,,
66,Jones & Frank,,,,,,
67,"JF Acquisition, LLC","L+550, 1.00 Floor",13201,13058,13008,(9)(28)(30),
68,MAKS,,,,,,
69,Trident Bidco Limited,"L+550, 1.00 Floor",33688,33066,33670,(9)(17)(29),
70,Naviga,,,,,,
71,"Naviga Inc. (fka Newscycle Solutions, Inc.)","L+700, 1.00 Floor",13397,13318,13430,(9)(26)(28),
72,PSE,,,,,,
73,"Graffiti Buyer, Inc.","L+575, 1.00 Floor",8420,5679,5639,(9)(21)(23)  (28),
74,"Graffiti Parent, LP","2,439 Shares",200,(9)(13)(24),,,
75,"PSI Services, LLC",,,,,,
76,"Lifelong Learner Holdings, LLC","L+575, 1.00 Floor",33975,33527,32411,(9)(28)(29),
77,Soliant,,,,,,
78,"Soliant Health, Inc.",300 Shares,871,(9),,,
79,US Legal Support,,,,,,
80,"US Legal Support Investment Holdings, LLC","631,972 Shares",1030,(9)(13),,,
81,"USLS Acquisition, Inc.","L+575, 1.00 Floor",24003,23781,23643,(9)(28),
82,Wilson Language Training,,,,,,
83,"Owl Acquisition, LLC","SOFR+575, 1.00 Floor",9900,9707,9702,(9)(27),
84,"Owl Parent Holdings, LLC",100 Shares,100,(9)(13)(24),,,
85,"Chemicals, Plastics & Rubber",,,,,,
86,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),,,,,,
87,Carbonfree Chemicals Holdings LLC (4),"2,354 Shares",42117,(3)(13)(16)  (24),,,
88,Carbonfree Chemicals SA LLC (4),"3,152 Shares",0,(3)(13)(16)  (24),,,
89,"Westfall Technik, Inc.",,,,,,
90,"Westfall Technik, Inc.","L+575, 1.00 Floor",15616,15482,15269,(9)(28),
91,Construction & Building,,,,,,
92,Englert,,,,,,
93,"Gutter Buyer, Inc.","L+575, 1.00 Floor",28393,28097,28169,(9)(26),
94,"Gutter Holdings, LP",500 Shares,1226,(9),,,
95,Consumer Goods – Durable,,,,,,
96,A&V,,,,,,
97,"A&V Holdings Midco, LLC","L+450, 1.00 Floor",1505,(80),(52),(8)(21)(23),
98,KDC,,,,,,
99,KDC US Holdings,"L+325, 0.00 Floor",6020,692,620,(20)(21)(23)(26),
100,"KLO Holdings, LLC",,,,,,
101,1244311 B.C. Ltd. (4),"L+500, 1.00 Floor",2978,2978,2794,(17)(28),
102,GSC Technologies Inc. (4),"L+500 Cash plus 5.00 PIK, 1.00 Floor",206,206,192,(17)(28),
103,Liqui-Box,,,,,,
104,"Liqui-Box Holdings, Inc.","L+450, 1.00 Floor",2416,878,889,(20)(21)(23)(28),
105,NSi Industries,,,,,,
106,"Wildcat BuyerCo, Inc.","L+575, 1.00 Floor",14660,13096,13271,(21)(23)(28),
107,Wildcat Parent LP,"1,070 Shares",180,(13),,,
108,"Sorenson Holdings, LLC",,,,,,
109,"Sorenson Holdings, LLC",587 Shares,325,(10)(13),,,
110,Consumer Goods – Non-durable,,,,,,
111,3D Protein,,,,,,
112,"Protein For Pets Opco, LLC","L+500, 1.00 Floor",2219,(25),0,(9)(21)(23),
113,Dan Dee,,,,,,
114,"Project Comfort Buyer, Inc.","L+700, 1.00 Floor",24897,24548,23936,(9)(28),
115,LashCo,,,,,,
116,"Lash OpCo, LLC","L+700, 1.00 Floor",44992,42582,42819,(9)(21)(23)  (26),
117,Paladone,,,,,,
118,Paladone Group Bidco Limited,"L+575, 1.00 Floor",7988,5974,6035,(9)(17)(21)  (23)(28),
119,Paladone Group Holdings Limited,"94,151 Shares",119,(9)(13)(17)  (24),,,
120,"Sequential Brands Group, Inc.",,,,,,
121,Gainline Galaxy Holdings LLC,"10,854 Shares",1900,(13)(16)(17)(24),,,
122,Sequential Avia Holdings LLC,"L+500, 1.00 Floor",1717,1716,1717,(17)(29),
123,"Sequential Brands Group, Inc.",8.75,1293,0,239,(14)(17),
124,"Swisstech IP CO, LLC",6.00 PIK,264,1,264,(17),
125,Consumer Services,,,,,,
126,Activ,,,,,,
127,"Activ Software Holdings, LLC","L+650, 1.00 Floor",29869,29359,29418,(9)(30),
128,Bird,,,,,,
129,"Bird US Opco, LLC","L+750, 1.00 Floor",48549,22076,22821,(9)(23)(26),
130,Clarus Commerce,,,,,,
131,"Marlin DTC-LS Midco 2, LLC","L+650, 1.00 Floor",21632,21330,21529,(28),
132,First Heritage,,,,,,
133,"First Heritage Credit, LLC","L+475, 0.00 Floor",26250,20992,21099,(9)(21)(23)  (26),
134,Go Car Wash,,,,,,
135,Go Car Wash Management Corp.,"L+575, 1.00 Floor",11443,9269,9255,(9)(21)(23)  (26),
136,Lending Point,,,,,,
137,LendingPoint LLC,"L+1050, 1.00 Floor",17500,13422,13515,(9)(21)(23)  (28),
138,Only About Children,,,,,,
139,Nemo (BC) Bidco Pty Ltd,"BBSW+675, 1.00 Floor",A$,7000,4953.0,4907,(17)(21)(23)(32)
140,Paper Source,,,,,,
141,Papershop Holdco Inc.,"L+700, 1.00 Floor",10607,10515,10395,(9)(28),
142,The Club Company,,,,,,
143,Eldrickco Limited,"SON+625, 0.50 Floor",£,15027,13965.0,14157,(9)(17)(21)  (23)(31)
144,US Auto,,,,,,
145,"U.S. Auto Finance, Inc.","L+525, 1.00 Floor",20000,9343,9202,(9)(21)(23)  (28),
146,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,
147,Celink,,,,,,
148,Compu-Link Corporation,"L+550, 1.00 Floor",2273,(22),(3),(8)(9)(21)  (23),
149,"Peer Advisors, LLC","L+550, 1.00 Floor",17386,17210,17366,(9)(26),
150,"Flock Financial, LLC",,,,,,
151,"Flock SPV I, LLC","L+650, 1.00 Floor",14667,12011,11985,(9)(17)(21)  (23)(26),
152,Golden Bear,,,,,,
153,"Golden Bear 2016-R, LLC (4)",09/20/42,10038,(3)(17),,,
154,"Purchasing Power, LLC",,,,,,
155,"Purchasing Power Funding I, LLC","L+650, 0.00 Floor",9113,1142,1142,(9)(21)(23)  (26),
156,Spectrum Automotive,,,,,,
157,Shelby 2021 Holdings Corp.,"L+575, 0.75 Floor",14490,12288,12329,(9)(21)(23)  (28),
158,"Ten-X, LLC",,,,,,
159,"Ten-X, LLC","L+325, 0.00 Floor",4680,(43),(73),(8)(21)(23),
160,Education,,,,,,
161,NFA Group,,,,,,
162,SSCP Spring Bidco Limited,"SON+600, 0.50 Floor",£,30000,36322,39059,(9)(17)(31)
163,Energy – Electricity,,,,,,
164,"Renew Financial LLC (f/k/a Renewable Funding, LLC)",,,,,,
165,"AIC SPV Holdings II, LLC (4)",142 Shares,355,(15)(17)(24),,,
166,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)","441,576 Shares",4988,(13)(17)(24),,,
167,Renew JV LLC (4),"465,750 Shares",613,(13)(17)(24),,,
168,Solarplicity Group Limited (f/k/a AMP Solar UK),,,,,,
169,Solarplicity UK Holdings Limited,4.00,£,5562,7230.0,1874,(14)(17)
170,Energy – Oil & Gas,,,,,,
171,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)",,,,,,
172,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",10.00 PIK,8323,7458,6204,(14),
173,Pelican,,,,,,
174,"Pelican Energy, LLC (4)","1,444 Shares",630,(13)(16)(17)(24),,,
175,Spotted Hawk,,,,,,
176,"SHD Oil & Gas, LLC (5)",12.00,24728,24728,25470,,
177,Environmental Industries,,,,,,
178,Ortega National Parks,,,,,,
179,"Ortega National Parks, LLC","L+500, 1.00 Floor",14497,8156,8235,(9)(21)(23)  (29),
180,Healthcare & Pharmaceuticals,,,,,,
181,83bar,,,,,,
182,"83Bar, Inc.","L+575, 1.50 Floor",5000,4978,4975,(9)(26),
183,Akoya,,,,,,
184,"Akoya Biosciences, Inc.","L+635, 1.50 Floor",9750,9772,9771,(9)(26),
185,Analogic,,,,,,
186,Analogic Corporation,"L+525, 1.00 Floor",17850,17675,17582,(9)(28),
187,Cato Research,,,,,,
188,"LS Clinical Services Holdings, Inc.","L+675, 1.00 Floor",13092,12778,12787,(9)(26),
189,Cerus,,,,,,
190,Cerus Corporation,"L+545, 1.80 Floor",16500,16467,16665,(9)(17)(26),
191,Compass Health,,,,,,
192,"Roscoe Medical, Inc","SOFR+625, 1.00 Floor",7601,7328,7316,(9)(27),
193,Emmes Corporation,,,,,,
194,"Emmes Blocker, Inc.",306 Shares,879,(9)(13),,,
195,"The Emmes Company, LLC","L+500, 1.00 Floor",15886,15755,15646,(9)(29),
196,EmpiRx,,,,,,
197,EmpiRx Health LLC,"L+550, 1.00 Floor",9068,8906,8977,(9)(28),
198,Forge Biologics,,,,,,
199,"Forge Biologics, Inc.","L+675, 0.50 Floor",26667,3209,3245,(9)(23)(26),
200,Gossamer,,,,,,
201,"GB001, Inc.","L+700, 2.00 Floor",30000,5886,6056,(9)(17)(23)  (26),
202,Health & Safety Institute,,,,,,
203,"HSI HALO Acquisition, Inc.","L+575, 1.00 Floor",16378,13500,13335,(9)(21)(23)  (28),
204,IMA Group,,,,,,
205,"IMA Group Management Company, LLC","L+600, 1.00 Floor",12680,8560,8566,(21)(23)(29),
206,Kepro,,,,,,
207,Keystone Acquisition Corp.,"L+575, 0.75 Floor",14022,11812,11925,(9)(21)(23)  (28),
208,Kindeva,,,,,,
209,Kindeva Drug Delivery L.P.,"L+600, 1.00 Floor",9410,9254,9311,(9)(28),
210,KureSmart,,,,,,
211,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",133 Shares,217,(9)(13),,,
212,"Kure Pain Holdings, Inc.","L+500, 1.00 Floor",21658,21497,21398,(9)(26),
213,LucidHealth,,,,,,
214,"Premier Imaging, LLC","L+600, 1.00 Floor",12480,7628,7614,(9)(21)(23)  (26),
215,Mannkind Corporation,,,,,,
216,Mannkind Corporation,"L+675, 1.00 Floor",13866,13793,14058,(9)(26),
217,"Maxor National Pharmacy Services, LLC",,,,,,
218,"Maxor National Pharmacy Services, LLC","L+550, 1.00 Floor",23436,23206,23145,(9)(28),
219,Medical Guardian,,,,,,
220,"Medical Guardian, LLC","L+650, 1.00 Floor",36112,30882,30966,(9)(21)(23)  (26),
221,Midwest Vision,,,,,,
222,"Midwest Vision Partners Management, LLC","L+650, 1.00 Floor",24261,21431,21601,(9)(21)(23)  (28)(29),
223,Orchard,,,,,,
224,Orchard Therapeutics PLC,"L+595, 1.00 Floor",33333,10906,10776,(9)(17)(23)  (26),
