,INVESTMENTS IN NON-CONTROLLED/NON-  AFFILIATED INVESTMENTS 0 143.9,Industry,Par Amount,Cost,Fair_Value
3,"Amaya Gaming Group, Inc., L+775, 11/05/15",Consumer  Products,14813,14617,14813
4,"ATI Acquisition Company, P+1400 (P+10.00 Cash/4.00 PIK), 6/30/12 *** †",Education,4676,3895,500
5,"ATI Acquisition Company, P+900 (P+5.00 Cash/4.00 PIK), 12/30/14 *** †",Education,15491,12596,0
6,"Aventine Renewable Energy Holdings, Inc.,  12.00, 9/24/16 †",Chemicals,3966,3850,3866
7,"Aventine Renewable Energy Holdings, Inc., 10.50 Cash or 15.00 PIK, 9/24/17 †",Chemicals,12102,16007,9682
8,"Aveta, Inc., L+825, 12/12/17",Healthcare,69594,67607,69985
9,"Dark Castle Holdings, LLC, L+225, 3/25/13",Media,34777,11061,13260
10,"Delta Educational Systems, Inc., 16.00 (8.00 Cash/8.00 PIK), 12/11/16",Education,5018,5018,5018
11,"Endeavour International, 12.00, 3/01/18 ‡",Oil and Gas,14993,14471,14421
12,"Evergreen Tank Solutions, Inc., L+800, 9/28/18",Manufacturing,31600,31004,31580
13,"Garden Fresh Restaurant Corp., L+525 (L+475 Cash/0.5 PIK), 6/11/13 †",Retail,2503,2503,2503
14,"Garden Fresh Restaurant Corp., L+625 (L+575 Cash/0.5 PIK), 6/11/13 †",Retail,2503,2481,2503
15,"Miller Energy Resources, Inc., 18.00 (15.00 Cash/3.00 PIK Option), 6/29/17",Energy,45307,45307,45307
16,"Nara Cable Funding Limited,  8.875, 12/01/18   ̈  ‡",Broadcasting &  Entertainment,6284,5424,6497
17,"Osage Exploration & Development, Inc.,  L+1500, 4/27/15 ‡",Energy,7000,6872,7000
18,"Panda Sherman Power, LLC, L+750, 9/14/18",Power,15000,14790,15338
19,"Panda Temple Power, LLC, L+1000, 7/18/18",Power,25500,25031,26233
20,"Pelican Energy, LLC, 10.00 (7 Cash/3 PIK),  12/31/18 ‡",Energy,8371,8176,8539
21,"Penton Media, Inc., L+400 (L+300 Cash/2.00 PIK), 8/01/14",Printing &  Publishing,29923,27404,28876
22,"Spotted Hawk Development LLC, 14.00 (13.00 Cash/ 1.00 PIK), 6/30/16 ‡",Energy,24003,23200,22983
23,"Sunrun Solar Owner IX, LLC, 9.079, 12/31/24 Financial Services",Energy,1103,1053,1103
24,"Texas Competitive Electric Holdings, 11.50, 10/01/20   ̈",Utilities,50000,49693,37656
27,"AI Chem & Cy US AcquiCo, Inc. (Monarch) L+700, 3/20/20 ‡×",Chemicals,10000,9950,10263
28,"Allied Security Holdings, LLC, L+825, 2/02/18",Business Services,31000,30764,31194
29,"Ardent Medical Services, Inc, L+950, 7/02/19",Healthcare,20000,19515,20500
30,"Avaya Inc., 10.5 Cash, 3/01/21   ̈",Telecommunications,16577,15835,15824
31,"Brock Holdings III, Inc., L+825, 3/16/18",Environmental &  Facilities Services,27000,26579,27439
32,"Cengage Learning Acquisitions Inc., 12.00, 6/30/19 ***",Education,69597,59918,15659
33,"Clean Earth, Inc., 13.00, 8/1/14",Environmental &  Facilities Services,25000,25000,25000
34,"Confie Seguros II, L+900, 5/8/19",Consumer Products,15000,14711,15375
35,"EZE Software Group LLC, L+750 3/14/21 ×",Business Services,6132,6071,6270
36,"Garden Fresh Restaurant Corp., L+1175 (L+975 Cash/2.00 PIK), 12/11/13",Retail,47075,47790,32952
37,"GCA Services Group, Inc., L+800, 10/31/20",Environmental &  Facilities Services,19547,19358,19596
38,"Grocery Outlet Inc., L+925, 6/17/19",Grocery,10500,10296,10539
39,"Healogics Inc., L+800, 2/05/20",Healthcare,5000,4951,5181
40,"Insight Pharmaceuticals, LLC., L+1175, 8/25/17",Consumer Products,15448,15199,15603
41,"IPC Systems, Inc., L+525, 5/31/15",Telecommunications,44250,42752,39604
42,"Kronos, Inc., L+850, 4/26/20",Electronics,56358,55269,59035
43,"Ozburn-Hessey Holding Company LLC, L+950, 10/11/16",Transportation,25333,25309,24320
44,"PH Holdings LLC, 9.75, 12/31/17",Homebuilding,20000,19631,20800
45,"Ranpak Corp., L+750, 10/20/17 †",Packaging,85000,85000,85000
46,"Ranpak Corp., E+775, 10/20/17 †",Packaging,40000,58042,51364
47,"Sedgwick Holdings, Inc., L+750, 5/28/17",Business Services,15225,15072,15453
48,"SESAC International LLC, L+875, 8/08/19",Broadcasting &  Entertainment,4500,4433,4613
49,"Smart & Final Stores LLC, L+925, 11/08/20",Grocery,17260,16756,17929
