,Industry/Company,Interest_Rate,Maturity_Date,Industry,Par_Shares,Cost,Fair_Value
0,CORPORATE DEBT-109.5%,,,,,,
1,SECURED DEBT-85.0%,,,,,,
2,1st Lien Secured Debt-41.7%,,,,,,
3,Alion Science & Technology Corporation,"11.000% (L+1000, 1.00% Floor)",8/16/19,Aerospace and Defense,32003,31038,31843
4,Archroma (17),"9.500% (L+825, 1.25% Floor)",10/1/18,Chemicals,40128,39795,40354
5,"Aventine Renewable Energy Holdings, Inc.",15.00% PIK or 10.50% Cash,9/22/17,Chemicals,15742,18031,14601
6,"Aveta, Inc.","9.750% (L+825, 1.50% Floor)",12/12/17,Healthcare,53296,52331,43169
7,"Caza Petroleum, Inc.","12.000% (L+1000, 2.00% Floor)",5/23/17,Oil and Gas,45000,43992,42660
8,ChyronHego Corp.,"9.000% (L+800, 1.00% Floor)",3/9/20,Business Services,25000,24505,24500
9,"CITGO Holding, Inc. (11)",10.750%,2/15/20,Energy,25000,23792,25781
10,"CITGO Holding, Inc.","9.50% (L+850, 1.00% Floor)",5/12/18,Energy,19435,18306,19344
11,"Deep Gulf Energy II, LLC","14.000% (14.00% or L+1250, 1.50% Floor)",3/31/17,Oil and Gas,35000,35000,33530
12,"Delta Educational Systems, Inc.",16.00% (8.00% Cash / 8.00% PIK),12/11/16,Education,5892,5892,5892
13,Dodge Data & Analytics LLC,"9.750% (L+875, 1.00% Floor)",10/31/19,Printing and Publishing,60349,59223,58689
14,"Extraction Oil & Gas Holdings, LLC",10.00% & 11.00%,5/29/19,Oil and Gas,52633,51932,51843
15,"Great Bear Petroleum Operating, LLC",12.000%,10/1/17,Oil and Gas,5064,5064,5064
16,"Hunt Companies, Inc. (11)",9.625%,3/1/21,Buildings and Real Estate,21008,20776,21586
17,"Magnetation, LLC (11)",11.000%,5/15/18,Mining,38454,39878,19804
18,"Maxus Capital Carbon SPE I, LLC (Skyonic Corp.)",13.000%,9/18/19,Chemicals,73104,73104,73104
19,"Molycorp, Inc. (17)",10.000%,6/1/20,"Diversified Natural Resources, Precious Metals and Minerals",42977,42699,22276
20,"My Alarm Center, LLC (16)","8.500% (L+750, 1.00% Floor)",1/9/18,Business Services,42614,42614,42613
21,"My Alarm Center, LLC (16)","8.500% (L+750, 1.00% Floor)",1/9/18,Business Services,12731,12731,12731
22,"Osage Exploration & Development, Inc. (11)(17)","13.000% (L+1100, 2.00% Floor)",4/27/16,Oil and Gas,25000,24741,23600
23,"Pelican Energy, LLC (17)",10.00% (7.00% Cash / 3.00% PIK),12/31/18,Oil and Gas,26957,26057,25340
24,"Saba Software, Inc.","12.417% (L+1142, 1.00% Floor)",3/26/21,Business Services,10000,10000,9850
25,"SCM Insurance Services, Inc. (17)",9.250%,8/22/19,Business Services,"CAD 30,000",27135,23569
26,"Spotted Hawk Development, LLC",13.00% (12.00% Cash / 1.00% PIK),9/12/16,Oil and Gas,80900,79911,78878
27,"Sunrun Solar Owner IX, LLC",9.079%,12/31/24,Energy,3424,3284,3527
28,Telestream Holdings Corporation,"10.254% (L+925, 1.00% Floor)",1/15/20,Business Services,32500,32500,31769
