,Industry/Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,
0,"Advertising, Printing & Publishing",,,,,,,
1,A-L Parent LLC,Second Lien Secured Debt,"9.13 (1M L+725, 1.00 Floor)",12/02/24,7536,7473,7611,
2,"American Media, Inc.",First Lien Secured Debt,"10.75 (3M L+900, 1.00 Floor)",08/24/20,13867,13596,14213,
3,"American Media, Inc.",First Lien Secured Debt - Revolver,"11.25 (3M L+900, 1.00 Floor)",08/24/20,948,948,963,(23)
4,"American Media, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/24/20,746,(32,0,(21)(23)
5,"American Media, Inc.",First Lien Secured Debt - Letter of Credit,9.00,08/24/20,84,0,0,(23)
6,"Simplifi Holdings, Inc.",First Lien Secured Debt,"8.39 (1M L+650, 1.00 Floor)",09/28/22,12139,11812,11775,(9)
7,"Simplifi Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/28/22,2400,(65,(72,(8)(9)(21)(23)
8,Aerospace & Defense,,,,,,,
9,Erickson Inc,First Lien Secured Debt - Revolver,"9.81 (3M L+750, 1.00 Floor)",04/28/22,21140,21140,20823,(9)(23)
10,Erickson Inc,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/28/22,16201,(458,(243,(8)(9)(21)(23)
11,Erickson Inc,First Lien Secured Debt - Letter of Credit,7.50,04/01/18,277,0,(4,(8)(9)(23)
12,Erickson Inc,First Lien Secured Debt - Letter of Credit,7.50,06/20/18,43,0,0,(8)(9)(23)
13,Erickson Inc,First Lien Secured Debt - Letter of Credit,7.50,06/25/18,4,0,0,(8)(9)(23)
14,Erickson Inc,First Lien Secured Debt - Letter of Credit,7.50,09/30/18,104,0,(2,(8)(9)(23)
15,Erickson Inc,First Lien Secured Debt - Letter of Credit,7.50,10/18/18,708,0,(11,(8)(9)(23)
16,Erickson Inc,First Lien Secured Debt - Letter of Credit,7.50,11/28/18,670,0,(10,(8)(9)(23)
17,Erickson Inc,First Lien Secured Debt - Letter of Credit,7.50,12/10/18,37,0,(1,(8)(9)(23)
18,Erickson Inc,First Lien Secured Debt - Letter of Credit,7.50,03/31/20,1287,0,(19,(8)(9)(23)
19,Erickson Inc,First Lien Secured Debt - Letter of Credit,7.50,08/24/18,288,0,(4,(8)(9)(23)
20,Erickson Inc,First Lien Secured Debt - Letter of Credit,7.50,10/27/18,5,0,0,(8)(9)(23)
21,Erickson Inc,First Lien Secured Debt - Letter of Credit,7.50,08/26/18,9,0,0,(8)(9)(23)
22,Erickson Inc,First Lien Secured Debt - Letter of Credit,7.50,08/16/18,9,0,0,(8)(9)(23)
23,Erickson Inc,First Lien Secured Debt - Letter of Credit,7.50,04/30/20,4218,0,(63,(8)(9)(23)
24,ILC Dover LP,Second Lien Secured Debt,"10.95 (6M L+850, 1.00 Floor)",06/28/24,20000,19566,19550,
25,PAE Holding Corporation,Second Lien Secured Debt,"11.49 (2M L+950, 1.00 Floor)",10/20/23,28097,27422,28343,(10)
26,Automotive,,,,,,,
27,Crowne Automotive,,,,,,,
28,"Vari-Form Group, LLC",First Lien Secured Debt,"12.92 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",02/02/23,5000,4855,4850,(9)
29,Vari-Form Inc.,First Lien Secured Debt,"12.92 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",02/02/23,10000,9710,9700,(9)
30,"K&N Parent, Inc.",Second Lien Secured Debt,"10.63 (1M L+875, 1.00 Floor)",10/21/24,27000,26550,26325,(10)
31,Aviation and Consumer Transport,,,,,,,
32,Merx Aviation,,,,,,,
33,Merx Aviation Finance Assets Ireland Limited (5),First Lien Secured Debt - Letter of Credit,2.25,09/30/18,3600,0,0,(23)
34,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Revolver,12.00,10/31/23,359800,359800,359800,(23)
35,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Letter of Credit,2.25,07/13/18,177,0,0,(23)
36,"Merx Aviation Finance, LLC (5)",Common Equity/Interests - Membership Interests,N/A,N/A,N/A,15000,42381,
37,Business Services,,,,,,,
38,"Access CIG, LLC",Second Lien Secured Debt,9.63 (1M L+775),02/27/26,20235,20035,20463,(10)
39,"Access CIG, LLC",Second Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,02/27/26,3765,0,0,(10)(21)(23)
40,Aero Operating LLC,First Lien Secured Debt,"9.13 (1M L+725, 1.00 Floor)",12/29/22,33477,32683,32640,(9)
41,Aero Operating LLC,First Lien Secured Debt - Revolver,"9.13 (1M L+725, 1.00 Floor)",12/29/22,2486,2486,2424,(9)(23)
42,Aero Operating LLC,First Lien Secured Debt - Unfunded Revolver,1.00 Unfunded,12/29/22,2326,(71,(58,(8)(9)(21)(23)
43,"Almonde, Inc",Second Lien Secured Debt,"9.23 (3M L+725, 1.00 Floor)",06/13/25,2316,2294,2300,(10)(17)
44,Ambrosia Buyer Corp.,Second Lien Secured Debt,"9.88 (1M L+ 800, 1.00 Floor)",08/28/25,21429,20933,20934,
45,"Aptean, Inc.",Second Lien Secured Debt,"11.80 (3M L+950, 1.00 Floor)",12/20/23,11148,11045,11245,(10)
