,Industry/Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
0,"Advertising, Printing & Publishing",,,,,,,,
1,A-L Parent LLC,Second Lien Secured Debt,"9.75 (1M L+725, 1.00 Floor)",12/02/24,5536,5496,5522,(10),
2,"Simplifi Holdings, Inc.",First Lien Secured Debt,"8.00 (1M L+550, 1.00 Floor)",09/28/22,25363,24948,25110,(9),
3,"Simplifi Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/28/22,2400,(50,(24,(8)(9)(21)(23),
4,Aerospace & Defense,,,,,,,,
5,Erickson Inc,First Lien Secured Debt - Revolver,"10.09 (3M L+750, 1.00 Floor)",04/28/22,27169,27169,26558,(9)(23),
6,Erickson Inc,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/28/22,11381,(346,(256,(8)(9)(21)(23),
7,Erickson Inc,First Lien Secured Debt - Letters of Credit,7.50,04/21/19 - 10/01/22,6449,0,(144,(8)(9)(23),
8,ILC Dover LP,Second Lien Secured Debt,"11.38 (6M L+850, 1.00 Floor)",06/28/24,20000,19635,19550,,
9,PAE Holding Corporation,Second Lien Secured Debt,"12.00 (1M L+950, 1.00 Floor)",10/20/23,28097,27540,27816,(10),
10,Automotive,,,,,,,,
11,Accelerate Parent Corp.,Common Equity/Interests - Common Stock,N/A,N/A,"1,076 Shares",1714,0,(13)(28),
12,Crowne Automotive,,,,,,,,
13,"Vari-Form Group, LLC",First Lien Secured Debt,"13.60 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",02/02/23,6196,5766,960,(9)(13)(14),
14,Vari-Form Inc.,First Lien Secured Debt,"13.60 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",02/02/23,2110,2604,327,(9)(13)(14),
15,"K&N Parent, Inc.",Second Lien Secured Debt,"11.25 (1M L+875, 1.00 Floor)",10/21/24,23764,23428,22991,(10),
16,Aviation and Consumer Transport,,,,,,,,
17,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Revolver,12.00,10/31/23,371200,371200,371200,(23),
18,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Letter of Credit,2.25,07/13/19,177,0,0,(23),
19,"Merx Aviation Finance, LLC (5)",Common Equity/Interests - Membership Interests,N/A,N/A,N/A,15000,54281,,
20,"Beverage, Food & Tobacco",,,,,,,,
21,"Eagle Foods Family Group, LLC",First Lien Secured Debt,"9.24 (3M L+650, 1.00 Floor)",06/14/24,24813,24571,24440,(9),
22,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Unfunded Revolver,0.00 Unfunded,06/14/23,3750,(35,(56,(8)(9)(21)(23),
23,Florida Food Products,,,,,,,,
24,"Florida Food Products, Inc.",First Lien Secured Debt,"9.25 (1M L+675, 1.00 Floor)",09/08/25,23171,22639,22940,(9),
25,"Florida Food Products, LLC",First Lien Secured Debt - Revolver,"9.25 (1M L+675, 1.00 Floor)",09/06/23,1336,1336,1322,(9)(23),
26,"Florida Food Products, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/06/23,377,(38,(4,(8)(9)(21)(23),
27,TNT Crust LLC,First Lien Secured Debt,"8.75 (1M L+625, 1.00 Floor)",11/06/23,9083,8916,8992,(9),
28,TNT Crust LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/06/23,1626,(30,(16,(8)(9)(21)(23),
29,TNT Crust LLC,Common Equity/Interests - Series A Units,N/A,N/A,244 Shares,244,323,(9)(13),
30,Business Services,,,,,,,,
