,new_Industry,Industry / Company,Investment Type,Interest Rate (20),Maturity Date,Par/Shares (12),Cost (28),Fair Value (1)(29),,
0,"Advertising, Printing & Publishing","Advertising, Printing & Publishing",,,,,,,,
1,FingerPaint Marketing,FingerPaint Marketing,,,,,,,,
2,,KL Charlie Acquisition Company,First Lien Secured Debt,"7.25 (3M L+625, 1.00 Floor)",12/30/26,18653,18292,18467,(9),
3,,KL Charlie Acquisition Company,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/30/26,2190,(29),(22),(8)(9)  (21)(23),
4,,KL Charlie Acquisition Company,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,12/30/26,4380,(29),(44),(8)(9)  (21)(23),
5,,"KL Charlie Co-Invest, L.P.",Common Equity - Common Stock,N/A,N/A,"218,978 Shares",219,239,(9)(13)  (25),
6,,"KL Charlie Co-Invest, L.P.",18453,18640,,,,,,
7,"Simplifi Holdings, Inc.","Simplifi Holdings, Inc.",,,,,,,,
8,,"Simplifi Holdings, Inc.",First Lien Secured Debt,"7.25 (6M L+625, 1.00 Floor)",08/02/25,38440,37919,37867,(9),
9,,"Simplifi Holdings, Inc.",First Lien Secured Debt - Revolver,8.50 (P+525),08/02/25,1440,1440,1418,(9)(23),
10,,"Simplifi Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/02/25,960,(40),(14),(8)(9)  (21)(23),
11,,"Simplifi Holdings, Inc.",39319,39271,,,,,,
13,Aerospace & Defense,Aerospace & Defense,,,,,,,,
14,Erickson Inc,Erickson Inc,,,,,,,,
15,,Erickson Inc,First Lien Secured Debt - Revolver,"9.00 (3M L+750, 1.50 Floor)",04/28/22,30469,30469,30012,(9)(23),
16,,Erickson Inc,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/28/22,4091,(101),(61),(8)(9)  (21)(23),
17,,Erickson Inc,First Lien Secured Debt - Letters of Credit,7.50,04/23/21 - 11/23/22,1440,0,(21),(8)(9)  (23),
19,Automotive,Automotive,,,,,,,,
20,Crowne Automotive,Crowne Automotive,,,,,,,,
21,,"Vari-Form Group, LLC",First Lien Secured Debt,11.00 (7.00 Cash plus 4.00 PIK),02/02/23,5860,901,293,(9)(14),
22,,Vari-Form Inc.,First Lien Secured Debt,11.00 (7.00 Cash plus 4.00 PIK),02/02/23,2110,391,105,(9)(14),
23,,Vari-Form Inc.,1292,398,,,,,,
24,"K&N Parent, Inc.","K&N Parent, Inc.",,,,,,,,
25,,"K&N Parent, Inc.",Second Lien Secured Debt,"9.75 (3M L+875, 1.00 Floor)",10/21/24,23765,23549,21982,,
26,"Truck-Lite Co., LLC","Truck-Lite Co., LLC",,,,,,,,
27,,"TL Lighting Holdings, LLC",Common Equity - Equity,N/A,N/A,350 Shares,350,345,(9)(13),
28,,"Truck-Lite Co., LLC",First Lien Secured Debt,"7.25 (3M L+625, 1.00 Floor)",12/14/26,28585,28029,28088,(9),
29,,"Truck-Lite Co., LLC",First Lien Secured Debt - Revolver,"7.25 (3M L+625, 1.00 Floor)",12/13/24,1526,1526,1508,(9)(23),
30,,"Truck-Lite Co., LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/13/24,1432,(53),(17),(8)(9) (21)(23),
31,,"Truck-Lite Co., LLC",First Lien Secured Debt - Letters of Credit,6.25,11/30/21 - 12/21/21,94,0,(1),(8)(9) (23),
32,,"Truck-Lite Co., LLC",29852,29923,,,,,,
34,Aviation and Consumer Transport,Aviation and Consumer Transport,,,,,,,,
