,Industry / Company,Interest Rate (20),Par / Shares (12),Cost (28),Fair  Value (1)(29),
0,"Advertising, Printing & Publishing",,,,,
1,A-L Parent LLC,"9.30 (1M L+725, 1.00 Floor)",5536.0,5500,5508,
2,"Simplifi Holdings, Inc.","8.04 (1M L+500, 1.00 Floor)",36582,35929,35851,
3,"Total Advertising, Printing & Publishing",41351,,,,
4,Aerospace & Defense,,,,,
5,Erickson Inc,"9.82 (3M L+750, 1.00 Floor)",32487.0,32487,31919,
6,ILC Dover LP,"10.70 (3M L+850, 1.00 Floor)",7800,7671,7683,
7,PAE Holding Corporation,"11.60 (3M L+950, 1.00 Floor)",28097,27599,27745,
8,Total Aerospace & Defense,67467,,,,
9,Automotive,,,,,
10,Accelerate Parent Corp.,"1,664,046 Shares",0.0,(13)(26),,
11,Arlington Industries Group Limited,"5.96 (1M GBP L+525, 0.50 Floor)",£,7961.0,10126,(9)(17)
12,Crowne Automotive,,,,,
13,"Vari-Form Group, LLC","13.14 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",5860.0,938,938,
14,Vari-Form Inc.,"13.14 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",2446,391,391,
15,"K&N Parent, Inc.","10.79 (1M L+875, 1.00 Floor)",23765,23459,23075,
16,Total Automotive,42796,,,,
17,Aviation and Consumer Transport,,,,,
18,"Merx Aviation Finance, LLC (5)",12.00,307300.0,307300,307300,
19,Total Aviation and Consumer Transport,322300,,,,
20,"Beverage, Food & Tobacco",,,,,
21,"Eagle Foods Family Group, LLC","9.12 (6M L+650, 1.00 Floor)",24688.0,24470,24194,
22,Florida Food Products,,,,,
23,"Florida Food Products, Inc.","8.79 (1M L+675, 1.00 Floor)",23055,22565,22824,
24,"Florida Food Products, LLC","8.79 (1M L+675, 1.00 Floor)",1473,1473,1458,
25,TNT Crust LLC,"7.29 (1M L+525, 1.00 Floor)",10377,10183,10170,
26,Turkey Hill,,,,,
27,IC Holdings LLC,169 Shares,155,(9)(13),,
28,THLP CO. LLC,"7.54 (1M L+550, 1.00 Floor)",19562,19192,19366,
29,"Wm. Bolthouse Farms, Inc.","1,000,000 Shares",1000,(13),,
30,"Total Beverage, Food & Tobacco",90115,,,,
31,Business Services,,,,,
32,"Access CIG, LLC",10.07 (3M L+775),15900.0,15781,15900,
33,Aero Operating LLC,"9.35 (1M L+725, 1.00 Floor)",36566,35954,36200,
34,Ambrosia Buyer Corp.,"10.20 (6M L+800, 1.00 Floor)",21429,21033,20756,
35,"Claritas, LLC","8.10 (3M L+600, 1.00 Floor)",3895,3860,3856,
36,"Continuum Global Solutions, LLC","7.60 (1M L+550, 1.00 Floor)",5858,5858,5741,
37,"CT Technologies Intermediate Holdings, Inc","6.29 (1M L+425, 1.00 Floor)",4437,3940,4066,
38,Education Personnel,"5.51 (3M GBP L+475, 0.50 Floor)",£,4077.0,5178,(9)(17)
39,Electro Rent Corporation,"11.13 (2M L+900, 1.00 Floor)",34235,33485,33551,
40,"Ensemble RCM, LLC",0.50 Unfunded,4155,(388,(374,
41,Jacent Strategic Merchandising,"8.01 (3M L+575, 1.00 Floor)",22693,22382,22350,
42,"JF Acquisition, LLC","7.60 (3M L+550, 1.00 Floor)",5272,5168,5167,
43,McLarens Global Ltd,,,,,
44,Margaux Acquisition Inc.,"8.32 (3M L+600, 1.00 Floor)",18895,18590,18706,
45,Margaux UK Finance Limited,"7.00 (3M GBP L+600, 1.00 Floor)",£,5926.0,7357,(9)(17)
