,Industry/Company,Interest_Rate,Maturity_Date,Industry,Par_Shares,Cost,Fair_Value
0,CORPORATE DEBT-125.3%,,,,,,
1,SECURED DEBT-95.2%,,,,,,
2,1st Lien Secured Debt-45.1%,,,,,,
3,Alion Science & Technology Corporation,"11.00% (L+1000, 1.00% Floor)",8/16/19,Aerospace and Defense,32164,31110,31842
4,Archroma (17),"9.50% (L+825, 1.25% Floor)",10/1/18,Chemicals,45345,44884,45940
5,"Avaya, Inc., (Revolver) (16)","2.90% L+275 Funded, 0.50% Unfunded",10/26/16,Telecommunications,16553,16553,15208
6,"Aventine Renewable Energy Holdings, Inc.",15.00% PIK (15.00% PIK or 10.50% Cash),9/22/17,Chemicals,15161,17872,15306
7,"Aveta, Inc.","9.75% (L+825, 1.50% Floor)",12/12/17,Healthcare,56623,55437,56588
8,"Caza Petroleum, Inc.","12.00% (L+1000, 2.00% Floor)",5/23/17,Oil and Gas,45000,43795,44145
9,"Confie Seguros Holding II Co., (Revolver) (16)","6.75% (P+350, 3.25% Floor) Funded, 0.50% Unfunded",12/10/18,Insurance,1110,1110,1110
10,"Deep Gulf Energy II, LLC","11.50% ((11.50% or L+1000), 1.50% Floor)",3/31/17,Oil and Gas,25000,25000,24500
11,"Delta Educational Systems, Inc.",16.00% (8.00% Cash/8.00% PIK),12/11/16,Education,5657,5657,5657
12,"Energy & Exploration Partners, Inc.","7.75% (L+675, 1.00% Floor)",1/22/19,Oil and Gas,6484,6389,6386
13,"Evergreen Tank Solutions, Inc.","9.50% (L+800, 1.50% Floor)",9/28/18,"Containers, Packaging, and Glass",40657,40208,40556
14,"Extraction Oil & Gas Holdings, LLC",11.000%,5/29/19,Oil and Gas,42226,41618,41592
15,"GenCorp, Inc.(17)","9.50% (L+850, 1.00% Floor)",4/18/22,Aerospace and Defense,44500,44500,44500
16,"Great Bear Petroleum Operating, LLC",12.000%,10/1/17,Oil and Gas,5064,5064,5064
17,"Hunt Companies, Inc. (11)",9.625%,3/1/21,Buildings and Real Estate,41210,40728,43064
18,"M&G Chemicals, S.A. (17)",8.73% (L+850),3/28/16,Chemicals,5000,5000,5000
19,"Magnetation, LLC (11)",11.000%,5/15/18,Mining,38454,40074,39079
20,"Maxus Capital Carbon SPE I, LLC (Skyonic Corp.)",13.000%,9/18/19,Chemicals,79046,79046,79046
21,"Molycorp, Inc. (17)",10.000%,6/1/20,"Diversified Natural Resources, Precious Metals and Minerals",50424,50003,35150
22,"My Alarm Center, LLC (16)","8.50% (L+750, 1.00% Floor)",1/9/18,Business Services,42614,42614,42614
23,"My Alarm Center, LLC (16)","8.50% (L+750, 1.00% Floor)",1/9/18,Business Services,6738,6738,6738
24,"Osage Exploration & Development, Inc. (11)(17)","13.00% (L+1100, 2.00% Floor)",4/27/16,Oil and Gas,25000,24637,24250
25,"Panda Sherman Power, LLC","9.00% (L+750, 1.50% Floor)",9/14/18,Energy,14967,14805,15285
26,"Panda Temple Power, LLC","11.50% (L+1000, 1.50% Floor)",7/17/18,Energy,25500,25136,26138
27,"Pelican Energy, LLC (17)",10.00% (7.00% Cash / 3.00% PIK),12/31/18,Oil and Gas,26339,25361,26865
28,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2014  (in thousands, except shares)",,,,,,
29,1st Lien Secured Debt-45.1% (continued),,,,,,
30,Reichhold Holdings International B.V. (16)(17),"10.75% (L+975, 1.00% Floor)",12/19/16,Chemicals,19500,19500,19793
31,"Reichhold Holdings International B.V., (Revolver) (16)(17)","7.00% (L+600 Funded, 1.50% Unfunded)",12/19/16,Chemicals,9000,9000,9000
32,"SCM Insurance Services, Inc. (17)",9.250%,8/22/19,Business Services,"CAD 30,000",27114,26710
33,"Spotted Hawk Development, LLC",13.00% (12.00% Cash/ 1.00% PIK),9/12/16,Oil and Gas,80493,79206,78883
34,"Sunrun Solar Owner IX, LLC",9.079%,12/31/24,Energy,3525,3377,3376
35,"UniTek Global Services, Inc., (Revolver)(16)","10.25% (L+925, 1.00% Floor) Funded, 2.00% Unfunded",4/15/16,Telecommunications,38731,38731,38731
36,"Walter Energy, Inc.(11)(16)(17)",9.500%,10/15/19,Mining,35061,35439,31730
37,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2014  (in thousands, except shares)",,,,,,
38,Unfunded Revolver Obligations-(0.4)%,,,,,,
39,"Avaya, Inc., (Unfunded Revolver) (8)(13)(16)","L+275 Funded, 0.50% Unfunded",10/26/16,Telecommunications,20231,"(4,189)","(1,644)"
40,"BMC Software, Inc., (Unfunded Revolver) (8)(13)","L+400 Funded, 0.50% Unfunded",9/10/18,Business Services,20760,"(2,133)","(1,661)"
41,"CIT Group, Inc., (Unfunded Revolver) (8)(13)(17)",L+275,1/27/17,Financial Services,25000,(969),"(1,063)"
42,"Confie Seguros Holding II Co., (Unfunded Revolver) (13)(16)","P+350 Funded, 0.50% Unfunded",12/10/18,Insurance,2724,(386),-
43,"Laureate Education, Inc., (Unfunded Revolver) (8)(13)(17)","L+375 Funded, 0.625% Unfunded",6/16/16,Education,28880,"(2,888)","(2,599)"
44,"Reichhold Holdings International B.V., (Unfunded Revolver) (13)(16)(17)","L+600 Funded, 1.50% Unfunded",12/19/16,Chemicals,3500,-,-
45,"Salix Pharmaceuticals, Ltd., (Unfunded Revolver) (8)(13)(16)(17)","L+300 Funded, 0.50% Unfunded",1/2/19,Healthcare,24867,"(1,720)",(249)
46,"UniTek Global Services, Inc., (Unfunded Revolver) (13)(16)","L+925 Funded, 2.00% Unfunded",4/15/16,Telecommunications,14623,-,-
47,"Walter Energy, Inc., (Unfunded Revolver) (8)(13)(16)(17)","L+550 Funded, 0.625% Unfunded",10/1/17,Mining,275,(185),(18)
48,Letters of Credit- (0.0)%,,,,,,
49,"Confie Seguros Holding II Co., Letter of Credit (13)(16)",4.500%,10/27/14,Insurance,600,-,-
50,"Confie Seguros Holding II Co., Letter of Credit (13)(16)",4.500%,1/13/15,Insurance,66,-,-
51,"Salix Pharmaceuticals, Ltd., Letter of Credit (13)(16)(17)",3.000%,2/10/15,Healthcare,8,-,-
52,"Salix Pharmaceuticals, Ltd., Letter of Credit (8)(13)(16)(17)",3.000%,2/10/15,Healthcare,125,-,(1)
53,"UniTek Global Services, Inc., Letter of Credit (13)(16)",9.250%,12/15/14,Telecommunications,5446,-,-
54,"UniTek Global Services, Inc., Letter of Credit (13)(16)",9.250%,3/18/15,Telecommunications,1000,-,-
55,"UniTek Global Services, Inc., Letter of Credit (13)(16)",9.250%,3/18/15,Telecommunications,2700,-,-
