,new_Industry,Industry / Company,Investment Type,Interest Rate (20),Maturity  Date,Par / Shares (12),Cost (30),Fair  Value (1) (31),,
0,"Advertising, Printing & Publishing","Advertising, Printing & Publishing",,,,,,,,
1,,A-L Parent LLC,Second Lien Secured Debt,"9.50 (1M L+725, 1.00 Floor)",12/02/24,5536,5491,5591,(10),
2,,"American Media, Inc.",First Lien Secured Debt,"10.35 (3M L+800, 1.00 Floor)",08/24/20,12344,12149,12714,,
3,,"American Media, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/24/20,1778,(25,0,(21)(23),
4,,"American Media, Inc.",12124,12714,,,,,,
5,,"Simplifi Holdings, Inc.",First Lien Secured Debt,"7.74 (1M L+550, 1.00 Floor)",09/28/22,25492,25018,25237,(9),
6,,"Simplifi Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/28/22,2400,(9,(24,(8)(9)(21)(23),
7,,"Simplifi Holdings, Inc.",25009,25213,,,,,,
9,Aerospace & Defense,Aerospace & Defense,,,,,,,,
10,,Erickson Inc,First Lien Secured Debt - Revolver,"9.90 (3M L+750, 1.00 Floor)",04/28/22,27956,27956,27327,(9)(23),
11,,Erickson Inc,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/28/22,10479,(402,(236,(8)(9)(21)(23),
12,,Erickson Inc,First Lien Secured Debt - Letters of Credit,7.50,9/30/18 - 4/30/20,6564,0,(147,(8)(9)(23),
13,,Erickson Inc,27554,26944,,,,,,
14,,ILC Dover LP,Second Lien Secured Debt,"10.89 (3M L+850, 1.00 Floor)",06/28/24,20000,19601,19550,,
15,,PAE Holding Corporation,Second Lien Secured Debt,"11.89 (3M L+950, 1.00 Floor)",10/20/23,28097,27481,28237,(10),
17,Automotive,Automotive,,,,,,,,
18,,Accelerate Parent Corp.,Common Equity/Interests - Common Stock,N/A,N/A,"1,664,046 Shares",1714,0,(13),
19,Crowne Automotive,Crowne Automotive,,,,,,,,
20,,"Vari-Form Group, LLC",First Lien Secured Debt,"13.31 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",02/02/23,5122,4993,2919,(9),
21,,"Vari-Form Group, LLC",First Lien Secured Debt,"6.31 (3M 4.00 PIK, 1.00 Floor)",02/02/23,515,500,294,(9),
22,,Vari-Form Inc.,First Lien Secured Debt,"13.31 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",02/02/23,10125,9867,5771,(9),
23,,Vari-Form Inc.,15360,8984,,,,,,
24,,"K&N Parent, Inc.",Second Lien Secured Debt,"11.14 (3M L+875, 1.00 Floor)",10/21/24,23765,23399,23171,(10),
26,Aviation and Consumer Transport,Aviation and Consumer Transport,,,,,,,,
27,Merx Aviation,Merx Aviation,,,,,,,,
28,,Merx Aviation Finance Assets Ireland Limited (5),First Lien Secured Debt - Letters of Credit,2.25,2/18/19 - 2/22/19,3600,0,0,(23),
29,,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Revolver,12.00,10/31/23,403550,403550,403550,(23),
30,,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Letter of Credit,2.25,07/13/19,177,0,0,(23),
31,,"Merx Aviation Finance, LLC (5)",Common Equity/Interests - Membership Interests,N/A,N/A,N/A,15000,53336,,
33,"Beverage, Food & Tobacco","Beverage, Food & Tobacco",,,,,,,,
34,,"Eagle Foods Family Group, LLC",First Lien Secured Debt,"8.89 (3M L+650, 1.00 Floor)",06/14/24,24937,24671,24688,(9),
35,Florida Food Products,Florida Food Products,,,,,,,,
36,,"Florida Food Products, Inc.",First Lien Secured Debt,"8.99 (1M L+675, 1.00 Floor)",09/08/25,23288,22711,23055,(9),
37,,"Florida Food Products, LLC",First Lien Secured Debt - Revolver,"8.99 (1M L+675, 1.00 Floor)",09/06/23,514,514,509,(9)(23),
38,,"Florida Food Products, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/06/23,1199,(37,(12,(8)(9)(21)(23),
39,,"Florida Food Products, LLC",23188,23552,,,,,,
41,Business Services,Business Services,,,,,,,,
42,,"Access CIG, LLC",Second Lien Secured Debt,9.99 (1M L+775),02/27/26,15186,15057,15309,(10),
43,,"Access CIG, LLC",Second Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,02/27/26,714,0,0,(10)(21)(23),
44,,"Access CIG, LLC",15057,15309,,,,,,
45,,Aero Operating LLC,First Lien Secured Debt,"9.51 (1M L+725, 1.00 Floor)",12/29/22,33058,32356,32728,(9),
