,Industry/Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
0,"Advertising, Printing & Publishing",,,,,,,,
1,FingerPaint Marketing,,,,,,,,
2,KL Charlie Acquisition Company,First Lien Secured Debt,"L+525, 1.00% Floor",12/30/26,18560,18220,18374,(9)(28),
3,KL Charlie Acquisition Company,First Lien Secured Debt,"L+525, 1.00% Floor",12/30/26,4371,3441,3451,(9)(21)  (23)(28),
4,KL Charlie Acquisition Company,First Lien Secured Debt - Revolver,"L+525, 1.00% Floor",12/30/26,2190,(19),(22),(8)(9)(21)  (23),
5,"KL Charlie Co-Invest, L.P.",Common Equity - Common Stock,N/A,N/A,"218,978 Shares",219,335,(9)(13)(25),
6,"Simplifi Holdings, Inc.",,,,,,,,
7,"Simplifi Holdings, Inc.",First Lien Secured Debt,"P+425, 1.00% Floor",08/02/25,38245,37770,38245,(9)(34),
8,"Simplifi Holdings, Inc.",First Lien Secured Debt - Revolver,"L+525, 1.00% Floor",08/02/25,2400,(36),-,(9)(23),
10,Aerospace & Defense,,,,,,,,
11,Erickson Inc,,,,,,,,
12,Erickson Inc,First Lien Secured Debt - Revolver,"L+750, 1.50% Floor",04/28/22,32250,26505,26142,(9)(20)(21)  (23)(28),
13,Erickson Inc,First Lien Secured Debt - Revolver,13.50%,04/28/22,3750,3750,3701,(9)(23),
15,Automotive,,,,,,,,
16,Club Car Wash,,,,,,,,
17,"Club Car Wash Operating, LLC",First Lien Secured Debt,"L+650, 1.00% Floor",06/16/27,13778,13545,13531,(9)(29),
18,"Club Car Wash Operating, LLC",First Lien Secured Debt,"L+650, 1.00% Floor",06/16/27,16250,3953,3934,(9)(21)(23)  (29),
19,"Club Car Wash Operating, LLC",First Lien Secured Debt - Revolver,"L+650, 1.00% Floor",06/16/27,2438,(41),(44),(8)(9)(21)  (23),
20,Crowne Automotive,,,,,,,,
21,"Vari-Form Group, LLC",First Lien Secured Debt,11.00% (7.00% Cash plus 4.00% PIK),02/02/23,5860,901,293,(9)(14),
22,Vari-Form Inc.,First Lien Secured Debt,11.00% (7.00% Cash plus 4.00% PIK),02/02/23,2110,391,105,(9)(14),
23,"K&N Parent, Inc.",,,,,,,,
24,"K&N Parent, Inc.",Second Lien Secured Debt,"L+875, 1.00% Floor",10/21/24,23765,23573,22220,(28),
25,"Truck-Lite Co., LLC",,,,,,,,
26,"TL Lighting Holdings, LLC",Common Equity - Equity,N/A,N/A,350 Shares,350,382,(9)(13),
27,"Truck-Lite Co., LLC",First Lien Secured Debt,"L+625, 1.00% Floor",12/14/26,28440,27930,28367,(9)(28),
28,"Truck-Lite Co., LLC",First Lien Secured Debt - Revolver,"L+625, 1.00% Floor",12/13/24,3052,(40),(2),(8)(9)(20)  (21)(23),
30,Aviation and Consumer Transport,,,,,,,,
31,"Merx Aviation Finance, LLC",,,,,,,,
32,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Revolver,10.00%,10/31/23,275177,275000,275000,(20)(23),
33,"Merx Aviation Finance, LLC (5)",Common Equity - Membership Interests,N/A,N/A,N/A,35800,39820,(25),
34,Primeflight,,,,,,,,
35,"PrimeFlight Aviation Services, Inc.",First Lien Secured Debt,"L+625, 1.00% Floor",05/09/24,17416,17202,17267,(9)(26),
37,"Beverage, Food & Tobacco",,,,,,,,
38,Berner Foods,,,,,,,,
39,"Berner Food & Beverage, LLC",First Lien Secured Debt,"L+650, 1.00% Floor",07/30/27,31119,30431,30807,(9)(29),
40,"Berner Food & Beverage, LLC",First Lien Secured Debt - Revolver,"L+650, 1.00% Floor",07/30/26,2881,513,547,(9)(21)(23)  (29),
41,Bolthouse Farms,,,,,,,,
42,"Wm. Bolthouse Farms, Inc.",Common Equity - Common Stock,N/A,N/A,"1,000,000 Shares",1001,1170,(13),
43,"Florida Food Products, Inc.",,,,,,,,
44,"Florida Food Products, Inc.",First Lien Secured Debt,"L+650, 1.00% Floor",09/08/25,22589,22268,22589,(9)(26),
45,"Florida Food Products, Inc.",First Lien Secured Debt,"L+725, 1.00% Floor",09/08/25,2963,2799,2963,(9)(26),
46,"Florida Food Products, LLC",First Lien Secured Debt - Revolver,"L+650, 1.00% Floor",09/06/23,1712,326,342,(9)(23)(26),
47,Hive,,,,,,,,
48,"FCP-Hive Holdings, LLC",Preferred Equity - Preferred Stock,N/A,N/A,589 Shares,448,448,(9)(13)(25),
49,"FCP-Hive Holdings, LLC",Common Equity - Common Stock,N/A,N/A,589 Shares,3,3,(9)(13)(25),
50,"Hive Intermediate, LLC",First Lien Secured Debt,"L+600, 1.00% Floor",09/22/27,17209,16879,17037,(9)(26),
51,"Hive Intermediate, LLC",First Lien Secured Debt - Revolver,"L+600, 1.00% Floor",09/22/27,2326,420,442,(9)(21)(23)  (28),
52,"Orgain, Inc.",,,,,,,,
53,"Butterfly Fighter Co-Invest, L.P.",Common Equity - Membership Interests,N/A,N/A,"1,000,000 Shares",1005,1035,,
54,Rise Baking,,,,,,,,
55,Ultimate Baked Goods Midco LLC,First Lien Secured Debt,"L+625, 1.00% Floor",08/13/27,26757,26102,26088,(9)(29),
56,Ultimate Baked Goods Midco LLC,First Lien Secured Debt - Revolver,"L+625, 1.00% Floor",08/13/27,3243,448,446,(9)(20)(21)  (23)(28)  (29),
57,TNT Crust LLC,,,,,,,,
58,TNT Crust LLC,First Lien Secured Debt,"L+675, 1.00% Floor",11/06/23,21606,21322,21174,(9)(28),
59,TNT Crust LLC,First Lien Secured Debt - Revolver,"L+675, 1.00% Floor",11/06/23,3252,1925,1886,(9)(21)(23)  (28)(29),
60,TNT Crust LLC,Common Equity - Series A Units,N/A,N/A,244 Shares,30,168,(9)(13),
61,Turkey Hill,,,,,,,,
62,IC Holdings LLC,Common Equity - Series A Units,N/A,N/A,169 Shares,169,324,(9)(13),
63,THLP CO. LLC,First Lien Secured Debt,"L+600, 1.00% Floor",05/31/25,25138,24809,24509,(9)(26),
64,THLP CO. LLC,First Lien Secured Debt - Revolver,"P+500, 1.00% Floor",05/31/24,4494,401,337,(9)(20)(21)  (23)(34),
66,Business Services,,,,,,,,
67,Access Information,,,,,,,,
68,"Access CIG, LLC",Second Lien Secured Debt,"L+775, 0.00% Floor",02/27/26,15900,15817,15739,(26),
69,Ambrosia Buyer Corp.,,,,,,,,
70,Ambrosia Buyer Corp.,Second Lien Secured Debt,9.00%,08/28/25,21429,19555,9272,(14),
71,AML Rightsource,,,,,,,,
72,"Gabriel Partners, LLC",First Lien Secured Debt,"L+625, 1.00% Floor",09/21/26,31610,30999,30940,(9)(29),
73,"Gabriel Partners, LLC",First Lien Secured Debt - Revolver,"L+625, 1.00% Floor",09/21/26,665,(15),(14),(8)(9)(21)  (23),
74,Claritas,,,,,,,,
75,"Claritas, LLC",First Lien Secured Debt,"L+575, 1.00% Floor",12/21/23,3696,3679,3659,(9)(28),
76,"Claritas, LLC",First Lien Secured Debt - Revolver,"L+575, 1.00% Floor",12/21/23,1031,73,67,(9)(21)(23)  (28),
77,Continuum,,,,,,,,
78,"Continuum Global Solutions, LLC",First Lien Secured Debt - Revolver,"L+550, 1.00% Floor",02/15/22,20000,2998,2677,(9)(21)(23)  (26),
79,"Continuum Global Solutions, LLC",Preferred Equity - Preferred Equity,N/A,N/A,775 Shares,78,78,(9)(13),
80,Electro Rent Corporation,,,,,,,,
81,Electro Rent Corporation,Second Lien Secured Debt,"L+900, 1.00% Floor",01/31/25,34235,33731,34064,(9)(28),
82,Elo Touch,,,,,,,,
83,TGG TS Acquisition Company,First Lien Secured Debt - Revolver,"L+650, 0.00% Floor",12/14/23,1750,-,(35),(8)(21)(23),
84,Ensemble Health,,,,,,,,
85,"EHL Merger Sub, LLC",First Lien Secured Debt - Revolver,"L+325, 0.00% Floor",08/01/24,4155,(217),(130),(8)(21)(23),
86,Jacent,,,,,,,,
87,Jacent Strategic Merchandising,First Lien Secured Debt,"L+575, 1.00% Floor",04/23/24,22199,22024,21804,(9)(28),
88,Jacent Strategic Merchandising,First Lien Secured Debt - Revolver,"L+575, 1.00% Floor",04/23/24,3500,2539,2504,(9)(23)(28),
89,Jacent Strategic Merchandising,Common Equity - Common Stock,N/A,N/A,"5,000 Shares",500,158,(9)(13),
90,"JSM Equity Investors, L.P.",Preferred Equity - Class P Partnership Units,N/A,N/A,114 Shares,11,11,(9)(13),
91,Jones & Frank,,,,,,,,
92,"JF Acquisition, LLC",First Lien Secured Debt,"L+550, 1.00% Floor",07/31/24,13268,13116,13106,(9)(28)(30),
93,"JF Acquisition, LLC",First Lien Secured Debt - Revolver,"L+550, 1.00% Floor",07/31/24,1569,924,922,(9)(21)(23)  (30),
94,MAKS,,,,,,,,
95,Trident Bidco Limited,First Lien Secured Debt,"L+550, 1.00% Floor",11/08/25,34125,33420,33854,(9)(17)(29),
96,McLarens,,,,,,,,
97,Margaux Acquisition Inc.,First Lien Secured Debt,"L+550, 1.00% Floor",12/19/24,22936,22687,22922,(9)(28),
98,Margaux Acquisition Inc.,First Lien Secured Debt - Revolver,"P+450, 1.00% Floor",12/19/24,1601,212,228,(9)(21)(23)  (34),
99,Margaux UK Finance Limited,First Lien Secured Debt,"GBPL+550, 1.00% Floor",12/19/24,7146,8938,9579,(9)(17)(31),
100,Margaux UK Finance Limited,First Lien Secured Debt - Revolver,"GBPL+550, 1.00% Floor",12/19/24,541,(7),(4),(8)(9)(17)  (21)(23),
101,Naviga,,,,,,,,
102,"Naviga Inc. (fka Newscycle Solutions, Inc.)",First Lien Secured Debt,"L+700, 1.00% Floor",12/29/22,12244,12140,12184,(9)(28),
103,"Naviga Inc. (fka Newscycle Solutions, Inc.)",First Lien Secured Debt - Revolver,"L+700, 1.00% Floor",12/29/22,500,277,278,(9)(21)(23)  (26),
104,PSE,,,,,,,,
105,"Graffiti Buyer, Inc.",First Lien Secured Debt,"L+575, 1.00% Floor",08/10/27,5836,5721,5720,(9)(28),
106,"Graffiti Buyer, Inc.",First Lien Secured Debt,"L+575, 1.00% Floor",08/10/27,2613,(25),(26),(8)(9)(21)  (23),
107,"Graffiti Buyer, Inc.",First Lien Secured Debt - Revolver,"L+575, 1.00% Floor",08/10/27,1307,(26),(26),(8)(9)(21)  (23),
108,"Graffiti Parent, LP",Common Equity - Common Stock,N/A,N/A,"2,439 Shares",244,244,(9)(13)(25),
109,"PSI Services, LLC",,,,,,,,
110,"Lifelong Learner Holdings, LLC",First Lien Secured Debt,"L+575, 1.00% Floor",10/19/26,32371,31893,31286,(9)(28),
111,"Lifelong Learner Holdings, LLC",First Lien Secured Debt,"L+575, 1.00% Floor",10/19/26,2388,(17),(80),(8)(9)(23),
112,"Lifelong Learner Holdings, LLC",First Lien Secured Debt - Revolver,"L+575, 1.00% Floor",10/20/25,2985,2942,2899,(9)(21)(23)  (28),
113,Soliant,,,,,,,,
114,"Soliant Health, Inc.",Common Equity - Membership Interests,N/A,N/A,300 Shares,300,757,(9)(13),
115,"Transplace Holdings, Inc.",,,,,,,,
116,"Transplace Holdings, Inc.",Second Lien Secured Debt,"L+875, 1.00% Floor",10/06/25,8599,8487,8599,(28),
117,US Legal Support,,,,,,,,
118,"US Legal Support Investment Holdings, LLC",Common Equity - Series A-1 Units,N/A,N/A,"631,972 Shares",632,752,(9)(13),
119,"USLS Acquisition, Inc.",First Lien Secured Debt,"L+575, 1.00% Floor",12/02/24,24126,23864,23484,(9)(28),
120,"USLS Acquisition, Inc.",First Lien Secured Debt - Revolver,"L+575, 1.00% Floor",12/02/24,1608,(17),(43),(8)(9)(20)  (21)(23),
122,"Chemicals, Plastics & Rubber",,,,,,,,
123,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),,,,,,,,
124,Carbonfree Chemicals Holdings LLC (4),Common Equity - Common Equity / Interest,N/A,N/A,"2,354 Shares",46295,45234,(3)(13)(16)  (25),
125,Carbonfree Chemicals SA LLC (4),Common Equity - Class B Units,N/A,N/A,"3,152 Shares",32434,-,(3)(13)(16)  (25),
126,"Westfall Technik, Inc.",,,,,,,,
127,"Westfall Technik, Inc.",First Lien Secured Debt,"L+575, 1.00% Floor",09/13/24,15697,15533,15333,(9)(26),
128,"Westfall Technik, Inc.",First Lien Secured Debt,"L+625, 1.00% Floor",09/13/24,5667,5568,5554,(9)(26),
129,"Westfall Technik, Inc.",First Lien Secured Debt - Revolver,"L+575, 1.00% Floor",09/13/24,1885,1731,1706,(9)(23)(26),
130,"Westfall Technik, Inc.",First Lien Secured Debt - Revolver,"P+475, 1.00% Floor",09/13/24,134,133,131,(9)(23)(34),
132,Construction & Building,,,,,,,,
133,Englert,,,,,,,,
134,"Gutter Buyer, Inc.",First Lien Secured Debt,"L+575, 1.00% Floor",03/06/25,28539,28191,27971,(9)(26),
135,"Gutter Buyer, Inc.",First Lien Secured Debt - Revolver,"L+575, 1.00% Floor",03/06/24,2727,(33),(54),(8)(9)(20)  (21)(23),
136,"Gutter Holdings, LP",Common Equity - Common Stock,N/A,N/A,500 Shares,500,1105,(9),
138,Consumer Goods – Durable,,,,,,,,
139,A&V,,,,,,,,
140,"A&V Holdings Midco, LLC",First Lien Secured Debt - Revolver,"L+450, 1.00% Floor",03/10/25,1505,(92),(59),(8)(21)(23),
141,KDC,,,,,,,,
142,KDC US Holdings,First Lien Secured Debt - Revolver,"L+325, 0.00% Floor",12/21/23,6020,4892,4812,(20)(21)  (23)(26),
143,"KLO Holdings, LLC",,,,,,,,
144,1244311 B.C. Ltd. (4),First Lien Secured Debt,"L+500, 1.00% Floor",09/30/25,2978,2978,2805,(17)(28),
145,1244311 B.C. Ltd. (4),First Lien Secured Debt,"L+500 PIK, 1.00% Floor",09/30/25,1046,1046,979,(17)(28),
146,1244311 B.C. Ltd. (4),Common Equity - Common Stock,N/A,N/A,"1,000,032 Shares",1000,1096,(2)(13)(17)  (25),
147,GSC Technologies Inc. (4),First Lien Secured Debt,"L+1000 PIK, 1.00% Floor",09/30/25,216,216,202,(17)(28),
148,Liqui-Box,,,,,,,,
149,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Revolver,"L+450, 1.00% Floor",02/26/25,3014,2827,2842,(20)(21)  (23)(28),
150,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Revolver,"P+350, 1.00% Floor",02/26/25,546,542,545,(21)  (23)(34),
151,NSi Industries,,,,,,,,
152,"Wildcat BuyerCo, Inc.",First Lien Secured Debt,"L+500, 1.00% Floor",02/27/26,5996,5890,5965,(28),
