0,1,2,3,4,5,6,7,8,9,10,11
American Property REIT Corp.(32),Various / Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",Principal Value,105958,Fair  Value(2),% of Net Assets,105958,0,0,105958.0,2.9%
"Common Stock (272,116 shares)",Various / Real Estate,24769,Principal Value,130727,Fair  Value(2),136650,105958,3.7%,0,0.0,0
"Arctic Energy Services, LLC(30)",Wyoming / Oil & Gas Production,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",31640,130727,31640,136650,31640,0,0.9%,0.0,0
Class A Units (700 units),20230,9006,20230,60876,20230,61644,0.5%,1.7%,0,0.0,0
CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",16988,60876,16988,61644,16988,0,0.5%,0.0,0
"Common Stock (14,857 shares)",8539,8553,8539,34080,8539,33538,0.2%,0.9%,0,0.0,0
CP Energy Services Inc.(38),Oklahoma / Oil & Gas Production,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",11035,34080,11035,33538,11035,0,0.3%,0.0,0
"Common Stock (2,924 shares)",15000,15227,15000,113500,15000,118772,0.4%,3.2%,0,0.0,0
"Credit Central Loan Company, LLC(34)",Ohio / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(22)",36333,113500,36333,118772,36333,0,1.0%,0.0,0
"Class A Shares (7,500,000 shares)(22)",Ohio / Consumer Finance,11473,36333,47806,36333,48970,36333,1.3%,0,0.0,0
Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)",40808,47806,40808,48970,40808,0,1.1%,0.0,0
"Class A Shares (11,335,318 shares)",New York / Aerospace & Defense,19907,40808,60715,40808,57440,40808,1.5%,0,0.0,0
First Tower Finance Company LLC(29),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(22)",251246,60715,251246,57440,251246,0,6.8%,0.0,0
"Class A Shares (83,729,323 shares)(22)",Mississippi / Consumer Finance,65957,251246,317203,251246,333284,251246,9.0%,0,0.0,0
"Freedom Marine Solutions, LLC(8)",Louisiana / Energy,"Senior Secured Note to Vessel Company, LLC (18.00%, due 12/12/2016)",3500,317203,3500,333284,3500,0,0.1%,0.0,0
Membership Interest (100%),16000,7807,16000,39811,11889,29148,0.3%,0.8%,0,0.0,0
Gulf Coast Machine & Supply Company,Texas / Manufacturing,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), due 10/12/2017)(4)",19500,39811,19500,29148,12963,0,0.3%,0.0,0
"Series A Convertible Preferred Stock (99,900 shares)",Texas / Manufacturing,25950,19500,45450,19500,12963,12963,0.3%,0,0.0,0
"Harbortouch Payments, LLC(43)",Pennsylvania / Business Services,"Senior Secured Term Loan A (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor), due 9/30/2017)(3)(4)",Principal Value,130392,Fair  Value(2),% of Net Assets,130392,0,0,130392.0,3.5%
Class C Shares (535 shares),25196,8780,25196,301594,25196,332985,0.7%,9.0%,0,0.0,0
"The Healing Staff, Inc.(9)",North Carolina / Contracting,"Secured Promissory Notes to The Healing Staff, Inc. and Vets Securing America, Inc. (15.00%, in non-accrual status effective 12/22/2010, past due)",1688,301594,1686,332985,-,0,-%,0.0,0
"Common Stock of Vets Securing America, Inc. (1 share)",1170,975,1170,3831,-,-,-%,-%,0,0.0,0
"MITY, Inc.(17)",Utah / Durable Consumer Products,"Revolving Line of Credit – $7,500 Commitment (9.50% (LIBOR + 7.00% with 2.50% LIBOR floor), due 3/23/2015)(4)(25)(26)",2500,3831,2500,-,2500,0,0.1%,0.0,0
"Common Stock (42,053 shares)",6593,7456,6593,50568,6593,52618,0.2%,1.4%,0,0.0,0
National Property REIT Corp.(40),Various / Real Estate,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",218717,50568,218717,52618,218717,0,5.9%,0.0,0
"Common Stock (84,567 shares)",24650,48696,24650,292063,24650,317986,0.7%,8.6%,0,0.0,0
Nationwide Acceptance LLC(36),Illinois / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/18/2019)(22)",14820,292063,14820,317986,14820,0,0.4%,0.0,0
"Class A Shares (24,029,326 shares)(22)",Illinois / Consumer Finance,12919,14820,27739,14820,27411,14820,0.7%,0,0.0,0
"NMMB, Inc.(24)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2016)",3714,27739,3714,27411,2300,0,0.1%,0.0,0
"Series B Preferred Stock (5,669 shares)",7000,5669,7000,23583,4334,6634,0.1%,0.2%,0,0.0,0
"R-V Industries, Inc.",Pennsylvania / Manufacturing,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(4)",30411,23583,30411,6634,30411,0,0.8%,0.0,0
"Warrant (to purchase 200,000 shares of Common Stock, expires 6/30/2017)",Pennsylvania / Manufacturing,1682,30411,37180,30411,50335,30411,1.4%,0,0.0,0
United Property REIT Corp.(41),Various / Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",Principal Value,58219,Fair  Value(2),% of Net Assets,58219,0,0,58219.0,1.6%
"Common Stock (70,689 shares)",Various / Real Estate,11946,Principal Value,70165,Fair  Value(2),72991,58219,2.0%,0,0.0,0
"Valley Electric Company, Inc.(35)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2017)(3)(4)",10211,70165,10211,72991,10211,0,0.3%,0.0,0
"Common Stock (50,000 shares)",21380,26204,21380,57795,18365,28576,0.5%,0.8%,0,0.0,0
"Wolf Energy, LLC(12)",Kansas / Oil & Gas Production,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)(37)",29434,57795,-,28576,1775,0,-%,0.0,0
Net Profits Interest (8% of Equity Distributions)(7),Kansas / Oil & Gas Production,-,29434,-,-,1804,1775,-%,0,0.0,0
"Aderant North America, Inc.",Georgia / Software & Computer Services,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 6/20/2019)(4)(16)",Principal Value,7000,Fair  Value(2),% of Net Assets,6920,0,0,7000.0,0.2%
"Aderant North America, Inc.",Georgia / Software & Computer Services,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 6/20/2019)(4)(16)",Principal Value,6920,Fair  Value(2),7000,6920,0.2%,0,0.0,0
"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Machinery,"Class A Units (32,500 units)",Principal Value,396,Fair  Value(2),445,6920,-%,0,0.0,0
"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Machinery,"Class A Units (32,500 units)",Principal Value,396,Fair  Value(2),445,6920,-%,0,0.0,0
Airmall Inc.(27),Pennsylvania / Property Management,Escrow Receivable,Principal Value,5880,Fair  Value(2),3678,6920,0.1%,0,0.0,0
Airmall Inc.(27),Pennsylvania / Property Management,Escrow Receivable,Principal Value,5880,Fair  Value(2),3678,6920,0.1%,0,0.0,0
"Ajax Rolled Ring & Machine, LLC(42)",South Carolina / Manufacturing,Escrow Receivable,Principal Value,-,Fair  Value(2),2734,6920,0.1%,0,0.0,0
"Ajax Rolled Ring & Machine, LLC(42)",South Carolina / Manufacturing,Escrow Receivable,Principal Value,-,Fair  Value(2),2734,6920,0.1%,0,0.0,0
"ALG USA Holdings, LLC","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(4)(16)",12000,-,11807,2734,12000,0,0.3%,0.0,0
"ALG USA Holdings, LLC","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(4)(16)",12000,11807,11807,12000,12000,0.3%,0,0.0,0
"American Broadband Holding Company and Cameron Holdings of NC, Inc.",North Carolina / Telecommunication Services,"Senior Secured Term Loan B (11.00% (LIBOR + 9.75% with 1.25% LIBOR floor), due 9/30/2018)(3)(4)",74654,11807,74654,12000,74654,0,2.0%,0.0,0
"American Broadband Holding Company and Cameron Holdings of NC, Inc.",North Carolina / Telecommunication Services,"Senior Secured Term Loan B (11.00% (LIBOR + 9.75% with 1.25% LIBOR floor), due 9/30/2018)(3)(4)",74654,74654,74654,74654,74654,2.0%,0,0.0,0
American Gilsonite Company,Utah / Metal Services & Minerals,"Second Lien Term Loan (11.50%, due 9/1/2017)(16)",38500,74654,38500,74654,38500,0,1.0%,0.0,0
Membership Interest (99.9999%)(15),Utah / Metal Services & Minerals,-,38500,38500,38500,42775,38500,1.2%,0,0.0,0
Apidos CLO IX,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 19.16%)(11)(22)",20525,38500,18261,42775,18965,0,0.5%,0.0,0
Apidos CLO IX,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 19.16%)(11)(22)",20525,18261,18261,18965,18965,0.5%,0,0.0,0
Apidos CLO XI,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 15.27%)(11)(22)",38340,18261,32764,18965,34261,0,0.9%,0.0,0
Apidos CLO XI,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 15.27%)(11)(22)",38340,32764,32764,34261,34261,0.9%,0,0.0,0
Apidos CLO XII,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 16.44%)(11)(22)",44063,32764,39961,34261,40811,0,1.1%,0.0,0
Apidos CLO XII,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 16.44%)(11)(22)",44063,39961,39961,40811,40811,1.1%,0,0.0,0
Apidos CLO XV,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 14.64%)(11)(22)",36515,39961,35620,40811,35215,0,0.9%,0.0,0
Apidos CLO XV,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 14.64%)(11)(22)",36515,35620,35620,35215,35215,0.9%,0,0.0,0
"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(4)",150000,35620,150000,35215,149674,0,4.0%,0.0,0
"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(4)",150000,150000,150000,149674,149674,4.0%,0,0.0,0
"Ark-La-Tex Wireline Services, LLC",Louisiana / Oil and Gas Production,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/8/2019)(4)",26662,150000,26662,149674,26662,0,0.7%,0.0,0
"Senior Secured Term Loan B (10.50% (LIBOR + 9.50% with 1.00% LIBOR floor), due 4/8/2019)(4)",26662,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/8/2019)(4)",26662,53324,26662,53324,0.7%,1.4%,0,0.0,0
Armor Holding II LLC,New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(4)(16)",7000,53324,6881,53324,6881,0,0.2%,0.0,0
Armor Holding II LLC,New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(4)(16)",7000,6881,6881,6881,6881,0.2%,0,0.0,0
