0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Machinery,Total Non-Control/Non-Affiliate Investments (Level 3),-,12/1/2017,3538047,28622,2987,3317943,-,100.5%,176.9%,-,0,-%,6866,35488.0,0.0,0
Diversified Consumer Services,63538,-,-,3538047,1772,2987,-,-,-,176.9%,31679,0,-%,6577,40028.0,0.0,0
Air Freight & Logistics,-,-,127091,3538047,12316,2987,-,-,-,176.9%,-,0,-%,-,12316.0,0.0,0
Aerospace & Defense,-,50823,-,3538047,-,2987,-,-,-,176.9%,-,0,-%,40997,91820.0,2.8,%
Commercial Services & Supplies,67809,50823,-,3538047,-,2987,451,-,-,176.9%,68260,0,2.1,%,0.0,0.0,0
Construction & Engineering,43311,50823,-,3538047,-,2987,-,-,46447,176.9%,89758,0,2.7,%,0.0,0.0,0
Consumer Finance,-,50823,343655,3538047,-,2987,-,-,201840,176.9%,545495,0,16.5,%,0.0,0.0,0
"Electronic Equipment, Instruments & Components",20363,50823,-,3538047,-,2987,-,-,20919,176.9%,41282,0,1.3,%,0.0,0.0,0
Energy Equipment & Services,35048,50823,-,3538047,-,2987,-,-,105208,176.9%,140256,0,4.2,%,0.0,0.0,0
Equity Real Estate Investment Trusts (REITs),433553,50823,-,3538047,-,2987,-,-,372199,176.9%,805752,0,24.4,%,0.0,0.0,0
Health Care Providers & Services,221358,50823,-,3538047,-,2987,-,-,-,176.9%,221358,0,6.7,%,0.0,0.0,0
Machinery,-,50823,24670,3538047,-,2987,-,-,-,176.9%,24670,0,0.7,%,0.0,0.0,0
Media,7614,50823,-,3538047,-,2987,-,-,16432,176.9%,24046,0,0.7,%,0.0,0.0,0
Online Lending,205000,50823,-,3538047,-,2987,-,-,5707,176.9%,210707,0,6.4,%,0.0,0.0,0
Personal Products,132530,50823,-,3538047,-,2987,-,-,-,176.9%,132530,0,4.0,%,0.0,0.0,0
Trading Companies & Distributors,36832,50823,-,3538047,-,2987,-,-,-,176.9%,36832,0,1.1,%,0.0,0.0,0
Diversified Consumer Services,37.9,-,11.2,%,1772,%,-,-,24.5,%,25582,%,1.1,-,27354.0,0.8,%
"Textiles, Apparel & Luxury Goods",-,-,-,%,-,%,-,-,21537,%,21537,%,0.7,%,0.0,0.0,0
Distributors,-,-,42970,%,-,%,-,-,-,%,42970,%,1.3,%,0.0,0.0,0
Air Freight & Logistics,-,-,1.4,%,12316,%,0.7,-,0.7,%,-,%,1.3,-,12316.0,0.4,%
Auto Components,-,-,25409,%,-,%,-,-,-,%,25409,%,0.8,%,0.0,0.0,0
Building Products,-,-,19249,%,-,%,-,-,-,%,19249,%,0.6,%,0.0,0.0,0
Capital Markets,-,-,21673,%,-,%,-,-,-,%,21673,%,0.7,%,0.0,0.0,0
Commercial Services & Supplies,61724,-,165056,%,-,%,-,-,951,%,227731,%,6.9,%,0.0,0.0,0
Communications Equipment,-,-,47171,%,-,%,-,-,-,%,47171,%,1.4,%,0.0,0.0,0
Consumer Finance,15705,-,-,%,-,%,-,-,-,%,15705,%,0.5,%,0.0,0.0,0
Distributors,172571,-,-,%,-,%,-,-,-,%,172571,%,5.2,%,0.0,0.0,0
Diversified Consumer Services,-,-,109190,%,-,%,-,-,-,%,109190,%,3.3,%,0.0,0.0,0
Diversified Telecommunication Services,-,-,24567,%,-,%,-,-,-,%,24567,%,0.7,%,0.0,0.0,0
"Electronic Equipment, Instruments & Components",12654,-,-,%,-,%,-,-,-,%,12654,%,0.4,%,0.0,0.0,0
Energy Equipment & Services,33758,-,-,%,-,%,-,-,-,%,33758,%,1.0,%,0.0,0.0,0
Entertainment,26405,-,16909,%,-,%,-,-,-,%,43314,%,1.3,%,0.0,0.0,0
Food Products,-,-,34478,%,-,%,-,-,-,%,34478,%,1.1,%,0.0,0.0,0
Health Care Equipment & Supplies,33780,-,7146,%,-,%,-,-,-,%,40926,%,1.2,%,0.0,0.0,0
Health Care Providers & Services,136293,-,95369,%,-,%,-,-,868,%,232530,%,7.0,%,0.0,0.0,0
"Hotels, Restaurants & Leisure",29438,-,7419,%,-,%,-,-,-,%,36857,%,1.1,%,0.0,0.0,0
Household Durables,14923,-,21733,%,-,%,-,-,-,%,36656,%,1.1,%,0.0,0.0,0
Household Products,24813,-,-,%,-,%,-,-,-,%,24813,%,0.8,%,0.0,0.0,0
Insurance,-,-,2899,%,-,%,-,-,-,%,2899,%,0.1,%,0.0,0.0,0
Interactive Media & Services,48449,-,-,%,-,%,-,-,-,%,48449,%,1.5,%,0.0,0.0,0
IT Services,272793,-,31376,%,-,%,-,-,-,%,304169,%,9.2,%,0.0,0.0,0
Leisure Products,29537,-,11000,%,-,%,-,-,-,%,40537,%,1.2,%,0.0,0.0,0
Media,29537,98528,11000,%,30000,%,-,-,-,%,-,%,1.2,-,128528.0,3.9,%
Paper & Forest Products,-,98528,11345,%,-,%,-,-,-,%,11345,%,0.3,%,0.0,0.0,0
Pharmaceuticals,-,98528,12000,%,-,%,-,-,-,%,12000,%,0.4,%,0.0,0.0,0
Professional Services,118965,98528,69818,%,-,%,-,-,-,%,188783,%,5.7,%,0.0,0.0,0
Real Estate Management & Development,41370,98528,-,%,-,%,-,-,-,%,41370,%,1.3,%,0.0,0.0,0
Software,-,98528,69302,%,-,%,-,-,-,%,69302,%,2.1,%,0.0,0.0,0
"Technology Hardware, Storage & Peripherals",-,98528,12114,%,-,%,-,-,-,%,12114,%,0.4,%,0.0,0.0,0
"Textiles, Apparel & Luxury Goods",271227,98528,37000,%,-,%,-,-,-,%,308227,%,9.3,%,0.0,0.0,0
Tobacco,-,98528,14405,%,-,%,-,-,-,%,14405,%,0.4,%,0.0,0.0,0
Transportation Infrastructure,-,98528,27120,%,-,%,-,-,-,%,27120,%,0.8,%,0.0,0.0,0
Structured Finance (A),-,98528,-,%,937127,%,-,-,-,%,937127,%,28.4,%,0.0,0.0,0
Auto Components,81.7,-,40.8,%,12681,%,0.8,-,25.2,%,-,%,28.4,-,12681.0,0.0,0
Consumer Finance,-,-,-,%,342331,%,-,-,-,%,-,%,28.4,211209,553540.0,16.2,%
"Electronic Equipment, Instruments & Components",20700,-,-,%,-,%,-,-,15056,%,35756,%,1.1,%,0.0,0.0,0
Energy Equipment & Services,35048,-,-,%,-,%,-,-,103456,%,138504,%,4.1,%,0.0,0.0,0
Equity Real Estate Investment Trusts (REITs),293203,-,-,%,-,%,-,-,518712,%,811915,%,23.8,%,0.0,0.0,0
Health Care Providers & Services,197621,-,-,%,-,%,-,-,-,%,197621,%,5.8,%,0.0,0.0,0
Machinery,-,-,28622,%,-,%,-,-,3264,%,31886,%,0.9,%,0.0,0.0,0
Media,8614,-,-,%,-,%,-,-,10121,%,18735,%,0.6,%,0.0,0.0,0
