0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Health Care Providers & Services,Insurance,248872,12/1/2017,3000,-,2988,6969,-,0.2,0.1,-,0,0.2,-,0,0,1,248873.0,0.0,0
Distributors,63213,-,-,3000,127091,2988,-,-,-,0.1,-,0,63213,-,0,0,-,127091.0,0.0,0
Air Freight & Logistics,-,-,-,3000,12500,2988,-,-,-,0.1,-,0,3771,-,0,0,-,12500.0,0.0,0
Aerospace & Defense,-,54841,-,3000,-,2988,1103751,-,-,0.1,-,0,1148525,-,0,0,34860,89701.0,2.7,%
Distributors,36.4,-,11.5,%,18866,%,-,-,-,%,-,%,74.9,-,0.8,%,-,18866.0,0.6,%
Air Freight & Logistics,-,-,0.8,%,12233,%,-,-,1.0,%,-,%,2.3,-,0.5,%,-,12233.0,0.4,%
Paper & Forest Products,86704,-,30580,%,11500,%,-,-,-,%,-,%,117284,-,3.5,%,-,11500.0,0.3,%
Consumer Finance,74.9,30570,40.5,%,-,%,25.7,-,1.0,%,-,%,171.0,-,27.1,%,-,30570.0,0.0,0
Media,-,8614,-,%,-,%,1096768,-,-,%,-,%,1102927,-,27.1,%,10121,18735.0,0.6,%
Diversified Consumer Services,32.2,-,10.9,%,7834,%,-,-,0.2,%,-,%,70.6,27382,4.9,%,-,35216.0,1.0,%
Auto Components,-,-,0.2,%,12887,%,-,-,0.8,%,-,%,1.7,-,0.7,%,-,12887.0,0.4,%
Trading Companies & Distributors,-,56199,14392,%,-,%,-,-,-,%,-,%,14392,-,0.4,%,-,56199.0,1.6,%
