0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Auto Components,-,-,-,2986,12681,2986,-,-,9878,16000.0,-,0.5%,%,-,12681.0,0.0,0
Construction & Engineering,38211,-,-,2986,-,2986,-,-,12586,16000.0,50797,0.5%,1.5,%,0.0,0.0,0
Consumer Finance,-,-,342331,2986,-,2986,-,-,211209,16000.0,553540,0.5%,16.2,%,0.0,0.0,0
"Electronic Equipment, Instruments & Components",20700,-,-,2986,-,2986,-,-,15056,16000.0,35756,0.5%,1.1,%,0.0,0.0,0
Energy Equipment & Services,35048,-,-,2986,-,2986,-,-,103456,16000.0,138504,0.5%,4.1,%,0.0,0.0,0
Equity Real Estate Investment Trusts (REITs),293203,-,-,2986,-,2986,-,-,518712,16000.0,811915,0.5%,23.8,%,0.0,0.0,0
Health Care Providers & Services,197621,-,-,2986,-,2986,-,-,-,16000.0,197621,0.5%,5.8,%,0.0,0.0,0
Machinery,-,-,28622,2986,-,2986,-,-,3264,16000.0,31886,0.5%,0.9,%,0.0,0.0,0
Media,8614,-,-,2986,-,2986,-,-,10121,16000.0,18735,0.5%,0.6,%,0.0,0.0,0
Online Lending,226180,-,-,2986,-,2986,-,-,16881,16000.0,243061,0.5%,7.1,%,0.0,0.0,0
Personal Products,165020,-,-,2986,-,2986,-,-,-,16000.0,165020,0.5%,4.9,%,0.0,0.0,0
Diversified Consumer Services,-,%,7834,%,-,%,27382,%,-,%,35216,%,1.0,%,0.0,0.0,0
Auto Components,-,-,0.2,%,12887,%,0.8,-,0.7,%,-,%,%,-,12887.0,0.4,%
Building Products,-,-,10000,%,-,%,-,-,-,%,10000,%,0.3,%,0.0,0.0,0
Capital Markets,-,-,20000,%,-,%,-,-,-,%,20000,%,0.6,%,0.0,0.0,0
Commercial Services & Supplies,89658,-,164236,%,-,%,-,-,917,%,254811,%,7.5,%,0.0,0.0,0
Communications Equipment,-,-,40000,%,-,%,-,-,-,%,40000,%,1.2,%,0.0,0.0,0
Consumer Finance,33438,-,-,%,-,%,-,-,-,%,33438,%,1.0,%,0.0,0.0,0
Distributors,343659,-,58806,%,-,%,-,-,-,%,402465,%,11.8,%,0.0,0.0,0
Diversified Consumer Services,9647,-,118289,%,-,%,-,-,-,%,127936,%,3.8,%,0.0,0.0,0
"Electronic Equipment, Instruments & Components",12335,-,14873,%,-,%,-,-,-,%,27208,%,0.8,%,0.0,0.0,0
Energy Equipment & Services,32070,-,-,%,-,%,-,-,-,%,32070,%,0.9,%,0.0,0.0,0
