0,1,2,3,4,5,6,7,8,9,10,11
American Property REIT Corp.(32),Various / Real Estate,"Senior Secured Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",Principal Value,106686,Fair  Value(2),% of Net Assets,106686,0,0,106686.0,2.9%
Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,-,Principal Value,131455,Fair  Value(2),143516,106686,3.9%,0,0,0
"Arctic Energy Services, LLC(30)",Wyoming / Oil & Gas Production,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",31640,131455,31640,143516,31640,0,0.9%,0,0
Class A Units (700 units),20230,9006,20230,60876,20230,61916,0.5%,1.7%,0,0,0
CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",16875,60876,16875,61916,16875,0,0.5%,0,0
"Common Stock (14,857 shares)",8691,8553,8691,34119,8691,36874,0.2%,1.0%,0,0,0
CP Energy Services Inc.(38),Oklahoma / Oil & Gas Production,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",11035,34119,11035,36874,11035,0,0.3%,0,0
"Common Stock (2,924 shares)",15214,15227,15214,114575,15214,101638,0.4%,2.8%,0,0,0
"Credit Central Loan Company, LLC(34)",Ohio / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(22)",36333,114575,36333,101638,36333,0,1.0%,0,0
Net Revenues Interest (25% of Net Revenues)(22),Ohio / Consumer Finance,-,36333,47966,36333,51542,36333,1.4%,0,0,0
Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)",40808,47966,40808,51542,40808,0,1.1%,0,0
"Class A Shares (11,335,318 shares)",New York / Aerospace & Defense,19907,40808,60715,40808,68941,40808,1.9%,0,0,0
First Tower Finance Company LLC(29),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(22)",251246,60715,251246,68941,251246,0,6.8%,0,0
"Class A Shares (83,729,323 shares)(22)",Mississippi / Consumer Finance,66473,251246,317719,251246,355130,251246,9.6%,0,0,0
"Freedom Marine Solutions, LLC(8)",Louisiana / Energy,"Senior Secured Note to Vessel Company, LLC (18.00%, due 12/12/2016)",3500,317719,3500,355130,3500,0,0.1%,0,0
Membership Interest (100%),16000,7807,16000,39811,14342,28601,0.4%,0.8%,0,0,0
Gulf Coast Machine & Supply Company,Texas / Manufacturing,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(4)",Principal Value,23196,Fair  Value(2),% of Net Assets,23000,0,0,8199.0,0.2%
"Series A Convertible Preferred Stock (99,900 shares)",Texas / Manufacturing,25950,Principal Value,48950,Fair  Value(2),8199,23000,0.2%,0,0,0
"Harbortouch Payments, LLC(43)",Pennsylvania / Business Services,"Senior Secured Term Loan A (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor), due 9/30/2017)(3)(4)",129663,48950,129663,8199,129663,0,3.5%,0,0
Class C Shares (535 shares),24011,8739,24011,299639,24011,330272,0.6%,8.9%,0,0,0
"MITY, Inc.(17)",Utah / Durable Consumer Products,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(4)",18250,299639,18250,330272,18250,0,0.5%,0,0
"Common Stock (42,053 shares)",7200,6849,7200,48195,7200,55031,0.2%,1.5%,0,0,0
National Property REIT Corp.(40),Various / Real Estate,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",172403,48195,172403,55031,172403,0,4.7%,0,0
Net Operating Income Interest (5% of Net Operating Income),47050,-,47050,367672,47050,389801,1.3%,10.5%,0,0,0
Nationwide Acceptance LLC(36),Illinois / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/18/2019)(22)",14820,367672,14820,389801,14820,0,0.4%,0,0
"Class A Shares (24,029,326 shares)(22)",Illinois / Consumer Finance,12919,14820,27739,14820,30124,14820,0.8%,0,0,0
"NMMB, Inc.(24)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2016)",3714,27739,3714,30124,3147,0,0.1%,0,0
"Series B Preferred Stock (5,669 shares)",7000,5669,7000,23583,5931,9078,0.2%,0.3%,0,0,0
"R-V Industries, Inc.",Pennsylvania / Manufacturing,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(4)",30411,23583,30411,9078,30411,0,0.8%,0,0
"Warrant (to purchase 200,000 shares of Common Stock, expires 6/30/2017)",Pennsylvania / Manufacturing,1682,30411,37180,30411,41739,30411,1.1%,0,0,0
United Property REIT Corp.(41),Various / Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",Principal Value,58219,Fair  Value(2),% of Net Assets,58219,0,0,58219.0,1.6%
Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,-,Principal Value,70165,Fair  Value(2),81918,58219,2.2%,0,0,0
"Valley Electric Company, Inc.(35)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2017)(3)(4)",10275,70165,10275,81918,10275,0,0.3%,0,0
"Common Stock (50,000 shares)",21835,26204,21835,58314,21835,32110,0.6%,0.9%,0,0,0
"Vets Securing America, Inc.(9)",North Carolina / Contracting,"Secured Promissory Notes to The Healing Staff, Inc. and Vets Securing America, Inc. (15.00%, in non-accrual status effective 12/22/2010, past due)",1688,58314,1686,32110,-,0,-%,0,0
