0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
American Property REIT Corp.,8.50%,118256,8.50%,(A),2826,17458,0.2%,"(26,730",0.3%,12911.0,13141,0.4%,0,107493.0,0,6488,11016.0,702.0,-
"Arctic Energy Services, LLC",60364,118256,-,(A),-,17458,"(22,748","(26,730",37616,12911.0,1123,0.4%,-,107493.0,-,-,0.0,0.0,0
CCPI Inc.,41352,118256,475,(A),"(6,255",17458,5281,"(26,730",40853,12911.0,2370,0.4%,3195,107493.0,-,-,0.0,0.0,0
CP Energy Services Inc.,91009,118256,"(2,820",(A),-,17458,"(12,766","(26,730",75423,12911.0,(390,0.4%,-,107493.0,-,-,0.0,0.0,0
"Credit Central Loan Company, LLC",55172,118256,323,(A),(323,17458,"(2,786","(26,730",52386,12911.0,5556,0.4%,-,107493.0,1852,-,0.0,0.0,0
Echelon Aviation LLC,68941,118256,-,(A),"(2,954",17458,"(9,023","(26,730",56964,12911.0,4360,0.4%,7250,107493.0,-,-,0.0,0.0,0
"Edmentum Ultimate Holdings, LLC",37216,118256,4841,(A),"(4,896",17458,3127,"(26,730",40288,12911.0,2728,0.4%,-,107493.0,-,-,0.0,0.0,0
First Tower Finance Company LLC,365950,118256,8353,(A),(679,17458,"(15,494","(26,730",358130,12911.0,42499,0.4%,-,107493.0,-,-,0.0,0.0,0
"Freedom Marine Solutions, LLC",27090,118256,400,(A),-,17458,(871,"(26,730",26619,12911.0,1112,0.4%,-,107493.0,-,-,0.0,0.0,0
Gulf Coast Machine & Supply Company,6918,118256,8000,(A),(75,17458,"(4,897","(26,730",9946,12911.0,-,0.4%,-,107493.0,-,-,0.0,0.0,0
"Harbortouch Payments, LLC",376936,118256,-,(A),"(4,028",17458,"(37,228","(26,730",335680,12911.0,23129,0.4%,-,107493.0,-,-,0.0,0.0,0
"MITY, Inc.",50795,118256,140,(A),-,17458,6688,"(26,730",57623,12911.0,4325,0.4%,710,107493.0,-,7,0.0,0.0,0
National Property REIT Corp.,471889,118256,192533,(A),"(116,128",17458,30249,"(26,730",578543,12911.0,45360,0.4%,-,107493.0,3894,-,0.0,0.0,0
Nationwide Loan Company LLC,34550,118256,3583,(A),(300,17458,"(3,635","(26,730",34198,12911.0,2368,0.4%,2651,107493.0,-,-,0.0,0.0,0
"NMMB, Inc.",12052,118256,-,(A),-,17458,1218,"(26,730",13270,12911.0,1146,0.4%,-,107493.0,-,-,0.0,0.0,0
"R-V Industries, Inc.",40508,118256,-,(A),(614,17458,"(4,587","(26,730",35307,12911.0,2192,0.4%,224,107493.0,-,-,0.0,0.0,0
"SB Forging Company, Inc.",-,118256,-,(A),-,17458,-,"(26,730",-,12911.0,-,0.4%,-,107493.0,-,-,0.0,0.0,0
United Property REIT Corp.,84685,118256,7531,(A),-,17458,13416,"(26,730",105632,12911.0,5774,0.4%,-,107493.0,988,-,0.0,0.0,0
"Valley Electric Company, Inc.",30497,118256,1397,(A),-,17458,(535,"(26,730",31359,12911.0,3995,0.4%,-,107493.0,-,-,0.0,0.0,0
"Wolf Energy, LLC",22,118256,-,(A),-,17458,671,"(26,730",693,12911.0,-,0.4%,-,107493.0,-,-,0.0,0.0,0
